BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,SPEED,Curvature (degrees),LENGTH (M)
6.75,55.17,255657.6,0.0,17.8816,0.0,77924.24279999999
55.17,55.26,475.1999999999805,0.52,17.8816,0.0,144.84059999999405
55.26,55.33,369.6000000000015,0.52,17.8816,10.0,112.65380000000046
55.33,55.34,52.80000000002701,0.52,17.8816,0.0,16.09340000000823
55.34,55.4,316.7999999999745,0.52,17.8816,6.0,96.56039999999221
55.4,55.42,105.60000000001651,0.52,17.8816,0.0,32.18680000000503
55.42,55.48,316.7999999999745,0.52,17.8816,7.083333333,96.56039999999221
55.48,55.5,105.60000000001651,0.52,17.8816,0.0,32.18680000000503
55.5,55.58,422.399999999991,0.52,17.8816,6.0,128.74719999999724
55.58,55.74,844.8000000000195,0.52,17.8816,0.0,257.49440000000595
55.74,55.82,422.399999999991,0.52,17.8816,2.0,128.74719999999724
55.82,55.94,633.5999999999865,0.52,17.8816,0.0,193.12079999999588
55.94,55.96,105.60000000001651,0.52,17.8816,6.0,32.18680000000503
55.96,56.5,2851.1999999999953,0.52,17.8816,0.0,869.0435999999986
56.5,56.69,1003.199999999988,0.52,17.8816,12.5,305.7745999999963
56.69,56.73,211.1999999999955,0.52,17.8816,11.5,64.37359999999862
56.73,56.95,1161.6000000000315,0.52,17.8816,4.25,354.0548000000096
56.95,57.2,1320.0,0.82,17.8816,4.25,402.335
57.2,57.24,211.1999999999955,0.82,17.8816,0.0,64.37359999999862
57.24,57.5,1372.7999999999895,0.82,17.8816,6.25,418.42839999999677
57.5,57.52,105.60000000001651,1.61,17.8816,6.25,32.18680000000503
57.52,57.58,316.7999999999745,1.61,17.8816,0.0,96.56039999999221
57.58,57.65,369.6000000000015,1.61,17.8816,5.33,112.65380000000046
57.65,57.7,264.0000000000225,0.75,17.8816,5.33,80.46700000000686
57.7,58.0,1583.999999999985,0.75,17.8816,0.0,482.8019999999954
58.0,58.28,1478.400000000006,0.95,17.8816,0.0,450.61520000000183
58.28,58.41,686.399999999976,0.95,17.8816,3.0,209.21419999999267
58.41,58.58,897.600000000009,0.95,17.8816,0.0,273.58780000000274
58.58,58.78,1056.000000000015,0.95,17.8816,5.25,321.86800000000454
58.78,58.89,580.799999999997,0.95,17.8816,0.0,177.02739999999906
58.89,58.92,158.400000000006,0.95,17.8816,2.0,48.28020000000183
58.92,59.0,422.399999999991,0.95,17.8816,0.0,128.74719999999724
59.0,59.08,422.399999999991,1.2,17.8816,0.0,128.74719999999724
59.08,59.17,475.200000000018,1.2,17.8816,6.33,144.84060000000548
59.17,59.48,1636.7999999999745,1.2,17.8816,0.0,498.8953999999922
59.48,59.7,1161.6000000000315,1.2,17.8816,2.0,354.0548000000096
59.7,60.0,1583.999999999985,1.2,17.8816,0.0,482.8019999999954
60.0,60.8,4223.999999999985,1.25,17.8816,0.0,1287.4719999999954
60.8,60.84,211.20000000003301,1.25,17.8816,2.133333333,64.37360000001006
60.84,60.85,52.799999999989495,-0.3,17.8816,2.133333333,16.093399999996798
60.85,61.0,791.9999999999925,-0.3,17.8816,0.0,241.4009999999977
61.0,61.35,1848.0000000000075,1.01,17.8816,0.0,563.2690000000023
61.35,61.63,1478.400000000006,0.87,17.8816,0.0,450.61520000000183
61.63,61.7,369.6000000000015,0.87,17.8816,2.0,112.65380000000046
61.7,61.75,263.999999999985,0.02,17.8816,2.0,80.46699999999542
61.75,61.87,633.5999999999865,0.02,17.8816,0.0,193.12079999999588
61.87,62.0,686.4000000000135,0.02,17.8816,3.0,209.2142000000041
62.0,62.08,422.399999999991,1.2,17.8816,3.0,128.74719999999724
62.08,62.59,2692.800000000027,1.2,17.8816,0.0,820.7634000000082
62.59,62.71,633.5999999999865,1.2,17.8816,2.0,193.12079999999588
62.71,62.83,633.5999999999865,1.2,17.8816,0.0,193.12079999999588
62.83,63.0,897.600000000009,0.66,17.8816,0.0,273.58780000000274
63.0,63.38,2006.4000000000135,1.1,17.8816,0.0,611.5492000000041
63.38,63.41,158.3999999999685,1.1,17.8816,3.0,48.280199999990394
63.41,63.5,475.200000000018,0.49,17.8816,3.0,144.84060000000548
63.5,63.54,211.1999999999955,0.49,17.8816,0.0,64.37359999999862
63.54,63.86,1689.6000000000015,0.75,17.8816,0.0,514.9888000000004
63.86,64.0,739.200000000003,0.75,17.8816,4.0,225.30760000000092
64.0,64.2,1056.000000000015,-1.0,17.8816,0.0,321.86800000000454
64.2,64.32,633.599999999949,-1.0,17.8816,2.95,193.12079999998443
64.32,64.4,422.40000000006603,-1.0,17.8816,0.0,128.74720000002011
64.4,64.53,686.399999999976,0.0,17.8816,0.0,209.21419999999267
64.53,64.8,1425.599999999979,-0.43,17.8816,0.0,434.52179999999356
64.8,64.83,158.400000000006,-0.43,17.8816,3.0,48.28020000000183
64.83,64.97,739.200000000003,-0.65,17.8816,3.0,225.30760000000092
64.97,65.0,158.400000000006,-0.65,17.8816,0.0,48.28020000000183
65.0,65.21,1108.799999999967,0.6,17.8816,0.0,337.9613999999899
65.21,65.4,1003.200000000063,1.5,17.8816,0.0,305.7746000000192
65.4,65.45,263.999999999985,0.6,17.8816,0.0,80.46699999999542
65.45,65.52,369.599999999964,0.6,17.8816,3.016666667,112.65379999998902
65.52,65.54,105.60000000005402,0.6,17.8816,0.0,32.18680000001646
65.54,65.85,1636.799999999937,1.2,17.8816,0.0,498.8953999999808
65.85,66.0,792.00000000003,-0.58,17.8816,0.0,241.40100000000913
66.0,66.15,792.00000000003,0.32,17.8816,0.0,241.40100000000913
66.15,66.4,1320.0,1.35,17.8816,0.0,402.335
66.4,66.58,950.399999999961,-0.15,17.8816,0.0,289.6811999999881
66.58,66.64,316.800000000012,-0.15,17.8816,2.183333333,96.56040000000365
66.64,66.66,105.59999999997899,-0.55,17.8816,2.183333333,32.186799999993596
66.66,66.79,686.400000000051,-0.55,17.8816,0.0,209.21420000001555
66.79,66.9,580.799999999997,-1.22,17.8816,0.0,177.02739999999906
66.9,67.0,527.99999999997,-1.22,17.8816,4.0,160.93399999999085
67.0,67.16,844.799999999982,-1.75,17.8816,0.0,257.49439999999447
67.16,67.35,1003.199999999988,-1.75,17.8816,4.416666667,305.7745999999963
67.35,67.5,792.00000000003,-1.75,17.8816,0.0,241.40100000000913
67.5,67.52,105.59999999997899,0.88,17.8816,0.0,32.186799999993596
67.52,67.6,422.399999999991,0.88,17.8816,3.616666667,128.74719999999724
67.6,67.67,369.600000000039,0.88,17.8816,0.0,112.65380000001188
67.67,67.78,580.799999999997,0.88,17.8816,2.8,177.02739999999906
67.78,67.98,1056.000000000015,0.88,17.8816,0.0,321.86800000000454
67.98,68.0,105.59999999997899,0.88,17.8816,3.95,32.186799999993596
68.0,68.18,950.400000000036,0.2,17.8816,3.95,289.68120000001096
68.18,68.25,369.599999999964,0.2,17.8816,0.0,112.65379999998902
68.25,68.58,1742.399999999991,0.87,17.8816,0.0,531.0821999999972
68.58,68.6,105.59999999997899,0.87,17.8816,3.2,32.186799999993596
68.6,68.71,580.799999999997,1.23,17.8816,3.2,177.02739999999906
68.71,68.89,950.400000000036,1.23,17.8816,0.0,289.68120000001096
68.89,69.0,580.799999999997,1.23,17.8816,0.0,177.02739999999906
69.0,69.3,1583.999999999985,0.19,17.8816,0.0,482.8019999999954
69.3,69.48,950.400000000036,0.53,17.8816,0.0,289.68120000001096
69.48,69.51,158.400000000006,1.18,17.8816,0.0,48.28020000000183
69.51,69.54,158.400000000006,1.18,17.8816,3.0,48.28020000000183
69.54,69.65,580.799999999997,1.18,17.8816,0.0,177.02739999999906
69.65,69.73,422.399999999991,1.18,17.8816,4.25,128.74719999999724
69.73,69.89,844.799999999982,1.26,17.8816,4.25,257.49439999999447
69.89,70.0,580.799999999997,1.26,17.8816,0.0,177.02739999999906
70.0,70.15,792.00000000003,1.26,17.8816,4.5,241.40100000000913
70.15,70.3,791.999999999955,1.26,17.8816,0.0,241.40099999998625
70.3,70.52,1161.599999999994,0.09,17.8816,0.0,354.0547999999981
70.52,70.62,528.000000000045,0.5,17.8816,0.0,160.93400000001373
70.62,70.66,211.19999999995798,0.5,17.8816,2.0,64.37359999998719
70.66,70.76,528.000000000045,0.5,17.8816,0.0,160.93400000001373
70.76,70.9,739.200000000003,0.95,17.8816,0.0,225.30760000000092
70.9,71.17,1425.599999999979,0.95,17.8816,2.0,434.52179999999356
71.17,71.2,158.400000000006,0.95,17.8816,0.0,48.28020000000183
71.2,71.48,1478.400000000006,-0.98,17.8816,0.0,450.61520000000183
71.48,71.5,105.59999999997899,-0.98,17.8816,4.883333333,32.186799999993596
71.5,71.53,158.400000000006,0.08,17.8816,4.883333333,48.28020000000183
71.53,71.7,897.600000000009,0.08,17.8816,0.0,273.58780000000274
71.7,71.71,52.79999999995198,0.73,17.8816,0.0,16.093399999985362
71.71,71.79,422.40000000006603,0.73,17.8816,2.0,128.74720000002011
71.79,71.9,580.799999999997,0.73,17.8816,0.0,177.02739999999906
71.9,72.0,527.99999999997,-1.33,17.8816,2.0,160.93399999999085
72.0,72.05,263.999999999985,-1.33,17.8816,0.0,80.46699999999542
72.05,72.36,1636.800000000012,-1.45,17.8816,0.0,498.89540000000363
72.36,72.6,1267.199999999973,-0.52,17.8816,0.0,386.24159999999176
72.6,72.63,158.400000000006,-0.2,17.8816,0.0,48.28020000000183
72.63,72.8,897.600000000009,-0.2,17.8816,4.0,273.58780000000274
72.8,72.84,211.20000000003301,1.11,17.8816,4.0,64.37360000001006
72.84,72.95,580.799999999997,1.11,17.8816,0.0,177.02739999999906
