BEG MP,END MP,LENGTH (FT),Curvature (degrees)
55.26,55.33,369.6,10
55.33,55.34,52.8,0
55.34,55.4,316.8,6
55.4,55.42,105.6,0
55.42,55.48,316.8,7.083333333
55.48,55.5,105.6,0
55.5,55.58,422.4,6
55.58,55.74,844.8,0
55.74,55.82,422.4,2
55.82,55.94,633.6,0
55.94,55.96,105.6,6
55.96,56.5,2851.2,0
56.5,56.69,1003.2,12.5
56.69,56.73,211.2,11.5
56.73,57.2,2481.6,4.25
57.2,57.24,211.2,0
57.24,57.52,1478.4,6.25
57.52,57.58,316.8,0
57.58,57.7,633.6,5.33
57.7,58.28,3062.4,0
58.28,58.41,686.4,3
58.41,58.58,897.6,0
58.58,58.78,1056,5.25
58.78,58.89,580.8,0
58.89,58.92,158.4,2
58.92,59.08,844.8,0
59.08,59.17,475.2,6.33
59.17,59.48,1636.8,0
59.48,59.7,1161.6,2
59.7,60.8,5808,0
60.8,60.85,264,2.133333333
60.85,61.63,4118.4,0
61.63,61.75,633.6,2
6.75,61.87,291033.6,0
61.87,62.08,1108.8,3
62.08,62.59,2692.8,0
62.59,62.71,633.6,2
62.71,63.38,3537.6,0
63.38,63.5,633.6,3
63.5,63.86,1900.8,0
63.86,64,739.2,4
64,64.2,1056,0
64.2,64.32,633.6,2.95
64.32,64.8,2534.4,0
64.8,64.97,897.6,3
64.97,65.45,2534.4,0
65.45,65.52,369.6,3.016666667
65.52,66.58,5596.8,0
66.58,66.66,422.4,2.183333333
66.66,66.9,1267.2,0
66.9,67,528,4
67,67.16,844.8,0
67.16,67.35,1003.2,4.416666667
67.35,67.52,897.6,0
67.52,67.6,422.4,3.616666667
67.6,67.67,369.6,0
67.67,67.78,580.8,2.8
67.78,67.98,1056,0
67.98,68.18,1056,3.95
68.18,68.58,2112,0
68.58,68.71,686.4,3.2
68.71,69.51,4224,0
69.51,69.54,158.4,3
69.54,69.65,580.8,0
69.65,69.89,1267.2,4.25
68.89,70,5860.8,0
70,70.15,792,4.5
70.15,70.62,2481.6,0
70.62,70.66,211.2,2
70.66,70.9,1267.2,0
70.9,71.17,1425.6,2
71.17,71.48,1636.8,0
71.48,71.53,264,4.883333333
71.53,71.71,950.4,0
71.71,71.79,422.4,2
71.79,71.9,580.8,0
71.9,72,528,2
72,72.63,3326.4,0
72.63,72.84,1108.8,4
72.84,72.95,580.8,0
72.95,73.12,897.6,3.883333
73.12,73.46,1795.2,0
73.46,73.6,739.2,3.45
73.6,73.88,1478.4,0
73.88,73.98,528,4.066667
73.98,74.27,1531.2,0
74.27,74.33,316.8,3.216667
74.33,74.6,1425.6,0
74.6,74.9,1584,2
74.9,75.7,4224,0
75.7,75.95,1320,2
75.95,76.42,2481.6,0
76.42,76.49,369.6,0.5
76.49,76.6,580.8,0
76.6,77.3,3696,"2,3.05,2"
77.3,77.62,1689.6,0
77.62,77.67,264,2.25
77.67,78.3,3326.4,0
78.3,78.46,844.8,2
78.46,78.55,475.2,0
78.55,78.92,1953.6,6.4
78.92,79.08,844.8,0
79.08,79.15,369.6,2
79.15,79.34,1003.2,0
79.34,79.44,528,3
79.44,79.64,1056,0
79.64,79.76,633.6,3.166667
79.76,79.92,844.8,0
79.92,80.15,1214.4,4.083333
80.15,80.8,3432,0
80.8,81.11,1636.8,3
81.11,81.54,2270.4,0
81.54,81.66,633.6,2
81.66,83.1,7603.2,0
83.1,83.17,369.6,1.25
83.17,84.95,9398.4,0
84.95,84.99,211.2,1.75
84.99,88,15892.8,0
88,88.15,792,0
88.15,88.6,2376,2.916667
88.6,88.64,211.2,0
88.64,88.93,1531.2,5.166667
88.93,89.25,1689.6,0
89.27,89.33,316.8,4
89.33,89.38,264,0
89.38,89.46,422.4,4
89.46,89.5,211.2,0
89.5,89.7,1056,6.0833333
89.7,89.95,1320,0
89.95,90.14,1003.2,4
90.14,90.3,844.8,0
90.3,90.33,158.4,4.283333
90.33,91.11,4118.4,0
91.11,91.2,475.2,3
91.2,91.88,3590.4,0
91.88,92,633.6,3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
