BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,LENGTH (M),ELEV (M)
55.17,56.95,9398.4,0.52,2864.63232,0
56.95,57.5,2904,0.82,885.1392,7.485471389
57.5,57.65,792,1.61,241.4016,11.13277865
57.65,58,1848,0.75,563.2704,13.08582677
58,59,5280,0.95,1609.344,15.20870516
59,60,5280,1.2,1609.344,22.89150315
60,60.84,4435.2,1.25,1351.84896,32.59609008
60.84,61,844.8,-0.3,257.49504,41.08760365
61,61.35,1848,1.01,563.2704,40.69942017
61.35,61.7,1848,0.87,563.2704,43.55822974
61.7,62,1584,0.02,482.8032,46.02076868
62,62.83,4382.4,1.2,1335.75552,46.06929161
62.83,63,897.6,0.66,273.58848,54.12409877
63,63.41,2164.8,1.1,659.83104,55.03147764
63.41,63.54,686.4,0.49,209.21472,58.6787849
63.54,64,2428.8,0.75,740.29824,59.19393672
64,64.4,2112,-1,643.7376,61.98400547
64.4,64.53,686.4,0,209.21472,58.74914316
64.53,64.83,1584,-0.43,482.8032,58.74914316
64.83,65,897.6,-0.65,273.58848,57.70590006
65,65.21,1108.8,0.6,337.96224,56.81226935
65.21,65.4,1003.2,1.5,305.77536,57.83125097
65.4,65.54,739.2,0.6,225.30816,60.13609037
65.54,65.85,1636.8,1.2,498.89664,60.81541146
65.85,66,792,-0.58,241.4016,63.82383341
66,66.15,792,0.32,241.4016,63.12025085
66.15,66.4,1320,1.35,402.336,63.50843433
66.4,66.64,1267.2,-0.15,386.24256,66.23784941
66.64,66.79,792,-0.55,241.4016,65.9467118
66.79,67,1108.8,-1.22,337.96224,65.27952145
67,67.5,2640,-1.75,804.672,63.20759214
67.5,68,2640,0.88,804.672,56.13133083
68,68.25,1320,0.2,402.336,59.68967937
68.25,68.6,1848,0.87,563.2704,60.09403716
68.6,69,2112,1.23,643.7376,62.5565761
69,69.3,1584,0.19,482.8032,66.53545674
69.3,69.48,950.4,0.53,289.68192,66.99642462
69.48,69.73,1320,1.18,402.336,67.76793928
69.73,70.3,3009.6,1.26,917.32608,70.15365024
70.3,70.52,1161.6,0.09,354.05568,75.96184552
70.52,70.76,1267.2,0.5,386.24256,76.1219712
70.76,71.2,2323.2,0.95,708.11136,77.09242989
71.2,71.5,1584,-0.98,482.8032,80.47286101
71.5,71.7,1056,0.08,321.8688,78.09523721
71.7,71.9,1056,0.73,321.8688,78.2246317
71.9,72.05,792,-1.33,241.4016,79.40535645
72.05,72.36,1636.8,-1.45,498.89664,77.79196887
72.36,72.6,1267.2,-0.52,386.24256,74.15679235
72.6,72.8,1056,-0.2,321.8688,73.1475153
72.8,73,1056,1.11,321.8688,72.82402907
73,73.14,739.2,0.1,225.30816,74.61937766
73.14,73.31,897.6,-0.17,273.58848,74.73259784
73.31,73.35,211.2,-0.75,64.37376,74.49887904
73.35,73.45,528,-0.75,160.9344,74.25626436
73.45,73.5,264,-0.75,80.4672,73.64972768
73.5,73.75,1320,1.15,402.336,73.34645934
73.75,74,1320,0.06,402.336,75.67151662
74,74.25,1320,1.31,402.336,75.79282396
74.25,74.4,792,0.3,241.4016,78.44136748
74.4,74.75,1848,1.37,563.2704,78.80528949
74.75,75,1320,0.9,402.336,82.68308068
75,75.3,1584,1.35,482.8032,84.50269073
75.3,75.55,1320,0.55,402.336,87.77798882
75.55,75.7,792,-0.85,241.4016,88.88997274
75.7,75.87,897.6,0.58,273.58848,87.85886038
75.87,76,686.4,1.25,209.21472,88.65625394
76,76.5,2640,0.9,804.672,89.97041676
76.5,76.8,1584,-0.49,482.8032,93.60963686
76.8,77.25,2376,-0.95,724.2048,92.42082496
77.25,77.62,1953.6,-1.15,595.45728,88.96356586
77.62,78.13,2692.8,-0.95,820.76544,85.52248108
78.13,78.43,1584,-1.16,482.8032,81.6042541
78.43,78.64,1108.8,-0.4,337.96224,78.78992389
78.64,78.89,1320,0.14,402.336,78.11060281
78.89,79,580.8,0.81,177.02784,78.39365326
79,79.49,2587.2,0.29,788.57856,79.11421884
79.49,79.75,1372.8,1.04,418.42944,80.26340367
79.75,79.96,1108.8,1.1,337.96224,82.4501706
79.96,80.21,1320,0.78,402.336,84.31830358
80.21,80.41,1056,0.33,321.8688,85.89529896
80.41,80.54,686.4,0.29,209.21472,86.42905124
80.54,81.1,2956.8,0.96,901.23264,86.73393701
81.1,81.35,1320,1.33,402.336,91.08159196
81.35,81.77,2217.6,0.84,675.92448,93.77057126
81.77,82,1214.4,1.21,370.14912,96.62371982
82,82.22,1161.6,0.65,354.05568,98.87437527
82.22,82.6,2006.4,-0.05,611.55072,100.0308385
82.6,82.8,1056,0.46,321.8688,99.87718258
82.8,83,1056,1.34,321.8688,100.6212009
83,83.2,1056,0.5,321.8688,102.7885587
83.2,83.4,1056,-0.7,321.8688,103.5972742
83.4,83.7,1584,-1.35,482.8032,102.4650724
83.7,83.81,580.8,0,177.02784,99.18977434
83.81,84.01,1056,0.4,321.8688,99.18977434
84.01,84.37,1900.8,0,579.36384,99.83674681
84.37,84.66,1531.2,0.35,466.70976,99.83674681
84.66,84.87,1108.8,1.31,337.96224,100.6575931
84.87,85,686.4,0.44,209.21472,102.8823697
85,85.31,1636.8,0.57,498.89664,103.344955
85.31,85.5,1003.2,1.3,305.77536,104.7739554
85.5,85.79,1531.2,-0.8,466.70976,106.7714829
85.79,86,1108.8,-1.21,337.96224,104.8952627
86,86.2,1056,0.01,321.8688,102.8403165
86.2,86.48,1478.4,-0.97,450.61632,102.8564908
86.48,86.65,897.6,-0.57,273.58848,100.6600193
86.65,86.86,1108.8,-1.6,337.96224,99.87637387
86.86,87,739.2,0.05,225.30816,97.15908953
87,87.0065,34.32,0,10.460736,97.21569962
87.0065,87.1005,496.32,-0.08,151.278336,97.21569962
87.1005,87.2717,903.936,0,275.5196928,97.15488421
87.2717,87.4238,803.088,0.25,244.7812224,97.15488421
87.4238,87.4998,401.28,0.9,122.310144,97.46239831
87.4998,87.6711,904.464,1.27,275.6806272,98.01555976
87.6711,87.7639,489.984,0.22,149.3471232,99.77492859
87.7639,87.8398,400.752,0.75,122.1492096,99.94003596
87.8398,87.9907,796.752,1.12,242.8500096,100.4003973
87.9907,88.0463,293.568,0.5,89.4795264,101.7671913
88.0463,88.087,214.896,0,65.5003008,101.9920143
88.087,88.1403,281.424,-0.65,85.7780352,101.9920143
88.1403,88.4781,1783.584,-0.91,543.6364032,101.7118347
88.4781,88.649,902.352,-1,275.0368896,99.22585923
88.649,88.8428,1023.264,-0.25,311.8908672,97.84376431
88.8428,89.0175,922.416,-0.84,281.1523968,97.45194161
89.0175,89.3001,1492.128,-1.07,454.8006144,96.26516768
89.3001,89.5859,1509.024,-0.94,459.9505152,93.81975734
89.5859,89.7766,1006.896,-1.15,306.9019008,91.64712676
89.7766,89.8669,476.784,-0.7,145.3237632,89.87357307
89.8669,89.942,396.528,-0.5,120.8617344,89.36238395
89.942,90.0381,507.408,0.1,154.6579584,89.05871125
90.0381,90.1152,407.088,0,124.0804224,89.13642882
90.1152,90.209,495.264,-0.06,150.9564672,89.13642882
90.209,90.2665,303.6,0.5,92.53728,89.0909143
90.2665,90.3601,494.208,1.17,150.6345984,89.32342003
90.3601,90.5888,1207.536,1.58,368.0569728,90.20906064
90.5888,90.7959,1093.488,1.45,333.2951424,93.13132203
90.7959,90.8524,298.32,1,90.927936,95.55985447
90.8524,90.8932,215.424,0,65.6612352,96.01677877
90.8932,90.949,294.624,-0.66,89.8013952,96.01677877
90.949,91.0427,494.736,-1.3,150.7955328,95.718945
91.0427,91.1,302.544,0.5,92.2154112,94.73384856
91.1,91.4042,1606.176,1.18,489.5624448,94.96554557
91.4042,91.4396,186.912,1.25,56.9707776,97.86847866
91.4396,91.4976,306.24,0,93.341952,98.2263353
91.4976,91.6095,590.832,-0.6,180.0855936,98.2263353
91.6095,91.6707,323.136,0.33,98.4918528,97.68336366
91.6707,91.9117,1272.48,1.11,387.851904,97.84669186
91.9117,91.9899,412.896,0,125.8507008,100.0100869
91.9899,92,53.328,-0.33,16.2543744,100.0100869
