BEG MP,END MP,LENGTH (FT),SPEED
55.17,55.5,1742.4,10
55.5,56.5,5280,10
56.5,56.95,2376,25
56.95,57.75,4224,25
57.75,58.25,2640,25
58.25,59.2,5016,25
59.2,62,14784,25
62,65.21,16948.8,25
65.21,66.9,8923.2,25
66.9,67.3,2112,25
67.3,67.9,3168,25
67.9,68.3,2112,25
68.3,70.1,9504,25
70.1,71.2,5808,10
71.2,71.6,2112,10
71.6,72.6,5280,20
72.6,73.35,3960,20
73.35,73.45,528,20
73.45,74.35,4752,20
74.35,75.75,7392,40
75.75,76.5,3960,40
76.5,77.25,3960,35
77.25,78.5,6600,40
78.5,78.8,1584,25
78.8,79.8,5280,40
79.8,80.15,1848,35
80.15,80.75,3168,40
80.75,81.1,1848,40
81.1,86.9,30624,40
86.9,87.45,2904,10
87.45,87.7,1320,20
87.75,88.25,2640,30
88.25,92,19800,35
