,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2005.0,706.898,706.805,40.0,-0.0,L,1.0,149.66862000012,-62.35225286659987
1,2005.0,707.0,706.51,40.0,-0.0,0.0,0.0,788.5766000000147,-62.35225286659987
2,2005.0,706.51,706.21,40.0,-0.01,0.0,0.0,482.8019999999268,-62.35225286659987
3,2005.0,706.21,706.08,40.0,-0.04,0.0,0.0,209.21419999999267,-62.40053306659986
4,2005.0,706.08,706.02,40.0,-0.0,0.0,0.0,96.56040000009511,-62.48421874659986
5,2005.0,706.02,705.83,40.0,0.02,0.0,0.0,305.77459999990486,-62.48421874659986
6,2005.0,705.83,705.76,40.0,-0.19,0.0,0.0,112.6538000000805,-62.42306382659988
7,2005.0,705.76,705.62,40.0,-0.29,0.0,0.0,225.30759999997804,-62.63710604660003
8,2005.0,705.62,705.57,40.0,-0.1,0.0,0.0,80.46699999992681,-63.29049808659997
9,2005.0,705.57,705.45,40.0,-0.0,0.0,0.0,193.1208000000073,-63.370965086599895
10,2005.0,705.45,705.4,40.0,0.09,0.0,0.0,80.46700000010978,-63.370965086599895
11,2005.0,705.4,705.21,40.0,0.36,0.0,0.0,305.77459999990486,-63.2985447865998
12,2005.0,705.21,705.15,40.0,-0.06,0.0,0.0,96.56040000009511,-62.19775622660014
13,2005.0,705.15,704.91,40.0,0.03,0.0,0.0,386.2416000000146,-62.2556924666002
14,2005.0,704.91,704.85,40.0,-0.0,0.0,0.0,96.56039999991218,-62.1398199866002
15,2005.0,704.85,704.62,40.0,-0.08,0.0,0.0,370.1482000000293,-62.1398199866002
16,2005.0,704.62,704.36,40.0,-0.05,0.0,0.0,418.4283999999853,-62.43593854660022
17,2005.0,704.36,704.07,40.0,-0.05,0.0,0.0,466.70859999994144,-62.64515274660021
18,2005.0,704.07,703.94,40.0,-0.04,0.0,0.0,209.21419999999267,-62.87850704660018
19,2005.0,703.94,703.52,40.0,-0.0,0.0,0.0,675.922800000117,-62.96219272660018
20,2005.0,703.52,702.95,40.0,0.04,0.0,0.0,917.3237999998976,-62.96219272660018
21,2005.0,702.95,702.48,40.0,-0.02,0.0,0.0,756.3898000000439,-62.59526320660022
22,2005.0,702.48,702.35,40.0,0.04,0.0,0.0,209.21419999999267,-62.74654116660023
23,2005.0,702.35,702.01,40.0,-0.0,0.0,0.0,547.1756000000512,-62.66285548660024
24,2005.0,702.01,701.82,40.0,0.04,0.0,0.0,305.77459999990486,-62.66285548660024
25,2005.0,701.82,701.63,40.0,-0.0,0.0,0.0,305.7746000000878,-62.54054564660027
26,2005.0,701.63,701.4,40.0,0.07,0.0,0.0,370.1482000000293,-62.54054564660027
27,2005.0,701.4,701.02,40.0,0.05,0.0,0.0,611.5491999999927,-62.28144190660025
28,2005.0,701.02,700.76,40.0,-0.0,0.0,0.0,418.4283999999853,-61.97566730660025
29,2005.0,700.76,700.6,40.0,0.07,0.0,0.0,257.4943999999488,-61.97566730660025
30,2005.0,700.6,700.55,40.0,-0.0,0.0,0.0,80.46700000010978,-61.79542122660029
31,2005.0,700.55,700.45,40.0,-0.01,0.0,0.0,160.93399999985365,-61.79542122660029
32,2005.0,700.45,700.39,40.0,-0.09,0.0,0.0,96.56040000009511,-61.81151462660028
33,2005.0,700.39,700.17,40.0,-0.55,0.0,0.0,354.0548000000439,-61.89841898660036
34,2005.0,700.17,700.11,40.0,-0.36,0.0,0.0,96.56039999991218,-63.84572038660061
35,2005.0,700.11,700.05,40.0,-0.16,0.0,0.0,96.56040000009511,-64.19333782660028
36,2005.0,700.05,699.96,40.0,-0.0,0.0,0.0,144.84059999986826,-64.34783446660043
37,2005.0,699.96,699.88,40.0,0.12,0.0,0.0,128.74720000006585,-64.34783446660043
38,2005.0,699.88,699.66,40.0,0.26,0.0,0.0,354.0548000000439,-64.19333782660036
39,2005.0,699.66,699.49,40.0,0.4,0.0,0.0,273.58779999993413,-63.27279534660024
40,2005.0,699.49,699.43,40.0,0.19,0.0,0.0,96.56040000009511,-62.178444146600505
41,2005.0,699.43,698.8,40.0,-0.0,0.0,0.0,1013.8841999999926,-61.99497938660033
42,2005.0,698.8,698.624,40.0,0.13,0.0,0.0,283.24383999988873,-61.99497938660033
43,2005.0,698.624,698.514,40.0,-0.0,R,0.61,177.02740000002194,-61.62676239460047
44,2005.0,698.69,698.41,40.0,-0.04,0.0,0.0,450.6152000001391,-61.62676239460047
45,2005.0,698.41,698.22,40.0,-0.0,0.0,0.0,305.77459999990486,-61.80700847460052
46,2005.0,698.22,698.03,40.0,-0.0099,0.0,0.0,305.7746000000878,-61.80700847460052
47,2005.0,698.03,697.84,40.0,-0.05,0.0,0.0,305.77459999990486,-61.83728016000053
48,2005.0,697.84,697.59,40.0,-0.06,0.0,0.0,402.335,-61.990167460000485
49,2005.0,697.59,697.33,40.0,-0.1,0.0,0.0,418.4283999999853,-62.23156846000049
50,2005.0,697.33,697.19,40.0,-0.17,0.0,0.0,225.30759999997804,-62.64999686000047
51,2005.0,697.19,696.89,40.0,-0.23,0.0,0.0,482.8020000001097,-63.03301978000043
52,2005.0,696.89,696.8,40.0,-0.29,0.0,0.0,144.8406000000512,-64.14346438000068
53,2005.0,696.8,696.46,40.0,-0.5,0.0,0.0,547.1755999998683,-64.56350212000083
54,2005.0,696.46,696.38,40.0,-0.34,0.0,0.0,128.74720000006585,-67.29938012000018
55,2005.0,696.38,696.17,40.0,-0.15,0.0,0.0,337.9614000000585,-67.73712060000041
56,2005.0,696.17,695.76,40.0,-0.0,0.0,0.0,659.8293999999487,-68.2440627000005
57,2005.0,695.76,695.57,40.0,0.11,0.0,0.0,305.77459999990486,-68.2440627000005
58,2005.0,695.57,695.47,40.0,0.19,0.0,0.0,160.93400000003658,-67.9077106400006
59,2005.0,695.47,695.38,40.0,0.3,0.0,0.0,144.8406000000512,-67.60193604000054
60,2005.0,695.38,695.04,40.0,0.49,0.0,0.0,547.1756000000512,-67.16741424000038
61,2005.0,695.04,695.02,40.0,0.4,0.0,0.0,32.186799999970724,-64.48625380000013
62,2005.0,695.02,695.0,40.0,0.2,0.0,0.0,32.186799999970724,-64.35750660000025
63,2005.0,695.0,694.98,40.0,0.1,0.0,0.0,32.186799999970724,-64.29313300000031
64,2005.0,694.98,694.71,40.0,-0.0,0.0,0.0,434.5217999999707,-64.26094620000033
65,2005.0,694.71,694.62,40.0,0.19,0.0,0.0,144.8406000000512,-64.26094620000033
66,2005.0,694.62,694.43,40.0,0.33,0.0,0.0,305.7746000000878,-63.98574906000024
67,2005.0,694.43,694.16,40.0,0.24,0.0,0.0,434.5217999999707,-62.976692879999945
68,2005.0,694.16,694.089,40.0,0.1,0.0,0.0,114.26313999985948,-61.933840560000014
69,2005.0,694.089,694.06,40.0,0.1,R,1.0,46.6708600001771,-61.81957742000016
70,2005.0,694.06,693.62,40.0,-0.0,0.0,0.0,708.1095999999048,-61.77290655999998
71,2005.0,693.62,693.56,40.0,-0.06,0.0,0.0,96.56040000009511,-61.77290655999998
72,2005.0,693.56,693.51,40.0,-0.23,0.0,0.0,80.46699999992681,-61.83084280000004
73,2005.0,693.51,693.22,40.0,-0.42,0.0,0.0,466.70859999994144,-62.01591689999987
74,2005.0,693.22,693.15,40.0,-0.19,0.0,0.0,112.6538000000805,-63.97609301999962
75,2005.0,693.15,692.94,40.0,-0.0,0.0,0.0,337.9613999998756,-64.19013523999978
76,2005.0,692.94,692.65,40.0,0.07,0.0,0.0,466.7086000001244,-64.19013523999978
77,2005.0,692.65,692.37,40.0,0.15,0.0,0.0,450.6151999999561,-63.86343921999968
78,2005.0,692.37,692.18,40.0,0.33,0.0,0.0,305.7746000000878,-63.18751641999975
79,2005.0,692.18,692.09,40.0,0.47,0.0,0.0,144.84059999986826,-62.17846023999946
80,2005.0,692.09,692.05,40.0,0.19,0.0,0.0,64.37360000012441,-61.49770942000008
81,2005.0,692.05,691.82,40.0,0.09,0.0,0.0,370.1481999998463,-61.37539957999984
82,2005.0,691.82,691.33,40.0,-0.0,0.0,0.0,788.5766000000147,-61.04226619999998
83,2005.0,691.33,690.95,40.0,-0.04,0.0,0.0,611.5491999999927,-61.04226619999998
84,2005.0,690.95,690.76,40.0,-0.0,0.0,0.0,305.7746000000878,-61.28688587999998
85,2005.0,690.76,690.5,40.0,0.05,0.0,0.0,418.4283999999853,-61.28688587999998
86,2005.0,690.5,690.44,40.0,-0.0,0.0,0.0,96.56039999991218,-61.07767167999999
87,2005.0,690.44,690.25,40.0,-0.02,0.0,0.0,305.7746000000878,-61.07767167999999
88,2005.0,690.25,690.14,40.0,-0.0,0.0,0.0,177.02740000002194,-61.1388266
89,2005.0,690.14,690.04,40.0,0.03,0.0,0.0,160.93400000003658,-61.1388266
