,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7105.0,0.0,0.017,20.0,0.0,L,3.10472,27.35878,0.0
1,7105.0,0.017,0.066,20.0,0.0,L,3.18,78.85766,0.0
2,7105.0,0.066,0.135,20.0,0.0,L,1.0,111.04446,0.0
3,7105.0,0.135,0.853,20.0,0.0,L,1.0,1155.5061199999998,0.0
4,7105.0,0.853,0.997,20.0,0.0,L,3.0,231.74496,0.0
5,7105.0,0.997,1.791,20.0,0.0,L,1.0,1277.81596,0.0
6,7105.0,1.791,3.026,49.0,0.0,L,2.5,1987.5349,0.0
7,7105.0,3.026,3.11,49.0,0.0,R,4.0,135.18456000000012,0.0
8,7105.0,3.11,3.2,49.0,-0.84,R,4.0,144.84060000000048,-1.216661040000004
9,7105.0,3.2,3.223,49.0,-0.99,R,4.0,37.014819999999496,-1.583107757999999
10,7105.0,3.223,3.94,49.0,-0.99,0.0,0.0,1153.89678,-13.00668588
11,7105.0,3.94,4.17,49.0,-0.88,R,3.0,370.1482,-16.26399004
12,7105.0,4.17,4.196,49.0,-1.0,R,3.0,41.84283999999968,-16.682418439999996
13,7105.0,4.196,4.77,49.0,-1.0,0.0,0.0,923.7611599999996,-25.920030039999997
14,7105.0,4.77,5.1,49.0,-0.91,0.0,0.0,531.0822000000001,-30.752878059999997
15,7105.0,5.1,5.116,49.0,-1.0,L,2.0,25.74944000000002,-31.010372459999992
16,7105.0,5.116,5.38,49.0,-1.0,0.0,0.0,424.8657600000004,-35.25903005999999
17,7105.0,5.38,5.76,49.0,-0.36,0.0,0.0,611.5491999999998,-37.46060717999999
18,7105.0,5.76,5.853,49.0,-0.99,R,2.0,149.66861999999995,-38.94232651799999
19,7105.0,5.853,7.37,49.0,-0.99,0.0,0.0,2441.36878,-63.11187743999999
20,7105.0,7.37,7.65,49.0,-0.7,0.0,0.0,450.6152000000004,-66.26618383999998
21,7105.0,7.65,7.838,49.0,0.0,R,3.0,302.5559199999996,-66.26618383999998
22,7105.0,7.838,7.92,49.0,0.0,0.0,0.0,131.96587999999974,-66.26618383999998
23,7105.0,7.92,8.43,49.0,-0.69,0.0,0.0,820.7633999999996,-71.92945129999998
24,7105.0,8.298,8.88,49.0,0.25,0.0,0.0,936.6358800000012,-69.58786159999998
25,7105.0,8.88,9.21,49.0,-1.0,0.0,0.0,531.0822000000001,-74.89868359999998
26,7105.0,9.21,9.59,49.0,-0.59,0.0,0.0,611.5491999999983,-78.50682387999997
27,7105.0,9.562,9.87,49.0,-1.0,0.0,0.0,495.6767199999997,-83.46359107999997
