,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,485.0,235.26,235.2,60.0,0.49,R,3.0,96.56040000000364,356.18781923600125
1,485.0,235.2,235.17,60.0,0.5,R,3.0,48.28020000000183,356.66096519600126
2,485.0,235.17,235.13,60.0,-0.45,R,3.0,64.37359999998719,356.90236619600125
3,485.0,235.13,235.03,60.0,-0.41,0.0,0.0,160.93399999999085,356.6126849960013
4,485.0,235.03,234.886,60.0,-0.0,0.0,0.0,231.7449600000088,355.9528555960013
5,485.0,234.886,234.86,60.0,-0.0,L,2.0,41.84283999997109,355.9528555960013
6,485.0,234.86,234.67,60.0,-0.4,L,2.0,305.7746000000421,355.9528555960013
7,485.0,234.67,234.45,60.0,-0.0,0.0,0.0,354.0547999999981,354.7297571960012
8,485.0,234.45,234.32,60.0,-0.49,0.0,0.0,209.21419999999267,354.7297571960012
9,485.0,234.32,234.31,60.0,-0.49,R,0.66666,16.093399999985362,353.7046076160012
10,485.0,234.31,234.11,60.0,-0.0,R,0.66666,321.8679999999817,353.6257499560013
11,485.0,234.11,233.99,60.0,-0.13,R,0.66666,193.1208000000073,353.6257499560013
12,485.0,233.99,233.84,60.0,-0.0,0.0,0.0,241.4010000000092,353.37469291600127
13,485.0,233.84,233.52,60.0,-0.12,0.0,0.0,514.9887999999889,353.37469291600127
14,485.0,233.52,233.48,60.0,-0.15,0.0,0.0,64.37360000003292,352.7567063560013
15,485.0,233.48,233.44,60.0,0.79,0.0,0.0,64.37359999998719,352.66014595600126
16,485.0,233.44,233.29,60.0,0.79,0.0,0.0,241.4010000000092,353.1686973960012
17,485.0,233.29,233.245,60.0,1.4,0.0,0.0,72.42029999997987,355.07576529600124
18,485.0,233.245,233.18,60.0,1.4,R,2.0,104.60709999999634,356.08964949600096
19,485.0,233.18,233.12,60.0,1.39,R,2.0,96.56040000000364,357.5541488960009
20,485.0,233.12,233.06,60.0,-1.19,R,2.0,96.56040000000364,358.896338456001
21,485.0,233.06,232.97,60.0,-0.87,0.0,0.0,144.84060000000548,357.74726969600096
22,485.0,232.97,232.82,60.0,-0.2,0.0,0.0,241.4010000000092,356.4871564760009
23,485.0,232.82,232.72,60.0,0.59,0.0,0.0,160.93399999999085,356.0043544760009
24,485.0,232.72,232.65,60.0,0.75,0.0,0.0,112.65379999998902,356.95386507600085
25,485.0,232.65,232.57,60.0,0.74,0.0,0.0,128.74720000002011,357.7987685760008
26,485.0,232.57,232.5,60.0,-0.39,0.0,0.0,112.65379999998902,358.7514978560009
27,485.0,232.5,232.44,60.0,-0.39,0.0,0.0,96.56040000000364,358.31214803600096
28,485.0,232.44,232.38,60.0,-0.39,0.0,0.0,96.56040000000364,357.93556247600094
29,485.0,232.38,232.32,60.0,1.04,0.0,0.0,96.56040000000364,357.5589769160009
30,485.0,232.32,232.06,60.0,1.04,0.0,0.0,418.4283999999853,358.56320507600094
31,485.0,232.06,232.059,60.0,1.18,0.0,0.0,1.6093400000076843,362.9148604360008
32,485.0,232.059,232.0,60.0,1.18,R,2.8,94.95105999999598,362.9338506480008
33,485.0,232.0,231.97,60.0,1.15,R,2.8,48.28020000000183,364.0542731560008
34,485.0,231.97,231.93,60.0,-0.0,R,2.8,64.37359999998719,364.6094954560008
35,485.0,231.93,231.79,60.0,-0.0,0.0,0.0,225.30760000002377,364.6094954560008
36,485.0,231.79,231.784,60.0,-0.13,0.0,0.0,9.656040000000363,364.6094954560008
37,485.0,231.784,231.61,60.0,-0.13,L,3.08333,280.02515999996484,364.5969426040008
38,485.0,231.61,231.57,60.0,-0.14,L,3.08333,64.37360000003292,364.2329098960008
39,485.0,231.57,231.53,60.0,0.6,L,3.08333,64.37359999998719,364.1427868560008
40,485.0,231.53,231.45,60.0,0.59,0.0,0.0,128.74720000002011,364.52902845600073
41,485.0,231.45,231.38,60.0,1.21,0.0,0.0,112.65379999998902,365.2886369360008
42,485.0,231.38,231.32,60.0,1.19,0.0,0.0,96.56040000000364,366.6517479160007
43,485.0,231.32,231.26,60.0,-0.79,0.0,0.0,96.56040000000364,367.8008166760008
44,485.0,231.26,231.19,60.0,-0.79,0.0,0.0,112.65379999998902,367.0379895160007
45,485.0,231.19,230.98,60.0,-1.1,0.0,0.0,337.9614000000128,366.1480244960008
46,485.0,230.98,230.88,60.0,-0.69,0.0,0.0,160.93399999999085,362.43044909600064
47,485.0,230.88,230.83,60.0,-0.69,0.0,0.0,80.46699999997256,361.3200044960007
48,485.0,230.83,230.77,60.0,0.71,0.0,0.0,96.56040000000364,360.7647821960009
49,485.0,230.77,230.64,60.0,0.69,0.0,0.0,209.2142000000384,361.4503610360009
50,485.0,230.64,230.567,60.0,1.0,0.0,0.0,117.48181999996632,362.8939390160012
51,485.0,230.567,230.43,60.0,1.0,R,2.28333,220.4795800000007,364.0687572160009
52,485.0,230.43,230.371,60.0,0.9,0.0,0.0,94.95105999999598,366.2735530160009
53,485.0,230.371,230.11,60.0,0.9,R,1.01666,420.03773999999305,367.1281125560008
54,485.0,230.11,229.52,60.0,0.98,0.0,0.0,949.5106000000054,370.9084522160008
55,485.0,229.52,229.407,60.0,1.12,0.0,0.0,181.85541999999927,380.2136560960008
56,485.0,229.407,229.37,60.0,1.12,R,3.13333,59.54558000000988,382.2504368000008
57,485.0,229.37,229.18,60.0,0.82,R,3.13333,305.7745999999963,382.9173472960009
58,485.0,229.18,228.954,60.0,0.98,0.0,0.0,363.71083999999854,385.4246990160009
59,485.0,228.954,228.88,60.0,0.98,L,3.06666,119.09116000001976,388.9890652480009
60,485.0,228.88,228.57,60.0,0.8,L,3.06666,498.8954000000036,390.15615861600105
61,485.0,228.57,228.44,60.0,1.09,0.0,0.0,209.21419999999267,394.14732181600107
62,485.0,228.44,228.38,60.0,1.09,0.0,0.0,96.56040000000364,396.42775659600096
63,485.0,228.38,228.33,60.0,0.09,0.0,0.0,80.46699999997256,397.480264956001
64,485.0,228.33,228.14,60.0,0.1,0.0,0.0,305.7746000000421,397.552685256001
65,485.0,228.14,227.464,60.0,0.51,0.0,0.0,1087.9138399999802,397.85845985600105
66,485.0,227.464,227.34,60.0,0.51,R,0.5,199.5581599999923,403.40682044000096
67,485.0,227.34,227.29,60.0,0.64,R,0.5,80.46700000001829,404.4245670560009
68,485.0,227.29,227.23,60.0,-0.29,R,0.5,96.56040000000364,404.93955585600105
69,485.0,227.23,227.19,60.0,-0.29,R,0.5,64.37359999998719,404.659530696001
70,485.0,227.19,227.1,60.0,-0.29,0.0,0.0,144.84060000000548,404.47284725600105
71,485.0,227.1,227.0,60.0,0.88,0.0,0.0,160.93399999999085,404.05280951600105
72,485.0,227.0,226.68,60.0,0.88,0.0,0.0,514.9887999999889,405.469028716001
73,485.0,226.68,226.62,60.0,0.86,0.0,0.0,96.56040000000364,410.0009301560009
74,485.0,226.62,226.57,60.0,-0.0,0.0,0.0,80.46700000001829,410.8313495960009
75,485.0,226.57,226.42,60.0,-0.68,0.0,0.0,241.4010000000092,410.8313495960009
76,485.0,226.42,226.3,60.0,-0.0,0.0,0.0,193.1207999999616,409.1898227960008
77,485.0,226.3,226.276,60.0,-0.0,0.0,0.0,38.62416000000146,409.1898227960008
78,485.0,226.276,226.26,60.0,-0.0,R,2.21666,25.749440000031463,409.1898227960008
79,485.0,226.26,226.23,60.0,0.95,R,2.21666,48.28020000000183,409.1898227960008
80,485.0,226.23,226.17,60.0,0.93,R,2.21666,96.56040000000364,409.6484846960009
81,485.0,226.17,226.11,60.0,0.96,R,2.21666,96.56039999995792,410.5464964160009
82,485.0,226.11,226.06,60.0,-0.97,R,2.21666,80.46700000001829,411.4734762560005
83,485.0,226.06,225.77,60.0,-0.96,0.0,0.0,466.7085999999872,410.69294635600033
84,485.0,225.77,225.73,60.0,-0.94,0.0,0.0,64.37360000003292,406.2125437960004
85,485.0,225.73,225.7,60.0,0.89,0.0,0.0,48.28020000000183,405.60743195600014
86,485.0,225.7,225.58,60.0,0.89,0.0,0.0,193.1207999999616,406.0371257360002
87,485.0,225.58,225.52,60.0,0.86,0.0,0.0,96.56040000000364,407.7559008559998
88,485.0,225.52,225.45,60.0,0.39,0.0,0.0,112.65380000003476,408.5863202959998
89,485.0,225.47,225.11,60.0,0.35,0.0,0.0,579.3623999999762,409.025670116
90,485.0,225.11,224.94,60.0,2.44,0.0,0.0,273.5878000000256,411.0534385159999
91,485.0,224.94,224.62,60.0,0.15,0.0,0.0,514.9887999999889,417.72898083600046
92,485.0,224.62,224.5,60.0,0.05,0.0,0.0,193.1208000000073,418.50146403600047
93,485.0,224.5,224.37,60.0,0.09,0.0,0.0,209.21419999999267,418.59802443600046
94,485.0,224.37,224.31,60.0,0.09,0.0,0.0,96.56040000000364,418.7863172160005
95,485.0,224.31,224.26,60.0,1.02,0.0,0.0,80.46700000001829,418.8732215760005
96,485.0,224.26,223.88,60.0,1.05,0.0,0.0,611.5491999999927,419.6939849760007
97,485.0,223.88,223.82,60.0,1.06,0.0,0.0,96.56040000000364,426.11525157600056
98,485.0,223.82,223.71,60.0,-0.94,0.0,0.0,177.0273999999762,427.1387918160006
99,485.0,223.71,222.469,60.0,-0.81,0.0,0.0,1997.1909400000225,425.4747342560008
