,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7200.0,314.15,314.56,70.0,0.57,0.0,0.0,659.8294000000402,158.60414238860207
1,7200.0,314.56,314.82,70.0,0.31,0.0,0.0,418.4283999999853,159.90127042860203
2,7200.0,314.82,315.09,70.0,1.06,0.0,0.0,434.5217999999707,164.50720150860172
3,7200.0,315.09,315.22,70.0,0.0,0.0,0.0,209.21420000008416,164.50720150860172
4,7200.0,315.22,315.32,70.0,-1.11,0.0,0.0,160.93399999994512,162.72083410860233
5,7200.0,315.32,315.73,70.0,1.06,0.0,0.0,659.8294000000402,169.71502574860276
6,7200.0,315.73,316.121,70.0,0.78,L,1.00138,629.25193999994,174.6231908806023
7,7200.0,316.121,316.51,70.0,0.78,0.0,0.0,626.0332600000161,179.50625030860243
8,7200.0,316.51,316.88,70.0,1.31,0.0,0.0,595.4558000000073,187.3067212886025
9,7200.0,316.88,316.99,70.0,0.5,0.0,0.0,177.02740000002194,188.19185828860265
10,7200.0,316.99,317.63,70.0,1.23,0.0,0.0,1029.977599999978,200.86058276860237
11,7200.0,317.63,318.12,70.0,1.3,0.0,0.0,788.5766000000147,211.11207856860253
12,7200.0,318.12,318.5,70.0,1.39,0.0,0.0,611.5491999999927,219.6126124486024
13,7200.0,318.5,318.58,70.0,1.42,0.0,0.0,128.74719999997438,221.44082268860203
14,7200.0,318.58,318.76,70.0,0.9,0.0,0.0,289.68120000001096,224.04795348860216
15,7200.0,318.76,319.0,70.0,1.42,0.0,0.0,386.2416000000146,229.5325842086024
16,7200.0,319.0,319.63,70.0,0.58,0.0,0.0,1013.8841999999926,235.41311256860232
17,7200.0,319.63,320.01,70.0,0.9,0.0,0.0,611.5491999999927,240.91705536860223
18,7200.0,320.01,320.46,70.0,1.38,0.0,0.0,724.2029999999817,250.911056768602
19,7200.0,320.46,320.59,70.0,0.28,0.0,0.0,209.21419999999267,251.496856528602
20,7200.0,320.59,321.55,70.0,1.37,0.0,0.0,1544.9664000000585,272.6628962086028
21,7200.0,321.55,322.5,70.0,1.39,0.0,0.0,1528.8729999999816,293.9142309086025
22,7200.0,322.5,322.63,70.0,0.86,0.0,0.0,209.21419999999267,295.71347302860244
23,7200.0,322.63,322.95,70.0,0.0,0.0,0.0,514.9887999999889,295.71347302860244
24,7200.0,322.95,323.082,70.0,1.54,L,0.5,212.43288000000803,298.9849393806025
25,7200.0,323.082,324.17,70.0,1.54,0.0,0.0,1750.9619200000357,325.9497529486031
26,7200.0,324.17,324.47,70.0,0.81,0.0,0.0,482.8020000000183,329.8604491486032
27,7200.0,324.47,324.87,70.0,0.56,0.0,0.0,643.7359999999634,333.465370748603
28,7200.0,324.87,325.0,70.0,1.14,0.0,0.0,209.21419999999267,335.8504126286029
29,7200.0,325.0,325.15,70.0,1.24,0.0,0.0,241.4009999999634,338.84378502860244
