,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,12.0,116.02,116.082,49.0,0.18,L,2.0,99.77907999999616,-3.858875451999941
1,12.0,116.082,116.15,49.0,0.18,0.0,0.0,109.43512000001938,-3.6618922359999058
2,12.0,116.15,116.25,49.0,0.09,0.0,0.0,160.93399999999085,-3.517051635999914
3,12.0,116.25,116.5,49.0,0.14,0.0,0.0,402.335,-2.953782635999914
4,12.0,116.417,116.61,49.0,0.0,0.0,0.0,310.60261999999653,-2.953782635999914
5,12.0,116.61,116.77,49.0,0.21,0.0,0.0,257.49439999999447,-2.413044395999925
6,12.0,116.77,116.81,49.0,-0.14,0.0,0.0,64.37360000001006,-2.50316743599994
7,12.0,116.81,116.867,49.0,-0.56,R,1.5,91.73238000000347,-3.016868763999959
8,12.0,116.867,116.89,49.0,-0.56,0.0,0.0,37.014819999993776,-3.224151755999924
9,12.0,116.89,117.04,49.0,-0.08,0.0,0.0,241.40100000000916,-3.417272555999931
10,12.0,117.04,117.19,49.0,0.6,L,2.0,241.40099999998623,-1.9688665560000136
11,12.0,117.19,117.201,49.0,0.72,L,2.0,17.702739999993046,-1.841406828000064
12,12.0,117.201,117.26,49.0,0.72,0.0,0.0,94.95106000001884,-1.157759195999928
13,12.0,117.26,117.48,49.0,0.02,0.0,0.0,354.0547999999981,-1.0869482359999283
14,12.0,117.48,117.53,49.0,-0.16,0.0,0.0,80.46699999999542,-1.2156954359999212
15,12.0,117.53,117.65,49.0,-0.41,R,4.00611,193.1208000000073,-2.007490715999951
16,12.0,117.65,117.77,49.0,-0.18,R,4.00611,193.12079999998443,-2.355108155999923
17,12.0,117.77,117.81,49.0,-0.3,R,4.00611,64.37360000001006,-2.5482289559999534
18,12.0,117.81,117.865,49.0,-0.06,R,4.00611,88.5136999999881,-2.601337175999946
19,12.0,117.865,118.99,49.0,-0.06,0.0,0.0,1810.5075,-3.687641675999946
20,12.0,118.08,118.444,49.0,0.0,R,1.03,585.7997600000069,-3.687641675999946
21,12.0,118.444,118.99,49.0,0.0,L,0.41361,878.6996399999875,-3.687641675999946
22,12.0,118.99,119.037,49.0,0.62,L,0.41361,75.63898000001811,-3.218679999999834
23,12.0,119.037,119.14,49.0,0.62,0.0,0.0,165.76201999999105,-2.190955475999889
