,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,12.0,115.97,115.92,49.0,0.04,0.0,0.0,80.46699999999542,-4.6580736959998985
1,12.0,115.92,115.9,49.0,-0.5,0.0,0.0,32.1867999999936,-4.6258868959999
2,12.0,115.9,115.773,49.0,0.13,0.0,0.0,204.38618000001537,-4.786820895999869
3,12.0,115.773,115.72,49.0,0.13,R,0.0,85.2950199999956,-4.521118861999849
4,12.0,115.72,115.62,49.0,-0.0,0.0,0.0,160.93399999999085,-4.410235335999855
5,12.0,115.62,115.46,49.0,0.13,0.0,0.0,257.4944000000174,-4.410235335999855
6,12.0,115.46,115.32,49.0,0.47,0.0,0.0,225.3076000000009,-4.075492615999832
7,12.0,115.32,115.22,49.0,0.12,0.0,0.0,160.93399999999085,-3.016546895999828
8,12.0,115.22,115.14,49.0,0.25,0.0,0.0,128.74719999999724,-2.823426095999839
9,12.0,115.14,115.07,49.0,0.26,0.0,0.0,112.65380000001188,-2.501558095999846
10,12.0,115.07,114.97,49.0,0.07,0.0,0.0,160.93399999999085,-2.208658215999815
11,12.0,114.97,114.94,49.0,-0.05,0.0,0.0,48.28020000000183,-2.096004415999821
12,12.0,114.94,114.9,49.0,-0.09,0.0,0.0,64.37359999998719,-2.1201445159998222
13,12.0,114.9,114.86,49.0,-0.0,0.0,0.0,64.37360000001006,-2.1780807559998108
14,12.0,114.86,114.77,49.0,-0.0,0.0,0.0,144.84060000000548,-2.1780807559998108
15,12.0,114.77,114.727,49.0,0.03,0.0,0.0,69.20161999998737,-2.1780807559998108
16,12.0,114.727,114.71,49.0,0.03,R,1.5,27.35878000001628,-2.1573202699998144
17,12.0,114.71,114.69,49.0,0.19,R,1.5,32.1867999999936,-2.1491126359998094
18,12.0,114.69,114.64,49.0,-0.09,R,1.5,80.46699999999542,-2.087957715999821
19,12.0,114.64,114.552,49.0,0.01,0.0,0.0,141.62191999999013,-2.160378015999817
20,12.0,114.552,114.47,49.0,0.01,L,1.5,131.96588000001262,-2.1462158239998184
21,12.0,114.47,114.39,49.0,0.07,0.0,0.0,128.74719999999724,-2.133019235999817
22,12.0,114.39,114.35,49.0,0.3,0.0,0.0,64.37360000001006,-2.042896195999819
23,12.0,114.35,114.338,49.0,0.24,0.0,0.0,19.31208000000073,-1.849775395999789
24,12.0,114.338,114.31,49.0,0.24,R,1.91,45.06151999998646,-1.8034264039997872
25,12.0,114.31,114.154,49.0,0.13,0.0,0.0,251.0570400000095,-1.6952787559998197
26,12.0,114.154,114.11,49.0,0.13,L,2.49305,70.81095999999506,-1.3689046039998074
27,12.0,114.11,114.05,49.0,0.19,L,2.49305,96.56040000000364,-1.276850355999814
28,12.0,114.05,114.03,49.0,0.49,L,2.49305,32.1867999999936,-1.093385595999807
29,12.0,114.03,114.01,49.0,0.1,0.0,0.0,32.1867999999936,-0.9356702759998384
30,12.0,114.01,113.97,49.0,0.12,0.0,0.0,64.37360000001006,-0.9034834759998448
31,12.0,113.97,113.93,49.0,0.29,0.0,0.0,64.37359999998719,-0.8262351559998327
32,12.0,113.93,113.8,49.0,0.18,0.0,0.0,209.21420000001555,-0.6395517159998698
33,12.0,113.8,113.66,49.0,0.11,0.0,0.0,225.3076000000009,-0.2629661559998418
34,12.0,113.66,113.55,49.0,0.4,0.0,0.0,177.02739999999906,-0.0151277959998408
35,12.0,113.55,113.53,49.0,0.19,0.0,0.0,32.1867999999936,0.6929818040001554
36,12.0,113.53,113.44,49.0,0.5,0.0,0.0,144.84060000000548,0.7541367240001432
37,12.0,113.44,113.36,49.0,0.42,0.0,0.0,128.74719999999724,1.4783397240001706
