,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,54.0,0.0,0.52,49.0,1.17,0.0,0.0,836.8568,9.79122456
1,54.0,0.288,0.85,49.0,0.89,0.0,0.0,904.44908,17.840821372
2,54.0,0.85,1.15,49.0,0.87,0.0,0.0,482.8019999999999,22.041198772
3,54.0,1.15,1.17,49.0,0.08,R,2.0,32.18680000000003,22.066948212
4,54.0,1.17,2.4,49.0,0.08,0.0,0.0,1979.4882,23.650538772
5,54.0,2.4,3.17,49.0,1.2,0.0,0.0,1239.1918,38.520840372
6,54.0,3.17,3.173,49.0,1.32,R,3.01,4.828020000000183,38.584570236000005
7,54.0,3.173,3.65,49.0,1.32,0.0,0.0,767.6551799999997,48.717618612
8,54.0,3.65,3.92,49.0,1.15,0.0,0.0,434.5218,53.714619312
9,54.0,3.92,3.941,49.0,1.3,L,2.03333,33.79613999999985,54.153969132
10,54.0,3.941,4.24,49.0,1.3,0.0,0.0,481.19266000000056,60.40947371200001
11,54.0,4.24,4.72,49.0,0.98,0.0,0.0,772.4831999999992,67.979809072
12,54.0,4.583,5.23,49.0,0.52,0.0,0.0,1041.2429800000004,73.39427256799999
13,54.0,5.228,5.85,49.0,0.99,0.0,0.0,1001.0094799999996,83.30426641999999
14,54.0,5.85,6.75,49.0,0.21,0.0,0.0,1448.4060000000004,86.34591902
15,54.0,6.75,6.888,49.0,1.35,L,2.03,222.08891999999983,89.34411944
16,54.0,6.888,7.21,49.0,1.35,0.0,0.0,518.20748,96.33992042
17,54.0,7.21,8.11,49.0,1.23,0.0,0.0,1448.405999999999,114.15531421999998
18,54.0,8.11,8.142,49.0,1.3,R,1.33333,51.49888000000004,114.82479965999998
19,54.0,8.142,8.43,49.0,1.3,0.0,0.0,463.4899200000004,120.85016862
20,54.0,8.43,8.6,49.0,1.27,L,1.03,273.58779999999985,124.32473368
21,54.0,8.6,8.617,49.0,1.29,L,1.03,27.35878000000199,124.677661942
22,54.0,8.617,9.43,49.0,1.29,0.0,0.0,1308.393419999998,141.55593706
23,54.0,9.43,9.64,49.0,1.2,R,3.1,337.96140000000133,145.61147386000002
24,54.0,9.64,9.656,49.0,1.3,R,3.1,25.74944000000002,145.94621658000003
25,54.0,9.656,9.92,49.0,1.3,0.0,0.0,424.8657599999989,151.46947146000002
26,54.0,9.92,10.398,49.0,1.09,L,2.01,769.2645199999996,159.854454728
27,54.0,10.398,10.42,49.0,1.09,0.0,0.0,35.40548000000039,160.24037446
28,54.0,10.42,11.1,49.0,1.05,0.0,0.0,1094.3511999999994,171.73106206
29,54.0,11.1,11.93,49.0,0.04,0.0,0.0,1335.7522,172.26536294
30,54.0,11.93,12.74,49.0,0.57,0.0,0.0,1303.5654000000006,179.69568572
31,54.0,12.74,12.762,49.0,-0.7,L,2.01666,35.40548000000039,179.44784736
32,54.0,12.762,13.61,49.0,-0.7,0.0,0.0,1364.7203199999983,169.89480512
33,54.0,13.61,13.78,49.0,-0.44,R,2.03333,273.58779999999985,168.6910188
34,54.0,13.78,13.808,49.0,-0.08,R,2.03333,45.06152000000076,168.654969584
35,54.0,13.808,13.94,49.0,-0.08,0.0,0.0,212.43287999999947,168.48502327999998
36,54.0,13.94,14.67,49.0,0.11,0.0,0.0,1174.8182000000006,169.77732329999998
37,54.0,14.67,14.827,49.0,0.9,R,2.05,252.66638000000003,172.05132071999998
38,54.0,14.827,15.07,49.0,0.9,0.0,0.0,391.0696200000005,175.57094729999997
39,54.0,15.07,15.17,49.0,0.94,L,2.2,160.93399999999943,177.08372689999996
40,54.0,15.17,15.26,49.0,-0.28,L,2.2,144.84059999999977,176.67817321999996
41,54.0,15.26,16.07,49.0,-0.28,0.0,0.0,1303.5654000000006,173.02819009999996
42,54.0,15.967,17.14,49.0,-0.24,0.0,0.0,1887.75582,168.49757613199995
43,54.0,16.827,17.14,49.0,0.0,R,1.51666,503.7234199999981,168.49757613199995
44,54.0,17.14,17.365,49.0,0.0,R,1.51666,362.1014999999966,168.49757613199995
45,54.0,17.365,18.22,49.0,0.0,0.0,0.0,1375.9857000000006,168.49757613199995
46,54.0,18.129,18.28,49.0,0.0,0.0,0.0,243.01033999999967,168.49757613199995
47,54.0,18.28,18.56,49.0,-0.26,0.0,0.0,450.6151999999961,167.32597661199995
48,54.0,18.56,18.664,49.0,0.0,R,2.2,167.37136000000442,167.32597661199995
49,54.0,18.664,19.03,49.0,0.0,0.0,0.0,589.0184399999994,167.32597661199995
50,54.0,19.03,19.235,49.0,0.27,L,2.5,329.91469999999725,168.21674630199993
51,54.0,19.235,19.43,49.0,0.27,0.0,0.0,313.82130000000046,169.06406381199994
52,54.0,19.43,19.48,49.0,0.03,0.0,0.0,80.46700000000114,169.08820391199995
53,54.0,19.48,19.97,49.0,-0.0037,0.0,0.0,788.5765999999975,169.05902657779995
54,54.0,19.97,20.082,49.0,0.5,R,3.0,180.24608000000305,169.96025697779996
55,54.0,20.082,20.61,49.0,0.5,0.0,0.0,849.7315199999979,174.20891457779996
56,54.0,20.61,20.748,49.0,-0.33,L,2.01666,222.08892000000267,173.47602114179995
57,54.0,20.748,21.5,49.0,-0.33,0.0,0.0,1210.2236799999982,169.48228299779996
58,54.0,21.5,21.55,49.0,-0.32,0.0,0.0,80.46700000000114,169.22478859779994
59,54.0,21.55,21.6,49.0,-0.51,0.0,0.0,80.46700000000114,168.81440689779993
