,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,15.0,104.17,104.18,50.0,0.14,R,2.91,16.09340000000823,81.65758973200073
1,15.0,104.18,104.32,50.0,0.14,0.0,0.0,225.30759999997804,81.9730203720007
2,15.0,104.247,104.32,50.0,0.0,R,1.9,117.4818199999892,81.9730203720007
3,15.0,104.32,104.42,50.0,0.0,R,1.9,160.93400000001373,81.9730203720007
4,15.0,104.42,104.44,50.0,0.4,R,1.9,32.1867999999936,82.10176757200068
5,15.0,104.44,104.46,50.0,1.48,R,1.9,32.1867999999936,82.57813221200058
6,15.0,104.46,104.589,50.0,1.51,R,1.9,207.60486000000785,85.71296559800071
7,15.0,104.589,104.87,50.0,1.51,0.0,0.0,452.2245400000095,92.54155615200084
8,15.0,104.87,104.91,50.0,1.13,0.0,0.0,64.37359999998719,93.2689778320007
9,15.0,104.91,104.95,50.0,1.11,0.0,0.0,64.37360000001006,93.9835247920008
10,15.0,104.95,104.98,50.0,0.14,0.0,0.0,48.28020000000183,94.0511170720008
11,15.0,104.98,105.08,50.0,0.11,0.0,0.0,160.93399999999085,94.2281444720008
12,15.0,105.08,105.21,50.0,0.0,L,0.58333,209.21419999999267,94.2281444720008
13,15.0,105.21,105.25,50.0,0.99,L,0.58333,64.37360000001006,94.86544311200088
14,15.0,105.25,105.271,50.0,1.3,L,0.58333,33.79614000000128,95.30479293200092
15,15.0,105.271,105.4,50.0,1.3,0.0,0.0,207.60486000000785,98.003656112001
16,15.0,105.4,105.44,50.0,0.9,0.0,0.0,64.37359999998719,98.58301851200088
17,15.0,105.44,105.46,50.0,0.9,0.0,0.0,32.1867999999936,98.87269971200084
18,15.0,105.46,105.48,50.0,-0.89,0.0,0.0,32.18680000001646,98.5862371920007
19,15.0,105.48,105.52,50.0,-0.9,0.0,0.0,64.37359999998719,98.0068747920008
20,15.0,105.52,105.71,50.0,-1.19,0.0,0.0,305.7745999999963,94.36815705200084
21,15.0,105.71,105.91,50.0,-1.64,0.0,0.0,321.86800000000454,89.08952185200079
22,15.0,105.91,106.03,50.0,-1.23,0.0,0.0,193.1208000000073,86.7141360120007
23,15.0,106.03,106.12,50.0,-0.89,L,0.83333,144.84060000000548,85.42505467200064
24,15.0,106.12,106.159,50.0,-0.99,L,0.83333,62.76426000000237,84.80368849800061
25,15.0,106.159,106.24,50.0,-0.99,0.0,0.0,130.35653999998206,83.51315875200079
26,15.0,106.24,106.37,50.0,0.0,0.0,0.0,209.21420000001555,83.51315875200079
27,15.0,106.37,106.52,50.0,-0.99,0.0,0.0,241.40099999998623,81.12328885200093
28,15.0,106.52,106.6,50.0,-0.39,0.0,0.0,128.74719999999724,80.62117477200094
29,15.0,106.6,106.63,50.0,0.0,0.0,0.0,48.28020000000183,80.62117477200094
30,15.0,106.63,106.65,50.0,0.4,0.0,0.0,32.18680000001646,80.749921972001
31,15.0,106.65,106.77,50.0,0.87,0.0,0.0,193.12079999998443,82.43007293200087
32,15.0,106.77,106.78,50.0,0.8,0.0,0.0,16.09340000000823,82.55882013200093
33,17.0,106.933,107.05,40.0,0.0,L,1.0,188.29277999998425,0.0
34,17.0,107.05,107.24,40.0,0.0,L,1.0,305.7745999999963,0.0
35,17.0,107.24,108.16,40.0,-0.39,L,1.0,1480.5928000000026,-5.77431192000001
36,17.0,108.16,108.24,40.0,-0.39,0.0,0.0,128.74719999999724,-6.276426
37,17.0,108.24,108.27,40.0,-0.5,0.0,0.0,48.28020000000183,-6.517827000000009
38,17.0,108.27,109.35,40.0,-0.53,0.0,0.0,1738.0871999999972,-15.729689159999996
39,17.0,109.35,109.73,40.0,-0.26,0.0,0.0,611.5492000000155,-17.319717080000036
40,17.0,109.73,110.13,40.0,0.0,0.0,0.0,643.7359999999862,-17.319717080000036
41,17.0,110.13,110.21,40.0,0.07,0.0,0.0,128.74719999999724,-17.229594040000038
42,17.0,110.21,110.81,40.0,0.15,0.0,0.0,965.6040000000136,-15.781188040000018
43,17.0,110.81,111.0,40.0,0.05,0.0,0.0,305.7745999999963,-15.62830074000002
44,17.0,111.0,111.86,40.0,0.6,0.0,0.0,1384.032399999999,-7.324106340000027
45,17.0,111.86,112.04,40.0,0.27,0.0,0.0,289.68120000001096,-6.541967099999997
46,17.0,112.04,113.51,40.0,0.0,0.0,0.0,2365.7297999999982,-6.541967099999997
47,17.0,113.368,113.58,40.0,-0.12,0.0,0.0,341.18008000000526,-6.951383196000004
48,17.0,113.58,114.49,40.0,-0.23,0.0,0.0,1464.4993999999945,-10.31973181599999
49,17.0,114.49,114.68,40.0,-0.43,0.0,0.0,305.7746000000192,-11.634562596000071
50,17.0,114.68,115.85,40.0,-0.6,0.0,0.0,1882.92779999998,-22.93212939599995
51,17.0,115.791,115.93,40.0,-0.52,0.0,0.0,223.6982600000161,-24.095360348000035
52,17.0,115.93,117.04,40.0,-0.45,0.0,0.0,1786.367399999999,-32.13401364800003
53,17.0,116.442,117.27,40.0,-0.22,0.0,0.0,1332.5335200000047,-35.06558739200004
54,17.0,117.27,117.67,40.0,0.0,0.0,0.0,643.7360000000091,-35.06558739200004
55,17.0,117.66,117.74,40.0,0.09,0.0,0.0,128.74719999999724,-34.94971491200004
56,17.0,117.74,117.95,40.0,0.2,0.0,0.0,337.9614000000128,-34.27379211200002
57,17.0,117.95,118.03,40.0,0.09,0.0,0.0,128.74719999999724,-34.15791963200002
58,17.0,118.03,118.16,40.0,0.0,0.0,0.0,209.21419999999267,-34.15791963200002
59,17.0,118.16,118.18,40.0,0.0,0.0,0.0,32.18680000001646,-34.15791963200002
60,17.0,118.18,118.2,40.0,0.0,0.0,0.0,32.1867999999936,-34.15791963200002
61,17.0,118.2,118.41,40.0,0.07,0.0,0.0,337.9613999999899,-33.921346652000025
62,17.0,118.41,118.5,40.0,0.0,R,0.66666,144.84060000000548,-33.921346652000025
63,17.0,118.5,120.41,40.0,0.0,0.0,0.0,3073.8393999999944,-33.921346652000025
64,17.0,120.246,120.49,40.0,-0.1,0.0,0.0,392.6789599999996,-34.31402561200002
65,17.0,120.49,121.05,40.0,-0.18,0.0,0.0,901.2304000000036,-35.93624033200003
66,17.0,121.05,121.35,40.0,0.1,0.0,0.0,482.8019999999954,-35.45343833200004
67,17.0,121.35,121.59,40.0,0.39,0.0,0.0,386.2416000000146,-33.94709609199998
68,17.0,121.59,121.795,40.0,0.6,R,1.0,329.91469999999725,-31.967607892
69,17.0,121.795,121.97,40.0,0.6,0.0,0.0,281.6344999999954,-30.277800892000023
70,17.0,121.97,123.54,40.0,0.8,0.0,0.0,2526.663800000012,-10.06449049199993
71,17.0,123.54,123.84,40.0,0.29,L,1.0,482.8019999999954,-8.664364691999943
72,17.0,123.84,123.938,40.0,-0.19,L,1.0,157.71531999999834,-8.96402379999994
73,17.0,123.938,124.17,40.0,-0.19,0.0,0.0,373.3668799999989,-9.673420871999935
74,17.0,124.17,124.32,40.0,-0.1,0.0,0.0,241.40099999998623,-9.914821871999925
75,17.0,124.32,124.796,40.0,0.0,R,1.0,766.0458400000214,-9.914821871999925
76,17.0,124.796,125.04,40.0,0.0,0.0,0.0,392.6789599999996,-9.914821871999925
77,17.0,125.04,125.42,40.0,0.4,0.0,0.0,611.5491999999927,-7.468625071999952
78,17.0,125.42,126.19,40.0,0.79,0.0,0.0,1239.1917999999937,2.3209901479999964
79,17.0,126.19,126.271,40.0,0.02,L,0.5,130.35654000000494,2.3470614559999974
80,17.0,126.271,126.57,40.0,0.02,0.0,0.0,481.1926599999877,2.443299987999995
81,17.0,126.57,127.2,40.0,-0.75,0.0,0.0,1013.8842000000157,-5.160831512000122
82,17.0,127.063,127.23,40.0,-0.74,0.0,0.0,268.75978000000254,-7.149653884000141
83,17.0,127.23,128.24,40.0,-0.77,0.0,0.0,1625.433400000008,-19.665491064000204
84,17.0,128.212,128.62,40.0,-0.38,0.0,0.0,656.6107200000248,-22.160611800000297
85,17.0,128.62,129.51,40.0,0.0,0.0,0.0,1432.312599999978,-22.160611800000297
86,17.0,129.51,129.62,40.0,-0.18,0.0,0.0,177.02740000002194,-22.47926112000033
87,17.0,129.62,129.746,40.0,-0.36,L,0.33,202.77684000000767,-23.20925774400036
88,17.0,129.746,130.0,40.0,-0.36,0.0,0.0,408.772359999985,-24.680838240000305
89,17.0,130.0,130.19,40.0,-0.18,0.0,0.0,305.7745999999963,-25.231232520000297
90,17.0,130.19,130.62,40.0,0.0,0.0,0.0,692.0162000000109,-25.231232520000297
91,17.0,130.62,130.7,40.0,-0.09,0.0,0.0,128.74719999997438,-25.347105000000276
92,17.0,130.7,131.35,40.0,-0.19,0.0,0.0,1046.071000000009,-27.33463990000029
93,17.0,131.35,131.5,40.0,-0.11,0.0,0.0,241.40100000000916,-27.6001810000003
94,17.0,131.5,131.784,40.0,0.0,R,1.0,457.0525599999868,-27.6001810000003
95,17.0,131.784,132.97,40.0,0.0,0.0,0.0,1908.6772400000116,-27.6001810000003
96,17.0,132.97,132.972,40.0,0.16,R,0.66666,3.2186800000153686,-27.59503111200028
97,17.0,132.972,133.16,40.0,0.16,0.0,0.0,302.555919999981,-27.11094164000031
98,17.0,133.16,133.63,40.0,0.35,0.0,0.0,756.3897999999981,-24.46357734000032
99,17.0,133.63,133.82,40.0,0.16,L,0.25,305.7745999999963,-23.97433798000032
100,17.0,133.82,134.24,40.0,0.0,L,0.25,675.9228000000256,-23.97433798000032
101,17.0,134.24,134.485,40.0,0.22,L,0.25,394.2883000000073,-23.106903720000304
102,17.0,134.485,135.23,40.0,0.22,0.0,0.0,1198.9582999999616,-20.46919546000039
103,17.0,135.23,135.26,40.0,0.2,0.0,0.0,48.28020000000183,-20.372635060000384
104,17.0,135.26,135.93,40.0,0.13,0.0,0.0,1078.2578000000256,-18.97089992000035
