,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,5.0,202.12,201.88,49.0,-0.3,0.0,0.0,386.2416000000146,430.7872138761993
1,5.0,201.88,201.4,49.0,-0.0,0.0,0.0,772.4831999999835,429.6284890761993
2,5.0,201.4,200.29,49.0,0.14,0.0,0.0,1786.367400000022,429.6284890761993
3,5.0,200.29,199.72,49.0,0.15,0.0,0.0,917.323799999989,432.1294034361993
4,5.0,199.72,199.7,49.0,0.09,0.0,0.0,32.18680000001646,433.5053891361993
5,5.0,199.7,199.446,49.0,-0.1,0.0,0.0,408.772359999985,433.5343572561993
6,5.0,199.446,199.42,49.0,-0.1,R,1.00833,41.84284000001683,433.1255848961993
7,5.0,199.42,199.23,49.0,-0.19,R,1.00833,305.7745999999963,433.0837420561993
8,5.0,199.23,198.85,49.0,-0.29,0.0,0.0,611.5491999999927,432.5027703161993
9,5.0,198.85,198.79,49.0,-0.2,0.0,0.0,96.56040000000364,430.7292776361993
10,5.0,198.79,198.72,49.0,-0.09,0.0,0.0,112.65379999998902,430.53615683619927
11,5.0,198.72,198.58,49.0,-0.0,0.0,0.0,225.30759999997804,430.4347684161993
12,5.0,198.58,198.01,49.0,0.1,0.0,0.0,917.3238000000348,430.4347684161993
13,5.0,198.01,197.348,49.0,-0.1,0.0,0.0,1065.383079999964,431.3520922161993
14,5.0,197.348,197.11,49.0,-0.1,R,1.00111,383.02291999999926,430.28670913619936
15,5.0,197.11,196.99,49.0,-0.19,0.0,0.0,193.1208000000073,429.9036862161994
16,5.0,196.99,196.354,49.0,-0.29,0.0,0.0,1023.540239999993,429.53675669619935
17,5.0,196.354,196.35,49.0,-0.29,L,1.00111,6.437360000030737,426.56849000019935
18,5.0,196.35,196.32,49.0,-0.25,L,1.00111,48.28020000000183,426.5498216561992
19,5.0,196.32,196.26,49.0,-0.29,L,1.00111,96.56040000000364,426.4291211561992
20,5.0,196.26,195.75,49.0,-0.19,L,1.00111,820.7633999999853,426.1490959961992
21,5.0,195.75,195.39,49.0,-0.1,0.0,0.0,579.3624000000219,424.5896455361992
22,5.0,195.39,195.2,49.0,-0.2,0.0,0.0,305.7745999999963,424.0102831361992
23,5.0,195.2,193.377,49.0,-0.3,0.0,0.0,2933.826819999966,423.3987339361992
24,5.0,193.377,193.31,49.0,-0.3,R,1.00111,107.8257800000117,414.5972534761993
25,5.0,193.31,193.27,49.0,-0.14,R,1.00111,64.37359999998719,414.2737761361993
26,5.0,193.27,192.66,49.0,-0.0,R,1.00111,981.697400000022,414.1836530961993
27,5.0,192.66,192.26,49.0,-0.24,0.0,0.0,643.7360000000091,414.1836530961993
28,5.0,192.26,191.79,49.0,-0.15,0.0,0.0,756.3897999999981,412.6386866961993
29,5.0,191.79,191.075,49.0,-0.14,0.0,0.0,1150.6781000000055,411.50410199619927
30,5.0,191.075,191.07,49.0,-0.14,L,0.60138,8.046699999992681,409.8931526561993
31,5.0,191.07,191.03,49.0,-0.12,L,0.60138,64.37359999998719,409.8818872761993
32,5.0,191.03,190.65,49.0,-0.1,L,0.60138,611.5491999999927,409.8046389561993
33,5.0,190.65,189.89,49.0,-0.0,0.0,0.0,1223.098400000031,409.1930897561993
34,5.0,189.89,189.7,49.0,0.19,0.0,0.0,305.7745999999963,409.1930897561993
35,5.0,189.7,189.51,49.0,0.1,0.0,0.0,305.7745999999963,409.7740614961993
36,5.0,189.51,189.42,49.0,-0.0,0.0,0.0,144.84060000000548,410.0798360961993
37,5.0,189.42,189.32,49.0,-0.19,0.0,0.0,160.93399999999085,410.0798360961993
38,5.0,189.32,189.097,49.0,-0.3,0.0,0.0,358.8828199999755,409.7740614961993
39,5.0,189.097,188.94,49.0,-0.3,R,1.00138,252.6663800000172,408.69741303619935
40,5.0,188.94,188.75,49.0,-0.0,R,1.00138,305.7745999999963,407.9394138961993
41,5.0,188.75,188.19,49.0,0.2,0.0,0.0,901.2304000000036,407.9394138961993
42,5.0,188.19,188.189,49.0,-0.0,0.0,0.0,1.6093400000076843,409.7418746961993
43,5.0,188.189,188.0,49.0,-0.0,L,1.00194,304.1652599999886,409.7418746961993
44,5.0,188.0,187.81,49.0,-0.19,L,1.00194,305.7745999999963,409.7418746961993
45,5.0,187.81,187.69,49.0,-0.0,L,1.00194,193.1208000000073,409.1609029561993
46,5.0,187.69,187.5,49.0,0.19,0.0,0.0,305.7745999999963,409.1609029561993
47,5.0,187.5,187.32,49.0,0.1,0.0,0.0,289.68120000001096,409.7418746961993
48,5.0,187.32,187.292,49.0,-0.29,0.0,0.0,45.06151999998646,410.03155589619934
49,5.0,187.292,187.12,49.0,-0.29,R,1.36166,276.80647999999525,409.9008774881994
50,5.0,187.12,186.84,49.0,-0.2,R,1.36166,450.6152000000018,409.0981386961994
51,5.0,186.84,186.48,49.0,-0.0,R,1.36166,579.3624000000219,408.19690829619935
52,5.0,186.48,186.2,49.0,0.2,0.0,0.0,450.6152000000018,408.19690829619935
53,5.0,186.2,186.141,49.0,-0.0,0.0,0.0,94.95105999999598,409.0981386961994
54,5.0,186.141,185.91,49.0,-0.0,L,1.00527,371.7575399999912,409.0981386961994
55,5.0,185.91,185.72,49.0,-0.1,L,1.00527,305.7745999999963,409.0981386961994
56,5.0,185.72,185.35,49.0,-0.24,0.0,0.0,595.4558000000073,408.7923640961994
57,5.0,185.35,185.16,49.0,-0.3,0.0,0.0,305.7745999999963,407.36327017619936
58,5.0,185.16,185.06,49.0,-0.19,0.0,0.0,160.93399999999085,406.4459463761994
59,5.0,185.06,184.87,49.0,-0.1,0.0,0.0,305.7745999999963,406.1401717761994
60,5.0,184.87,184.59,49.0,-0.0,0.0,0.0,450.6152000000018,405.8343971761994
61,5.0,184.59,184.563,49.0,-0.24,0.0,0.0,43.45218000002451,405.8343971761994
62,5.0,184.563,184.21,49.0,-0.24,L,1.00083,568.0970199999681,405.73011194419934
63,5.0,184.21,183.92,49.0,-0.2,L,1.00083,466.7086000000329,404.3666790961994
64,5.0,183.92,183.55,49.0,-0.0,0.0,0.0,595.4557999999615,403.4332618961993
65,5.0,183.55,183.51,49.0,-0.1,0.0,0.0,64.37360000003292,403.4332618961993
66,5.0,183.51,183.49,49.0,-0.19,0.0,0.0,32.186799999970724,403.3688882961993
67,5.0,183.49,183.282,49.0,-0.3,0.0,0.0,334.7427199999974,403.3077333761994
68,5.0,183.282,183.26,49.0,-0.3,R,1.45833,35.40548000003184,402.3035052161994
69,5.0,183.26,183.07,49.0,-0.19,R,1.45833,305.7745999999963,402.19728877619934
70,5.0,183.07,182.33,49.0,-0.0,0.0,0.0,1190.9115999999688,401.61631703619935
71,5.0,182.33,182.14,49.0,-0.2,0.0,0.0,305.7746000000421,401.61631703619935
72,5.0,182.14,181.971,49.0,-0.3,0.0,0.0,271.9784599999722,401.0047678361993
73,5.0,181.971,181.95,49.0,-0.3,L,0.505,33.79614000002415,400.18883245619935
74,5.0,181.95,181.64,49.0,-0.27,0.0,0.0,498.8954000000036,400.08744403619926
75,5.0,181.64,181.27,49.0,-0.31,0.0,0.0,595.4557999999615,398.74042645619926
76,5.0,181.27,181.269,49.0,-0.14,0.0,0.0,1.6093400000076843,396.8945134761994
77,5.0,181.269,181.23,49.0,-0.14,L,0.50166,62.764260000025246,396.8922604001994
