,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,5.0,103.543,103.731,35.0,0.0,L,1.55,302.555919999981,225.20690359619925
1,5.0,103.731,104.23,35.0,0.0,L,1.08333,803.0606600000151,225.20690359619925
2,5.0,104.23,104.252,35.0,0.15,L,1.08333,35.40547999998609,225.26001181619924
3,5.0,104.252,106.99,35.0,0.15,0.0,0.0,4406.372919999999,231.86957119619925
4,5.0,104.617,104.803,35.0,0.0,R,2.1,299.33723999998847,231.86957119619925
5,5.0,104.803,104.955,35.0,0.0,R,2.1,244.61968000000164,231.86957119619925
6,5.0,104.955,105.128,35.0,0.0,L,1.5,278.4158200000029,231.86957119619925
7,5.0,105.128,105.348,35.0,0.0,R,2.93,354.0547999999981,231.86957119619925
8,5.0,105.348,105.688,35.0,0.0,R,2.50833,547.1756000000055,231.86957119619925
9,5.0,105.688,105.905,35.0,0.0,L,4.16,349.226779999998,231.86957119619925
10,5.0,105.905,106.401,35.0,0.0,R,3.31833,798.2326399999921,231.86957119619925
11,5.0,106.401,106.563,35.0,0.0,R,2.05,260.7130800000099,231.86957119619925
12,5.0,106.563,106.913,35.0,0.0,R,2.93,563.2689999999908,231.86957119619925
13,5.0,106.913,107.25,35.0,0.0,0.0,0.0,542.3475800000052,231.86957119619925
14,5.0,107.24,108.61,35.0,0.17,0.0,0.0,2204.795800000007,235.61772405619925
15,5.0,107.49,107.82,35.0,0.0,R,3.0,531.0821999999972,235.61772405619925
16,5.0,107.82,108.17,35.0,0.0,L,5.0,563.2690000000136,235.61772405619925
17,5.0,108.17,108.56,35.0,0.0,R,5.0,627.6426000000009,235.61772405619925
18,5.0,108.56,108.61,35.0,0.0,L,4.0,80.46699999999542,235.61772405619925
19,5.0,108.61,108.94,35.0,0.15,L,4.0,531.0821999999972,236.41434735619924
20,5.0,108.94,109.149,35.0,0.0,L,4.0,336.3520600000051,236.41434735619924
21,5.0,109.149,109.2,35.0,0.0,0.0,0.0,82.0763400000031,236.41434735619924
22,5.0,109.2,109.41,35.0,0.35,R,4.5,337.9613999999899,237.5972122561992
23,5.0,109.41,109.47,35.0,0.35,0.0,0.0,96.56040000000364,237.93517365619925
24,5.0,109.47,110.21,35.0,0.2,0.0,0.0,1190.9115999999915,240.3169968561992
25,5.0,109.6,110.59,35.0,0.31,0.0,0.0,1593.2466000000145,245.2560613161993
26,5.0,110.59,110.78,35.0,0.0,0.0,0.0,305.7745999999963,245.2560613161993
27,5.0,110.78,110.93,35.0,-0.62,R,2.0,241.40100000000916,243.7593751161992
28,5.0,110.93,111.17,35.0,0.0,R,2.0,386.24159999999176,243.7593751161992
29,5.0,111.17,111.86,35.0,0.0,0.0,0.0,1110.4445999999962,243.7593751161992
30,5.0,111.86,111.99,50.0,0.49,R,2.35833,209.21419999999267,244.7845246961992
31,5.0,111.99,111.992,50.0,0.7,R,2.35833,3.2186800000153686,244.8070554561993
