,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7108.0,0.03,0.04,49.0,0.0,0.0,0.0,16.093400000000003,0.0
1,7108.0,0.04,0.22,49.0,-0.37,0.0,0.0,289.6812,-1.07182044
2,7108.0,0.22,0.221,49.0,-0.24,L,9.76666,1.609340000000001,-1.075682856
3,7108.0,0.221,0.53,49.0,-0.24,0.0,0.0,497.2860600000001,-2.2691694
4,7108.0,0.242,0.94,49.0,-0.52,0.0,0.0,1123.3193199999998,-8.110429864
5,7108.0,0.94,1.24,49.0,-0.15,0.0,0.0,482.802,-8.834632864
6,7108.0,1.24,1.43,49.0,-0.31,0.0,0.0,305.7745999999999,-9.782534124
7,7108.0,1.43,1.77,49.0,-0.44,0.0,0.0,547.1756000000001,-12.190106764
8,7108.0,1.77,2.19,49.0,-0.99,0.0,0.0,675.9227999999998,-18.881742484
9,7108.0,2.19,2.53,49.0,0.7,0.0,0.0,547.1755999999997,-15.051513284
10,7108.0,2.53,2.7,49.0,0.0,0.0,0.0,273.5878000000006,-15.051513284
11,7108.0,2.7,3.66,49.0,-0.79,0.0,0.0,1544.9663999999998,-27.256747844
12,7108.0,3.66,3.99,49.0,0.0,0.0,0.0,531.0822000000001,-27.256747844
13,7108.0,3.99,4.5,49.0,-0.5,0.0,0.0,820.7633999999996,-31.360564843999995
14,7108.0,4.5,5.16,49.0,-0.19,0.0,0.0,1062.1644,-33.378677204
15,7108.0,5.16,5.37,49.0,-0.49,0.0,0.0,337.9613999999999,-35.034688064
16,7108.0,5.37,5.62,49.0,0.5,0.0,0.0,402.335,-33.023013064000004
17,7108.0,5.62,6.15,49.0,0.0,0.0,0.0,852.9502000000003,-33.023013064000004
18,7108.0,6.15,6.43,49.0,-0.3,0.0,0.0,450.6151999999989,-34.374858664
19,7108.0,6.43,6.7,49.0,-0.4,0.0,0.0,434.5218000000007,-36.112945864
20,7108.0,6.7,6.96,49.0,-0.24,0.0,0.0,418.4283999999996,-37.117174024
21,7108.0,6.96,7.27,49.0,-0.8,0.0,0.0,498.89539999999937,-41.108337224
22,7108.0,7.27,8.1,49.0,-0.44,0.0,0.0,1335.7522,-46.985646904
23,7108.0,8.1,8.76,49.0,-1.0,0.0,0.0,1062.1644,-57.607290904
24,7108.0,8.76,9.016,49.0,0.0,R,2.98777,411.99104000000034,-57.607290904
25,7108.0,9.016,9.28,49.0,0.0,0.0,0.0,424.8657599999989,-57.607290904
26,7108.0,9.28,10.06,49.0,-0.33,0.0,0.0,1255.285200000002,-61.74973206400001
27,7108.0,10.06,10.73,49.0,-0.12,0.0,0.0,1078.2578,-63.04364142400001
28,7108.0,10.73,11.33,49.0,-0.43,0.0,0.0,965.6039999999994,-67.195738624
