,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1.0,393.31,393.316,60.0,-0.59,L,4.0,9.656039999954626,196.46137463027688
1,1.0,393.316,393.73,60.0,-0.59,0.0,0.0,666.2667600000709,192.53040074627648
2,1.0,393.688,393.82,60.0,-0.45,0.0,0.0,212.43288000000803,191.5744527862764
3,1.0,393.82,394.07,60.0,-0.6,0.0,0.0,402.335,189.16044278627643
4,1.0,394.07,394.18,60.0,-0.39,0.0,0.0,177.02740000002194,188.47003592627635
5,1.0,394.18,394.52,60.0,-0.2,R,1.0,547.1755999999597,187.37568472627643
6,1.0,394.52,395.035,60.0,-0.71,R,1.0,828.8101000000695,181.49113301627597
7,1.0,395.035,395.24,60.0,-0.71,0.0,0.0,329.91469999997435,179.14873864627612
8,1.0,395.24,395.68,60.0,-0.01,0.0,0.0,708.1095999999962,179.07792768627613
9,1.0,395.68,395.83,60.0,-0.2,0.0,0.0,241.4009999999634,178.5951256862762
10,1.0,395.83,395.99,60.0,0.0,0.0,0.0,257.49440000004023,178.5951256862762
11,1.0,395.99,396.4,60.0,0.57,0.0,0.0,659.8293999999487,182.3561532662759
12,1.0,396.4,396.59,60.0,0.84,0.0,0.0,305.7745999999963,184.92465990627588
13,1.0,396.59,397.23,60.0,0.52,0.0,0.0,1029.9776000000695,190.28054342627624
14,1.0,397.23,397.84,60.0,-0.61,0.0,0.0,981.6973999999304,184.29218928627665
15,1.0,397.84,398.19,60.0,-0.76,0.0,0.0,563.2690000000366,180.01134488627636
16,1.0,398.19,398.372,60.0,-0.22,L,1.06666,292.8998800000263,179.36696515027631
17,1.0,398.372,398.57,60.0,-0.22,0.0,0.0,318.64931999996634,178.66593664627638
18,1.0,398.57,398.67,60.0,0.01,0.0,0.0,160.93400000003658,178.6820300462764
19,1.0,398.67,398.86,60.0,0.09,0.0,0.0,305.7745999999963,178.95722718627638
20,1.0,398.86,399.11,60.0,0.01,0.0,0.0,402.335,178.99746068627638
21,1.0,399.11,399.34,60.0,0.0,0.0,0.0,370.1481999999378,178.99746068627638
22,1.0,399.34,399.45,60.0,0.11,0.0,0.0,177.02740000002194,179.1921908262764
23,1.0,399.45,399.72,60.0,-0.07,0.0,0.0,434.52180000006217,178.88802556627635
24,1.0,399.72,400.03,60.0,0.0,0.0,0.0,498.8953999999122,178.88802556627635
25,1.0,400.03,400.6,60.0,0.0099,0.0,0.0,917.3238000000804,178.97884062247635
26,1.0,400.6,401.06,60.0,0.24,0.0,0.0,740.296399999967,180.75555198247628
27,1.0,401.06,401.56,60.0,-0.35,0.0,0.0,804.67,177.93920698247626
28,1.0,401.56,401.87,60.0,-0.23,0.0,0.0,498.8954000000036,176.79174756247625
29,1.0,401.87,401.923,60.0,-0.69,R,1.1,85.2950199999956,176.20321192447628
