,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,25.0,250.26,249.62,60.0,0.1,0.0,0.0,1029.977599999978,63.53806285880057
1,25.0,249.62,249.43,60.0,0.03,0.0,0.0,305.7745999999963,64.56804045880055
2,25.0,249.43,249.18,60.0,-0.0,0.0,0.0,402.335,64.65977283880055
3,25.0,249.18,249.12,60.0,0.16,0.0,0.0,96.56040000000364,64.65977283880055
4,25.0,249.12,248.93,60.0,-0.01,0.0,0.0,305.7745999999963,64.81426947880055
5,25.0,248.93,248.86,60.0,0.27,0.0,0.0,112.65379999998902,64.78369201880055
6,25.0,248.86,248.76,60.0,0.43,0.0,0.0,160.93400000003658,65.08785727880053
7,25.0,248.76,248.56,60.0,0.28,0.0,0.0,321.8679999999817,65.77987347880068
8,25.0,248.56,248.37,60.0,0.4,0.0,0.0,305.7745999999963,66.68110387880063
9,25.0,248.37,248.25,60.0,0.25,0.0,0.0,193.1208000000073,67.90420227880061
10,25.0,248.25,248.14,60.0,0.36,0.0,0.0,177.02740000002194,68.38700427880063
11,25.0,248.14,248.04,60.0,0.21,0.0,0.0,160.93399999999085,69.02430291880071
12,25.0,248.04,248.01,60.0,0.29,0.0,0.0,48.28020000000183,69.3622643188007
13,25.0,248.01,247.8,60.0,0.24,0.0,0.0,337.96139999996706,69.5022768988007
14,25.0,247.8,247.72,60.0,0.32,0.0,0.0,128.74720000002011,70.31338425880062
15,25.0,247.72,247.61,60.0,0.41,0.0,0.0,177.0273999999762,70.72537529880069
16,25.0,247.61,247.57,60.0,0.19,0.0,0.0,64.37360000003292,71.45118763880059
17,25.0,247.57,247.48,60.0,0.41,0.0,0.0,144.84060000000548,71.57349747880065
18,25.0,247.48,247.38,60.0,0.15,0.0,0.0,160.93399999999085,72.16734393880067
19,25.0,247.38,247.31,60.0,0.27,0.0,0.0,112.65379999998902,72.40874493880065
20,25.0,247.31,247.27,60.0,0.39,0.0,0.0,64.37359999998719,72.71291019880063
21,25.0,247.27,247.21,60.0,0.13,0.0,0.0,96.56040000000364,72.96396723880058
22,25.0,247.21,247.04,60.0,0.32,0.0,0.0,273.5878000000256,73.08949575880058
23,25.0,247.04,246.98,60.0,0.27,0.0,0.0,96.56040000000364,73.96497671880066
24,25.0,246.98,246.78,60.0,0.18,0.0,0.0,321.8679999999817,74.22568979880067
25,25.0,246.78,246.7,60.0,0.12,0.0,0.0,128.74720000002011,74.80505219880064
26,25.0,246.7,246.53,60.0,0.25,0.0,0.0,273.58779999997984,74.95954883880066
27,25.0,246.53,246.47,60.0,0.19,0.0,0.0,96.56040000000364,75.6435183388006
