,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,50.0,32.18,32.2,50.0,0.0,R,2.5,32.18680000000503,2.5516085700000186
1,50.0,32.2,32.234,50.0,-0.07,R,2.5,54.71755999999826,2.51330627800002
2,50.0,32.234,32.3,50.0,-0.07,0.0,0.0,106.2164399999926,2.438954770000025
3,50.0,32.3,32.53,50.0,-0.29,L,1.2,370.1482000000064,1.3655249900000064
4,50.0,32.53,32.704,50.0,0.0,L,1.2,280.0251599999992,1.3655249900000064
5,50.0,32.704,33.09,50.0,0.0,0.0,0.0,621.2052400000044,1.3655249900000064
6,50.0,32.98,33.4,50.0,0.28,0.0,0.0,675.9228000000027,3.258108830000014
7,50.0,33.4,33.507,50.0,0.0,L,4.18333,172.19937999999888,3.258108830000014
8,50.0,33.507,33.6,50.0,0.0,0.0,0.0,149.66862000000566,3.258108830000014
9,50.0,33.6,33.95,50.0,-0.25,0.0,0.0,563.2690000000023,1.8499363300000085
10,50.0,33.805,33.95,50.0,0.0,L,0.5,233.35430000000505,1.8499363300000085
11,50.0,33.95,34.283,50.0,0.0,L,0.5,535.9102199999974,1.8499363300000085
12,50.0,34.283,35.23,50.0,0.0,0.0,0.0,1524.0449799999928,1.8499363300000085
13,50.0,34.869,35.118,50.0,0.0,R,1.13333,400.72566000000376,1.8499363300000085
14,50.0,35.118,35.23,50.0,0.0,R,3.1,180.2460799999916,1.8499363300000085
15,50.0,35.23,35.402,50.0,-0.19,R,3.1,276.8064800000067,1.3240040179999957
16,50.0,35.402,35.62,50.0,-0.19,0.0,0.0,350.8361199999942,0.6574153900000067
17,50.0,35.62,35.68,50.0,0.0,0.0,0.0,96.56040000000364,0.6574153900000067
18,50.0,35.68,35.86,50.0,0.4,0.0,0.0,289.68119999999954,1.816140190000005
19,50.0,35.86,35.92,50.0,0.51,0.0,0.0,96.56040000000364,2.3085982300000234
20,50.0,35.92,36.225,50.0,0.0,R,2.95,490.8486999999995,2.3085982300000234
21,50.0,36.225,36.37,50.0,0.0,0.0,0.0,233.3542999999936,2.3085982300000234
22,50.0,36.37,36.489,50.0,-0.34,R,4.7,191.51145999999963,1.6574592660000247
23,50.0,36.489,36.53,50.0,-0.34,0.0,0.0,65.98294000000631,1.4331172700000032
24,50.0,36.53,36.83,50.0,0.0,0.0,0.0,482.8019999999954,1.4331172700000032
25,50.0,36.83,36.985,50.0,0.0,L,12.6,249.44770000000184,1.4331172700000032
26,50.0,36.985,37.0,50.0,0.0,0.0,0.0,24.140100000000917,1.4331172700000032
27,50.0,37.0,37.04,50.0,0.79,0.0,0.0,64.37359999999862,1.9416687099999923
28,50.0,37.04,37.05,50.0,0.2,0.0,0.0,16.093399999996798,1.973855509999986
29,50.0,37.05,37.06,50.0,0.545,0.0,0.0,16.09340000000823,2.06156454000003
30,50.0,37.06,37.08,50.0,0.89,0.0,0.0,32.1867999999936,2.348027059999973
31,50.0,37.08,37.19,50.0,-0.36,0.0,0.0,177.02739999999906,1.710728419999977
32,50.0,37.19,37.44,50.0,0.0,0.0,0.0,402.335,1.710728419999977
33,50.0,37.44,37.46,50.0,0.1,0.0,0.0,32.18680000000503,1.742915219999982
34,50.0,37.46,37.51,50.0,0.0,0.0,0.0,80.46699999999542,1.742915219999982
35,50.0,37.51,37.67,50.0,0.16,0.0,0.0,257.49440000000595,2.154906259999992
36,50.0,37.67,37.72,50.0,0.35,0.0,0.0,80.46699999999542,2.436540759999976
37,50.0,37.72,37.73,50.0,0.4,0.0,0.0,16.093399999996798,2.500914359999963
38,50.0,37.73,37.81,50.0,0.0,0.0,0.0,128.7472000000087,2.500914359999963
39,50.0,37.81,37.93,50.0,-0.5,0.0,0.0,193.12079999999588,1.5353103599999836
40,50.0,37.93,38.03,50.0,0.0,0.0,0.0,160.93400000000227,1.5353103599999836
41,50.0,38.03,38.26,50.0,0.44,0.0,0.0,370.148199999995,3.163962439999961
42,50.0,38.26,38.31,50.0,0.19,0.0,0.0,80.46700000000686,3.3168497399999746
43,50.0,38.31,38.59,50.0,0.0,0.0,0.0,450.6152000000018,3.3168497399999746
44,50.0,38.511,39.83,50.0,0.39,0.0,0.0,2122.7194599999925,11.595455633999949
45,50.0,39.83,40.38,50.0,0.2,0.0,0.0,885.1370000000068,13.36572963399996
46,50.0,40.38,41.71,50.0,0.24,0.0,0.0,2140.422199999997,18.502742913999956
47,50.0,41.71,41.749,50.0,0.14,L,1.58333,62.76426000000237,18.59061287799996
48,50.0,41.749,41.76,50.0,0.14,0.0,0.0,17.702739999993046,18.615396713999942
49,50.0,41.76,42.24,50.0,0.24,0.0,0.0,772.4832000000064,20.46935639399996
50,50.0,42.24,42.62,50.0,0.3,0.0,0.0,611.5491999999927,22.304003993999935
51,50.0,42.62,43.37,50.0,0.36,0.0,0.0,1207.005,26.649221993999937
52,50.0,43.37,44.38,50.0,0.19,0.0,0.0,1625.433400000008,29.737545453999957
53,50.0,43.795,44.83,50.0,0.15,0.0,0.0,1665.6668999999945,32.23604580399994
54,50.0,44.83,45.59,50.0,0.24,0.0,0.0,1223.0984000000085,35.171481963999966
55,50.0,45.59,46.1,50.0,0.28,0.0,0.0,820.7633999999968,37.46961948399996
56,50.0,46.1,46.22,50.0,-0.33,0.0,0.0,193.12079999999588,36.83232084399997
57,50.0,46.22,46.36,50.0,-0.41,L,0.53333,225.3076000000009,35.90855968399997
58,50.0,46.36,46.395,50.0,-0.56,L,0.53333,56.32690000000594,35.59312904399994
59,50.0,46.395,47.31,50.0,-0.56,0.0,0.0,1472.546099999999,27.346870883999944
60,50.0,47.31,47.5,50.0,-0.5,L,1.08333,305.7745999999963,25.81799788399996
61,50.0,47.5,47.53,50.0,-0.55,L,1.08333,48.28020000000183,25.55245678399995
62,50.0,47.53,47.97,50.0,-0.55,0.0,0.0,708.1095999999962,21.65785398399997
63,50.0,47.97,48.18,50.0,-0.46,R,2.15,337.96140000000133,20.103231543999964
64,50.0,48.18,48.221,50.0,-0.58,R,2.15,65.98293999999487,19.720530491999995
65,50.0,48.221,48.9,50.0,-0.58,0.0,0.0,1092.7418600000033,13.382627703999976
66,50.0,48.9,49.16,50.0,-0.45,0.0,0.0,418.4283999999968,11.499699903999993
67,50.0,49.076,49.49,50.0,0.0,0.0,0.0,666.2667600000024,11.499699903999993
68,50.0,49.455,49.77,50.0,-0.49,0.0,0.0,506.94210000000777,9.015683613999954
69,50.0,49.77,49.81,50.0,-0.24,0.0,0.0,64.37359999999862,8.861186973999958
70,50.0,49.81,50.15,50.0,0.0,0.0,0.0,547.175599999994,8.861186973999958
71,50.0,50.15,50.17,50.0,0.38,0.0,0.0,32.18680000000503,8.983496813999977
72,50.0,50.17,50.5,50.0,0.44,0.0,0.0,531.0821999999972,11.320258493999964
73,50.0,50.48,50.56,50.0,0.0,0.0,0.0,128.7472000000087,11.320258493999964
74,50.0,50.56,50.87,50.0,-0.45,0.0,0.0,498.8953999999922,9.075229194
75,50.0,50.87,50.919,50.0,-0.41,L,2.03333,78.85765999999917,8.751912788000004
76,50.0,50.919,51.04,50.0,-0.41,0.0,0.0,194.7301400000036,7.953519213999989
77,50.0,51.04,51.45,50.0,-0.05,0.0,0.0,659.8294000000059,7.623604513999986
78,50.0,51.45,51.58,50.0,-0.19,0.0,0.0,209.21419999999267,7.226097534
79,50.0,51.58,52.09,50.0,-0.08,0.0,0.0,820.7634000000082,6.569486813999993
80,50.0,52.09,52.73,50.0,-0.14,0.0,0.0,1029.9775999999897,5.127518174000008
81,50.0,52.73,53.04,50.0,-0.13,0.0,0.0,498.8954000000036,4.478954154000003
82,50.0,53.04,54.16,50.0,-0.02,0.0,0.0,1802.460799999996,4.118461994000004
83,50.0,54.16,54.59,50.0,-0.13,0.0,0.0,692.0162000000109,3.218840933999989
84,50.0,54.59,55.013,50.0,-0.06,R,1.0,680.7508199999914,2.8103904419999948
85,50.0,55.013,55.8,50.0,-0.06,0.0,0.0,1266.5505799999985,2.0504600939999955
86,50.0,55.8,56.86,50.0,0.0,0.0,0.0,1705.9004000000036,2.0504600939999955
87,50.0,56.86,57.1,50.0,0.19,R,1.0,386.2416000000032,2.7843191340000017
88,50.0,57.1,57.13,50.0,0.0,R,1.0,48.28020000000183,2.7843191340000017
89,50.0,57.13,57.4,50.0,-0.14,R,1.0,434.5217999999936,2.17598861400001
90,50.0,57.4,57.42,50.0,0.0,R,1.0,32.18680000000503,2.17598861400001
91,50.0,57.42,57.583,50.0,-0.0038,R,1.0,262.3224199999947,2.166020362040011
92,50.0,57.583,59.41,50.0,-0.0038,0.0,0.0,2940.264179999997,2.054290323200011
93,50.0,59.41,60.34,50.0,0.04,0.0,0.0,1496.686200000011,2.652964803200016
94,50.0,60.34,60.79,50.0,0.0,0.0,0.0,724.2029999999932,2.652964803200016
95,50.0,60.79,61.13,50.0,0.2,L,0.5,547.1756000000055,3.7473160032000266
96,50.0,61.13,61.171,50.0,0.06,L,0.5,65.98293999999487,3.786905767200024
97,50.0,61.171,61.23,50.0,0.06,0.0,0.0,94.95105999999598,3.843876403200021
98,50.0,61.23,61.36,50.0,0.07,0.0,0.0,209.2142000000041,3.990326343200024
99,50.0,61.36,61.68,50.0,-0.2,0.0,0.0,514.9888000000004,2.960348743200023
100,50.0,61.68,62.24,50.0,0.01,0.0,0.0,901.2304000000036,3.0504717832000234
101,50.0,62.24,62.43,50.0,0.03,0.0,0.0,305.7745999999963,3.1422041632000224
102,50.0,62.43,64.29,50.0,0.0,0.0,0.0,2993.37240000001,3.1422041632000224
103,50.0,64.29,65.31,50.0,0.03,0.0,0.0,1641.5267999999935,3.634662203200021
104,50.0,65.31,66.32,50.0,0.06,0.0,0.0,1625.433399999985,4.609922243200011
105,50.0,66.32,66.47,50.0,0.0,0.0,0.0,241.40100000000916,4.609922243200011
106,50.0,66.47,66.91,50.0,0.09,0.0,0.0,708.1095999999962,5.247220883200008
107,50.0,66.91,67.26,50.0,0.0,0.0,0.0,563.2690000000136,5.247220883200008
108,50.0,67.26,67.79,50.0,0.09,0.0,0.0,852.9502000000018,6.01487606320001
109,50.0,67.601,68.05,50.0,0.2,0.0,0.0,722.5936599999968,7.460063383200003
110,50.0,68.05,68.139,50.0,0.3,L,3.36666,143.2312599999978,7.889757163199997
111,50.0,68.139,68.2,50.0,0.3,0.0,0.0,98.16974000001134,8.18426638320003
112,50.0,68.2,68.4,50.0,0.15,0.0,0.0,321.86800000000454,8.667068383200037
113,50.0,68.4,68.636,50.0,0.0,R,3.86666,379.8042399999839,8.667068383200037
114,50.0,68.636,68.83,50.0,0.0,0.0,0.0,312.2119600000042,8.667068383200037
115,50.0,68.83,68.89,50.0,0.13,0.0,0.0,96.56040000000364,8.792596903200042
116,50.0,68.89,69.3,50.0,0.0,0.0,0.0,659.8293999999945,8.792596903200042
117,50.0,69.3,69.32,50.0,0.0,0.0,0.0,32.1867999999936,8.792596903200042
118,50.0,69.32,69.51,50.0,0.48,0.0,0.0,305.7746000000192,10.260314983200134
119,50.0,69.51,69.75,50.0,0.44,L,2.08333,386.24159999999176,11.959778023200098
120,50.0,69.75,69.771,50.0,0.71,L,2.08333,33.79614000000128,12.199730617200109
121,50.0,69.771,69.92,50.0,0.71,0.0,0.0,239.79166000000143,13.902251403200117
122,50.0,69.92,70.05,50.0,0.0,0.0,0.0,209.21419999999267,13.902251403200117
123,50.0,70.05,70.3,50.0,-0.6,0.0,0.0,402.335,11.488241403200115
124,50.0,70.3,70.336,50.0,-0.5,L,2.15,57.93624000000219,11.198560203200106
125,50.0,70.336,70.53,50.0,-0.5,0.0,0.0,312.2119600000042,9.637500403200086
126,50.0,70.53,70.54,50.0,-0.3,0.0,0.0,16.09340000000823,9.58922020320006
127,50.0,70.54,72.11,50.0,0.0,0.0,0.0,2526.663799999989,9.58922020320006
128,50.0,72.11,72.71,50.0,-0.2,0.0,0.0,965.6039999999908,7.658012203200078
129,50.0,72.71,74.51,50.0,0.04,0.0,0.0,2896.812000000018,8.816737003200085
130,50.0,74.51,74.7,50.0,0.0,L,5.11666,305.7745999999963,8.816737003200085
131,50.0,74.7,74.71,50.0,-0.11,L,5.11666,16.093399999985362,8.7990342632001
132,50.0,74.71,74.719,50.0,-0.09,L,5.11666,14.484060000000548,8.7859986092001
133,50.0,74.719,74.9,50.0,-0.09,0.0,0.0,291.29054000001867,8.523837123200083
134,50.0,74.9,75.38,50.0,0.0,0.0,0.0,772.4831999999835,8.523837123200083
135,50.0,75.38,75.57,50.0,0.19,0.0,0.0,305.7745999999963,9.104808863200075
136,50.0,75.57,75.67,50.0,0.0,0.0,0.0,160.93400000001373,9.104808863200075
137,50.0,75.67,75.87,50.0,-0.19,0.0,0.0,321.86800000000454,8.493259663200067
138,50.0,75.87,76.25,50.0,0.0,0.0,0.0,611.5491999999927,8.493259663200067
139,50.0,76.25,76.64,50.0,-0.19,0.0,0.0,627.6426000000009,7.300738723200066
140,50.0,76.64,76.693,50.0,-0.3,R,3.13333,85.2950199999956,7.04485366320008
141,50.0,76.693,77.03,50.0,-0.3,0.0,0.0,542.3475800000052,5.417810923200064
142,50.0,77.03,77.62,50.0,0.0,0.0,0.0,949.5106000000054,5.417810923200064
143,50.0,77.62,78.29,50.0,-0.08,0.0,0.0,1078.2578000000026,4.555204683200062
144,50.0,78.29,78.68,50.0,-0.14,0.0,0.0,627.6426000000009,3.67650504320006
145,50.0,78.68,78.97,50.0,0.0,0.0,0.0,466.7085999999872,3.67650504320006
146,50.0,78.97,79.36,50.0,-0.14,0.0,0.0,627.6426000000009,2.7978054032000585
147,50.0,79.36,80.69,35.0,0.0,0.0,0.0,2140.422199999997,2.7978054032000585
148,50.0,80.69,80.88,35.0,-0.19,0.0,0.0,305.7745999999963,2.216833663200066
149,50.0,80.88,81.27,35.0,0.0,0.0,0.0,627.6426000000009,2.216833663200066
150,50.0,81.27,81.46,35.0,-0.1,0.0,0.0,305.7745999999963,1.9110590632000692
151,50.0,81.46,83.47,35.0,0.0,0.0,0.0,3234.773400000008,1.9110590632000692
152,50.0,82.287,82.744,35.0,0.0,R,6.5,735.4683799999897,1.9110590632000692
