,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,40.0,123.73,122.99,60.0,0.25,0.0,0.0,1190.9116000000147,136.2954874019999
1,40.0,122.99,122.72,60.0,-0.04,0.0,0.0,434.5217999999936,139.27276640199997
2,40.0,122.72,122.485,60.0,0.19,0.0,0.0,378.1948999999991,139.0989576819999
3,40.0,122.63,122.08,60.0,-0.35,0.0,0.0,885.1369999999954,139.81752799199992
4,40.0,122.08,121.978,60.0,-0.67,0.0,0.0,164.1526800000062,136.71954849199994
5,40.0,121.978,121.89,60.0,-0.67,L,1.53333,141.62191999999013,135.6197255359999
6,40.0,121.89,121.68,60.0,-0.15,L,1.53333,337.9613999999899,134.67085867199995
7,40.0,121.68,121.033,60.0,-0.05,0.0,0.0,1041.2429800000089,134.16391657199998
8,40.0,121.033,120.98,60.0,-0.05,R,2.16666,85.2950199999956,133.64329508199998
9,40.0,120.98,120.73,60.0,-0.0,R,2.16666,402.335,133.600647572
10,40.0,120.73,120.45,60.0,-0.07,0.0,0.0,450.6152000000018,133.600647572
11,40.0,120.45,120.14,60.0,-0.06,0.0,0.0,498.8954000000036,133.285216932
12,40.0,120.14,119.88,60.0,-0.14,0.0,0.0,418.4284000000082,132.985879692
13,40.0,119.88,119.76,60.0,-0.0,0.0,0.0,193.12079999998443,132.40007993199998
14,40.0,119.76,119.633,60.0,-0.12,0.0,0.0,204.38618000001537,132.40007993199998
15,40.0,119.64,119.3,60.0,0.34,0.0,0.0,547.1756000000055,132.15481651599995
16,40.0,119.3,119.26,60.0,0.76,0.0,0.0,64.37359999998719,134.01521355599996
17,40.0,119.26,119.244,60.0,0.1,0.0,0.0,25.7494400000086,134.50445291599988
18,40.0,119.244,118.99,60.0,0.1,R,2.5,408.77236000000784,134.53020235599988
19,40.0,118.99,118.924,60.0,-0.59,0.0,0.0,106.21643999998116,134.93897471599988
20,40.0,118.924,118.86,60.0,-0.59,L,2.5,102.99776000001152,134.31229771999998
21,40.0,118.86,118.605,60.0,-0.34,0.0,0.0,410.38169999999263,133.7046109359999
22,40.0,118.605,118.59,60.0,-0.34,L,1.03333,24.14010000000092,132.30931315599994
23,40.0,118.59,118.29,60.0,-0.0,L,1.03333,482.8019999999954,132.22723681599993
24,40.0,118.29,117.673,60.0,-0.0,L,1.51666,992.9627800000072,132.22723681599993
25,40.0,118.59,117.515,60.0,-0.09,0.0,0.0,1730.0405000000044,132.22723681599993
26,40.0,117.52,117.14,60.0,-0.07,0.0,0.0,611.5491999999927,130.67020036599993
27,40.0,117.14,116.98,60.0,-0.25,0.0,0.0,257.49439999999447,130.24211592599994
28,40.0,116.98,116.889,60.0,-0.09,0.0,0.0,146.44994000001316,129.59837992599995
29,40.0,116.889,116.58,60.0,-0.09,R,2.0,497.2860599999959,129.46657497999993
30,40.0,116.58,116.39,60.0,0.18,R,2.0,305.7745999999963,129.01901752599994
31,40.0,116.39,116.35,60.0,0.49,R,2.0,64.37360000001006,129.56941180599995
32,40.0,116.35,115.903,60.0,-0.01,0.0,0.0,719.3749799999815,129.884842446
33,40.0,116.17,115.57,60.0,0.05,0.0,0.0,965.6040000000136,129.81290494799998
34,40.0,115.57,115.56,60.0,0.62,0.0,0.0,16.093399999985362,130.295706948
35,40.0,115.56,115.53,60.0,0.24,0.0,0.0,48.28020000000183,130.3954860279999
