,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,40.0,124.15,124.35,60.0,-0.12,0.0,0.0,321.8679999999817,137.44648736999994
1,40.0,124.35,124.43,60.0,0.27,0.0,0.0,128.74720000002011,137.79410481
2,40.0,124.43,124.54,60.0,0.0,0.0,0.0,177.02739999999906,137.79410481
3,40.0,124.54,124.75,60.0,0.06,0.0,0.0,337.9613999999899,137.99688164999998
4,40.0,124.75,124.8,60.0,0.16,R,1.0,80.46699999999542,138.12562884999997
5,40.0,124.8,124.99,60.0,0.07,R,1.0,305.7745999999963,138.33967106999998
6,40.0,124.99,125.05,60.0,0.11,R,1.0,96.56040000000364,138.44588750999998
7,40.0,125.05,125.32,60.0,0.11,0.0,0.0,434.5217999999936,138.92386148999998
8,40.0,125.32,125.47,60.0,0.22,0.0,0.0,241.40100000000916,139.45494369
9,40.0,125.47,125.73,60.0,0.45,0.0,0.0,418.4284000000082,141.33787149000003
10,40.0,125.73,125.78,60.0,0.56,R,2.18333,80.46699999999542,141.78848669
11,40.0,125.78,125.97,60.0,0.05,R,2.18333,305.7745999999963,141.94137399000002
12,40.0,125.97,126.025,60.0,-0.46,R,2.18333,88.51370000001097,141.53421096999998
13,40.0,126.025,126.11,60.0,-0.46,0.0,0.0,136.79389999998992,140.90495903
14,40.0,126.11,126.21,60.0,-0.27,0.0,0.0,160.93399999999085,140.47043723000004
15,40.0,126.21,126.32,60.0,-0.18,0.0,0.0,177.02739999999906,140.15178791000005
16,40.0,126.32,126.49,60.0,-0.02,0.0,0.0,273.58780000000274,140.09707035000005
17,40.0,126.49,126.53,60.0,0.0,0.0,0.0,64.37360000001006,140.09707035000005
18,40.0,126.53,126.74,60.0,0.09,0.0,0.0,337.9613999999899,140.40123561000004
19,40.0,126.74,126.89,60.0,0.38,0.0,0.0,241.40100000000916,141.3185594100001
20,40.0,126.89,127.011,60.0,0.52,L,1.81666,194.73013999999213,142.33115613800004
21,40.0,127.011,127.04,60.0,0.52,0.0,0.0,46.670860000017015,142.57384461000012
22,40.0,127.04,127.19,60.0,0.08,0.0,0.0,241.40099999998623,142.76696541000013
23,40.0,127.19,127.34,60.0,-0.41,0.0,0.0,241.40100000000916,141.7772213100001
24,40.0,127.34,127.43,60.0,-0.26,0.0,0.0,144.84060000000548,141.40063575000008
25,40.0,127.43,127.46,60.0,-0.2,0.0,0.0,48.28019999997896,141.30407535000012
26,40.0,127.46,127.51,60.0,0.06,0.0,0.0,80.46700000001829,141.35235555000014
27,40.0,127.51,127.59,60.0,0.24,0.0,0.0,128.74719999999724,141.66134883000012
28,40.0,127.59,127.82,60.0,0.2,0.0,0.0,370.1481999999835,142.4016452300001
29,40.0,127.82,127.888,60.0,0.03,R,1.33333,109.43512000001938,142.4344757660001
30,40.0,127.888,127.93,60.0,0.03,0.0,0.0,67.59228000000256,142.4547534500001
