,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7000.0,234.13,234.117,70.0,-0.0,0.0,0.0,20.92142000000841,-23.76766653720037
1,7000.0,234.117,233.751,70.0,-0.0,R,3.06666,589.0184399999765,-23.76766653720037
2,7000.0,233.751,233.54,70.0,-0.0,L,5.75,339.57074000002046,-23.76766653720037
3,7000.0,234.12,233.34,70.0,0.02,0.0,0.0,1255.285200000002,-23.76766653720037
4,7000.0,233.34,233.325,70.0,-0.4,0.0,0.0,24.140100000023786,-23.51660949720037
5,7000.0,233.325,233.28,70.0,-0.4,R,2.49166,72.42029999997987,-23.613169897200464
6,7000.0,233.28,232.794,70.0,-0.0,0.0,0.0,782.1392399999838,-23.902851097200383
7,7000.0,232.794,232.67,70.0,-0.0,R,2.51666,199.55816000003804,-23.902851097200383
8,7000.0,232.67,232.63,70.0,0.4,0.0,0.0,64.37359999998719,-23.902851097200383
9,7000.0,232.63,232.33,70.0,0.59,0.0,0.0,482.8019999999725,-23.64535669720044
10,7000.0,232.33,232.31,70.0,0.59,L,4.13333,32.18680000001646,-20.7968248972006
11,7000.0,232.31,232.19,70.0,0.33,L,4.13333,193.1208000000073,-20.6069227772005
12,7000.0,232.19,232.163,70.0,0.2,0.0,0.0,43.452179999978775,-19.96962413720048
13,7000.0,232.163,232.14,70.0,0.2,R,5.0,37.01482000003952,-19.88271977720052
14,7000.0,232.14,232.02,70.0,0.46,R,5.0,193.1207999999616,-19.80869013720044
15,7000.0,232.02,231.86,70.0,0.25,R,5.0,257.49439999999447,-18.92033445720061
16,7000.0,231.86,231.68,70.0,-0.0,0.0,0.0,289.68120000001096,-18.276598457200627
17,7000.0,231.68,231.53,70.0,-0.09,0.0,0.0,241.4010000000092,-18.276598457200627
18,7000.0,231.53,231.132,70.0,-0.39,0.0,0.0,640.5173199999938,-18.49385935720064
19,7000.0,231.132,231.09,70.0,-0.39,L,4.0125,67.59228000000256,-20.99187690520061
20,7000.0,231.09,230.85,70.0,-0.24,L,4.0125,386.2416000000146,-21.25548679720061
21,7000.0,230.85,230.62,70.0,0.06,0.0,0.0,370.1481999999835,-22.18246663720065
22,7000.0,230.62,230.18,70.0,0.13,0.0,0.0,708.1095999999962,-21.96037771720066
23,7000.0,230.18,229.83,70.0,-0.09,0.0,0.0,563.2689999999908,-21.039835237200663
24,7000.0,229.83,229.67,70.0,-0.0,0.0,0.0,257.49440000004023,-21.54677733720066
25,7000.0,229.67,229.52,70.0,0.07,0.0,0.0,241.4009999999634,-21.54677733720066
26,7000.0,229.52,229.33,70.0,0.33,0.0,0.0,305.7745999999963,-21.377796637200685
27,7000.0,229.33,229.15,70.0,-0.0,0.0,0.0,289.68120000001096,-20.368740457200698
28,7000.0,229.15,228.79,70.0,0.32,0.0,0.0,579.3624000000219,-20.368740457200698
29,7000.0,228.79,228.26,70.0,-0.35,0.0,0.0,852.9502000000018,-18.514780777200627
30,7000.0,228.26,228.14,70.0,-0.0,0.0,0.0,193.1208000000073,-21.50010647720063
