,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7000.0,234.324,234.865,70.0,0.0,L,0.16666,870.6529399999948,-23.79735886020037
1,7000.0,234.865,235.017,70.0,0.0,R,0.16666,244.6196799999788,-23.79735886020037
2,7000.0,235.017,236.18,70.0,0.0,L,0.99721,1871.6624200000172,-23.79735886020037
3,7000.0,236.18,236.199,70.0,0.0,L,0.99721,30.57746000000878,-23.79735886020037
4,7000.0,236.199,236.53,70.0,0.0,0.0,0.0,532.6915399999821,-23.79735886020037
5,7000.0,236.53,236.81,70.0,0.59,0.0,0.0,450.6152000000018,-21.13872918020036
6,7000.0,236.81,237.07,70.0,0.24,0.0,0.0,418.4283999999853,-20.134501020200396
7,7000.0,237.07,238.63,70.0,-0.05,0.0,0.0,2510.570400000004,-21.3897862202004
8,7000.0,238.63,238.76,70.0,0.38,0.0,0.0,209.21419999999267,-20.594772260200426
9,7000.0,238.76,239.19,70.0,0.0,0.0,0.0,692.0162000000109,-20.594772260200426
10,7000.0,239.19,239.9,70.0,0.92,0.0,0.0,1142.6314000000127,-10.082563380200304
11,7000.0,239.9,240.21,70.0,0.9,0.0,0.0,498.8954000000036,-5.592504780200272
12,7000.0,240.21,240.32,70.0,-0.89,0.0,0.0,177.0273999999762,-7.168048640200061
13,7000.0,240.32,240.61,70.0,-0.8,0.0,0.0,466.7086000000329,-10.901717440200324
14,7000.0,240.61,240.72,70.0,0.0,0.0,0.0,177.0273999999762,-10.901717440200324
15,7000.0,240.72,241.11,70.0,0.25,0.0,0.0,627.6426000000238,-9.332610940200263
16,7000.0,241.11,241.53,70.0,0.0,0.0,0.0,675.9227999999798,-9.332610940200263
17,7000.0,241.53,242.19,70.0,0.79,0.0,0.0,1062.1643999999944,-0.9415121802003092
18,7000.0,242.19,242.41,70.0,0.69,R,1.48138,354.0547999999981,1.5014659397996777
