,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7400.0,379.2,379.16,55.0,0.99,L,0.97499,64.37359999994145,-78.26880249400423
1,7400.0,379.16,379.02,55.0,0.96,L,0.97499,225.3076000000696,-77.63150385400482
2,7400.0,379.02,378.682,55.0,0.99,0.0,0.0,543.9569199999444,-75.46855089400415
3,7400.0,378.682,378.65,55.0,0.99,L,2.0,51.49888000006293,-70.0833773860047
4,7400.0,378.65,378.52,55.0,0.91,L,2.0,209.21419999999267,-69.57353847400408
5,7400.0,378.52,378.4,55.0,0.49,0.0,0.0,193.1208000000073,-67.66968925400415
6,7400.0,378.4,378.27,55.0,0.28,0.0,0.0,209.21419999999267,-66.72339733400412
7,7400.0,378.27,378.22,55.0,-0.99,0.0,0.0,80.46699999992681,-66.13759757400413
8,7400.0,378.22,378.1,55.0,-0.49,0.0,0.0,193.1208000000073,-66.9342208740034
9,7400.0,378.1,377.99,55.0,-0.0,0.0,0.0,177.02740000002194,-67.88051279400344
10,7400.0,377.99,377.689,55.0,0.75,0.0,0.0,484.4113399999802,-67.88051279400344
11,7400.0,377.84,377.478,55.0,1.0,0.0,0.0,582.5810799999458,-64.24742774400359
12,7400.0,377.51,376.98,55.0,0.64,0.0,0.0,852.950199999956,-58.421616944004136
13,7400.0,376.98,376.77,55.0,0.09,0.0,0.0,337.9614000000585,-52.96273566400442
14,7400.0,376.77,376.7,55.0,-0.5,0.0,0.0,112.65379999998902,-52.658570404004365
15,7400.0,376.7,376.47,55.0,-0.99,0.0,0.0,370.1481999999378,-53.22183940400432
16,7400.0,376.47,376.32,55.0,-0.0,0.0,0.0,241.4010000000549,-56.8863065840037
17,7400.0,376.32,375.823,55.0,-1.0,0.0,0.0,799.8419800000227,-56.8863065840037
18,7400.0,375.823,375.81,55.0,-1.0,R,0.98333,20.92141999996268,-64.88472638400393
19,7400.0,375.81,375.69,55.0,-0.0,R,0.98333,193.1208000000073,-65.09394058400355
20,7400.0,375.69,375.64,55.0,0.33,R,0.98333,80.46700000001829,-65.09394058400355
21,7400.0,375.64,375.5,55.0,-0.99,0.0,0.0,225.30759999997804,-64.82839948400348
22,7400.0,375.5,375.24,55.0,-0.35,0.0,0.0,418.4283999999853,-67.05894472400327
23,7400.0,375.24,375.16,55.0,-0.0,0.0,0.0,128.74719999997438,-68.52344412400322
24,7400.0,375.16,374.95,55.0,0.99,0.0,0.0,337.9614000000585,-68.52344412400322
25,7400.0,374.95,374.88,55.0,-0.0,0.0,0.0,112.65379999998902,-65.17762626400264
26,7400.0,374.88,374.69,55.0,-0.99,0.0,0.0,305.7745999999963,-65.17762626400264
27,7400.0,374.69,374.46,55.0,-0.0,0.0,0.0,370.1482000000293,-68.2047948040026
28,7400.0,374.46,374.22,55.0,-1.0,0.0,0.0,386.2415999999232,-68.2047948040026
29,7400.0,374.22,374.08,55.0,-0.0,0.0,0.0,225.3076000000696,-72.06721080400183
30,7400.0,374.08,373.8,55.0,1.0,0.0,0.0,450.6151999999561,-72.06721080400183
31,7400.0,373.8,373.59,55.0,0.36,0.0,0.0,337.9614000000585,-67.56105880400227
32,7400.0,373.59,373.4,55.0,-0.79,0.0,0.0,305.7745999999963,-66.34439776400207
33,7400.0,373.4,373.27,55.0,-0.0,0.0,0.0,209.21419999999267,-68.76001710400205
34,7400.0,373.27,373.19,55.0,-0.49,0.0,0.0,128.74719999997438,-68.76001710400205
35,7400.0,373.19,372.54,55.0,-0.0,0.0,0.0,1046.0709999999633,-69.39087838400192
36,7400.0,372.54,372.34,55.0,1.0,0.0,0.0,321.86800000007315,-69.39087838400192
37,7400.0,372.34,372.288,55.0,0.23,0.0,0.0,83.68567999994218,-66.17219838400119
38,7400.0,372.288,372.28,55.0,0.23,L,2.06111,12.874720000061474,-65.97972132000132
