,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1.0,162.13,162.19,60.0,0.13,0.0,0.0,96.56040000000364,38.43610862099933
1,1.0,162.19,162.3,60.0,0.43,0.0,0.0,177.02740000002194,39.19732644099942
2,1.0,162.3,162.43,60.0,-0.07,0.0,0.0,209.21419999999267,39.05087650099942
3,1.0,162.43,162.64,60.0,0.13,0.0,0.0,337.96139999996706,39.490226320999376
4,1.0,162.64,162.96,60.0,-0.2,0.0,0.0,514.9888000000348,38.46024872099931
5,1.0,162.884,163.1,60.0,0.0,0.0,0.0,347.6174400000132,38.46024872099931
6,1.0,163.1,163.46,60.0,0.44,0.0,0.0,579.3624000000219,41.009443280999406
7,1.0,163.213,163.93,60.0,-0.27,0.0,0.0,1153.8967800000207,37.89392197499935
8,1.0,163.93,164.84,60.0,-0.34,0.0,0.0,1464.4993999999945,32.91462401499937
9,1.0,164.84,165.08,60.0,-0.76,0.0,0.0,386.2416000000146,29.979187854999257
10,1.0,165.08,165.1,60.0,0.0,0.0,0.0,32.186799999970724,29.979187854999257
11,1.0,165.1,165.48,60.0,0.57,0.0,0.0,611.5491999999927,33.46501829499921
12,1.0,165.48,165.76,60.0,0.66,0.0,0.0,450.6152000000018,36.439078614999225
13,1.0,165.76,165.96,60.0,-0.27,0.0,0.0,321.86800000002745,35.57003501499915
14,1.0,165.96,166.13,60.0,-0.05,0.0,0.0,273.58779999997984,35.43324111499916
15,1.0,166.13,166.55,60.0,-0.36,0.0,0.0,675.9228000000256,32.99991903499907
16,1.0,166.55,166.93,60.0,-0.75,0.0,0.0,611.5491999999927,28.41330003499912
17,1.0,166.93,166.95,60.0,-0.1,0.0,0.0,32.186799999970724,28.38111323499915
18,1.0,166.95,167.68,60.0,0.6,0.0,0.0,1174.8182000000293,35.43002243499933
19,1.0,167.68,168.63,60.0,0.11,0.0,0.0,1528.8729999999816,37.11178273499931
20,1.0,168.63,169.58,60.0,-0.01,0.0,0.0,1528.873000000027,36.958895434999306
21,1.0,169.251,171.0,60.0,-0.08,0.0,0.0,2814.735659999992,34.707106906999314
22,1.0,171.0,171.52,49.0,-0.07,0.0,0.0,836.8568000000164,34.1213071469993
23,1.0,171.52,171.8,49.0,-0.14,0.0,0.0,450.6152000000018,33.490445866999295
