,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,1.0,162.3,162.19,60.0,-0.43,0.0,0.0,177.02740000002194,39.19732644099942
1,1.0,162.19,162.13,60.0,-0.13,0.0,0.0,96.56040000000364,38.43610862099933
2,1.0,162.13,161.79,60.0,0.18,0.0,0.0,547.1756000000055,38.31058010099933
3,1.0,161.79,161.55,60.0,-0.0,0.0,0.0,386.24159999996886,39.295496180999336
4,1.0,161.55,161.17,60.0,-0.01,0.0,0.0,611.5492000000384,39.295496180999336
5,1.0,161.17,160.98,60.0,0.09,0.0,0.0,305.7745999999963,39.23434126099933
6,1.0,160.98,160.79,60.0,0.03,0.0,0.0,305.7745999999963,39.509538400999325
7,1.0,160.79,160.6,60.0,0.3,0.0,0.0,305.7745999999963,39.60127078099932
8,1.0,160.6,160.49,60.0,0.43,0.0,0.0,177.0273999999762,40.51859458099931
9,1.0,160.49,160.32,60.0,0.51,0.0,0.0,273.5878000000256,41.27981240099921
10,1.0,160.32,160.03,60.0,0.44,0.0,0.0,466.7085999999872,42.67511018099934
11,1.0,160.03,159.9,60.0,0.15,0.0,0.0,209.21419999999267,44.72862802099928
12,1.0,159.9,159.65,60.0,-0.06,0.0,0.0,402.335,45.04244932099927
13,1.0,159.65,159.47,60.0,-0.03,0.0,0.0,289.68120000001096,44.801048320999264
14,1.0,159.47,159.37,60.0,0.43,0.0,0.0,160.93399999999085,44.71414396099926
15,1.0,159.37,159.18,60.0,0.64,0.0,0.0,305.7745999999963,45.40616016099922
16,1.0,159.18,158.99,60.0,0.54,0.0,0.0,305.7745999999963,47.3631176009992
17,1.0,158.99,158.75,60.0,0.38,0.0,0.0,386.2416000000146,49.01430044099918
18,1.0,158.75,158.52,60.0,0.06,0.0,0.0,370.1481999999835,50.48201852099923
19,1.0,158.52,157.97,60.0,0.19,0.0,0.0,885.1370000000182,50.70410744099922
20,1.0,157.97,157.76,60.0,-0.19,0.0,0.0,337.9614000000128,52.38586774099926
21,1.0,157.76,157.57,60.0,-0.06,0.0,0.0,305.7745999999963,51.74374108099924
22,1.0,157.57,157.46,60.0,0.31,0.0,0.0,177.0273999999762,51.56027632099924
23,1.0,157.46,157.19,60.0,0.32,0.0,0.0,434.52180000001647,52.10906126099916
24,1.0,157.19,157.0,60.0,0.24,0.0,0.0,305.7745999999963,53.499531020999214
25,1.0,157.0,156.81,60.0,0.13,0.0,0.0,305.7745999999963,54.233390060999206
26,1.0,156.81,156.53,60.0,0.04,0.0,0.0,450.6152000000018,54.6308970409992
27,1.0,156.53,156.43,60.0,-0.25,0.0,0.0,160.93399999999085,54.811143120999205
28,1.0,156.43,156.25,60.0,-0.45,0.0,0.0,289.68120000001096,54.408808120999225
29,1.0,156.25,156.06,60.0,-0.55,0.0,0.0,305.7745999999963,53.10524272099918
30,1.0,156.06,155.96,60.0,-0.19,0.0,0.0,160.93399999999085,51.4234824209992
31,1.0,155.96,155.68,60.0,0.19,0.0,0.0,450.6152000000018,51.117707820999215
32,1.0,155.68,155.52,60.0,0.31,0.0,0.0,257.49439999999447,51.97387670099922
33,1.0,155.52,155.49,60.0,-0.0,0.0,0.0,48.28020000000183,52.7721093409992
34,1.0,155.49,155.3,60.0,0.13,0.0,0.0,305.7745999999963,52.7721093409992
35,1.0,155.3,155.15,60.0,0.56,0.0,0.0,241.4010000000092,53.1696163209992
36,1.0,155.15,154.82,60.0,-0.66,0.0,0.0,531.0822000000201,54.52146192099925
37,1.0,154.82,154.69,60.0,-0.21,0.0,0.0,209.21419999999267,51.01631940099912
38,1.0,154.69,154.62,60.0,0.14,0.0,0.0,112.65379999998902,50.57696958099913
39,1.0,154.62,154.48,60.0,0.48,0.0,0.0,225.30760000002377,50.73468490099912
40,1.0,154.48,154.35,60.0,0.17,0.0,0.0,209.21419999999267,51.81616138099923
41,1.0,154.35,154.16,60.0,-0.08,0.0,0.0,305.7745999999963,52.17182552099922
42,1.0,154.16,153.97,60.0,-0.1,0.0,0.0,305.7745999999963,51.92720584099922
43,1.0,153.97,153.59,60.0,-0.13,0.0,0.0,611.5491999999927,51.62143124099922
44,1.0,153.59,153.4,60.0,-0.03,0.0,0.0,305.7745999999963,50.82641728099923
45,1.0,153.4,153.33,60.0,-0.07,0.0,0.0,112.65379999998902,50.734684900999234
46,1.0,153.33,153.18,60.0,-0.15,0.0,0.0,241.4010000000092,50.65582724099925
47,1.0,153.18,153.06,60.0,-0.21,0.0,0.0,193.1208000000073,50.29372574099923
48,1.0,153.06,152.91,60.0,-0.12,0.0,0.0,241.4010000000092,49.88817206099921
49,1.0,152.91,152.78,60.0,-0.0,0.0,0.0,209.21419999999267,49.5984908609992
50,1.0,152.78,152.71,60.0,-0.05,0.0,0.0,112.65379999998902,49.5984908609992
51,1.0,152.71,152.5,60.0,-0.29,0.0,0.0,337.9614000000128,49.5421639609992
52,1.0,152.5,152.416,60.0,-0.08,0.0,0.0,135.18456000000512,48.56207590099917
53,1.0,152.416,152.33,60.0,-0.08,L,0.46,138.40323999997474,48.45392825299916
54,1.0,152.33,152.23,60.0,-0.26,L,0.46,160.93400000003658,48.34320566099918
55,1.0,152.23,151.89,60.0,-0.28,L,0.46,547.1756000000055,47.924777260999086
56,1.0,151.89,151.79,60.0,-0.45,0.0,0.0,160.93399999999085,46.39268558099907
57,1.0,151.79,151.7,60.0,-0.1,0.0,0.0,144.84060000000548,45.66848258099911
58,1.0,151.7,151.51,60.0,0.17,0.0,0.0,305.7745999999963,45.52364198099911
59,1.0,151.51,151.38,60.0,0.38,0.0,0.0,209.21419999999267,46.04345880099911
60,1.0,151.38,151.11,60.0,-0.0,0.0,0.0,434.5217999999707,46.83847276099908
61,1.0,151.11,150.94,60.0,0.17,0.0,0.0,273.5878000000256,46.83847276099908
62,1.0,150.94,150.85,60.0,0.01,0.0,0.0,144.84060000000548,47.30357202099912
63,1.0,150.85,150.75,60.0,-0.06,0.0,0.0,160.93399999999085,47.31805608099912
64,1.0,150.75,150.68,60.0,-0.29,0.0,0.0,112.65379999998902,47.221495680999126
65,1.0,150.68,150.58,60.0,-0.47,0.0,0.0,160.93399999999085,46.89479966099916
66,1.0,150.58,150.54,60.0,-0.3,0.0,0.0,64.37360000003292,46.1384098609992
