,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,6.0,1.0,1.02,60.0,0.0,0.0,0.0,32.18680000000003,0.0
1,6.0,1.02,1.88,60.0,0.0,0.0,0.0,1384.0323999999998,0.0
2,6.0,1.5,2.31,60.0,0.19,0.0,0.0,1303.5654,2.47677426
3,6.0,2.31,2.82,60.0,0.0,0.0,0.0,820.7633999999996,2.47677426
4,6.0,2.82,4.77,60.0,0.26,0.0,0.0,3138.2129999999997,10.636128059999995
5,6.0,4.77,4.822,60.0,0.0,L,0.25,83.68568000000079,10.636128059999995
6,6.0,4.822,4.83,60.0,0.0,0.0,0.0,12.87472000000001,10.636128059999995
7,6.0,4.83,5.42,60.0,-0.69,0.0,0.0,949.5105999999996,4.084504919999999
8,6.0,5.42,5.5,60.0,0.0,0.0,0.0,128.7472000000001,4.084504919999999
9,6.0,5.5,6.04,60.0,0.71,0.0,0.0,869.0436,10.25471448
10,6.0,6.04,6.123,60.0,0.0,L,3.0,133.5752200000003,10.25471448
11,6.0,6.123,6.23,60.0,0.0,0.0,0.0,172.19938000000033,10.25471448
12,6.0,6.23,6.71,60.0,-0.7,0.0,0.0,772.4831999999992,4.847332080000005
13,6.0,6.71,7.3,60.0,0.53,0.0,0.0,949.5105999999996,9.879738260000003
14,6.0,7.173,7.38,60.0,0.0,0.0,0.0,333.13337999999976,9.879738260000003
15,6.0,7.38,7.57,60.0,-0.19,0.0,0.0,305.7746000000006,9.298766520000004
16,6.0,7.57,7.99,60.0,0.27,0.0,0.0,675.9227999999998,11.123758080000002
17,6.0,7.99,8.0,60.0,-44.46,0.0,0.0,16.093399999999654,3.968632440000155
18,6.0,8.0,9.43,60.0,-0.42,0.0,0.0,2301.3561999999997,-5.697063599999842
19,6.0,8.945,9.61,60.0,0.0,0.0,0.0,1070.2110999999986,-5.697063599999842
20,6.0,9.61,10.06,60.0,0.69,0.0,0.0,724.2030000000017,-0.7000628999998302
21,6.0,9.909,10.25,60.0,0.07,0.0,0.0,548.7849399999989,-0.3159134419998309
22,6.0,10.25,10.7,60.0,0.35,0.0,0.0,724.2029999999988,2.2187970580001646
23,6.0,10.7,11.08,60.0,0.09,0.0,0.0,611.5492000000012,2.769191338000166
24,6.0,11.08,11.25,60.0,0.0,0.0,0.0,273.58779999999985,2.769191338000166
25,6.0,11.25,11.76,60.0,0.21,0.0,0.0,820.7633999999996,4.492794478000165
26,6.0,11.76,12.02,60.0,0.0,0.0,0.0,418.4283999999996,4.492794478000165
27,6.0,12.02,12.61,60.0,-0.25,0.0,0.0,949.5105999999996,2.119017978000165
28,6.0,12.61,13.1,60.0,-0.55,0.0,0.0,788.5766000000003,-2.218153321999837
29,6.0,13.045,13.27,60.0,0.77,0.0,0.0,362.1014999999994,0.5700282280001585
30,6.0,13.27,13.35,60.0,-0.25,0.0,0.0,128.7472000000001,0.2481602280001582
31,6.0,13.35,13.63,60.0,-0.59,0.0,0.0,450.6152000000018,-2.410469451999852
32,6.0,13.63,13.7,60.0,0.0,0.0,0.0,112.6537999999976,-2.410469451999852
33,6.0,13.7,14.0,60.0,0.19,0.0,0.0,482.8020000000011,-1.4931456519998505
34,6.0,14.0,14.01,60.0,14.49,0.0,0.0,16.093399999999654,0.8387880080000998
35,6.0,14.01,14.46,60.0,0.0,0.0,0.0,724.2030000000017,0.8387880080000998
36,6.0,14.46,14.727,60.0,-0.49,L,2.01666,429.6937799999991,-1.266711513999896
37,6.0,14.727,14.84,60.0,-0.49,0.0,0.0,181.85541999999927,-2.157803071999892
38,6.0,14.84,14.98,60.0,0.0,0.0,0.0,225.3076000000009,-2.157803071999892
39,6.0,14.98,15.37,60.0,-0.97,0.0,0.0,627.642599999998,-8.245936291999872
40,6.0,15.22,15.6,60.0,0.0,0.0,0.0,611.5491999999983,-8.245936291999872
41,6.0,15.6,15.677,60.0,1.02,L,0.5,123.91917999999993,-6.981960655999872
42,6.0,15.677,16.38,60.0,1.02,0.0,0.0,1131.366019999999,4.557972748000116
43,6.0,15.925,16.116,60.0,0.0,L,0.5,307.3839399999983,4.557972748000116
44,6.0,16.116,16.38,60.0,0.0,R,1.63333,424.8657599999989,4.557972748000116
45,6.0,16.38,16.512,60.0,0.65,R,1.63333,212.4328800000023,5.938786468000131
46,6.0,16.512,16.75,60.0,0.65,0.0,0.0,383.02291999999926,8.428435448000126
47,6.0,16.75,16.85,60.0,0.39,0.0,0.0,160.93400000000227,9.056078048000137
48,6.0,16.85,17.13,60.0,0.0,0.0,0.0,450.6151999999961,9.056078048000137
49,6.0,17.13,17.51,60.0,-0.15,0.0,0.0,611.5492000000041,8.13875424800013
50,6.0,17.51,17.8,60.0,0.0,0.0,0.0,466.7085999999986,8.13875424800013
51,6.0,17.8,18.08,60.0,-0.6,0.0,0.0,450.6151999999961,5.435063048000153
52,6.0,18.08,18.33,60.0,0.0,0.0,0.0,402.335,5.435063048000153
53,6.0,18.33,18.52,60.0,0.49,0.0,0.0,305.77460000000207,6.9333585880001625
54,6.0,18.52,19.26,60.0,0.0,0.0,0.0,1190.911600000003,6.9333585880001625
55,6.0,19.26,19.69,50.0,-0.43,0.0,0.0,692.0161999999995,3.957688928000165
56,6.0,19.69,20.07,50.0,-0.24,0.0,0.0,611.5491999999983,2.4899708480001688
57,6.0,20.07,20.45,50.0,0.0,0.0,0.0,611.5491999999983,2.4899708480001688
58,6.0,20.45,20.75,50.0,-0.75,0.0,0.0,482.8020000000011,-1.1310441519998395
59,6.0,20.75,20.87,50.0,0.0,L,2.0,193.1208000000016,-1.1310441519998395
60,6.0,20.87,20.872,50.0,0.44,L,2.0,3.218679999998216,-1.1168819599998474
61,6.0,20.872,21.04,50.0,0.44,0.0,0.0,270.3691199999988,0.0727421680001474
62,6.0,21.04,21.22,50.0,-0.2,0.0,0.0,289.68119999999954,-0.5066202319998517
63,6.0,21.22,21.28,50.0,0.0,0.0,0.0,96.56040000000364,-0.5066202319998517
64,6.0,21.28,21.51,50.0,0.5,0.0,0.0,370.1482000000007,1.3441207680001517
65,6.0,21.51,21.53,50.0,0.0,0.0,0.0,32.18679999999931,1.3441207680001517
66,6.0,21.53,21.58,50.0,-0.59,0.0,0.0,80.46699999999542,0.8693654680001787
67,6.0,21.58,21.77,50.0,-0.94,0.0,0.0,305.77460000000207,-2.00491577199984
68,6.0,21.747,22.08,50.0,-1.18,0.0,0.0,535.9102199999974,-8.328656367999809
69,6.0,22.08,22.1,50.0,-1.0,R,2.53333,32.18680000000503,-8.650524367999859
70,6.0,22.1,22.17,50.0,-0.67,R,2.53333,112.65380000000046,-9.405304827999862
71,6.0,22.17,22.22,50.0,-1.0,R,2.53333,80.46699999999542,-10.209974827999815
72,6.0,22.22,22.68,50.0,-1.0,0.0,0.0,740.2964000000013,-17.612938827999827
73,6.0,22.549,22.72,50.0,-1.17,0.0,0.0,275.19713999999897,-20.832745365999813
74,6.0,22.72,22.97,50.0,-1.04,0.0,0.0,402.335,-25.01702936599981
75,6.0,22.97,23.08,50.0,-1.02,0.0,0.0,177.02739999999906,-26.8227088459998
76,6.0,23.08,23.21,50.0,-1.13,R,2.06666,209.2142000000041,-29.186829305999847
77,6.0,23.21,23.254,50.0,-0.98,R,2.06666,70.81096000000078,-29.88077671399985
78,6.0,23.254,23.46,50.0,-0.98,0.0,0.0,331.5240399999992,-33.129712305999846
79,6.0,23.46,23.57,50.0,-0.65,0.0,0.0,177.02739999999906,-34.28039040599984
80,6.0,23.57,23.76,50.0,-0.29,0.0,0.0,305.77460000000207,-35.16713674599985
81,6.0,23.76,24.04,50.0,-0.13,0.0,0.0,450.6151999999961,-35.75293650599984
82,6.0,24.04,24.14,50.0,-0.07,0.0,0.0,160.93400000000227,-35.865590305999845
83,6.0,24.14,24.23,50.0,0.0,0.0,0.0,144.84059999999977,-35.865590305999845
84,6.0,24.23,24.48,50.0,0.37,0.0,0.0,402.335,-34.37695080599985
85,6.0,24.48,24.495,50.0,0.0,L,1.5,24.140100000000917,-34.37695080599985
86,6.0,24.495,24.69,50.0,0.0,0.0,0.0,313.82130000000046,-34.37695080599985
87,6.0,24.69,24.89,50.0,0.27,0.0,0.0,321.86799999999886,-33.50790720599985
88,6.0,24.89,25.1,50.0,0.52,0.0,0.0,337.96140000000133,-31.75050792599984
89,6.0,25.1,25.137,50.0,0.77,L,3.13333,59.545579999998445,-31.292006959999853
90,6.0,25.137,25.29,50.0,0.77,0.0,0.0,246.2290199999979,-29.39604350599987
91,6.0,25.29,25.36,50.0,1.46,0.0,0.0,112.65380000000046,-27.751298025999866
92,6.0,25.36,25.47,50.0,0.39,R,3.0,177.02739999999906,-27.060891165999863
93,6.0,25.47,25.548,50.0,0.23,R,3.0,125.52851999999903,-26.772175569999867
94,6.0,25.548,26.28,50.0,0.23,0.0,0.0,1178.0368800000049,-24.062690745999856
95,6.0,25.753,26.38,50.0,0.51,0.0,0.0,1009.0561799999982,-18.916504227999862
96,6.0,26.38,26.49,50.0,0.53,L,1.01666,177.02739999999906,-17.97825900799987
