,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,32.0,109.74,109.57,25.0,-0.2,0.0,0.0,273.58780000000274,-23.50537630400001
1,32.0,109.57,109.48,25.0,-0.0,0.0,0.0,144.8405999999826,-24.05255190400001
2,32.0,109.48,109.33,20.0,0.11,0.0,0.0,241.4010000000092,-24.05255190400001
3,32.0,109.33,109.05,20.0,-0.12,0.0,0.0,450.6152000000018,-23.787010804
4,32.0,109.05,108.92,20.0,-0.0,0.0,0.0,209.21419999999267,-24.327749044000004
5,32.0,108.92,108.67,20.0,0.2,0.0,0.0,402.335,-24.327749044000004
6,32.0,108.67,108.32,20.0,0.02,0.0,0.0,563.2690000000136,-23.523079044000003
7,32.0,108.32,108.13,20.0,-0.1,0.0,0.0,305.7745999999963,-23.410425244
8,32.0,108.13,108.125,20.0,-0.0,0.0,0.0,8.046699999992681,-23.716199843999995
9,32.0,108.125,107.85,20.0,-0.0,L,2.36,442.5685000000091,-23.716199843999995
10,32.0,107.85,107.726,20.0,-0.0,L,2.36,199.5581599999923,-23.716199843999995
11,32.0,107.726,107.568,20.0,-0.0,R,1.0,254.275720000002,-23.716199843999995
12,32.0,107.568,107.515,20.0,-0.0,R,2.0,85.2950199999956,-23.716199843999995
13,32.0,107.85,107.28,20.0,-0.1,0.0,0.0,917.323799999989,-23.716199843999995
14,32.0,107.28,107.26,20.0,-0.0,0.0,0.0,32.1867999999936,-24.633523643999983
15,32.0,107.26,107.19,20.0,0.24,0.0,0.0,112.65380000001188,-24.633523643999983
16,32.0,107.19,106.96,20.0,-0.0,0.0,0.0,370.1482000000064,-24.36315452399996
17,32.0,106.96,106.924,49.0,0.18,0.0,0.0,57.93623999997932,-24.36315452399996
18,32.0,106.924,106.73,49.0,0.18,R,4.01,312.2119600000042,-24.25886929199999
19,32.0,106.73,105.93,49.0,-0.0,0.0,0.0,1287.4719999999954,-23.69688776399998
