,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,26.0,5.77,5.49,60.0,0.08,0.0,0.0,450.6151999999989,-3.468127699999999
1,26.0,5.49,4.77,60.0,-0.0,0.0,0.0,1158.7248000000009,-3.1076355399999995
2,26.0,4.77,4.69,60.0,0.15,0.0,0.0,128.74719999999868,-3.1076355399999995
3,26.0,4.69,4.52,60.0,-0.0,0.0,0.0,273.5878000000013,-2.9145147400000013
4,26.0,4.52,4.33,60.0,-0.09,0.0,0.0,305.7745999999992,-2.9145147400000013
5,26.0,4.33,4.14,60.0,0.09,0.0,0.0,305.7746000000006,-3.189711880000001
6,26.0,4.14,3.98,60.0,-0.0,0.0,0.0,257.4943999999995,-2.9145147400000004
7,26.0,3.98,3.78,60.0,0.09,0.0,0.0,321.8680000000003,-2.9145147400000004
8,26.0,3.78,3.21,60.0,-0.0,0.0,0.0,917.3237999999996,-2.62483354
9,26.0,3.21,2.23,60.0,0.08,0.0,0.0,1577.1532,-2.62483354
10,26.0,2.23,2.17,60.0,-0.16,0.0,0.0,96.56040000000009,-1.3631109800000003
11,26.0,2.17,1.98,60.0,-0.07,0.0,0.0,305.7745999999999,-1.5176076200000004
12,26.0,1.98,1.7,60.0,0.04,0.0,0.0,450.6152,-1.7316498400000004
13,26.0,1.7,1.19,60.0,0.28,0.0,0.0,820.7633999999999,-1.5514037600000004
14,26.0,1.19,0.88,60.0,-0.0,0.0,0.0,498.8953999999999,0.7467337599999998
15,26.0,0.88,0.79,60.0,-0.19,0.0,0.0,144.84059999999994,0.7467337599999998
16,26.0,0.79,0.45,60.0,0.07,0.0,0.0,547.1756,0.4715366199999999
17,26.0,0.45,0.09,60.0,-0.16,0.0,0.0,579.3624,0.85455954
18,26.0,0.09,0.0,60.0,0.05,0.0,0.0,144.8406,-0.0724202999999999
