,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,50.0,4.81,4.5,35.0,-0.39,0.0,0.0,498.89539999999937,6.642068047999999
1,50.0,4.5,4.49,35.0,-0.27,0.0,0.0,16.093399999999654,4.696375988000001
2,50.0,4.49,4.05,35.0,-0.39,0.0,0.0,708.1096000000006,4.6529238080000015
3,50.0,4.05,3.638,35.0,-0.3,0.0,0.0,663.0480799999998,1.8912963679999992
4,50.0,3.638,1.844,35.0,-0.0,L,5.0,2887.15596,-0.0978478720000002
5,50.0,1.844,1.536,35.0,-0.0,L,2.0,495.6767200000001,-0.0978478720000002
6,50.0,1.536,1.474,35.0,-0.0,L,4.0,99.77908000000008,-0.0978478720000002
7,50.0,1.474,1.42,35.0,-0.0,R,4.03333,86.90436000000007,-0.0978478720000002
8,50.0,4.03,1.333,35.0,-0.0,0.0,0.0,4340.38998,-0.0978478720000002
9,50.0,1.333,1.33,35.0,-0.0,R,7.56666,4.8280199999998255,-0.0978478720000002
10,50.0,1.33,1.218,35.0,0.09,0.0,0.0,180.2460800000001,-0.0978478720000002
11,50.0,1.24,0.771,35.0,0.2,0.0,0.0,754.78046,0.0643735999999999
12,50.0,0.771,0.69,35.0,0.2,R,4.01666,130.3565400000001,1.5739345199999997
13,50.0,0.69,0.325,35.0,-0.0,R,4.01666,587.4090999999999,1.8346476
14,50.0,0.69,0.12,35.0,-0.2,0.0,0.0,917.3238,1.8346476
15,50.0,0.12,0.02,35.0,-0.0,0.0,0.0,160.93399999999997,0.0
16,50.0,0.02,0.0,35.0,-0.0,0.0,0.0,32.1868,0.0
17,51.0,0.0,0.01,30.0,0.78,0.0,0.0,16.0934,0.12552852
18,51.0,0.01,0.07,30.0,-0.13,0.0,0.0,96.5604,0.0
19,51.0,0.07,0.12,30.0,0.0,0.0,0.0,80.46699999999998,0.0
20,51.0,0.12,0.136,30.0,0.12,R,8.0,25.74944000000002,0.030899328
21,51.0,0.136,0.21,30.0,0.12,0.0,0.0,119.09115999999996,0.1738087199999999
22,51.0,0.21,0.32,30.0,-0.1,0.0,0.0,177.0274,-0.00321868
23,51.0,0.32,0.45,30.0,0.17,0.0,0.0,209.2142,0.35244546
24,51.0,0.45,0.58,30.0,-0.08,0.0,0.0,209.21419999999992,0.1850741
25,51.0,0.58,0.67,30.0,0.0,0.0,0.0,144.8406000000001,0.1850741
26,51.0,0.67,0.76,30.0,0.14,0.0,0.0,144.84059999999994,0.38785094
27,51.0,0.747,0.79,30.0,0.32,0.0,0.0,69.20162000000006,0.6092961240000002
28,51.0,0.79,0.84,30.0,0.48,0.0,0.0,80.46699999999989,0.9955377239999996
29,51.0,0.84,0.95,30.0,0.0,0.0,0.0,177.02739999999997,0.9955377239999996
30,51.0,0.95,1.27,30.0,-0.08,0.0,0.0,514.9888000000001,0.5835466839999996
31,51.0,1.27,1.42,30.0,-0.02,0.0,0.0,241.40099999999984,0.5352664839999997
32,51.0,1.42,1.55,30.0,0.07,0.0,0.0,209.21420000000015,0.6817164239999998
33,51.0,1.55,1.568,30.0,0.03,L,3.33,28.968120000000024,0.6904068599999997
34,51.0,1.568,1.84,30.0,0.03,0.0,0.0,437.74048,0.8217290039999997
35,51.0,1.653,1.89,30.0,-0.06,0.0,0.0,381.4135799999998,0.5928808559999998
36,51.0,1.89,2.08,30.0,-0.15,0.0,0.0,305.77460000000025,0.1342189559999994
37,51.0,2.08,2.25,30.0,-0.14,0.0,0.0,273.58779999999985,-0.2488039640000003
38,51.0,2.25,2.46,30.0,0.0,0.0,0.0,337.9613999999999,-0.2488039640000003
39,51.0,2.46,2.539,30.0,0.04,L,3.93,127.13786000000027,-0.1979488200000002
40,51.0,2.539,2.64,30.0,0.04,0.0,0.0,162.54333999999994,-0.1329314840000002
41,51.0,2.64,2.89,30.0,0.19,0.0,0.0,402.335,0.6315050159999998
42,51.0,2.89,3.13,30.0,0.0,0.0,0.0,386.2415999999996,0.6315050159999998
43,51.0,3.056,3.12,30.0,0.0,R,3.25,102.99776000000008,0.6315050159999998
44,51.0,3.12,3.21,30.0,0.57,0.0,0.0,144.84059999999977,1.4570964359999985
45,51.0,3.164,3.29,50.0,0.37,0.0,0.0,202.77683999999985,2.2073707439999977
46,51.0,3.29,3.32,50.0,0.13,L,1.0,48.28019999999968,2.270135003999997
47,51.0,3.32,3.388,50.0,0.25,L,1.0,109.4351200000001,2.543722803999998
48,51.0,3.388,3.41,50.0,0.25,0.0,0.0,35.40548000000039,2.632236503999999
