,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,51.0,0.0,0.01,30.0,0.78,0.0,0.0,16.0934,0.12552852
1,51.0,0.01,0.07,30.0,-0.13,0.0,0.0,96.5604,0.0
2,51.0,0.07,0.12,30.0,0.0,0.0,0.0,80.46699999999998,0.0
3,51.0,0.12,0.136,30.0,0.12,R,8.0,25.74944000000002,0.030899328
4,51.0,0.136,0.21,30.0,0.12,0.0,0.0,119.09115999999996,0.1738087199999999
5,51.0,0.21,0.32,30.0,-0.1,0.0,0.0,177.0274,-0.00321868
6,51.0,0.32,0.45,30.0,0.17,0.0,0.0,209.2142,0.35244546
7,51.0,0.45,0.58,30.0,-0.08,0.0,0.0,209.21419999999992,0.1850741
8,51.0,0.58,0.67,30.0,0.0,0.0,0.0,144.8406000000001,0.1850741
9,51.0,0.67,0.76,30.0,0.14,0.0,0.0,144.84059999999994,0.38785094
10,51.0,0.747,0.79,30.0,0.32,0.0,0.0,69.20162000000006,0.6092961240000002
11,51.0,0.79,0.84,30.0,0.48,0.0,0.0,80.46699999999989,0.9955377239999996
12,51.0,0.84,0.95,30.0,0.0,0.0,0.0,177.02739999999997,0.9955377239999996
13,51.0,0.95,1.27,30.0,-0.08,0.0,0.0,514.9888000000001,0.5835466839999996
14,51.0,1.27,1.42,30.0,-0.02,0.0,0.0,241.40099999999984,0.5352664839999997
15,51.0,1.42,1.55,30.0,0.07,0.0,0.0,209.21420000000015,0.6817164239999998
16,51.0,1.55,1.568,30.0,0.03,L,3.33,28.968120000000024,0.6904068599999997
17,51.0,1.568,1.84,30.0,0.03,0.0,0.0,437.74048,0.8217290039999997
18,51.0,1.653,1.89,30.0,-0.06,0.0,0.0,381.4135799999998,0.5928808559999998
19,51.0,1.89,2.08,30.0,-0.15,0.0,0.0,305.77460000000025,0.1342189559999994
20,51.0,2.08,2.25,30.0,-0.14,0.0,0.0,273.58779999999985,-0.2488039640000003
21,51.0,2.25,2.46,30.0,0.0,0.0,0.0,337.9613999999999,-0.2488039640000003
22,51.0,2.46,2.539,30.0,0.04,L,3.93,127.13786000000027,-0.1979488200000002
23,51.0,2.539,2.64,30.0,0.04,0.0,0.0,162.54333999999994,-0.1329314840000002
24,51.0,2.64,2.89,30.0,0.19,0.0,0.0,402.335,0.6315050159999998
25,51.0,2.89,3.13,30.0,0.0,0.0,0.0,386.2415999999996,0.6315050159999998
26,51.0,3.056,3.12,30.0,0.0,R,3.25,102.99776000000008,0.6315050159999998
