,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,16.0,0.4,0.96,60.0,0.0,0.0,0.0,901.2304,0.0
1,16.0,0.571,0.811,60.0,0.0,L,9.38333,386.2416000000001,0.0
2,16.0,0.811,1.04,60.0,-0.39,0.0,0.0,368.53886,-1.4373015539999998
3,16.0,1.04,1.2,60.0,-0.5,R,4.4,257.49439999999987,-2.724773553999999
4,16.0,1.2,1.287,60.0,-0.54,R,4.4,140.01257999999993,-3.4808414859999988
5,16.0,1.287,1.41,60.0,-0.54,0.0,0.0,197.94882,-4.549765113999999
6,16.0,1.41,1.53,60.0,-0.32,0.0,0.0,193.12080000000017,-5.167751673999999
7,16.0,1.53,3.97,60.0,0.0,0.0,0.0,3926.789600000001,-5.167751673999999
8,16.0,1.84,3.97,60.0,0.0,L,3.05,3427.8942,-5.167751673999999
9,16.0,3.97,4.195,60.0,-0.19,L,3.05,362.1015000000001,-5.855744524
10,16.0,4.195,4.52,60.0,-0.19,0.0,0.0,523.0354999999988,-6.849511973999997
11,16.0,4.52,5.15,60.0,0.0,0.0,0.0,1013.8842000000012,-6.849511973999997
12,16.0,5.15,5.18,60.0,-0.21,0.0,0.0,48.28019999999897,-6.950900393999994
13,16.0,5.18,5.258,60.0,0.0,L,1.06666,125.52852000000048,-6.950900393999994
14,16.0,5.258,5.59,60.0,0.0,0.0,0.0,534.3008799999998,-6.950900393999994
15,16.0,5.59,5.65,60.0,0.09,0.0,0.0,96.5604000000008,-6.863996033999993
16,16.0,5.65,5.98,60.0,0.0,0.0,0.0,531.0822000000001,-6.863996033999993
17,16.0,5.98,6.04,60.0,-0.09,0.0,0.0,96.56039999999936,-6.9509003939999925
18,16.0,6.04,6.62,60.0,0.0,0.0,0.0,933.4172,-6.9509003939999925
19,16.0,6.62,6.68,60.0,0.09,0.0,0.0,96.56039999999936,-6.863996033999993
20,16.0,6.68,7.35,60.0,0.03,0.0,0.0,1078.2578,-6.540518693999993
21,16.0,6.874,7.59,60.0,0.08,0.0,0.0,1152.2874400000003,-5.618688741999993
22,16.0,7.59,9.08,60.0,0.0,0.0,0.0,2397.9166,-5.618688741999993
23,16.0,8.079,8.175,60.0,0.0,L,0.5,154.49664000000013,-5.618688741999993
24,16.0,8.175,9.39,60.0,0.05,0.0,0.0,1955.3481,-4.641014691999993
25,16.0,9.287,9.39,60.0,0.0,L,1.83333,165.7620199999996,-4.641014691999993
26,16.0,9.39,9.56,60.0,-0.04,L,1.83333,273.58779999999985,-4.750449811999992
27,16.0,9.56,9.597,60.0,0.04,L,1.83333,59.545579999998445,-4.726631579999993
28,16.0,9.597,9.73,60.0,0.04,0.0,0.0,214.04222000000144,-4.641014691999993
29,16.0,9.73,9.84,60.0,0.33,0.0,0.0,177.02739999999906,-4.056824271999996
30,16.0,9.84,9.9,60.0,0.0,L,0.75,96.5604000000008,-4.056824271999996
31,16.0,9.9,9.971,60.0,-0.09,L,0.75,114.26313999999957,-4.159661097999996
32,16.0,9.971,10.09,60.0,-0.09,0.0,0.0,191.51145999999963,-4.332021411999995
33,16.0,10.09,10.19,60.0,0.12,R,1.35,160.93399999999943,-4.138900611999996
34,16.0,10.19,10.24,60.0,0.12,0.0,0.0,80.46700000000114,-4.042340211999995
35,16.0,10.24,10.373,60.0,0.07,L,0.9,214.04221999999857,-3.892510657999996
36,16.0,10.373,10.51,60.0,0.07,0.0,0.0,220.4795800000007,-3.738174951999995
37,16.0,10.51,10.72,60.0,-0.17,0.0,0.0,337.96140000000133,-4.312709331999997
38,16.0,10.72,10.85,60.0,0.0,0.0,0.0,209.2141999999984,-4.312709331999997
39,16.0,10.85,11.145,60.0,0.01,L,0.66666,474.7552999999999,-4.265233801999997
40,16.0,11.145,11.36,60.0,0.01,0.0,0.0,346.00809999999973,-4.230632991999998
41,16.0,11.36,11.38,60.0,0.0,0.0,0.0,32.18680000000217,-4.230632991999998
42,16.0,11.38,11.4,60.0,0.09,L,1.03333,32.18679999999931,-4.201664871999999
43,16.0,11.4,11.42,60.0,0.09,L,1.03333,32.18679999999931,-4.172696751999999
44,16.0,11.42,11.43,60.0,0.1,L,1.03333,16.093399999999654,-4.156603351999999
45,16.0,11.43,11.45,60.0,0.29,L,1.03333,32.18679999999931,-4.0632616320000015
46,16.0,11.45,11.47,60.0,0.2,L,1.03333,32.18680000000217,-3.998888031999997
47,16.0,11.47,11.49,60.0,0.3,L,1.03333,32.18679999999931,-3.902327632
48,16.0,11.49,11.51,60.0,0.39,L,1.03333,32.18679999999931,-3.776799112000002
49,16.0,11.51,11.608,60.0,0.37,L,1.03333,157.7153200000012,-3.193252427999997
50,16.0,11.608,11.68,60.0,0.37,0.0,0.0,115.87247999999867,-2.7645242520000024
51,16.0,11.68,11.7,60.0,0.4,0.0,0.0,32.18679999999931,-2.635777052000005
52,16.0,11.7,11.72,60.0,0.19,0.0,0.0,32.18680000000217,-2.574622132000001
53,16.0,11.72,11.74,60.0,0.2,0.0,0.0,32.18679999999931,-2.510248532000002
54,16.0,11.74,11.76,60.0,0.0,0.0,0.0,32.18679999999931,-2.510248532000002
55,16.0,11.76,11.78,60.0,0.0,0.0,0.0,32.18679999999931,-2.510248532000002
56,16.0,11.78,11.79,60.0,0.0,0.0,0.0,16.093399999999654,-2.510248532000002
57,16.0,11.79,11.81,60.0,-0.2,0.0,0.0,32.18680000000217,-2.5746221320000062
58,16.0,11.81,11.83,60.0,-0.19,0.0,0.0,32.18679999999931,-2.635777052000005
59,16.0,11.83,11.85,60.0,-0.4,0.0,0.0,32.18679999999931,-2.764524252000002
60,16.0,11.85,12.02,60.0,-0.37,0.0,0.0,273.58779999999985,-3.776799112000001
61,16.0,12.02,12.04,60.0,-0.42,0.0,0.0,32.18679999999931,-3.9119836719999994
62,16.0,12.04,12.06,60.0,-0.3,0.0,0.0,32.18680000000217,-4.008544072000005
63,16.0,12.06,12.08,60.0,-0.2,0.0,0.0,32.18679999999931,-4.072917672000004
64,16.0,12.08,12.1,60.0,-0.29,0.0,0.0,32.18679999999931,-4.1662593920000015
65,16.0,12.1,12.12,60.0,-0.1,0.0,0.0,32.18679999999931,-4.1984461920000005
66,16.0,12.12,12.13,60.0,-0.1,0.0,0.0,16.093400000002514,-4.214539592000003
67,16.0,12.13,12.15,60.0,-0.09,0.0,0.0,32.18679999999931,-4.243507712000002
68,16.0,12.15,12.17,60.0,0.0,0.0,0.0,32.18679999999931,-4.243507712000002
69,16.0,12.17,12.31,60.0,0.0,0.0,0.0,225.3076000000009,-4.243507712000002
70,16.0,12.31,12.51,60.0,-0.04,0.0,0.0,321.86799999999886,-4.372254912000002
71,16.0,12.51,12.53,60.0,0.19,0.0,0.0,32.18679999999931,-4.311099992000003
72,16.0,12.53,12.55,60.0,0.1,0.0,0.0,32.18680000000217,-4.278913192
73,16.0,12.55,12.57,60.0,0.2,0.0,0.0,32.18679999999931,-4.214539592000001
74,16.0,12.57,12.76,60.0,0.27,0.0,0.0,305.7745999999992,-3.388948172000004
75,16.0,12.76,12.93,60.0,-0.03,0.0,0.0,273.58779999999985,-3.471024512000004
76,16.0,12.93,13.1,60.0,0.12,0.0,0.0,273.58779999999985,-3.142719152000004
77,16.0,13.1,13.37,60.0,-0.06,R,1.0,434.5217999999993,-3.403432232000003
78,16.0,13.37,13.45,60.0,-0.06,0.0,0.0,128.7472000000001,-3.4806805520000035
79,16.0,13.45,13.64,60.0,0.08,0.0,0.0,305.77460000000207,-3.2360608720000017
80,16.0,13.64,13.75,60.0,0.0,0.0,0.0,177.02739999999906,-3.2360608720000017
81,16.0,13.75,14.09,60.0,-0.03,R,1.15,547.1755999999997,-3.4002135520000016
82,16.0,14.09,14.32,60.0,-0.24,R,1.15,370.1482000000007,-4.288569232000003
83,16.0,14.32,14.451,60.0,0.0,R,1.15,210.82354000000035,-4.288569232000003
84,16.0,14.451,14.46,60.0,0.0,0.0,0.0,14.484060000000548,-4.288569232000003
85,16.0,14.46,14.8,60.0,0.18,0.0,0.0,547.1755999999997,-3.3036531520000034
86,16.0,14.8,14.96,60.0,0.0,0.0,0.0,257.4944000000002,-3.3036531520000034
87,16.0,14.96,15.24,60.0,-0.12,0.0,0.0,450.6151999999989,-3.844391392000002
88,16.0,15.24,15.56,60.0,0.0,0.0,0.0,514.9888000000004,-3.844391392000002
89,16.0,15.56,15.748,60.0,0.06,R,0.71666,302.5559199999981,-3.662857840000003
90,16.0,15.748,15.87,60.0,0.06,0.0,0.0,196.3394799999998,-3.545054152000003
