,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,55.0,0.1,0.189,49.0,0.0,L,0.0,143.23126,0.0
1,55.0,0.189,0.49,49.0,0.32,0.0,0.0,484.41134,1.550116288
2,55.0,0.49,0.5,49.0,-2.97,0.0,0.0,16.093400000000013,1.0721423079999994
3,55.0,0.5,0.56,49.0,0.53,0.0,0.0,96.56040000000009,1.583912428
4,55.0,0.56,1.11,49.0,0.0,0.0,0.0,885.1370000000001,1.583912428
5,55.0,1.11,1.19,49.0,0.0,0.0,0.0,128.74719999999974,1.583912428
6,55.0,1.19,1.61,49.0,-0.36,0.0,0.0,675.9228000000002,-0.8494096520000005
7,55.0,1.61,2.1,49.0,-0.15,0.0,0.0,788.5766,-2.0322745520000005
8,55.0,2.1,2.34,49.0,-0.19,0.0,0.0,386.2415999999996,-2.766133592
9,55.0,2.34,2.78,49.0,0.0,0.0,0.0,708.1095999999999,-2.766133592
10,55.0,2.78,3.25,49.0,0.19,0.0,0.0,756.3898000000003,-1.328992971999999
11,55.0,3.25,3.81,49.0,0.1,0.0,0.0,901.2304,-0.4277625719999993
12,55.0,3.81,4.75,49.0,0.0,0.0,0.0,1512.7795999999998,-0.4277625719999993
13,55.0,4.75,5.18,49.0,0.5,0.0,0.0,692.0161999999995,3.0323184279999977
14,55.0,5.18,5.26,49.0,0.0,R,1.0,128.7472000000001,3.0323184279999977
15,55.0,5.26,5.33,49.0,0.0,R,1.0,112.65380000000046,3.0323184279999977
16,55.0,5.33,5.495,49.0,-0.79,R,1.0,265.54110000000003,0.9345437379999976
17,55.0,5.495,5.63,49.0,-0.79,0.0,0.0,217.26089999999965,-0.7818173719999997
18,55.0,5.63,5.9,49.0,-0.77,0.0,0.0,434.5218000000007,-4.127635232000006
19,55.0,5.9,6.84,49.0,0.0,0.0,0.0,1512.7795999999992,-4.127635232000006
20,55.0,6.84,7.26,49.0,0.14,0.0,0.0,675.9227999999998,-3.181343312000006
21,55.0,7.26,7.56,49.0,0.0,0.0,0.0,482.8019999999997,-3.181343312000006
22,55.0,7.56,8.61,49.0,-0.05,0.0,0.0,1689.8069999999996,-4.026246812000005
23,55.0,8.61,8.704,49.0,0.54,R,1.0,151.2779600000019,-3.209345827999995
24,55.0,8.704,9.08,49.0,0.54,0.0,0.0,605.1118399999991,0.0582581079999999
25,55.0,9.08,9.26,49.0,0.0,0.0,0.0,289.68119999999954,0.0582581079999999
26,55.0,9.26,9.792,49.0,0.0,L,1.0,856.1688800000001,0.0582581079999999
27,55.0,9.792,10.83,49.0,0.0,0.0,0.0,1670.4949200000003,0.0582581079999999
28,55.0,10.83,11.47,49.0,-0.61,0.0,0.0,1029.9776000000008,-6.224605252000005
29,55.0,11.47,12.24,49.0,0.01,0.0,0.0,1239.1917999999991,-6.100686072000006
30,55.0,12.24,12.388,49.0,0.09,R,1.0,238.1823199999995,-5.886321984000006
31,55.0,12.388,13.0,49.0,0.09,0.0,0.0,984.91608,-4.999897512000006
32,55.0,13.0,13.69,49.0,0.04,0.0,0.0,1110.4445999999991,-4.555719672000006
33,55.0,13.69,14.31,49.0,-0.3,0.0,0.0,997.7908000000016,-7.54909207200001
