,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,362.0,1.48,2.38,49.0,0.0,0.0,0.0,1448.4059999999995,9.68500812
1,362.0,2.38,2.88,49.0,0.49,0.0,0.0,804.67,13.62789112
2,362.0,2.88,3.63,49.0,0.29,0.0,0.0,1207.005,17.12820562
3,362.0,3.63,4.66,49.0,0.0,0.0,0.0,1657.6202000000003,17.12820562
4,362.0,4.66,4.93,49.0,0.58,0.0,0.0,434.5217999999993,19.648432059999998
5,362.0,4.93,5.12,49.0,0.74,0.0,0.0,305.7746000000006,21.9111641
6,362.0,5.12,5.3,49.0,0.4,0.0,0.0,289.68119999999954,23.069888899999995
7,362.0,5.3,5.34,49.0,0.59,R,2.0,64.37360000000005,23.449693139999997
8,362.0,5.34,5.68,49.0,0.52,R,2.0,547.1755999999997,26.295006259999997
9,362.0,5.68,5.714,49.0,0.59,R,2.0,54.71756000000112,26.617839864
10,362.0,5.714,6.03,49.0,0.59,0.0,0.0,508.5514399999997,29.61829336
11,362.0,6.03,6.56,49.0,0.5,L,2.53,852.950199999999,33.88304435999999
12,362.0,6.56,6.564,49.0,0.59,L,2.53,6.43736000000072,33.921024784
13,362.0,6.564,7.07,49.0,0.59,0.0,0.0,814.3260400000004,38.72554842
14,362.0,7.07,7.542,49.0,0.54,L,2.15,759.6084799999992,42.82743421199999
15,362.0,7.542,7.73,49.0,0.54,0.0,0.0,302.555920000001,44.46123618
16,362.0,7.73,8.33,49.0,0.5,R,2.46,965.6039999999994,49.28925618
17,362.0,8.33,8.344,49.0,0.59,R,2.46,22.530759999998946,49.42218766399999
18,362.0,8.344,8.6,49.0,0.59,0.0,0.0,411.99104000000034,51.85293479999999
19,362.0,8.6,9.17,49.0,0.52,R,2.0,917.3238000000003,56.62301856
20,362.0,9.17,9.179,49.0,0.6,R,2.0,14.484060000000548,56.70992292
21,362.0,9.179,10.02,49.0,0.6,0.0,0.0,1353.4549399999987,64.83065255999999
22,362.0,10.02,10.77,49.0,0.45,L,3.53,1207.005,70.26217505999999
23,362.0,10.77,10.791,49.0,0.6,L,3.53,33.79614000000128,70.4649519
24,362.0,10.791,10.88,49.0,0.6,0.0,0.0,143.23126000000065,71.32433946
25,362.0,10.88,11.476,49.0,0.47,R,4.46,959.16664,75.832422668
26,362.0,11.476,11.83,49.0,0.47,0.0,0.0,569.7063599999987,78.51004256
27,362.0,11.83,11.873,49.0,0.59,R,4.7,69.20161999999881,78.918332118
28,362.0,11.873,11.99,49.0,0.59,0.0,0.0,188.2927800000014,80.02925952
29,362.0,11.99,12.5,49.0,0.45,L,3.46,820.7633999999996,83.72269482
30,362.0,12.5,12.542,49.0,0.59,L,3.46,67.5922799999997,84.121489272
31,362.0,12.542,13.02,49.0,0.59,0.0,0.0,769.2645199999996,88.66014994
32,362.0,13.02,13.28,49.0,0.52,R,1.91,418.4283999999996,90.83597762
33,362.0,13.28,13.295,49.0,0.6,R,1.91,24.140100000000917,90.98081822
34,362.0,13.295,13.53,49.0,0.6,0.0,0.0,378.1948999999991,93.24998762
35,362.0,13.53,13.8,49.0,0.52,L,2.15,434.5218000000021,95.50950098
36,362.0,13.8,13.823,49.0,0.6,L,2.15,37.014819999999496,95.7315899
37,362.0,13.823,14.88,49.0,0.6,0.0,0.0,1701.0723800000003,105.93802418
38,362.0,14.88,15.5,49.0,0.47,L,3.0,997.7907999999989,110.62764094
39,362.0,15.5,15.558,49.0,0.59,L,3.0,93.34171999999973,111.178357088
40,362.0,15.558,15.98,49.0,0.59,0.0,0.0,679.1414800000009,115.18529182
41,362.0,15.98,16.51,49.0,0.48,R,3.46,852.9502000000018,119.27945278
42,362.0,16.51,16.55,49.0,0.59,R,3.46,64.37359999999862,119.65925702
43,362.0,16.55,16.76,49.0,0.59,0.0,0.0,337.96140000000133,121.65322928000002
44,362.0,16.76,16.93,49.0,0.47,L,2.91,273.587799999997,122.93909194
45,362.0,16.93,16.946,49.0,0.59,L,2.91,25.74944000000288,123.09101363600004
46,362.0,16.946,17.1,49.0,0.59,0.0,0.0,247.83835999999985,124.55325996000003
47,362.0,17.1,17.56,49.0,0.48,R,2.91,740.2963999999956,128.10668268
48,362.0,17.56,17.589,49.0,0.59,R,2.91,46.67085999999986,128.382040754
49,362.0,17.589,17.82,49.0,0.59,0.0,0.0,371.7575400000026,130.57541024000002
50,362.0,17.82,18.37,49.0,0.47,L,3.0,885.1370000000011,134.73555414000003
51,362.0,18.37,18.421,49.0,0.59,L,3.0,82.07633999999739,135.219804546
52,362.0,18.421,18.63,49.0,0.59,0.0,0.0,336.35205999999937,137.2042817
53,362.0,18.63,18.96,49.0,0.5,R,2.46,531.0822000000029,139.8596927
54,362.0,18.96,18.975,49.0,0.6,R,2.46,24.140100000000917,140.00453330000002
55,362.0,18.975,19.25,49.0,0.6,0.0,0.0,442.5684999999977,142.6599443
56,362.0,19.25,19.47,49.0,0.5,R,2.38,354.0547999999981,144.4302183
57,362.0,19.47,19.517,49.0,0.6,R,2.38,75.63898000000096,144.88405218000003
58,362.0,19.517,20.45,49.0,0.6,0.0,0.0,1501.5142199999996,153.89313750000002
59,362.0,19.611,19.791,49.0,0.0,L,1.53,289.68119999999954,153.89313750000002
60,362.0,19.791,19.976,49.0,0.0,R,0.91,297.727899999998,153.89313750000002
61,362.0,19.976,20.45,49.0,0.0,L,2.53,762.8271600000003,153.89313750000002
62,362.0,20.45,21.18,49.0,0.5,L,2.53,1174.8182000000006,159.76722850000002
63,362.0,21.18,21.182,49.0,0.0,L,2.53,3.218679999998216,159.76722850000002
64,362.0,21.182,21.38,49.0,0.0,0.0,0.0,318.6493200000006,159.76722850000002
65,362.0,21.38,21.84,49.0,-0.05,0.0,0.0,740.2964000000013,159.39708030000003
66,362.0,21.84,22.3,49.0,-0.3,0.0,0.0,740.2964000000013,157.1761911
67,362.0,22.3,22.68,49.0,-0.25,R,1.0,611.5491999999983,155.6473181
68,362.0,22.68,22.688,49.0,-0.3,R,1.0,12.87471999999858,155.60869394000002
69,362.0,22.688,24.71,49.0,-0.3,0.0,0.0,3254.085480000003,145.8464375
70,362.0,24.71,24.9,49.0,-0.1,0.0,0.0,305.7745999999963,145.5406629
71,362.0,24.9,26.42,49.0,-0.08,0.0,0.0,2446.1968000000047,143.58370546
72,362.0,26.42,26.79,49.0,0.19,0.0,0.0,595.4557999999959,144.71507148
73,362.0,26.79,27.33,49.0,-0.1,0.0,0.0,869.0435999999986,143.84602788
74,362.0,27.33,30.38,49.0,0.0,0.0,0.0,4908.487000000001,143.84602788
75,362.0,30.38,31.15,49.0,0.06,0.0,0.0,1239.1917999999991,144.58954296000002
76,362.0,31.15,32.59,49.0,0.0,0.0,0.0,2317.449600000008,144.58954296000002
77,362.0,32.59,32.66,49.0,0.19,0.0,0.0,112.65379999998902,144.80358518
78,362.0,32.66,34.14,49.0,0.58,0.0,0.0,2381.823200000006,158.61815974000004
79,362.0,34.14,34.56,49.0,0.55,R,0.91,675.9228000000027,162.33573514000005
80,362.0,34.56,34.592,49.0,0.6,R,0.91,51.49887999999432,162.64472842
81,362.0,34.592,34.77,49.0,0.6,0.0,0.0,286.46252000000703,164.36350354000004
82,362.0,34.77,35.35,49.0,0.3,0.0,0.0,933.4171999999973,167.16375514000003
83,362.0,35.35,36.54,49.0,0.59,0.0,0.0,1915.114599999996,178.46293128000002
84,362.0,36.54,36.92,49.0,0.0,0.0,0.0,611.5492000000041,178.46293128000002
85,362.0,36.866,37.89,49.0,-0.25,0.0,0.0,1647.9641600000014,174.34302088
86,362.0,37.89,38.34,49.0,-0.5,0.0,0.0,724.2030000000045,170.72200587999998
87,362.0,38.34,38.96,49.0,-0.25,0.0,0.0,997.7907999999958,168.22752888
88,362.0,38.96,39.42,49.0,-0.63,0.0,0.0,740.2964000000013,163.56366156
89,362.0,39.42,39.72,49.0,-0.56,0.0,0.0,482.8019999999954,160.85997036
90,362.0,39.72,39.734,49.0,-0.6,L,1.0,22.530760000004665,160.72478579999998
91,362.0,39.734,40.17,49.0,-0.6,0.0,0.0,701.6722399999999,156.51475236
92,362.0,40.17,40.47,49.0,-0.51,L,2.0,482.8019999999954,154.05246216
93,362.0,40.47,40.499,49.0,-0.6,L,2.0,46.670860000005575,153.77243699999997
94,362.0,40.499,40.68,49.0,-0.6,0.0,0.0,291.29053999999576,152.02469376
95,362.0,40.68,40.94,49.0,-0.52,R,2.08,418.4283999999968,149.84886608
96,362.0,40.94,40.957,49.0,-0.59,R,2.08,27.358780000004845,149.68744927799997
97,362.0,40.957,41.4,49.0,-0.59,0.0,0.0,712.9376199999965,145.48111731999998
98,362.0,41.4,42.02,49.0,0.1,R,0.7,997.7908000000072,146.47890812
99,362.0,42.02,42.047,49.0,-0.6,R,0.7,43.45217999999021,146.21819504000007
100,362.0,42.047,43.1,49.0,-0.6,0.0,0.0,1694.635020000007,136.05038492000003
101,362.0,43.1,43.31,49.0,-0.55,L,2.15,337.96140000000133,134.19159722000003
102,362.0,43.31,43.52,49.0,-0.51,L,2.15,337.96140000000133,132.46799408000004
103,362.0,43.52,43.535,49.0,-0.59,L,2.15,24.14009999998948,132.3255674900001
104,362.0,43.535,43.97,49.0,-0.59,0.0,0.0,700.0629000000037,128.19519638000008
105,362.0,43.97,44.08,49.0,-0.52,L,2.15,177.02739999999906,127.27465390000008
106,362.0,44.08,44.18,49.0,-0.73,L,2.15,160.93400000000227,126.09983570000009
107,362.0,44.18,44.37,49.0,-0.51,L,2.15,305.7745999999963,124.54038524000008
108,362.0,44.37,44.46,49.0,-0.3,L,2.15,144.84060000000548,124.10586344000008
109,362.0,44.46,44.84,49.0,-0.52,L,2.15,611.5492000000041,120.92580760000006
110,362.0,44.84,44.889,49.0,-0.59,L,2.15,78.85765999999917,120.46054740600006
111,362.0,44.889,45.05,49.0,-0.59,0.0,0.0,259.10373999999075,118.93183534000012
112,362.0,45.05,45.94,49.0,-0.51,R,2.91,1432.3126000000009,111.62704108000013
113,362.0,45.94,46.083,49.0,0.0,R,2.91,230.1356200000011,111.62704108000013
114,362.0,46.083,46.42,49.0,0.0,0.0,0.0,542.3475800000052,111.62704108000013
115,362.0,46.42,46.7,49.0,0.61,0.0,0.0,450.6152000000018,114.37579380000012
116,362.0,46.7,47.15,49.0,0.54,0.0,0.0,724.2029999999932,118.28649000000009
117,362.0,47.15,47.175,49.0,0.6,R,0.91,40.23349999999771,118.52789100000008
118,362.0,47.175,48.1,49.0,0.6,0.0,0.0,1488.6395000000068,127.45972800000013
119,362.0,48.1,48.34,49.0,0.51,L,2.3,386.2416000000032,129.42956016000014
120,362.0,48.34,48.348,49.0,0.0,L,2.3,12.874719999992864,129.42956016000014
121,362.0,48.348,48.78,49.0,0.0,0.0,0.0,695.2348800000034,129.42956016000014
122,362.0,48.78,49.18,49.0,-0.59,0.0,0.0,643.7359999999977,125.63151776000016
