,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7602.0,45.53,45.406,60.0,0.26,0.0,0.0,199.5581600000037,-293.1176237020004
1,7602.0,45.406,45.32,60.0,0.26,L,2.15583,138.40323999999762,-292.5987724860004
2,7602.0,45.32,45.25,60.0,0.38,L,2.15583,112.65380000000046,-292.2389240620004
3,7602.0,45.25,44.94,60.0,0.33,0.0,0.0,498.8954000000036,-291.81083962200034
4,7602.0,44.94,44.05,60.0,0.65,0.0,0.0,1432.3126000000009,-290.16448480200035
5,7602.0,44.05,43.715,60.0,-0.0,0.0,0.0,539.1288999999899,-280.85445290200033
6,7602.0,43.715,43.68,60.0,-0.0,L,1.1,56.32690000000594,-280.85445290200033
7,7602.0,43.68,43.4,60.0,0.5,0.0,0.0,450.6152000000018,-280.85445290200033
8,7602.0,43.4,43.014,60.0,0.71,0.0,0.0,621.2052399999931,-278.6013769020003
9,7602.0,43.014,42.65,60.0,0.71,R,0.82611,585.7997600000069,-274.1908196980004
10,7602.0,42.65,42.58,60.0,-0.51,0.0,0.0,112.65380000000046,-270.03164140200033
11,7602.0,42.58,42.21,60.0,-0.0,0.0,0.0,595.4557999999959,-270.6061757820003
12,7602.0,42.21,41.919,60.0,-0.19,0.0,0.0,468.3179400000063,-270.6061757820003
13,7602.0,42.03,41.45,60.0,-0.0,0.0,0.0,933.4171999999973,-271.49597986800035
14,7602.0,41.45,41.042,60.0,0.35,0.0,0.0,656.610720000002,-271.49597986800035
15,7602.0,41.042,40.9,60.0,0.35,R,1.1,228.52628000000485,-269.19784234800034
16,7602.0,40.9,40.89,60.0,-1.2,R,1.1,16.093399999996798,-268.39800036800034
17,7602.0,40.89,40.75,60.0,0.43,0.0,0.0,225.3076000000009,-268.5911211680003
18,7602.0,40.75,40.58,50.0,0.3,0.0,0.0,273.58780000000274,-267.6222984880003
19,7602.0,40.58,40.03,50.0,0.24,0.0,0.0,885.1369999999954,-266.80153508800026
20,7602.0,40.03,39.617,50.0,0.22,0.0,0.0,664.6574200000061,-264.67720628800026
21,7602.0,39.617,39.59,50.0,0.22,R,0.5,43.45217999999021,-263.21495996400023
22,7602.0,39.59,39.0,50.0,0.42,0.0,0.0,949.5106000000054,-263.11936516800023
23,7602.0,39.0,38.64,50.0,0.43,0.0,0.0,579.3623999999991,-259.1314206480002
24,7602.0,38.64,38.465,50.0,0.67,0.0,0.0,281.6344999999954,-256.6401623280002
25,7602.0,38.465,38.31,50.0,0.67,L,2.15833,249.44770000000184,-254.75321117800024
26,7602.0,38.31,38.172,50.0,0.92,0.0,0.0,222.0889200000084,-253.08191158800025
27,7602.0,38.172,37.86,50.0,0.92,L,2.66,502.11407999999614,-251.0386935240001
28,7602.0,37.86,37.13,50.0,-0.0,0.0,0.0,1174.818199999995,-246.41924398800012
29,7602.0,37.13,37.0,50.0,-0.0,R,1.5,209.2142000000041,-246.41924398800012
30,7602.0,37.0,36.71,50.0,0.55,R,1.5,466.7085999999986,-246.41924398800012
31,7602.0,36.71,36.52,50.0,0.94,R,1.5,305.7745999999963,-243.85234668800013
32,7602.0,37.13,36.52,50.0,1.03,R,1.5,981.697399999999,-240.97806544800025
33,7602.0,36.52,36.353,50.0,1.03,0.0,0.0,268.75978000000254,-230.86658222800023
34,7602.0,36.353,36.31,50.0,1.03,L,1.71666,69.20161999999881,-228.0983564940002
35,7602.0,36.31,36.18,50.0,0.84,L,1.71666,209.2142000000041,-227.38557980800024
36,7602.0,36.18,35.666,50.0,1.09,0.0,0.0,827.2007600000046,-225.62818052800017
37,7602.0,35.666,35.62,50.0,1.09,L,1.61833,74.02963999999899,-216.61169224400007
38,7602.0,35.62,35.014,50.0,-0.0,L,1.61833,975.2600399999912,-215.8047691680001
39,7602.0,35.62,34.185,50.0,0.03,0.0,0.0,2309.4028999999923,-215.8047691680001
40,7602.0,34.185,34.1,50.0,0.03,R,2.06666,136.79390000000137,-215.11194829800016
41,7602.0,34.1,34.03,50.0,1.35,0.0,0.0,112.65380000000046,-215.0709101280001
42,7602.0,34.03,33.91,50.0,1.35,L,3.53333,193.1208000000073,-213.5500838280001
43,7602.0,33.91,33.59,50.0,-0.0,L,3.53333,514.9887999999889,-210.94295302800003
44,7602.0,33.59,33.01,50.0,0.88,0.0,0.0,933.4172000000086,-210.94295302800003
45,7602.0,33.01,32.831,50.0,-0.4,0.0,0.0,288.07185999999183,-202.728881668
46,7602.0,32.831,32.8,50.0,-0.4,L,1.53333,49.88954000000951,-203.881169108
47,7602.0,32.8,32.68,50.0,-0.28,L,1.53333,193.12079999999588,-204.080727268
48,7602.0,32.68,32.521,50.0,-0.32,0.0,0.0,255.88505999999825,-204.621465508
49,7602.0,32.521,32.48,50.0,-0.32,R,1.51666,65.98294000000631,-205.4402977
50,7602.0,32.48,32.36,50.0,-0.32,R,1.51666,193.12079999999588,-205.651443108
51,7602.0,32.36,31.772,50.0,0.14,0.0,0.0,946.2919200000016,-206.269429668
52,7602.0,31.772,31.77,50.0,0.14,R,1.0,3.218679999998216,-204.94462098
53,7602.0,31.77,31.561,50.0,-0.65,0.0,0.0,336.35205999999937,-204.940114828
54,7602.0,31.62,31.21,50.0,-0.0,0.0,0.0,659.8294000000002,-207.126403218
55,7602.0,31.21,31.2,50.0,-0.0,L,1.50833,16.093400000002514,-207.126403218
56,7602.0,31.2,30.6,50.0,0.82,L,1.50833,965.6039999999964,-207.126403218
57,7602.0,30.6,30.46,50.0,0.88,L,1.50833,225.3076000000009,-199.208450418
58,7602.0,30.46,30.142,50.0,0.86,0.0,0.0,511.77012000000224,-197.225743538
59,7602.0,30.142,30.12,50.0,0.86,R,1.53333,35.40547999999753,-192.824520506
60,7602.0,30.12,30.07,50.0,1.69,R,1.53333,80.46700000000114,-192.520033378
61,7602.0,30.07,29.66,50.0,0.75,R,1.53333,659.8294000000002,-191.160141078
62,7602.0,29.66,29.326,50.0,0.37,0.0,0.0,537.5195599999994,-186.211420578
63,7602.0,29.326,29.26,50.0,0.37,L,1.54583,106.2164399999983,-184.222598206
64,7602.0,29.26,28.594,50.0,0.75,0.0,0.0,1071.8204400000006,-183.829597378
65,7602.0,28.594,28.53,50.0,0.75,R,1.53333,102.99776000000008,-175.79094407800002
66,7602.0,28.53,28.27,50.0,0.92,R,1.53333,418.4284000000025,-175.018460878
67,7602.0,28.27,28.019,50.0,0.78,0.0,0.0,403.94434000000194,-171.168919598
68,7602.0,28.019,28.01,50.0,0.78,L,1.0,14.48405999999483,-168.018153746
69,7602.0,28.01,27.61,50.0,0.9,0.0,0.0,643.7360000000034,-167.90517807800003
70,7602.0,27.61,27.34,50.0,0.69,0.0,0.0,434.5217999999993,-162.111554078
71,7602.0,27.34,26.68,50.0,0.99,0.0,0.0,1062.1644,-159.11335365800002
72,7602.0,26.68,26.23,50.0,-0.0,0.0,0.0,724.2029999999988,-148.59792609800002
73,7602.0,26.23,25.83,50.0,-0.45,0.0,0.0,643.7360000000034,-148.59792609800002
74,7602.0,25.83,25.626,50.0,-0.08,0.0,0.0,328.3053599999953,-151.49473809800003
75,7602.0,25.626,25.45,50.0,-0.08,R,1.5,283.2438400000031,-151.75738238600002
76,7602.0,25.45,25.01,50.0,-0.44,R,1.5,708.1095999999962,-151.98397745800003
77,7602.0,25.01,24.399,50.0,-0.0,0.0,0.0,983.306740000001,-155.099659698
78,7602.0,24.51,24.22,50.0,0.74,0.0,0.0,466.7086000000043,-155.099659698
79,7602.0,24.22,23.61,50.0,0.49,0.0,0.0,981.697399999999,-151.646016058
80,7602.0,23.66,23.28,50.0,-0.0,0.0,0.0,611.5491999999983,-146.83569879799998
81,7602.0,23.28,22.9,50.0,0.51,0.0,0.0,611.5492000000041,-146.83569879799998
82,7602.0,22.9,22.779,50.0,0.32,0.0,0.0,194.73013999999785,-143.71679787799997
83,7602.0,22.779,22.72,50.0,0.32,L,2.21666,94.95106000000168,-143.09366142999997
84,7602.0,22.72,22.59,50.0,0.33,L,2.21666,209.2141999999984,-142.78981803799996
85,7602.0,22.59,22.31,50.0,1.36,0.0,0.0,450.6152000000018,-142.09941117799997
86,7602.0,22.31,22.14,50.0,0.21,0.0,0.0,273.587799999997,-135.97104445799994
87,7602.0,22.14,22.08,50.0,0.21,L,1.1,96.56040000000364,-135.39651007799995
88,7602.0,22.08,21.87,50.0,1.22,L,1.1,337.96139999999565,-135.19373323799994
89,7602.0,21.87,21.42,50.0,-0.0,0.0,0.0,724.2029999999988,-131.07060415799998
90,7602.0,21.42,20.19,50.0,0.37,0.0,0.0,1979.4882000000007,-131.07060415799998
91,7602.0,20.19,19.77,50.0,0.33,0.0,0.0,675.9228000000027,-123.74649781799998
92,7602.0,19.77,18.73,50.0,0.59,0.0,0.0,1673.7135999999985,-121.51595257799995
93,7602.0,18.73,18.62,50.0,0.78,0.0,0.0,177.02739999999906,-111.64104233799998
94,7602.0,18.62,18.25,50.0,-0.0,0.0,0.0,595.4558000000015,-110.260228618
95,7602.0,18.25,18.12,50.0,0.29,0.0,0.0,209.2141999999984,-110.260228618
96,7602.0,18.12,17.89,50.0,0.5,0.0,0.0,370.1482000000007,-109.653507438
97,7602.0,17.89,17.11,50.0,1.0,0.0,0.0,1255.285200000002,-107.802766438
98,7602.0,17.11,17.099,50.0,2.0,0.0,0.0,17.702739999998766,-95.24991443799998
99,7602.0,17.099,17.07,50.0,2.0,L,2.16666,46.67085999999986,-94.895859638
100,7602.0,17.07,16.683,50.0,0.94,0.0,0.0,622.8145800000007,-93.962442438
101,7602.0,16.683,16.67,50.0,0.94,L,3.05,20.92141999999698,-88.10798538600001
102,7602.0,16.67,16.353,50.0,0.3,0.0,0.0,510.1607800000003,-87.91132403800003
103,7602.0,16.353,16.33,50.0,0.3,R,3.01666,37.014820000005216,-86.38084169800003
104,7602.0,16.33,16.07,50.0,1.32,R,3.01666,418.4283999999968,-86.26979723800001
105,7602.0,16.07,15.79,50.0,1.03,0.0,0.0,450.6152000000018,-80.74654235800006
106,7602.0,15.79,15.636,50.0,-0.52,0.0,0.0,247.83835999999985,-76.10520579800004
107,7602.0,15.636,15.6,50.0,-0.52,L,3.3,57.93623999999934,-77.39396527000004
108,7602.0,15.6,15.04,50.0,-0.0,0.0,0.0,901.2304000000008,-77.69523371800004
109,7602.0,15.04,14.926,50.0,0.99,0.0,0.0,183.4647599999984,-77.69523371800004
110,7602.0,14.926,14.89,50.0,0.99,L,1.0,57.93623999999934,-75.87893259400006
111,7602.0,14.89,14.76,50.0,0.89,L,1.0,209.21420000000128,-75.30536381800007
112,7602.0,14.76,14.23,50.0,-0.0,0.0,0.0,852.950199999999,-73.44335743800006
113,7602.0,14.23,14.05,50.0,0.74,0.0,0.0,289.68119999999954,-73.44335743800006
114,7602.0,14.05,13.7,50.0,-0.0,0.0,0.0,563.2690000000023,-71.29971655800007
115,7602.0,13.7,13.39,50.0,0.99,0.0,0.0,498.8953999999979,-71.29971655800007
116,7602.0,13.39,13.03,50.0,-0.0,0.0,0.0,579.3624000000019,-66.36065209800009
117,7602.0,13.03,12.478,50.0,-0.44,0.0,0.0,888.3556799999993,-66.36065209800009
118,7602.0,12.478,12.45,50.0,-0.44,L,4.05,45.06152000000076,-70.26941709000009
119,7602.0,12.45,12.23,50.0,-0.1,L,4.05,354.0547999999981,-70.4676877780001
120,7602.0,12.23,12.146,50.0,0.5,0.0,0.0,135.1845599999994,-70.8217425780001
121,7602.0,12.146,11.89,50.0,0.5,R,4.76666,411.99104000000034,-70.1458197780001
122,7602.0,11.89,11.752,50.0,0.96,0.0,0.0,222.08891999999983,-68.0858645780001
123,7602.0,11.752,11.7,50.0,0.96,L,2.01666,83.68568000000221,-65.9538109460001
124,7602.0,11.7,11.29,50.0,0.78,L,2.01666,659.8294000000002,-65.15042841800009
125,7602.0,11.29,11.149,50.0,-1.65,0.0,0.0,226.91694,-60.00375909800009
126,7602.0,11.149,11.06,50.0,-1.65,R,1.18333,143.2312599999978,-63.74788860800009
127,7602.0,11.06,10.67,50.0,-0.0,R,1.18333,627.6426000000009,-66.11120439800005
128,7602.0,10.67,10.434,50.0,-0.24,0.0,0.0,379.804240000001,-66.11120439800005
