,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2.0,287.731,287.628,60.0,-0.0,R,0.66666,165.7620200000139,471.7459629471925
1,2.0,287.36,287.34,60.0,-0.2,0.0,0.0,32.186800000062206,467.2398109471926
2,2.0,287.34,287.31,60.0,-0.0,0.0,0.0,48.28019999995609,467.1754373471925
3,2.0,287.31,287.21,60.0,-0.19,0.0,0.0,160.93400000003658,467.1754373471925
4,2.0,287.21,286.874,60.0,-0.1,0.0,0.0,540.738239999929,466.8696627471924
5,2.0,287.02,286.64,60.0,-0.49,0.0,0.0,611.5491999999927,466.3289245071925
6,2.0,286.64,286.49,60.0,-0.39,0.0,0.0,241.4009999999634,463.3323334271925
7,2.0,286.49,286.47,60.0,-0.3,0.0,0.0,32.186799999970724,462.3908695271927
8,2.0,286.47,285.96,60.0,-0.0,0.0,0.0,820.7634000000768,462.2943091271927
9,2.0,285.96,285.825,60.0,-0.39,0.0,0.0,217.26089999998536,462.2943091271927
10,2.0,285.825,285.62,60.0,-0.39,L,1.01666,329.91469999997435,461.4469916171928
11,2.0,285.62,285.6,60.0,-0.3,L,1.01666,32.186799999970724,460.1603242871929
12,2.0,285.6,285.45,60.0,-0.0,L,1.01666,241.4010000000549,460.063763887193
13,2.0,285.45,285.41,60.0,-0.19,L,1.01666,64.37359999994145,460.063763887193
14,2.0,285.41,284.664,60.0,-0.39,0.0,0.0,1200.5676400000607,459.9414540471931
15,2.0,284.664,284.56,60.0,-0.39,L,1.5,167.37135999997585,455.25924025119286
16,2.0,284.56,284.351,60.0,-0.22,0.0,0.0,336.3520600000051,454.606491947193
17,2.0,284.351,284.22,60.0,-0.22,R,1.5,210.82353999995465,453.86651741519296
18,2.0,284.22,284.034,60.0,-0.0,0.0,0.0,299.3372400000571,453.4027056271931
19,2.0,284.034,283.88,60.0,-0.0,L,0.75,247.8383599999941,453.4027056271931
20,2.0,283.88,283.31,60.0,-0.4,0.0,0.0,917.323799999989,453.4027056271931
21,2.0,283.31,283.06,60.0,-0.0,0.0,0.0,402.335,449.7334104271931
22,2.0,283.06,283.04,60.0,-0.2,0.0,0.0,32.186799999970724,449.7334104271931
23,2.0,283.04,282.806,60.0,-0.4,0.0,0.0,376.58556000006,449.6690368271932
24,2.0,282.806,282.72,60.0,-0.4,R,1.05,138.403239999929,448.1626945871929
25,2.0,282.72,282.57,60.0,0.1,R,1.05,241.4010000000549,447.6090816271932
26,2.0,282.57,282.55,60.0,0.19,R,1.05,32.186799999970724,447.8504826271932
27,2.0,282.55,282.29,60.0,-0.4,0.0,0.0,418.4283999999853,447.9116375471932
28,2.0,282.29,281.95,60.0,-0.0,0.0,0.0,547.1756000000512,446.2379239471932
29,2.0,281.95,281.83,60.0,-0.19,0.0,0.0,193.1208000000073,446.2379239471932
30,2.0,281.83,281.72,60.0,-0.4,0.0,0.0,177.02739999993045,445.8709944271932
31,2.0,281.72,280.66,60.0,-0.29,0.0,0.0,1705.9004000000036,445.1628848271935
32,2.0,280.66,280.563,60.0,-0.0,0.0,0.0,156.10598000005928,440.2157736671935
33,2.0,280.563,280.47,60.0,-0.0,R,1.01666,149.66861999993705,440.2157736671935
34,2.0,280.47,280.45,60.0,-0.1,R,1.01666,32.186800000062206,440.2157736671935
35,2.0,280.45,280.43,60.0,-0.0,R,1.01666,32.186799999970724,440.18358686719336
36,2.0,280.43,280.41,60.0,-0.19,R,1.01666,32.186799999970724,440.18358686719336
37,2.0,280.41,280.39,60.0,-0.1,R,1.01666,32.186800000062206,440.12243194719343
38,2.0,280.39,280.15,60.0,-0.17,0.0,0.0,386.2416000000146,440.0902451471933
39,2.0,280.15,279.86,60.0,-0.31,0.0,0.0,466.70859999994144,439.4336344271933
40,2.0,279.86,278.625,60.0,-0.13,0.0,0.0,1987.534900000022,437.9868377671936
41,2.0,278.625,278.5,60.0,-0.13,L,1.03333,201.1675,435.40304239719353
42,2.0,278.5,278.44,60.0,-0.0,L,1.03333,96.56040000000364,435.14152464719353
43,2.0,278.44,277.8,60.0,-0.24,0.0,0.0,1029.977599999978,435.14152464719353
44,2.0,277.8,277.34,60.0,-0.0,0.0,0.0,740.2964000000585,432.6695784071936
45,2.0,277.34,277.23,60.0,0.41,0.0,0.0,177.02739999993045,432.6695784071936
46,2.0,277.23,277.16,60.0,-0.0,0.0,0.0,112.65379999998902,433.3953907471933
47,2.0,277.16,276.89,60.0,-0.29,0.0,0.0,434.52180000006217,433.3953907471933
48,2.0,276.89,276.848,60.0,-0.39,0.0,0.0,67.59227999995682,432.1352775271931
49,2.0,276.848,276.78,60.0,-0.39,L,0.83333,109.43512000006513,431.8716676351933
50,2.0,276.78,276.53,60.0,-0.0,0.0,0.0,402.335,431.4448706671931
51,2.0,276.53,276.35,60.0,-0.29,0.0,0.0,289.6811999999195,431.4448706671931
52,2.0,276.35,276.04,60.0,-0.16,0.0,0.0,498.8954000000036,430.6047951871933
53,2.0,276.04,275.75,60.0,-0.4,0.0,0.0,466.7086000000329,429.8065625471933
54,2.0,275.75,275.28,60.0,-0.1,0.0,0.0,756.3898000000439,427.9397281471932
55,2.0,275.28,275.02,60.0,-0.15,0.0,0.0,418.4283999999853,427.1833383471932
56,2.0,275.02,275.0,60.0,-0.1,0.0,0.0,32.186799999970724,426.5556957471932
57,2.0,275.0,274.69,60.0,0.0062,0.0,0.0,498.8954000000036,426.5235089471932
58,2.0,274.69,274.678,60.0,0.09,0.0,0.0,19.31208000000073,426.5544404619932
59,2.0,274.678,274.67,60.0,0.09,R,1.03333,12.874719999969994,426.5718213339932
60,2.0,274.67,274.66,60.0,0.2,R,1.03333,16.093399999985362,426.5834085819931
61,2.0,274.66,274.65,60.0,0.18,R,1.03333,16.093400000076844,426.6155953819931
62,2.0,274.65,274.62,60.0,0.27,R,1.03333,48.28019999995609,426.6445635019932
