,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2.0,288.027,288.25,60.0,-0.09,0.0,0.0,358.8828200000212,471.4229684091925
1,2.0,288.097,288.25,60.0,0.0,L,2.0,246.2290200000322,471.4229684091925
2,2.0,288.25,288.459,60.0,0.0,L,2.0,336.3520600000051,471.4229684091925
3,2.0,288.459,288.56,60.0,0.0,0.0,0.0,162.54333999999852,471.4229684091925
4,2.0,288.56,289.29,60.0,-0.4,0.0,0.0,1174.8182000000293,466.7236956091924
5,2.0,288.92,289.33,60.0,-0.19,0.0,0.0,659.8293999999487,465.4700197491924
6,2.0,289.33,289.71,60.0,0.0,0.0,0.0,611.5491999999927,465.4700197491924
7,2.0,289.71,290.37,60.0,0.4,0.0,0.0,1062.16440000004,469.7186773491926
8,2.0,290.37,290.54,60.0,0.0,0.0,0.0,273.5878000000256,469.7186773491926
9,2.0,290.54,290.83,60.0,0.4,0.0,0.0,466.70859999994144,471.5855117491924
10,2.0,290.83,290.87,60.0,0.0,0.0,0.0,64.37360000003292,471.5855117491924
11,2.0,290.87,291.25,60.0,-0.49,0.0,0.0,611.5491999999927,468.5889206691924
12,2.0,291.25,291.436,60.0,0.1,R,1.01666,299.3372399999656,468.8882579091924
13,2.0,291.436,292.55,60.0,0.1,0.0,0.0,1792.8047600000525,470.6810626691925
14,2.0,292.55,292.74,60.0,0.4,0.0,0.0,305.7745999999963,471.9041610691924
15,2.0,292.74,292.93,60.0,0.14,0.0,0.0,305.7745999999963,472.3322455091924
16,2.0,292.93,293.18,60.0,0.0,0.0,0.0,402.335,472.3322455091924
17,2.0,293.18,293.35,60.0,0.38,0.0,0.0,273.5878000000256,473.3718791491925
18,2.0,293.35,293.54,60.0,0.19,0.0,0.0,305.7745999999963,473.9528508891925
19,2.0,293.54,294.67,60.0,0.3,0.0,0.0,1818.5541999999923,479.4085134891925
20,2.0,294.67,294.86,60.0,0.09,0.0,0.0,305.7745999999963,479.6837106291925
21,2.0,294.86,294.92,60.0,0.0,0.0,0.0,96.56040000000364,479.6837106291925
22,2.0,294.92,295.22,60.0,-0.21,0.0,0.0,482.8020000000183,478.6698264291924
23,2.0,295.22,295.27,60.0,0.0,0.0,0.0,80.46699999992681,478.6698264291924
24,2.0,295.27,295.62,60.0,0.04,0.0,0.0,563.2690000000366,478.8951340291924
25,2.0,295.62,296.57,60.0,0.21,0.0,0.0,1528.8729999999816,482.1057673291924
26,2.0,296.57,297.33,60.0,0.39,0.0,0.0,1223.0983999999853,486.87585108919234
27,2.0,297.33,297.503,60.0,0.0,L,1.01666,278.4158200000029,486.87585108919234
28,2.0,297.503,297.7,60.0,0.0,0.0,0.0,317.0399800000044,486.87585108919234
29,2.0,297.7,297.93,60.0,-0.14,0.0,0.0,370.1482000000293,486.3576436091923
30,2.0,297.93,298.08,60.0,-0.06,0.0,0.0,241.4009999999634,486.2128030091923
