,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,25.0,1.05,1.22,45.0,1.21,0.0,0.0,273.58779999999985,20.814398890000003
1,25.0,1.22,1.254,45.0,0.36,L,2.68333,54.71756000000005,21.011382106000003
2,25.0,1.254,1.31,45.0,0.36,0.0,0.0,90.12304000000007,21.335825050000004
3,25.0,1.31,1.35,45.0,-0.14,0.0,0.0,64.37360000000005,21.24570201
4,25.0,1.35,1.42,45.0,1.16,0.0,0.0,112.65379999999972,22.55248609
5,25.0,1.42,1.68,45.0,0.71,R,2.05,418.4284,25.52332773
6,25.0,1.68,1.703,45.0,0.64,R,2.05,37.014820000000206,25.760222578
7,25.0,1.703,1.79,45.0,0.64,0.0,0.0,140.01257999999993,26.65630309
8,25.0,1.79,2.684,45.0,0.7,L,2.5,1438.74996,36.72755281
9,25.0,2.684,2.94,45.0,0.7,0.0,0.0,411.99103999999966,39.61149009
10,25.0,2.939,3.2,45.0,0.99,0.0,0.0,420.03774000000016,43.769863716
11,25.0,3.2,3.39,45.0,0.83,0.0,0.0,305.7745999999999,46.307792896
12,25.0,3.39,3.426,45.0,1.0,L,3.11666,57.93624000000005,46.887155296
13,25.0,3.426,4.28,45.0,1.0,0.0,0.0,1374.37636,60.630918896
14,25.0,4.152,4.32,45.0,0.5,0.0,0.0,270.36912000000024,61.982764496
15,25.0,4.32,4.62,45.0,0.24,0.0,0.0,482.8019999999997,63.141489296
16,25.0,4.62,4.668,45.0,0.65,R,0.98333,77.24832000000006,63.643603376
17,25.0,4.668,4.92,45.0,0.65,0.0,0.0,405.5536799999997,66.279702296
18,25.0,4.92,5.14,45.0,0.6,0.0,0.0,354.0547999999996,68.404031096
19,25.0,5.14,5.17,45.0,0.33,0.0,0.0,48.2802000000004,68.56335575599999
20,25.0,5.17,5.46,45.0,0.0,0.0,0.0,466.7086000000001,68.56335575599999
21,25.0,5.46,5.76,45.0,-0.49,0.0,0.0,482.8019999999997,66.197625956
22,25.0,5.76,6.36,45.0,-0.75,0.0,0.0,965.6040000000008,58.95559595599999
23,25.0,6.36,6.42,45.0,-0.39,R,0.93333,96.56039999999936,58.579010396
24,25.0,6.42,6.496,45.0,-0.1,R,0.93333,122.30984000000082,58.456700556
25,25.0,6.496,6.79,45.0,-0.1,0.0,0.0,473.1459599999993,57.983554596
26,25.0,6.79,7.01,45.0,0.0,0.0,0.0,354.0547999999996,57.983554596
27,25.0,7.01,7.2,45.0,0.48,0.0,0.0,305.7746000000006,59.451272676
28,25.0,7.2,7.32,45.0,0.0,0.0,0.0,193.12080000000017,59.451272676
29,25.0,7.32,7.36,45.0,-0.49,R,2.5,64.37360000000005,59.135842036
30,25.0,7.36,7.366,45.0,-1.0,R,2.5,9.656039999998937,59.03928163600001
31,25.0,7.366,7.55,45.0,-1.0,0.0,0.0,296.11856000000023,56.07809603600001
32,25.0,7.55,7.68,45.0,-0.85,R,2.75,209.2141999999998,54.29977533600002
33,25.0,7.68,7.701,45.0,-0.97,R,2.75,33.79613999999985,53.971952778000016
34,25.0,7.701,7.8,45.0,-0.97,0.0,0.0,159.3246600000003,52.426503576000016
35,25.0,7.8,7.89,45.0,-1.14,0.0,0.0,144.84059999999977,50.77532073600002
36,25.0,7.89,8.52,45.0,-0.3,0.0,0.0,1013.8841999999996,47.73366813600002
37,25.0,8.52,8.67,45.0,-0.03,0.0,0.0,241.40100000000052,47.66124783600002
38,25.0,8.67,8.79,45.0,0.21,0.0,0.0,193.12079999999872,48.06680151600002
39,25.0,8.79,8.81,45.0,0.0,0.0,0.0,32.18680000000217,48.06680151600002
40,25.0,8.81,8.85,45.0,0.15,0.0,0.0,64.37359999999862,48.16336191600002
41,25.0,8.85,8.87,45.0,0.0,0.0,0.0,32.18679999999931,48.16336191600002
42,25.0,8.87,8.99,45.0,-0.86,0.0,0.0,193.1208000000016,46.50252303600001
43,25.0,8.99,9.05,45.0,-0.03,0.0,0.0,96.5604000000008,46.473554916000005
44,25.0,9.05,9.17,45.0,0.79,0.0,0.0,193.12079999999872,47.99920923599999
45,25.0,9.17,9.22,45.0,0.0,0.0,0.0,80.46700000000114,47.99920923599999
46,25.0,9.22,9.47,45.0,-0.55,0.0,0.0,402.335,45.78636673599999
47,25.0,9.47,9.61,45.0,-0.44,0.0,0.0,225.30759999999805,44.795013296
48,25.0,9.61,9.65,45.0,0.0,0.0,0.0,64.37360000000149,44.795013296
49,25.0,9.65,9.66,45.0,0.3,0.0,0.0,16.093399999999654,44.843293496
50,25.0,9.66,9.82,45.0,0.55,0.0,0.0,257.4944000000002,46.259512696
51,25.0,9.82,9.84,45.0,0.19,0.0,0.0,32.18679999999931,46.320667616
52,25.0,9.84,9.86,45.0,0.4,0.0,0.0,32.18679999999931,46.449414816
53,25.0,9.86,9.92,45.0,0.66,0.0,0.0,96.5604000000008,47.086713456000005
