,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,48.0,0.0,0.3,35.0,-0.12,0.0,0.0,482.802,-0.5793623999999999
1,48.0,0.195,0.3,35.0,0.0,R,1.0,168.98069999999996,-0.5793623999999999
2,48.0,0.3,0.307,35.0,-0.13,R,1.0,11.26538000000001,-0.5940073939999999
3,48.0,0.307,0.42,35.0,-0.13,0.0,0.0,181.85542,-0.8304194399999999
4,48.0,0.42,0.51,35.0,-0.27,0.0,0.0,144.84060000000002,-1.22148906
5,48.0,0.51,0.69,35.0,-0.38,0.0,0.0,289.6811999999999,-2.3222776199999995
6,48.0,0.69,1.0,35.0,-0.46,0.0,0.0,498.89540000000005,-4.61719646
7,48.0,1.0,1.19,35.0,-0.26,0.0,0.0,305.7745999999999,-5.412210419999999
8,48.0,1.19,1.91,35.0,0.0,0.0,0.0,1158.7248,-5.412210419999999
9,48.0,1.91,1.98,35.0,-0.17,R,3.5,112.65380000000007,-5.603721879999999
10,48.0,1.98,2.31,35.0,-0.28,R,3.5,531.0822000000001,-7.09075204
11,48.0,2.31,2.372,35.0,-0.01,R,3.5,99.77907999999972,-7.100729948
12,48.0,2.372,2.53,35.0,-0.01,0.0,0.0,254.27571999999984,-7.12615752
13,48.0,2.53,2.58,35.0,0.27,0.0,0.0,80.46700000000043,-6.908896619999998
14,48.0,2.58,3.26,35.0,0.37,0.0,0.0,1094.3511999999994,-2.859797180000001
15,48.0,3.26,3.33,49.0,0.6,0.0,0.0,112.65380000000046,-2.1838743799999984
16,48.0,3.33,3.66,49.0,0.8,0.0,0.0,531.0822000000001,2.064783220000002
17,48.0,3.66,3.88,49.0,0.41,0.0,0.0,354.0547999999996,3.5164079
18,48.0,3.88,4.061,49.0,0.7,R,4.5,291.2905400000001,5.55544168
19,48.0,4.061,4.07,49.0,0.7,0.0,0.0,14.484060000000548,5.656830100000004
20,48.0,4.07,4.26,49.0,0.73,0.0,0.0,305.7745999999992,7.888984679999998
21,48.0,4.253,4.5,49.0,0.81,0.0,0.0,397.50697999999977,11.108791217999997
22,48.0,4.5,4.91,49.0,0.76,0.0,0.0,659.8294000000002,16.123494658
23,48.0,4.91,4.917,49.0,0.8,L,1.0,11.265379999999473,16.213617697999993
24,48.0,4.917,5.72,49.0,0.8,0.0,0.0,1292.30002,26.552017857999992
25,48.0,5.72,5.83,49.0,0.75,0.0,0.0,177.0274000000005,27.879723358
26,48.0,5.83,6.02,49.0,0.71,L,2.0,305.7745999999992,30.05072301799999
27,48.0,6.02,6.023,49.0,0.78,L,2.0,4.828020000000183,30.08838157399999
28,48.0,6.023,6.42,49.0,0.78,0.0,0.0,638.9079800000004,35.07186381799999
29,48.0,6.42,6.51,49.0,0.85,0.0,0.0,144.84059999999977,36.30300891799999
30,48.0,6.51,7.16,49.0,0.77,0.0,0.0,1046.0710000000006,44.35775561799999
31,48.0,7.032,7.44,49.0,0.82,0.0,0.0,656.6107200000006,49.741963522
32,48.0,7.44,7.68,49.0,0.71,0.0,0.0,386.24159999999887,52.48427888199999
33,48.0,7.68,7.782,49.0,0.5,R,2.0,164.1526800000005,53.305042282
34,48.0,7.782,8.04,49.0,0.5,0.0,0.0,415.2097199999986,55.38109088199999
35,48.0,8.04,8.37,49.0,0.46,0.0,0.0,531.0822000000001,57.82406900199999
36,48.0,8.37,8.5,49.0,0.0,0.0,0.0,209.21420000000128,57.82406900199999
37,48.0,8.5,9.05,49.0,-0.57,0.0,0.0,885.1370000000011,52.77878810199998
38,48.0,9.05,9.116,49.0,-0.55,L,1.0,106.2164399999983,52.19459768199999
39,48.0,9.116,9.19,49.0,-0.55,0.0,0.0,119.09115999999976,51.53959630199999
40,48.0,9.19,9.54,49.0,-0.02,0.0,0.0,563.2689999999994,51.42694250199999
41,48.0,9.54,9.66,49.0,0.5,0.0,0.0,193.1208000000016,52.392546502
42,48.0,9.66,9.85,49.0,0.0,0.0,0.0,305.7745999999992,52.392546502
43,48.0,9.85,10.14,49.0,-0.49,L,2.33333,466.7086000000015,50.10567436199999
44,48.0,10.14,10.37,49.0,-0.25,L,2.33333,370.1481999999978,49.180303862
45,48.0,10.37,10.416,49.0,0.0,L,2.33333,74.02964000000185,49.180303862
46,48.0,10.416,11.06,49.0,0.0,0.0,0.0,1036.41496,49.180303862
47,48.0,11.06,11.77,49.0,0.76,0.0,0.0,1142.6313999999984,57.86430250199999
48,48.0,11.77,12.04,49.0,0.0,0.0,0.0,434.5217999999993,57.86430250199999
49,48.0,12.04,12.33,49.0,-0.2,0.0,0.0,466.7086000000015,56.93088530199999
50,48.0,12.33,12.74,49.0,0.0,R,1.33333,659.8294000000002,56.93088530199999
51,48.0,12.74,12.835,49.0,0.5,R,1.33333,152.88730000000103,57.69532180199999
52,48.0,12.835,13.61,49.0,0.5,0.0,0.0,1247.2384999999977,63.931514301999975
53,48.0,13.61,14.031,49.0,0.69,R,1.0,677.5321400000018,68.60648606799998
54,48.0,14.031,14.39,49.0,0.69,0.0,0.0,577.7530599999999,72.59298218199999
55,48.0,14.39,16.0,49.0,0.55,0.0,0.0,2591.037399999999,86.84368788199998
56,48.0,15.928,17.17,49.0,0.28,0.0,0.0,1998.8002800000013,92.44032866599998
57,48.0,17.17,18.77,49.0,-0.41,0.0,0.0,2574.9439999999963,81.883058266
58,48.0,18.48,18.76,49.0,0.0,R,1.0,450.6152000000018,81.883058266
59,48.0,18.76,19.49,49.0,-0.5,0.0,0.0,1174.818199999995,76.00896726600003
60,48.0,19.103,19.49,49.0,0.0,R,1.0,622.814579999995,76.00896726600003
61,48.0,19.49,19.797,49.0,-0.45,R,1.0,494.0673800000034,73.78566405600002
62,48.0,19.797,20.9,49.0,-0.45,0.0,0.0,1775.1020199999966,65.79770496600003
63,48.0,20.119,21.97,49.0,-0.54,0.0,0.0,2978.8883399999986,49.71170793000003
64,48.0,21.324,21.97,49.0,0.0,L,3.5,1039.6336399999957,49.71170793000003
65,48.0,21.97,22.23,49.0,-0.5,L,3.5,418.4284000000025,47.61956593000002
66,48.0,22.23,22.24,49.0,-0.52,L,3.5,16.093399999996798,47.53588025000004
67,48.0,22.24,22.38,49.0,-0.52,0.0,0.0,225.3076000000009,46.36428073000003
68,48.0,22.38,22.65,49.0,-0.36,R,5.5,434.5217999999993,44.800002250000034
69,48.0,22.65,22.658,49.0,-0.55,R,5.5,12.8747200000043,44.72919129000001
70,48.0,22.658,22.74,49.0,-0.55,0.0,0.0,131.96587999999545,44.003378950000034
71,48.0,22.74,22.89,49.0,-0.48,L,2.0,241.40100000000345,42.84465415000002
72,48.0,22.89,22.895,49.0,-0.54,L,2.0,8.046699999998399,42.80120197000003
73,48.0,22.895,23.5,49.0,-0.54,0.0,0.0,973.6507000000006,37.543488190000026
74,48.0,23.5,23.62,49.0,0.0,R,3.7,193.1208000000016,37.543488190000026
75,48.0,23.62,23.76,49.0,0.0,0.0,0.0,225.3076000000009,37.543488190000026
76,48.0,23.76,23.84,49.0,-0.5,L,4.5,128.74719999999724,36.89975219000005
77,48.0,23.84,23.862,49.0,-0.55,L,4.5,35.40547999999753,36.70502205000006
78,48.0,23.862,24.1,49.0,-0.55,0.0,0.0,383.02292000000494,34.59839599000004
79,48.0,24.1,24.18,45.0,-0.48,0.0,0.0,128.74719999999724,33.98040943000005
80,48.0,24.18,24.19,45.0,-0.18,0.0,0.0,16.093400000002514,33.95144131000005
81,48.0,24.19,24.31,45.0,-0.65,0.0,0.0,193.12079999999588,32.696156110000075
82,48.0,24.31,24.39,45.0,-0.47,0.0,0.0,128.74720000000298,32.09104427000006
83,48.0,24.39,24.509,45.0,1.48,R,3.5,191.51145999999963,34.92541387800006
84,48.0,24.509,24.82,45.0,1.48,0.0,0.0,500.5047399999999,42.33288403000005
85,48.0,24.697,24.82,45.0,0.0,R,4.4,197.94882000000177,42.33288403000005
86,48.0,24.82,24.85,45.0,-6.15,R,4.4,48.28020000000183,39.36365172999994
87,48.0,24.85,24.97,45.0,-6.15,0.0,0.0,193.12079999999588,27.48672253000019
88,48.0,24.97,25.22,45.0,-0.52,0.0,0.0,402.335,25.39458053000019
89,48.0,25.099,25.22,45.0,0.0,R,2.41666,194.73013999999785,25.39458053000019
90,48.0,25.22,25.257,45.0,0.0,R,2.41666,59.54558000000416,25.39458053000019
91,48.0,25.257,25.4,45.0,0.0,0.0,0.0,230.13561999999536,25.39458053000019
92,48.0,25.4,26.0,45.0,0.25,0.0,0.0,965.6040000000022,27.808590530000195
93,48.0,25.855,26.0,45.0,0.0,R,4.41666,233.3542999999993,27.808590530000195
94,48.0,26.0,26.108,45.0,0.3,R,4.41666,173.80872000000085,28.3300166900002
95,48.0,26.108,26.22,45.0,0.3,0.0,0.0,180.2460799999973,28.870754930000192
96,48.0,26.22,27.23,45.0,0.0,0.0,0.0,1625.4334000000024,28.870754930000192
97,48.0,26.78,27.23,45.0,0.0,L,2.01666,724.2029999999988,28.870754930000192
98,48.0,27.23,27.238,45.0,-0.18,L,2.01666,12.87471999999858,28.8475804340002
99,48.0,27.238,27.47,45.0,-0.18,0.0,0.0,373.3668799999989,28.1755200500002
100,48.0,27.47,27.574,45.0,0.0,R,2.05,167.37136000000442,28.1755200500002
101,48.0,27.574,27.72,45.0,0.0,0.0,0.0,234.9636399999956,28.1755200500002
102,48.0,27.72,27.76,45.0,0.0,L,5.25,64.37360000000434,28.1755200500002
103,48.0,27.76,27.904,45.0,0.5,L,5.25,231.74495999999732,29.334244850000182
104,48.0,27.904,27.98,45.0,0.5,0.0,0.0,122.30984000000082,29.94579405000019
105,48.0,27.98,28.08,45.0,0.74,0.0,0.0,160.93399999999656,31.136705650000163
106,48.0,28.08,28.106,45.0,0.79,R,2.0,41.8428400000054,31.46726408600021
107,48.0,28.106,28.17,45.0,0.79,0.0,0.0,102.99776000000008,32.28094639000021
108,48.0,28.17,28.21,45.0,0.75,L,2.25,64.37359999999862,32.7637483900002
109,48.0,28.21,28.23,45.0,0.79,L,2.25,32.18679999999931,33.0180241100002
110,48.0,28.23,28.25,45.0,0.79,0.0,0.0,32.18679999999931,33.27229983000019
111,48.0,28.25,28.32,45.0,0.6,R,4.5,112.65380000000046,33.948222630000195
112,48.0,28.32,28.35,45.0,0.79,R,4.5,48.28020000000183,34.32963621000021
113,48.0,28.35,28.44,45.0,0.79,0.0,0.0,144.84059999999977,35.47387695000021
114,48.0,28.44,28.53,45.0,0.67,L,2.33333,144.84059999999977,36.44430897000021
115,48.0,28.53,28.613,45.0,0.5,L,2.33333,133.57521999999744,37.112185070000194
116,48.0,28.613,28.66,45.0,0.5,0.0,0.0,75.63898000000096,37.4903799700002
117,48.0,28.66,28.74,45.0,0.24,0.0,0.0,128.74719999999724,37.799373250000194
118,48.0,28.74,28.99,45.0,0.0,L,1.61666,402.335,37.799373250000194
119,48.0,28.99,29.01,45.0,-0.2,L,1.61666,32.18680000000503,37.73499965000018
