,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7208.0,193.91,193.83,20.0,-0.12,0.0,0.0,128.74719999997438,-1498.0880960740035
1,7208.0,193.83,193.76,20.0,-0.76,0.0,0.0,112.65380000003476,-1498.2425927140034
2,7208.0,193.76,193.66,20.0,-0.33,0.0,0.0,160.93399999999085,-1499.0987615940037
3,7208.0,193.66,193.387,20.0,-0.05,0.0,0.0,439.34981999999377,-1499.6298437940036
4,7208.0,193.4,193.27,20.0,-0.38,0.0,0.0,209.21419999999267,-1499.8495187040037
5,7208.0,193.27,193.12,20.0,-0.45,0.0,0.0,241.4010000000092,-1500.6445326640037
6,7208.0,193.12,193.04,20.0,-0.99,0.0,0.0,128.74720000002011,-1501.7308371640038
7,7208.0,193.04,192.96,20.0,-0.7,0.0,0.0,128.74719999997438,-1503.005434444004
8,7208.0,192.96,192.88,20.0,-0.63,0.0,0.0,128.74720000002011,-1503.906664844004
9,7208.0,192.88,192.594,20.0,0.18,0.0,0.0,460.2712400000022,-1504.717772204004
10,7208.0,192.594,192.59,20.0,0.18,R,10.0,6.437359999984997,-1503.889283972004
11,7208.0,192.59,192.19,20.0,0.23,0.0,0.0,643.7360000000091,-1503.877696724004
12,7208.0,192.19,192.07,20.0,0.41,0.0,0.0,193.1208000000073,-1502.397103924004
13,7208.0,192.07,191.761,20.0,0.52,0.0,0.0,497.2860599999959,-1501.6053086440038
14,7208.0,191.761,191.673,20.0,-0.0,L,6.0,141.62191999999013,-1499.0194211320038
15,7208.0,191.85,191.035,20.0,0.25,0.0,0.0,1311.6120999999962,-1499.0194211320038
16,7208.0,191.08,190.66,20.0,0.45,0.0,0.0,675.9228000000256,-1495.7403908820038
17,7208.0,190.66,190.38,20.0,0.86,0.0,0.0,450.6152000000018,-1492.6987382820037
18,7208.0,190.38,190.19,20.0,0.39,0.0,0.0,305.7745999999963,-1488.8234475620036
19,7208.0,190.19,189.86,20.0,0.05,0.0,0.0,531.0821999999744,-1487.6309266220037
20,7208.0,189.86,189.67,20.0,0.29,0.0,0.0,305.7746000000421,-1487.3653855220036
21,7208.0,189.67,189.48,20.0,0.9,0.0,0.0,305.7745999999963,-1486.4786391820037
22,7208.0,189.48,189.01,20.0,0.59,0.0,0.0,756.3897999999981,-1483.7266677820037
23,7208.0,189.01,188.653,20.0,0.8,0.0,0.0,574.5343799999989,-1479.2639679620036
24,7208.0,188.82,188.47,20.0,0.27,0.0,0.0,563.2689999999908,-1474.6676929220037
25,7208.0,188.48,188.11,20.0,0.16,0.0,0.0,595.4557999999615,-1473.1468666220037
26,7208.0,188.11,187.92,20.0,1.2,0.0,0.0,305.7746000000421,-1472.1941373420038
27,7208.0,187.92,187.538,20.0,0.74,0.0,0.0,614.7678799999622,-1468.5248421420033
28,7208.0,187.538,187.52,20.0,0.74,R,4.1,28.968120000001097,-1463.9755598300037
29,7208.0,187.52,187.354,20.0,-0.0,R,4.1,267.1504399999949,-1463.7611957420036
30,7208.0,187.52,187.2,20.0,0.57,0.0,0.0,514.9888000000348,-1463.7611957420036
31,7208.0,187.2,186.9,20.0,0.4,0.0,0.0,482.8019999999725,-1460.8257595820037
32,7208.0,186.9,186.75,20.0,0.55,0.0,0.0,241.4010000000092,-1458.8945515820035
33,7208.0,186.75,186.44,20.0,0.46,0.0,0.0,498.8954000000036,-1457.5668460820034
34,7208.0,186.44,185.81,20.0,0.15,0.0,0.0,1013.8841999999926,-1455.2719272420034
35,7208.0,185.81,185.48,20.0,0.23,0.0,0.0,531.0822000000201,-1453.7511009420034
36,7208.0,185.48,184.73,20.0,0.09,0.0,0.0,1207.005,-1452.529611882003
37,7208.0,184.73,184.26,20.0,-0.02,0.0,0.0,756.3897999999981,-1451.4433073820032
38,7208.0,184.26,184.07,20.0,-0.5,0.0,0.0,305.7745999999963,-1451.5945853420033
39,7208.0,184.07,183.22,20.0,-0.18,0.0,0.0,1367.9389999999908,-1453.1234583420032
40,7208.0,183.22,182.84,20.0,-0.19,0.0,0.0,611.5491999999927,-1455.585748542003
41,7208.0,182.84,182.28,20.0,-0.1,0.0,0.0,901.2304000000036,-1456.747692022003
42,7208.0,182.28,181.72,20.0,-0.1,0.0,0.0,901.2304000000036,-1457.6489224220031
43,7208.0,181.72,181.67,20.0,-1.29,0.0,0.0,80.46700000001829,-1458.5501528220032
44,7208.0,181.67,181.45,20.0,-0.25,0.0,0.0,354.0547999999981,-1459.5881771220031
45,7208.0,181.45,181.14,20.0,-0.06,0.0,0.0,498.8954000000036,-1460.473314122003
46,7208.0,181.14,180.96,20.0,0.49,0.0,0.0,289.6811999999652,-1460.7726513620034
47,7208.0,180.96,180.67,20.0,0.4,0.0,0.0,466.7086000000329,-1459.3532134820036
48,7208.0,180.67,180.63,20.0,-0.84,0.0,0.0,64.37359999998719,-1457.4863790820034
49,7208.0,180.63,180.44,20.0,-0.19,0.0,0.0,305.7745999999963,-1458.0271173220033
50,7208.0,180.44,180.19,20.0,-0.12,0.0,0.0,402.335,-1458.6080890620033
51,7208.0,180.19,180.05,20.0,0.13,0.0,0.0,225.30759999997804,-1459.0908910620033
52,7208.0,180.05,179.94,20.0,0.44,0.0,0.0,177.02740000002194,-1458.7979911820032
53,7208.0,179.94,179.87,49.0,-1.11,0.0,0.0,112.65379999998902,-1458.019070622003
54,7208.0,179.87,179.7,49.0,-0.44,0.0,0.0,273.5878000000256,-1459.2695278020028
55,7208.0,179.7,179.32,49.0,0.2,0.0,0.0,611.5491999999927,-1460.4733141220029
56,7208.0,179.32,179.07,49.0,0.15,0.0,0.0,402.335,-1459.2502157220028
57,7208.0,179.07,178.93,49.0,-0.25,0.0,0.0,225.30759999997804,-1458.6467132220027
58,7208.0,178.93,178.92,49.0,-0.25,L,5.0,16.093400000031103,-1459.2099822220027
59,7208.0,178.92,178.86,49.0,-1.33,L,5.0,96.56039999995792,-1459.2502157220028
60,7208.0,178.86,178.4,49.0,-0.19,0.0,0.0,740.2964000000128,-1460.5344690420022
61,7208.0,178.4,178.29,49.0,0.47,0.0,0.0,177.02740000002194,-1461.9410322020024
62,7208.0,178.29,178.08,49.0,0.25,0.0,0.0,337.96139999996706,-1461.1090034220022
63,7208.0,178.08,177.97,49.0,-0.15,0.0,0.0,177.02740000002194,-1460.2640999220023
64,7208.0,177.97,177.78,49.0,-0.08,0.0,0.0,305.7745999999963,-1460.5296410220024
65,7208.0,177.78,177.77,49.0,0.45,0.0,0.0,16.093399999985362,-1460.7742607020025
66,7208.0,177.77,177.48,49.0,0.57,0.0,0.0,466.7086000000329,-1460.7018404020023
67,7208.0,177.48,177.1,49.0,0.29,0.0,0.0,611.5491999999927,-1458.041601382002
68,7208.0,177.1,176.6,49.0,-0.0,0.0,0.0,804.67,-1456.268108702002
69,7208.0,176.6,176.22,49.0,0.09,0.0,0.0,611.5491999999927,-1456.268108702002
70,7208.0,176.22,175.94,49.0,0.2,0.0,0.0,450.6152000000018,-1455.717714422002
71,7208.0,175.94,175.84,49.0,-0.0,0.0,0.0,160.93399999999085,-1454.816484022002
72,7208.0,175.84,175.42,49.0,-0.99,0.0,0.0,675.9228000000256,-1454.816484022002
73,7208.0,175.42,175.27,49.0,-0.25,0.0,0.0,241.4009999999634,-1461.5081197420022
74,7208.0,175.27,175.058,49.0,-0.0,0.0,0.0,341.18008000002817,-1462.111622242002
75,7208.0,175.058,174.97,49.0,-0.0,R,2.95833,141.62191999999013,-1462.111622242002
76,7208.0,174.97,174.69,49.0,0.26,0.0,0.0,450.6152000000018,-1462.111622242002
77,7208.0,174.69,174.33,49.0,0.32,0.0,0.0,579.3623999999762,-1460.940022722002
78,7208.0,174.33,173.76,40.0,0.8,0.0,0.0,917.3238000000348,-1459.0860630420025
79,7208.0,173.76,173.51,40.0,-1.83,0.0,0.0,402.335,-1451.747472642002
80,7208.0,173.51,173.0,40.0,0.39,0.0,0.0,820.7633999999853,-1459.110203142002
81,7208.0,173.0,172.43,40.0,0.5,0.0,0.0,917.323799999989,-1455.909225882002
82,7208.0,172.43,172.24,40.0,0.31,0.0,0.0,305.7745999999963,-1451.322606882002
83,7208.0,172.24,172.05,40.0,0.59,0.0,0.0,305.7745999999963,-1450.374705622002
84,7208.0,172.05,171.67,40.0,0.5,0.0,0.0,611.5492000000384,-1448.570635482002
85,7208.0,171.67,171.48,40.0,0.58,0.0,0.0,305.7745999999963,-1445.5128894820018
86,7208.0,171.48,171.29,40.0,0.4,0.0,0.0,305.7745999999963,-1443.739396802002
87,7208.0,171.29,171.05,40.0,0.44,0.0,0.0,386.24159999996886,-1442.516298402002
88,7208.0,171.05,170.86,40.0,0.75,0.0,0.0,305.7745999999963,-1440.816835362002
89,7208.0,170.86,170.31,40.0,0.5,0.0,0.0,885.1370000000182,-1438.523525862002
90,7208.0,170.31,169.78,40.0,0.56,0.0,0.0,852.9502000000018,-1434.0978408620017
91,7208.0,169.78,169.5,40.0,0.56,0.0,0.0,450.6152000000018,-1429.3213197420016
92,7208.0,169.5,169.16,49.0,0.75,0.0,0.0,547.1756000000055,-1426.7978746220017
93,7208.0,169.16,168.26,49.0,0.51,0.0,0.0,1448.406000000009,-1422.6940576220018
94,7208.0,168.26,167.88,49.0,0.57,0.0,0.0,611.5491999999927,-1415.3071870220017
95,7208.0,167.88,167.43,49.0,0.7,0.0,0.0,724.2029999999817,-1411.8213565820015
