,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7304.0,617.992,617.947,55.0,-0.0,L,2.0,72.42029999993413,190.68113712039903
1,7304.0,617.947,617.913,55.0,-0.0,R,6.08,54.717559999986825,190.68113712039903
2,7304.0,617.913,617.878,55.0,-0.0,L,6.08,56.326899999948765,190.68113712039903
3,7304.0,617.878,617.811,55.0,-0.0,R,2.7,107.8257800000117,190.68113712039903
4,7304.0,617.811,617.7,55.0,0.38,R,6.5,178.6367399999839,190.68113712039903
5,7304.0,617.7,617.491,55.0,0.38,0.0,0.0,336.35206000009657,191.35995673239896
6,7304.0,617.491,617.45,55.0,0.38,L,5.96666,65.9829399999034,192.6380945603993
7,7304.0,617.45,617.11,55.0,0.19,0.0,0.0,547.1756000000512,192.88882973239896
8,7304.0,617.11,616.92,55.0,-0.61,0.0,0.0,305.7746000000878,193.92846337239905
9,7304.0,616.92,616.019,55.0,-0.91,0.0,0.0,1450.0153399999251,192.0632383123985
10,7304.0,616.73,615.35,55.0,-0.17,0.0,0.0,2220.8891999999923,178.86809871839918
11,7304.0,615.35,615.29,55.0,-0.26,0.0,0.0,96.56040000009511,175.0925870783992
12,7304.0,615.29,615.16,55.0,-0.62,0.0,0.0,209.21419999999267,174.84153003839896
13,7304.0,615.16,615.04,55.0,-0.56,0.0,0.0,193.1208000000073,173.544401998399
14,7304.0,615.04,614.992,55.0,-0.23,0.0,0.0,77.24832000000292,172.46292551839895
15,7304.0,614.992,614.89,55.0,-0.23,R,1.0,164.15267999996047,172.28525438239893
16,7304.0,614.89,614.45,55.0,0.14,0.0,0.0,708.1095999999048,171.90770321839904
17,7304.0,614.45,614.26,55.0,0.12,0.0,0.0,305.7746000000878,172.8990566583989
18,7304.0,614.26,614.21,55.0,0.43,0.0,0.0,80.46699999992681,173.265986178399
19,7304.0,614.21,614.161,55.0,-0.09,0.0,0.0,78.85766000014783,173.6119942783987
20,7304.0,614.161,614.05,55.0,-0.09,R,1.0,178.6367399999839,173.54102238439856
21,7304.0,614.05,614.0,55.0,-1.86,R,1.0,80.46699999992681,173.38024931839857
22,7304.0,614.0,613.94,55.0,1.29,R,1.0,96.56039999991218,171.88356311839993
23,7304.0,613.94,613.64,55.0,0.24,0.0,0.0,482.8020000001097,173.1291922783988
24,7304.0,613.64,613.42,55.0,-0.4,0.0,0.0,354.0548000000439,174.28791707839906
25,7304.0,613.42,613.23,55.0,-0.49,0.0,0.0,305.77459999990486,172.8716978783989
26,7304.0,613.23,613.14,55.0,-0.28,0.0,0.0,144.8406000000512,171.37340233839936
27,7304.0,613.14,612.99,55.0,0.07,0.0,0.0,241.4009999999634,170.96784865839922
28,7304.0,612.99,612.925,55.0,0.35,0.0,0.0,104.6071000000878,171.13682935839918
29,7304.0,612.925,612.83,55.0,0.35,L,0.5,152.88729999986094,171.5029542083995
30,7304.0,612.83,612.64,55.0,-0.3,0.0,0.0,305.7746000000878,172.03805975839902
31,7304.0,612.64,612.57,55.0,-0.75,0.0,0.0,112.65379999989752,171.12073595839874
32,7304.0,612.57,612.51,55.0,-0.33,0.0,0.0,96.56040000009511,170.27583245839952
33,7304.0,612.51,612.07,55.0,-0.0,0.0,0.0,708.1095999999048,169.95718313839922
