,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,11.0,259.152,259.633,60.0,0.0,L,2.5,774.0925399999912,384.0883030800008
1,11.0,259.633,260.216,60.0,0.0,R,5.06,938.2452200000432,384.0883030800008
2,11.0,260.216,260.476,60.0,0.0,L,5.4,418.4283999999853,384.0883030800008
3,11.0,260.476,260.706,60.0,0.0,R,5.5,370.1482000000293,384.0883030800008
4,11.0,260.706,260.946,60.0,0.0,L,5.25,386.2416000000146,384.0883030800008
5,11.0,260.946,261.179,25.0,0.0,L,2.5,374.9762199999151,384.0883030800008
6,11.0,261.179,262.002,25.0,0.0,L,0.75,1324.4868200000578,384.0883030800008
7,11.0,262.002,262.947,25.0,0.0,L,4.5,1520.826299999989,384.0883030800008
8,14.0,136.96,137.12,40.0,0.05,0.0,0.0,257.49439999999447,18.285932629200047
9,14.0,137.12,137.32,40.0,0.02,0.0,0.0,321.8679999999817,18.350306229200044
10,14.0,137.32,137.42,40.0,-0.1,L,4.76833,160.93399999999085,18.189372229200053
11,14.0,137.42,137.48,40.0,0.09,L,4.76833,96.56040000000364,18.27627658920005
12,14.0,137.48,137.55,40.0,-0.09,L,4.76833,112.65380000003476,18.174888169200024
13,14.0,137.55,137.624,40.0,0.15,L,4.76833,119.091159999974,18.353524909199987
14,14.0,137.624,137.75,40.0,0.15,0.0,0.0,202.77684000000767,18.6576901692
15,14.0,137.75,137.81,40.0,0.13,R,4.0,96.56040000000364,18.7832186892
16,14.0,137.81,137.83,40.0,0.0,R,4.0,32.18680000001646,18.7832186892
17,14.0,137.83,141.07,40.0,0.0,0.0,0.0,5214.261599999969,18.7832186892
18,14.0,141.07,141.32,40.0,0.0,0.0,0.0,402.335,18.7832186892
19,14.0,141.32,141.69,40.0,0.02,0.0,0.0,595.4558000000073,18.9023098492
20,14.0,141.69,142.0,40.0,0.0,0.0,0.0,498.8954000000036,18.9023098492
21,14.0,142.0,142.17,40.0,-0.12,0.0,0.0,273.58779999997984,18.574004489200025
22,14.0,142.17,142.24,40.0,0.0,0.0,0.0,112.65380000003476,18.574004489200025
23,14.0,142.24,142.4,40.0,0.06,0.0,0.0,257.49439999999447,18.728501129200023
24,14.0,142.4,142.43,40.0,0.0,0.0,0.0,48.28020000000183,18.728501129200023
25,14.0,142.43,142.53,40.0,-0.08,0.0,0.0,160.93399999999085,18.59975392920003
26,14.0,142.53,142.56,40.0,0.0,R,1.0,48.28020000000183,18.59975392920003
27,14.0,142.56,142.75,40.0,0.05,R,1.0,305.7745999999963,18.75264122920003
28,14.0,142.75,142.85,40.0,0.0,R,1.0,160.93399999999085,18.75264122920003
29,14.0,142.85,143.02,40.0,-0.03,R,1.0,273.5878000000256,18.670564889200023
30,14.0,143.02,143.12,40.0,-0.11,R,1.0,160.93399999999085,18.493537489200037
31,14.0,143.12,143.13,40.0,1.2,R,1.0,16.093399999985362,18.68665828919986
32,14.0,143.13,143.15,40.0,0.0,R,1.0,32.18680000001646,18.68665828919986
33,14.0,143.15,143.175,40.0,-0.34,R,1.0,40.23350000000914,18.549864389199826
34,14.0,143.175,143.23,40.0,-0.34,0.0,0.0,88.51369999996523,18.248917809199945
35,14.0,143.23,143.4,40.0,0.02,0.0,0.0,273.5878000000256,18.30363536919995
36,14.0,143.4,143.51,40.0,-0.01,0.0,0.0,177.0273999999762,18.28593262919995
37,14.0,143.51,143.65,40.0,-0.09,0.0,0.0,225.30760000002377,18.08315578919993
38,14.0,143.65,143.68,40.0,0.0,0.0,0.0,48.28020000000183,18.08315578919993
39,14.0,143.68,143.72,40.0,0.04,0.0,0.0,64.37359999998719,18.108905229199927
40,14.0,143.72,143.91,40.0,0.12,0.0,0.0,305.7745999999963,18.47583474919992
41,14.0,143.91,144.06,40.0,0.17,0.0,0.0,241.40100000000916,18.88621644919994
42,14.0,144.06,144.14,40.0,0.09,0.0,0.0,128.74719999997438,19.002088929199918
43,14.0,144.14,144.16,40.0,0.0,0.0,0.0,32.18680000001646,19.002088929199918
44,14.0,144.16,144.21,40.0,-0.16,0.0,0.0,80.46700000001829,18.87334172919989
45,14.0,144.21,144.33,40.0,-0.2,0.0,0.0,193.1208000000073,18.48710012919987
46,14.0,144.33,144.379,40.0,-0.13,L,0.5,78.85765999996487,18.38458517119992
47,14.0,144.379,144.42,40.0,-0.13,0.0,0.0,65.98293999999487,18.29880734919992
48,14.0,144.42,144.55,40.0,-0.07,0.0,0.0,209.2142000000384,18.15235740919989
49,14.0,144.55,144.63,40.0,0.04,0.0,0.0,128.74719999997438,18.203856289199884
50,14.0,144.63,144.67,40.0,0.0,0.0,0.0,64.37359999998719,18.203856289199884
51,14.0,144.67,144.74,40.0,-0.07,0.0,0.0,112.65380000003476,18.124998629199855
52,14.0,144.74,144.8,40.0,0.0,0.0,0.0,96.56040000000364,18.124998629199855
53,14.0,144.8,144.99,40.0,0.24,0.0,0.0,305.7745999999963,18.85885766919985
54,14.0,144.99,145.39,40.0,0.5,0.0,0.0,643.7359999999634,22.077537669199668
55,14.0,145.39,145.48,40.0,0.23,0.0,0.0,144.84060000000548,22.41067104919968
56,14.0,145.48,145.58,40.0,0.0,0.0,0.0,160.93400000003658,22.41067104919968
57,14.0,145.58,145.67,40.0,-0.25,0.0,0.0,144.84059999995975,22.048569549199783
58,14.0,145.67,145.97,40.0,-0.45,0.0,0.0,482.8020000000183,19.8759605491997
59,14.0,145.97,146.16,40.0,-0.3,0.0,0.0,305.7745999999963,18.958636749199712
60,14.0,146.16,146.31,40.0,0.05,0.0,0.0,241.40100000000916,19.07933724919972
61,14.0,146.31,146.39,40.0,0.0,0.0,0.0,128.74719999997438,19.07933724919972
62,14.0,146.39,146.45,40.0,-0.09,0.0,0.0,96.56040000000364,18.99243288919972
63,14.0,146.45,146.5,40.0,0.0,0.0,0.0,80.46700000001829,18.99243288919972
64,14.0,146.5,146.58,40.0,0.05,0.0,0.0,128.74720000002011,19.05680648919973
65,14.0,146.58,146.6,40.0,0.0,0.0,0.0,32.186799999970724,19.05680648919973
66,14.0,146.6,146.65,40.0,0.03,0.0,0.0,80.46700000001829,19.08094658919973
67,14.0,146.65,146.69,40.0,-0.14,0.0,0.0,64.37359999998719,18.99082354919975
68,14.0,146.69,146.81,40.0,-0.11,0.0,0.0,193.1208000000073,18.77839066919974
69,14.0,146.81,147.0,40.0,0.0099,0.0,0.0,305.7745999999963,18.80866235459974
70,14.0,147.0,147.17,40.0,-0.03,0.0,0.0,273.58779999997984,18.726586014599743
71,14.0,147.17,147.24,40.0,-0.09,0.0,0.0,112.65380000003476,18.625197594599715
72,14.0,147.24,147.51,40.0,-0.02,0.0,0.0,434.5217999999707,18.53829323459972
73,14.0,147.51,147.54,40.0,0.0,0.0,0.0,48.28020000000183,18.53829323459972
74,14.0,147.54,147.58,40.0,0.04,0.0,0.0,64.37360000003292,18.564042674599733
75,14.0,147.58,147.62,40.0,-0.05,0.0,0.0,64.37359999998719,18.53185587459974
76,14.0,147.62,147.79,40.0,0.05,0.0,0.0,273.58779999997984,18.66864977459973
77,14.0,147.79,147.92,40.0,-0.02,0.0,0.0,209.21419999999267,18.62680693459973
78,14.0,147.92,148.15,40.0,0.05,0.0,0.0,370.1482000000293,18.811881034599747
79,14.0,148.15,148.23,40.0,0.1,0.0,0.0,128.74719999997438,18.94062823459972
80,14.0,148.23,148.3,40.0,0.09,0.0,0.0,112.65380000003476,19.042016654599752
81,14.0,148.3,148.34,40.0,0.19,0.0,0.0,64.37359999998719,19.164326494599727
82,14.0,148.34,148.62,40.0,0.34,0.0,0.0,450.6152000000018,20.69641817459973
83,14.0,148.62,148.64,40.0,0.2,0.0,0.0,32.186799999970724,20.76079177459968
84,14.0,148.64,148.66,40.0,0.09,0.0,0.0,32.18680000001646,20.78975989459969
85,14.0,148.66,148.68,40.0,-0.3,0.0,0.0,32.18680000001646,20.693199494599643
86,14.0,148.68,148.74,40.0,-0.3,0.0,0.0,96.56040000000364,20.403518294599632
87,14.0,148.74,148.81,40.0,-0.29,0.0,0.0,112.65379999998902,20.076822274599664
88,14.0,148.81,149.21,40.0,-0.02,0.0,0.0,643.7360000000091,19.94807507459966
89,14.0,149.21,149.36,40.0,0.0,0.0,0.0,241.40100000000916,19.94807507459966
90,14.0,149.36,149.46,40.0,0.05,R,3.2,160.93399999999085,20.028542074599656
91,14.0,149.46,149.55,40.0,-0.11,R,3.2,144.84060000000548,19.86921741459965
92,14.0,149.55,149.586,40.0,0.0,R,3.2,57.93624000000219,19.86921741459965
93,14.0,149.586,149.61,40.0,0.0,0.0,0.0,38.62416000000146,19.86921741459965
94,14.0,149.61,149.68,40.0,-0.04,0.0,0.0,112.65379999998902,19.82415589459965
95,14.0,149.68,149.86,40.0,0.07,0.0,0.0,289.68120000001096,20.02693273459966
96,14.0,149.86,149.867,40.0,0.0,L,0.73333,11.26537999996231,20.02693273459966
97,14.0,149.867,149.91,40.0,0.0,0.0,0.0,69.20162000001024,20.02693273459966
98,14.0,149.91,149.95,40.0,0.09,0.0,0.0,64.37359999998719,20.08486897459965
99,14.0,149.95,150.01,40.0,-0.09,0.0,0.0,96.56040000000364,19.99796461459965
100,14.0,150.01,150.04,40.0,0.0,0.0,0.0,48.28020000000183,19.99796461459965
101,14.0,150.04,150.12,40.0,0.0,0.0,0.0,128.74720000002011,19.99796461459965
102,14.0,150.12,150.21,40.0,-0.09,0.0,0.0,144.84060000000548,19.867608074599644
103,14.0,150.21,150.27,40.0,0.0,0.0,0.0,96.56040000000364,19.867608074599644
104,14.0,150.27,150.32,40.0,0.09,0.0,0.0,80.46699999997256,19.94002837459962
105,14.0,150.32,150.44,40.0,0.21,0.0,0.0,193.1208000000073,20.345582054599635
106,14.0,150.44,150.46,40.0,0.19,0.0,0.0,32.18680000001646,20.406736974599667
107,14.0,150.46,150.57,40.0,-0.08,L,2.1,177.0273999999762,20.265115054599686
108,14.0,150.57,150.669,40.0,0.53,L,2.1,159.3246600000289,21.10953575259984
109,14.0,150.669,150.7,40.0,0.53,0.0,0.0,49.88953999996377,21.373950314599647
110,14.0,150.7,150.76,40.0,0.63,0.0,0.0,96.56040000000364,21.98228083459967
111,14.0,150.76,150.83,40.0,0.19,0.0,0.0,112.65380000003476,22.196323054599738
112,14.0,150.83,150.91,40.0,0.05,0.0,0.0,128.74719999997438,22.260696654599723
113,14.0,150.91,150.94,40.0,-0.04,0.0,0.0,48.28020000000183,22.24138457459972
114,14.0,150.94,151.04,40.0,-0.01,0.0,0.0,160.93399999999085,22.22529117459972
115,14.0,151.04,151.08,40.0,0.1,0.0,0.0,64.37360000003292,22.289664774599757
116,14.0,151.08,151.11,40.0,0.05,0.0,0.0,48.28020000000183,22.313804874599757
117,14.0,151.11,151.13,40.0,-0.3,0.0,0.0,32.186799999970724,22.21724447459984
118,14.0,151.13,151.21,40.0,-0.89,0.0,0.0,128.74720000002011,21.07139439459966
119,14.0,151.21,151.27,40.0,-0.7,0.0,0.0,96.56040000000364,20.395471594599638
120,14.0,151.27,151.31,40.0,-0.45,0.0,0.0,64.37359999998719,20.10579039459969
121,14.0,151.31,151.36,40.0,-0.29,0.0,0.0,80.46700000001829,19.87243609459964
122,14.0,151.36,151.4,40.0,-0.1,0.0,0.0,64.37359999998719,19.808062494599653
123,14.0,151.4,151.44,40.0,-0.1,0.0,0.0,64.37359999998719,19.743688894599668
124,14.0,151.44,151.55,40.0,0.0,0.0,0.0,177.02740000002194,19.743688894599668
125,14.0,151.55,151.61,40.0,-0.03,0.0,0.0,96.56040000000364,19.714720774599662
126,14.0,151.61,151.69,40.0,0.12,0.0,0.0,128.74719999997438,19.869217414599635
127,14.0,151.69,151.8,40.0,0.38,0.0,0.0,177.02740000002194,20.54192153459972
128,14.0,151.8,151.84,40.0,0.25,0.0,0.0,64.37359999998719,20.70285553459969
129,14.0,151.84,151.88,40.0,-0.05,0.0,0.0,64.37359999998719,20.67066873459969
130,14.0,151.88,151.96,40.0,-0.24,0.0,0.0,128.74720000002011,20.361675454599645
131,14.0,151.96,152.01,40.0,0.0,0.0,0.0,80.46699999997256,20.361675454599645
132,14.0,152.01,152.09,40.0,0.3,0.0,0.0,128.74720000002011,20.747917054599704
