,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,11.0,259.152,259.633,60.0,0.0,L,2.5,774.0925399999912,384.0883030800008
1,11.0,259.633,260.216,60.0,0.0,R,5.06,938.2452200000432,384.0883030800008
2,11.0,260.216,260.476,60.0,0.0,L,5.4,418.4283999999853,384.0883030800008
3,11.0,260.476,260.706,60.0,0.0,R,5.5,370.1482000000293,384.0883030800008
4,11.0,260.706,260.946,60.0,0.0,L,5.25,386.2416000000146,384.0883030800008
5,11.0,260.946,261.179,25.0,0.0,L,2.5,374.9762199999151,384.0883030800008
6,11.0,261.179,262.002,25.0,0.0,L,0.75,1324.4868200000578,384.0883030800008
7,11.0,262.002,262.947,25.0,0.0,L,4.5,1520.826299999989,384.0883030800008
8,14.0,136.96,136.79,60.0,-0.07,0.0,0.0,273.5878000000256,18.15718542920005
9,14.0,136.79,136.76,60.0,0.05,0.0,0.0,48.28020000000183,17.965673969200033
10,14.0,136.76,136.7,60.0,-0.03,0.0,0.0,96.56040000000364,17.989814069200033
11,14.0,136.7,136.62,60.0,0.04,0.0,0.0,128.74719999997438,17.96084594920003
12,14.0,136.62,136.457,60.0,0.03,0.0,0.0,262.3224200000176,18.01234482920002
13,14.0,136.457,136.45,60.0,0.03,L,1.0,11.265380000008047,18.091041555200025
14,14.0,136.45,136.39,60.0,-0.0,L,1.0,96.56040000000364,18.09442116920003
15,14.0,136.39,136.26,60.0,-0.02,0.0,0.0,209.21419999999267,18.09442116920003
16,14.0,136.26,136.11,60.0,-0.0,0.0,0.0,241.4009999999634,18.05257832920003
17,14.0,136.11,135.96,60.0,-0.02,0.0,0.0,241.4010000000092,18.05257832920003
18,14.0,135.96,135.88,60.0,-0.0,0.0,0.0,128.74720000002011,18.00429812920003
19,14.0,135.88,135.867,60.0,-0.0,0.0,0.0,20.92142000000841,18.00429812920003
20,14.0,135.867,135.77,60.0,-0.0,R,2.03,156.1059799999678,18.00429812920003
21,14.0,135.77,135.69,60.0,-0.0,R,2.03,128.74720000002011,18.00429812920003
22,14.0,135.69,135.64,60.0,-0.0,R,2.03,80.46700000001829,18.00429812920003
23,14.0,135.64,135.56,60.0,-0.09,0.0,0.0,128.74719999997438,18.00429812920003
24,14.0,135.56,135.52,60.0,-0.0,0.0,0.0,64.37359999998719,17.888425649200055
25,14.0,135.52,135.502,60.0,0.06,0.0,0.0,28.968120000001097,17.888425649200055
26,14.0,135.502,135.43,60.0,0.06,L,2.16,115.8724800000044,17.905806521200056
27,14.0,135.43,135.41,60.0,-0.1,L,2.16,32.18680000001646,17.975330009200057
28,14.0,135.41,135.37,60.0,-0.0,L,2.16,64.37359999998719,17.94314320920004
29,14.0,135.37,135.3,60.0,-0.09,0.0,0.0,112.65379999998902,17.94314320920004
30,14.0,135.3,135.26,60.0,-0.0,0.0,0.0,64.37360000003292,17.841754789200053
31,14.0,135.26,135.2,60.0,-0.06,0.0,0.0,96.56040000000364,17.841754789200053
32,14.0,135.2,135.1,60.0,-0.03,0.0,0.0,160.93399999999085,17.78381854920005
33,14.0,135.1,134.954,60.0,0.27,0.0,0.0,234.9636399999784,17.735538349200052
34,14.0,134.954,134.91,60.0,0.27,R,2.0,70.81096000001793,18.3699401772
35,14.0,134.91,134.69,60.0,0.49,R,2.0,354.0547999999981,18.56112976920004
36,14.0,134.69,134.6,60.0,0.26,R,2.0,144.84060000000548,20.295998289200032
37,14.0,134.6,134.18,60.0,-0.0,0.0,0.0,675.9227999999798,20.672583849200045
38,14.0,134.18,134.16,60.0,-0.1,0.0,0.0,32.18680000001646,20.672583849200045
39,14.0,134.16,134.14,60.0,-0.0,0.0,0.0,32.18680000001646,20.64039704920003
40,14.0,134.14,134.06,60.0,-0.0,0.0,0.0,128.74719999997438,20.64039704920003
41,14.0,134.06,134.03,60.0,-0.0,L,1.76666,48.28020000000183,20.64039704920003
42,14.0,134.03,133.91,60.0,-0.21,L,1.76666,193.1208000000073,20.64039704920003
43,14.0,133.91,133.7,60.0,-0.58,L,1.76666,337.9614000000128,20.23484336920001
44,14.0,133.7,133.27,60.0,-0.12,0.0,0.0,692.0161999999652,18.27466724919994
45,14.0,133.27,133.2,60.0,-0.0,0.0,0.0,112.65380000003476,17.444247809199982
46,14.0,133.2,133.13,60.0,-0.02,0.0,0.0,112.65379999998902,17.444247809199982
47,14.0,133.13,132.95,60.0,-0.06,0.0,0.0,289.68120000001096,17.421717049199984
48,14.0,132.95,132.8,60.0,-0.04,0.0,0.0,241.4009999999634,17.247908329199976
49,14.0,132.8,132.63,60.0,-0.02,0.0,0.0,273.5878000000256,17.15134792919999
50,14.0,132.63,132.55,60.0,-0.0,0.0,0.0,128.74719999997438,17.096630369199985
51,14.0,132.55,132.34,60.0,0.07,0.0,0.0,337.9614000000128,17.096630369199985
52,14.0,132.34,132.27,60.0,-0.0,0.0,0.0,112.65379999998902,17.333203349199994
53,14.0,132.27,132.11,60.0,-0.05,0.0,0.0,257.49439999999447,17.333203349199994
54,14.0,132.11,132.03,60.0,0.09,0.0,0.0,128.74720000002011,17.2044561492
55,14.0,132.03,131.98,60.0,0.12,0.0,0.0,80.46700000001829,17.320328629200016
56,14.0,131.98,131.89,60.0,-0.01,0.0,0.0,144.84060000000548,17.41688902920004
57,14.0,131.89,131.84,60.0,-0.08,0.0,0.0,80.46699999997256,17.402404969200038
58,14.0,131.84,131.69,60.0,-0.06,0.0,0.0,241.4010000000092,17.33803136920006
59,14.0,131.69,131.66,60.0,-0.0,0.0,0.0,48.28020000000183,17.193190769200054
60,14.0,131.66,131.51,60.0,0.23,0.0,0.0,241.4010000000092,17.193190769200054
61,14.0,131.51,131.41,60.0,0.47,0.0,0.0,160.93399999999085,17.748413069200076
62,14.0,131.41,131.33,60.0,0.24,0.0,0.0,128.74719999997438,18.504802869200034
63,14.0,131.33,131.03,60.0,0.04,0.0,0.0,482.8020000000183,18.813796149199973
64,14.0,131.03,130.23,60.0,-0.0,0.0,0.0,1287.4720000000182,19.00691694919998
65,14.0,130.23,130.08,60.0,0.2,0.0,0.0,241.4009999999634,19.00691694919998
66,14.0,130.08,130.04,60.0,0.4,0.0,0.0,64.37360000003292,19.489718949199908
67,14.0,130.04,129.97,60.0,0.19,0.0,0.0,112.65379999998902,19.74721334920004
68,14.0,129.97,129.913,60.0,-0.0,0.0,0.0,91.7323799999806,19.961255569200016
69,14.0,129.913,129.88,60.0,-0.0,L,2.36666,53.10822000002488,19.961255569200016
70,14.0,129.88,129.78,60.0,-0.27,0.0,0.0,160.93399999999085,19.961255569200016
71,14.0,129.78,129.6,60.0,-0.51,0.0,0.0,289.68120000001096,19.52673376920004
72,14.0,129.6,129.41,60.0,-0.29,0.0,0.0,305.7745999999963,18.049359649199985
73,14.0,129.41,129.15,60.0,-0.13,0.0,0.0,418.4283999999853,17.162613309199998
74,14.0,129.15,129.04,60.0,-0.06,0.0,0.0,177.02740000002194,16.618656389200016
75,14.0,129.04,128.97,60.0,-0.17,0.0,0.0,112.65379999998902,16.512439949200004
76,14.0,128.97,128.85,60.0,-0.08,0.0,0.0,193.1208000000073,16.320928489200025
77,14.0,128.85,128.83,60.0,-0.0,0.0,0.0,32.186799999970724,16.16643184920002
78,14.0,128.83,128.77,60.0,-0.06,0.0,0.0,96.56040000000364,16.16643184920002
79,14.0,128.77,128.68,60.0,-0.01,0.0,0.0,144.84060000000548,16.108495609200016
80,14.0,128.68,128.64,60.0,-0.0,0.0,0.0,64.37360000003292,16.094011549200015
81,14.0,128.64,128.59,60.0,0.13,0.0,0.0,80.46699999997256,16.094011549200015
82,14.0,128.59,128.57,60.0,-0.0,0.0,0.0,32.18680000001646,16.19861864919998
83,14.0,128.57,128.47,60.0,-0.03,0.0,0.0,160.93399999999085,16.19861864919998
84,14.0,128.47,128.41,60.0,-0.23,0.0,0.0,96.56040000000364,16.15033844919998
85,14.0,128.41,128.34,60.0,-0.0,0.0,0.0,112.65379999998902,15.928249529199972
86,14.0,128.34,128.3,60.0,0.09,0.0,0.0,64.37359999998719,15.928249529199972
87,14.0,128.3,128.28,60.0,-0.2,0.0,0.0,32.18680000001646,15.98618576919996
88,14.0,128.28,128.24,60.0,-0.0,0.0,0.0,64.37359999998719,15.921812169199926
89,14.0,128.24,128.21,60.0,0.15,0.0,0.0,48.28020000000183,15.921812169199926
90,14.0,128.21,128.06,60.0,-0.01,0.0,0.0,241.4010000000092,15.994232469199927
91,14.0,128.06,127.98,60.0,0.07,0.0,0.0,128.74719999999724,15.970092369199929
92,14.0,127.98,127.87,60.0,0.01,0.0,0.0,177.02739999999906,16.060215409199927
93,14.0,127.87,127.77,60.0,-0.06,0.0,0.0,160.93400000001373,16.077918149199927
94,14.0,127.77,127.71,60.0,0.03,0.0,0.0,96.56040000000364,15.98135774919992
95,14.0,127.71,127.64,60.0,-0.07,0.0,0.0,112.65379999998902,16.01032586919992
96,14.0,127.64,127.6,60.0,0.04,0.0,0.0,64.37360000001006,15.93146820919993
97,14.0,127.6,127.54,60.0,-0.03,0.0,0.0,96.5603999999808,15.957217649199931
98,14.0,127.54,127.49,60.0,-0.0,0.0,0.0,80.46700000001829,15.928249529199938
99,14.0,127.49,127.45,60.0,0.09,0.0,0.0,64.37359999998719,15.928249529199938
100,14.0,127.45,127.24,60.0,-0.04,0.0,0.0,337.9614000000128,15.986185769199926
101,14.0,127.24,127.15,60.0,0.12,0.0,0.0,144.8405999999826,15.851001209199922
102,14.0,127.15,127.125,60.0,0.14,0.0,0.0,40.23350000000914,16.0248099291999
103,14.0,127.125,127.07,60.0,0.14,R,1.83,88.51370000001097,16.081136829199913
104,14.0,127.07,127.01,60.0,-0.0,R,1.83,96.5603999999808,16.20505600919993
105,14.0,127.01,126.83,60.0,-0.08,0.0,0.0,289.68120000001096,16.20505600919993
106,14.0,126.83,126.67,60.0,0.07,0.0,0.0,257.49439999999447,15.97331104919992
107,14.0,126.67,126.63,60.0,-0.04,0.0,0.0,64.37360000001006,16.153557129199918
108,14.0,126.63,126.56,60.0,0.17,0.0,0.0,112.65379999998902,16.127807689199912
109,14.0,126.56,126.223,60.0,0.04,0.0,0.0,542.3475800000052,16.31931914919989
110,14.0,126.223,126.22,60.0,0.04,L,3.0,4.828020000000183,16.536258181199894
111,14.0,126.22,126.18,60.0,0.09,L,3.0,64.37359999998719,16.538189389199893
112,14.0,126.18,126.1,60.0,-0.17,L,3.0,128.74720000002011,16.596125629199882
113,14.0,126.1,126.03,60.0,-0.05,L,3.0,112.65379999998902,16.37725538919985
114,14.0,126.03,125.95,60.0,0.09,0.0,0.0,128.74719999999724,16.320928489199854
115,14.0,125.95,125.84,60.0,-0.0,0.0,0.0,177.02739999999906,16.43680096919985
116,14.0,125.84,125.63,60.0,0.09,0.0,0.0,337.9614000000128,16.43680096919985
117,14.0,125.63,125.46,60.0,0.26,0.0,0.0,273.58780000000274,16.740966229199863
118,14.0,125.46,125.399,60.0,0.14,0.0,0.0,98.16973999998848,17.45229450919987
119,14.0,125.399,125.37,60.0,0.14,L,1.11,46.67085999999414,17.589732145199854
120,14.0,125.37,125.31,60.0,-0.0,L,1.11,96.56040000000364,17.655071349199844
121,14.0,125.31,125.21,60.0,0.01,0.0,0.0,160.93400000001373,17.655071349199844
122,14.0,125.21,125.14,60.0,-0.02,0.0,0.0,112.65379999998902,17.671164749199846
123,14.0,125.14,125.06,60.0,-0.07,0.0,0.0,128.74719999999724,17.648633989199848
124,14.0,125.06,125.01,60.0,0.06,0.0,0.0,80.46699999999542,17.55851094919985
125,14.0,125.01,124.91,60.0,-0.07,0.0,0.0,160.93400000001373,17.606791149199847
126,14.0,124.91,124.83,60.0,-0.0,0.0,0.0,128.74719999999724,17.494137349199836
127,14.0,124.83,124.8,60.0,0.1,0.0,0.0,48.28020000000183,17.494137349199836
128,14.0,124.8,124.76,60.0,-0.0,0.0,0.0,64.37359999998719,17.542417549199836
129,14.0,124.76,124.72,60.0,-0.0,0.0,0.0,64.37360000001006,17.542417549199836
130,14.0,124.72,124.68,60.0,-0.24,0.0,0.0,64.37359999998719,17.542417549199836
131,14.0,124.68,124.64,60.0,-0.09,0.0,0.0,64.37360000001006,17.387920909199867
