,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7602.0,0.0,0.336,30.0,0.0,0.0,0.0,540.73824,0.0
1,7602.0,0.336,0.387,30.0,0.0,L,6.8,82.07633999999997,0.0
2,7602.0,0.387,0.629,30.0,0.0,R,3.0,389.46028,0.0
3,7602.0,0.629,1.38,30.0,-0.63,0.0,0.0,1208.61434,-7.614270341999998
4,7602.0,1.38,1.384,30.0,-0.95,R,3.25,6.437360000000005,-7.675425261999998
5,7602.0,1.384,1.61,30.0,-0.95,0.0,0.0,363.7108400000003,-11.130678242000002
6,7602.0,1.491,3.17,30.0,-1.0,0.0,0.0,2702.08186,-38.151496842
7,7602.0,2.793,2.841,30.0,0.0,R,1.0,77.24832000000006,-38.151496842
8,7602.0,2.841,3.025,50.0,0.0,R,1.5,296.11855999999955,-38.151496842
9,7602.0,3.025,3.061,50.0,0.0,L,1.5,57.93624000000005,-38.151496842
10,7602.0,3.061,3.21,50.0,0.0,0.0,0.0,239.79166000000004,-38.151496842
11,7602.0,3.21,3.272,50.0,-2.01,R,0.86,99.77907999999972,-40.15705635
12,7602.0,3.272,3.73,50.0,-2.01,0.0,0.0,737.0777200000002,-54.972318522
13,7602.0,3.261,3.325,50.0,0.0,R,0.86,102.99776000000008,-54.972318522
14,7602.0,3.325,3.73,50.0,0.0,L,2.5,651.7826999999996,-54.972318522
15,7602.0,3.73,3.742,50.0,-1.3,L,2.5,19.312080000000016,-55.223375562
16,7602.0,3.742,3.77,50.0,-1.3,0.0,0.0,45.06152000000004,-55.809175322
17,7602.0,3.77,3.99,50.0,0.0,R,1.50833,354.0548000000003,-55.809175322
18,7602.0,3.99,4.003,50.0,0.03,R,1.50833,20.92141999999984,-55.802898896
19,7602.0,4.003,4.19,50.0,0.03,0.0,0.0,300.94658000000044,-55.712614922
20,7602.0,4.19,4.39,50.0,0.11,0.0,0.0,321.86799999999886,-55.358560122
21,7602.0,4.39,4.403,50.0,0.0,R,0.09805,20.92141999999984,-55.358560122
22,7602.0,4.403,4.74,50.0,0.0,0.0,0.0,542.347580000001,-55.358560122
