,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,197.0,103.29,103.29,45.0,0.28,L,2.06666,397.50697999999977,190.56774302399987
1,197.0,103.29,102.94,45.0,0.28,0.0,0.0,563.2690000000136,191.68076256799984
2,197.0,102.94,102.54,45.0,-0.0,0.0,0.0,643.7359999999862,193.2579157679999
3,197.0,102.54,102.26,45.0,-0.36,0.0,0.0,450.6152000000018,193.2579157679999
4,197.0,102.26,101.61,45.0,-0.0,0.0,0.0,1046.071000000009,191.63570104799987
5,197.0,101.61,101.42,45.0,-0.19,0.0,0.0,305.7745999999963,191.63570104799987
6,197.0,101.42,100.81,45.0,-0.0,0.0,0.0,981.697399999999,191.05472930799988
7,197.0,100.81,100.62,45.0,0.3,0.0,0.0,305.7745999999963,191.05472930799988
8,197.0,100.62,100.47,45.0,-0.0,0.0,0.0,241.4010000000092,191.97205310799987
9,197.0,100.47,100.16,45.0,0.15,0.0,0.0,498.8954000000036,191.97205310799987
10,197.0,100.16,100.09,45.0,-0.0,0.0,0.0,112.65379999998902,192.72039620799987
11,197.0,100.09,99.84,45.0,-0.23,0.0,0.0,402.335,192.72039620799987
12,197.0,99.84,99.54,45.0,-0.0,0.0,0.0,482.8019999999954,191.79502570799983
13,197.0,99.54,99.44,45.0,0.09,0.0,0.0,160.93400000001373,191.79502570799983
14,197.0,99.44,98.79,45.0,0.17,0.0,0.0,1046.0709999999865,191.93986630799984
15,197.0,98.79,98.61,45.0,0.09,0.0,0.0,289.68120000001096,193.71818700799983
16,197.0,98.61,98.36,45.0,-0.0,0.0,0.0,402.335,193.97890008799985
17,197.0,98.36,98.06,45.0,0.09,0.0,0.0,482.8019999999954,193.97890008799985
18,197.0,98.06,97.7,45.0,0.21,0.0,0.0,579.3623999999991,194.41342188799985
19,197.0,97.7,97.23,45.0,0.15,0.0,0.0,756.3897999999981,195.63008292799984
20,197.0,97.23,96.51,45.0,0.24,0.0,0.0,1158.724799999998,196.76466762799984
21,197.0,96.51,96.12,45.0,0.28,0.0,0.0,627.6426000000009,199.54560714799985
22,197.0,96.12,95.966,45.0,-0.0,0.0,0.0,247.838360000017,201.30300642799983
23,197.0,96.07,95.08,45.0,-0.6,0.0,0.0,1593.2465999999918,201.30300642799983
24,197.0,95.08,94.82,45.0,-0.0,0.0,0.0,418.4284000000082,191.74352682799991
25,197.0,94.95,94.45,45.0,0.61,0.0,0.0,804.67,191.74352682799991
26,197.0,94.45,94.2,45.0,-0.0,0.0,0.0,402.335,196.65201382799992
27,197.0,94.2,94.09,45.0,0.59,0.0,0.0,177.02739999999906,196.65201382799992
28,197.0,94.09,94.0,45.0,0.75,0.0,0.0,144.84060000000548,197.69647548799992
29,197.0,94.0,93.95,45.0,0.59,0.0,0.0,80.46699999999542,198.782779988
30,197.0,93.95,93.9,45.0,0.28,0.0,0.0,80.46699999999542,199.257535288
31,197.0,93.9,93.08,45.0,0.6,0.0,0.0,1319.6588000000118,199.4828428879999
32,197.0,93.08,92.96,45.0,0.6,L,1.61666,193.1208000000073,207.400795688
33,197.0,92.96,92.623,45.0,-0.0,L,1.61666,542.3475799999824,208.55952048800003
34,197.0,92.96,92.26,45.0,0.58,0.0,0.0,1126.5379999999816,208.55952048800003
35,197.0,92.26,91.88,45.0,-0.0,0.0,0.0,611.5492000000155,215.09344088799992
36,197.0,91.88,91.43,45.0,-0.58,0.0,0.0,724.2029999999817,215.09344088799992
37,197.0,91.43,91.2,45.0,-0.08,0.0,0.0,370.1482000000064,210.893063488
38,197.0,91.2,90.991,45.0,-0.52,0.0,0.0,336.3520600000051,210.59694492800003
39,197.0,90.991,90.84,45.0,-0.52,L,3.18333,243.010339999994,208.847914216
40,197.0,90.84,90.76,45.0,-0.59,L,3.18333,128.74719999999724,207.58426044800004
41,197.0,90.76,90.49,45.0,-0.44,L,3.18333,434.52180000001647,206.82465196800004
42,197.0,90.49,90.26,45.0,-0.78,0.0,0.0,370.1481999999835,204.912756048
43,197.0,90.26,89.923,45.0,-0.62,0.0,0.0,542.3475800000052,202.0256000880001
