,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7106.0,627.54,627.5,49.0,0.24,R,7.505,64.37359999994145,-64.68452448800119
1,7106.0,627.5,627.08,49.0,0.24,0.0,0.0,675.9227999999341,-64.53002784800132
2,7106.0,627.08,626.52,49.0,0.1,0.0,0.0,901.2304000000952,-62.907813128001486
3,7106.0,626.52,626.22,49.0,-0.0,0.0,0.0,482.8019999999268,-62.00658272800139
4,7106.0,626.22,626.04,49.0,0.56,0.0,0.0,289.6812000001024,-62.00658272800139
5,7106.0,626.04,625.91,49.0,0.21,0.0,0.0,209.21419999999267,-60.38436800800082
6,7106.0,625.91,625.28,49.0,-0.0,0.0,0.0,1013.8841999999926,-59.94501818800084
7,7106.0,625.28,625.09,49.0,0.39,0.0,0.0,305.77459999990486,-59.94501818800084
8,7106.0,625.09,624.62,49.0,-0.0,0.0,0.0,756.3898000000439,-58.752497248001205
9,7106.0,624.62,624.43,49.0,0.21,0.0,0.0,305.7746000000878,-58.752497248001205
10,7106.0,624.43,624.05,49.0,0.14,0.0,0.0,611.5491999999927,-58.11037058800102
11,7106.0,624.05,623.69,49.0,0.1,0.0,0.0,579.362399999839,-57.25420170800103
12,7106.0,623.69,623.131,49.0,-0.0,0.0,0.0,899.6210600001332,-56.67483930800119
13,7106.0,623.131,623.03,49.0,-0.0,L,2.01611,162.54333999999852,-56.67483930800119
14,7106.0,623.03,622.82,49.0,0.14,0.0,0.0,337.9613999998756,-56.67483930800119
15,7106.0,622.82,622.42,49.0,-0.0,0.0,0.0,643.7360000001463,-56.20169334800136
16,7106.0,622.42,621.83,49.0,0.2,0.0,0.0,949.5105999998682,-56.20169334800136
17,7106.0,621.83,621.49,49.0,-0.0,0.0,0.0,547.1756000000512,-54.302672148001626
18,7106.0,621.49,621.24,49.0,0.4,0.0,0.0,402.335,-54.302672148001626
19,7106.0,621.24,621.09,49.0,-0.46,0.0,0.0,241.4009999999634,-52.69333214800162
20,7106.0,621.09,620.85,49.0,-0.0,0.0,0.0,386.2416000000146,-53.803776748001454
21,7106.0,620.85,620.64,49.0,0.78,0.0,0.0,337.9614000000585,-53.803776748001454
22,7106.0,620.64,620.45,49.0,0.6,0.0,0.0,305.77459999990486,-51.167677828001
23,7106.0,620.45,620.07,49.0,0.55,0.0,0.0,611.5491999999927,-49.33303022800157
24,7106.0,620.07,619.52,49.0,0.3,0.0,0.0,885.1370000001098,-45.96950962800161
25,7106.0,619.52,619.26,49.0,0.5,0.0,0.0,418.4283999999853,-43.31409862800128
26,7106.0,619.26,618.84,49.0,0.24,0.0,0.0,675.9227999999341,-41.22195662800136
27,7106.0,618.84,618.36,49.0,0.34,0.0,0.0,772.4832000000292,-39.59974190800152
