,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,46.0,0.0,0.00398,55.0,0.0,0.0,0.0,6.4051732,0.0
1,46.0,0.00398,0.09,55.0,-0.53,0.0,0.0,138.4354268,-0.73370776204
2,46.0,0.09,0.128,55.0,-0.17,R,5.25,61.15492,-0.83767112604
3,46.0,0.128,0.13,55.0,-0.17,0.0,0.0,3.2186800000000027,-0.8431428820400001
4,46.0,0.13,0.54,55.0,-0.27,0.0,0.0,659.8294,-2.6246822620400003
5,46.0,0.54,0.82,55.0,-0.06,0.0,0.0,450.6151999999999,-2.89505138204
6,46.0,0.82,0.956,55.0,-0.01,L,4.0,218.87024,-2.9169384060400003
7,46.0,0.956,1.04,55.0,-0.01,0.0,0.0,135.18456000000012,-2.93045686204
8,46.0,1.04,1.1,55.0,-0.03,0.0,0.0,96.56040000000009,-2.9594249820400003
9,46.0,1.1,1.13,55.0,0.0,0.0,0.0,48.28019999999968,-2.9594249820400003
10,46.0,1.13,1.33,55.0,-0.84,0.0,0.0,321.8680000000003,-5.663116182040003
11,46.0,1.228,1.49,55.0,-0.77,0.0,0.0,421.64708,-8.909798698040003
12,46.0,1.49,1.69,55.0,-0.94,L,5.56,321.86799999999994,-11.935357898040005
13,46.0,1.69,1.7,55.0,-0.94,L,5.56,16.093400000000013,-12.086635858040005
14,46.0,1.7,2.19,55.0,-0.94,0.0,0.0,788.5766,-19.49925589804
15,46.0,2.19,2.3,55.0,-0.88,L,3.16666,177.0273999999998,-21.05709701804
16,46.0,2.3,2.32,55.0,-0.8,L,3.16666,32.18680000000003,-21.31459141804
17,46.0,2.32,2.4,55.0,-0.8,0.0,0.0,128.7472000000001,-22.34456901804
18,46.0,2.4,2.66,55.0,-0.96,R,2.65,418.4284000000004,-26.36148165804001
19,46.0,2.66,2.692,55.0,-1.0,R,2.65,51.49888000000004,-26.876470458040007
20,46.0,2.692,2.89,55.0,-1.0,0.0,0.0,318.64931999999993,-30.062963658040005
21,46.0,2.89,3.06,55.0,-0.88,R,3.13333,273.58779999999985,-32.47053629804
22,46.0,3.06,3.09,55.0,-0.88,0.0,0.0,48.28019999999968,-32.89540205804
23,46.0,3.09,3.49,55.0,0.03,0.0,0.0,643.7360000000006,-32.70228125804
24,46.0,3.49,3.64,55.0,1.17,L,2.25,241.40099999999984,-29.87788955804
25,46.0,3.64,3.746,55.0,1.13,L,2.25,170.5900399999998,-27.95022210604
26,46.0,3.746,3.92,55.0,1.13,0.0,0.0,280.02515999999986,-24.78593779804
27,46.0,3.92,4.15,55.0,1.22,0.0,0.0,370.1482000000007,-20.270129758039992
28,46.0,4.15,4.3,55.0,0.9,R,3.38333,241.40099999999916,-18.09752075804
29,46.0,4.3,4.348,55.0,1.14,R,3.38333,77.24832000000006,-17.21688991004
30,46.0,4.348,4.81,55.0,1.14,0.0,0.0,743.5150799999996,-8.740817998040004
31,46.0,4.649,4.951,55.0,1.07,R,3.0,486.02067999999935,-3.540396722040011
32,46.0,4.951,5.08,55.0,1.07,0.0,0.0,207.6048600000007,-1.3190247200400034
33,46.0,5.08,5.22,55.0,1.03,R,3.0,225.30759999999947,1.0016435599599909
34,46.0,5.22,5.4,55.0,1.03,0.0,0.0,289.68120000000096,3.985359919960001
35,46.0,5.4,5.475,55.0,1.0,L,3.0,120.70049999999884,5.1923649199599895
36,46.0,5.475,5.82,55.0,1.0,0.0,0.0,555.222300000001,10.74458791996
37,46.0,5.673,6.08,55.0,1.01,0.0,0.0,655.00138,17.36010185796
38,46.0,6.08,6.57,55.0,1.01,0.0,0.0,788.5766000000003,25.324725517960005
39,46.0,6.563,6.76,55.0,1.18,0.0,0.0,317.03998000000007,29.065797281960005
40,46.0,6.76,7.99,55.0,1.11,0.0,0.0,1979.4882000000007,51.03811630196002
41,46.0,7.688,8.28,55.0,1.2,0.0,0.0,952.7292799999992,62.47086766196001
42,46.0,8.28,8.65,55.0,1.07,0.0,0.0,595.4558000000015,68.84224472196003
43,46.0,8.65,8.684,55.0,0.82,L,3.5,54.71755999999826,69.29092871396001
44,46.0,8.684,8.81,55.0,0.82,0.0,0.0,202.77684000000195,70.95369880196003
45,46.0,8.81,8.856,55.0,0.0,L,3.55,74.02963999999899,70.95369880196003
46,46.0,8.856,9.19,55.0,0.0,0.0,0.0,537.5195599999994,70.95369880196003
47,46.0,9.19,9.41,55.0,0.42,0.0,0.0,354.054800000001,72.44072896196003
48,46.0,9.41,9.62,35.0,0.43,R,2.75,337.9613999999985,73.89396298196003
49,46.0,9.62,9.626,35.0,0.44,R,2.75,9.656040000000363,73.93644955796003
50,46.0,9.626,10.01,35.0,0.44,0.0,0.0,617.9865600000005,76.65559042196003
51,46.0,10.01,10.12,35.0,0.24,L,4.0,177.02739999999906,77.08045618196003
52,46.0,10.12,10.33,35.0,-0.07,L,4.0,337.96140000000133,76.84388320196003
53,46.0,10.33,10.341,35.0,0.0,L,4.0,17.702739999998766,76.84388320196003
54,46.0,10.341,10.64,35.0,0.0,0.0,0.0,481.1926600000021,76.84388320196003
55,46.0,10.5,10.638,35.0,0.0,R,2.0,222.08891999999983,76.84388320196003
56,46.0,10.638,10.81,35.0,0.99,0.0,0.0,276.80648000000093,79.58426735396003
57,46.0,10.81,11.01,35.0,0.75,R,5.0,321.86799999999886,81.99827735396002
58,46.0,11.01,11.036,35.0,1.04,R,5.0,41.84283999999968,82.43344288996002
59,46.0,11.036,11.11,35.0,1.04,0.0,0.0,119.09115999999976,83.67199095396002
60,46.0,11.11,11.228,35.0,0.84,L,3.0,189.9021200000005,85.26716876196002
61,46.0,11.228,11.24,35.0,0.84,0.0,0.0,19.31208000000073,85.42939023396004
62,46.0,11.24,11.36,35.0,1.02,0.0,0.0,193.12079999999872,87.39922239396002
63,46.0,11.36,11.49,35.0,1.04,0.0,0.0,209.21420000000128,89.57505007396003
64,46.0,11.49,11.687,35.0,0.83,L,2.5,317.03997999999865,92.20648190796
65,46.0,11.687,11.69,35.0,0.83,0.0,0.0,4.828020000000183,92.24655447396002
66,46.0,11.69,12.09,35.0,0.67,0.0,0.0,643.7360000000006,96.55958567396002
67,46.0,11.881,12.09,35.0,0.0,R,4.0,336.35205999999937,96.55958567396002
68,46.0,12.09,12.27,35.0,0.85,R,4.0,289.68119999999954,99.02187587396
69,46.0,12.27,12.386,35.0,0.99,R,4.0,186.68343999999945,100.87004192996
70,46.0,12.386,12.61,35.0,0.99,0.0,0.0,360.4921600000003,104.43891431396
71,46.0,12.61,12.72,35.0,-0.03,L,3.0,177.02740000000193,104.38580609396
72,46.0,12.72,12.735,35.0,1.0,L,3.0,24.140099999998053,104.62720709396
73,46.0,12.735,12.86,35.0,1.0,0.0,0.0,201.1675,106.63888209396
74,46.0,12.86,13.22,35.0,0.88,R,3.0,579.3624000000019,111.73727121396
75,46.0,13.22,13.248,35.0,0.0,R,3.0,45.06151999999789,111.73727121396
76,46.0,13.248,13.4,35.0,0.0,0.0,0.0,244.61968000000164,111.73727121396
77,46.0,13.4,13.46,35.0,-0.33,0.0,0.0,96.5604000000008,111.41862189396
78,46.0,13.46,13.52,35.0,0.33,L,3.0,96.56039999999794,111.73727121396
79,46.0,13.52,13.563,35.0,0.83,L,3.0,69.20162000000167,112.31164465996
80,46.0,13.563,13.72,35.0,0.83,0.0,0.0,252.66638000000003,114.40877561396
81,46.0,13.72,13.77,35.0,1.18,0.0,0.0,80.46699999999828,115.35828621396
82,46.0,13.77,14.04,35.0,1.0,0.0,0.0,434.5217999999993,119.70350421395996
83,46.0,13.899,14.32,35.0,0.0,0.0,0.0,677.5321400000018,119.70350421395996
84,46.0,14.32,14.486,35.0,0.25,L,2.0,267.1504400000006,120.37138031395996
85,46.0,14.486,14.51,35.0,0.25,0.0,0.0,38.62415999999861,120.46794071395998
86,46.0,14.51,15.59,35.0,0.59,0.0,0.0,1738.0872,130.72265519395998
87,46.0,14.808,15.258,35.0,0.0,R,4.0,724.2029999999988,130.72265519395998
