,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,28.0,5.49,5.63,40.0,0.31,0.0,0.0,225.30759999999947,20.18273294
1,28.0,5.63,7.45,40.0,0.12,0.0,0.0,2928.9988000000003,23.6975315
2,28.0,7.45,7.55,40.0,0.0,0.0,0.0,160.93399999999943,23.6975315
3,28.0,7.55,8.03,40.0,-0.23,0.0,0.0,772.4831999999992,21.920820140000004
4,28.0,8.03,8.082,40.0,0.0,L,1.5,83.68568000000221,21.920820140000004
5,28.0,8.082,8.2,40.0,0.0,0.0,0.0,189.90211999999767,21.920820140000004
6,28.0,8.2,8.54,40.0,0.22,0.0,0.0,547.1755999999997,23.124606460000003
7,28.0,8.54,8.6,40.0,0.0,0.0,0.0,96.5604000000008,23.124606460000003
8,28.0,8.6,8.91,40.0,-0.22,0.0,0.0,498.8954000000008,22.02703658
9,28.0,8.91,9.19,40.0,0.0,0.0,0.0,450.6151999999989,22.02703658
10,28.0,9.19,9.334,40.0,0.3,R,2.06,231.7449600000002,22.72227146
11,28.0,9.334,9.54,40.0,0.3,0.0,0.0,331.5240399999992,23.71684358
12,28.0,9.54,9.77,40.0,0.12,0.0,0.0,370.1482000000007,24.16102142
13,28.0,9.77,9.96,40.0,0.0,0.0,0.0,305.77460000000207,24.16102142
14,28.0,9.96,10.23,40.0,0.36,0.0,0.0,434.5217999999993,25.7252999
15,28.0,10.23,10.282,40.0,0.0,R,1.11666,83.68567999999935,25.7252999
16,28.0,10.282,10.29,40.0,0.0,0.0,0.0,12.87471999999858,25.7252999
17,28.0,10.29,10.47,40.0,-0.09,0.0,0.0,289.6812000000024,25.46458682
18,28.0,10.47,10.65,40.0,0.0,0.0,0.0,289.68119999999954,25.46458682
19,28.0,10.65,11.22,40.0,0.12,0.0,0.0,917.3238000000003,26.56537538
20,28.0,11.22,11.46,40.0,0.07,0.0,0.0,386.2416000000004,26.8357445
21,28.0,11.46,12.22,40.0,0.0,0.0,0.0,1223.0983999999996,26.8357445
22,28.0,12.22,12.63,40.0,0.79,0.0,0.0,659.8294000000002,32.04839676
23,28.0,12.452,12.96,40.0,0.0,0.0,0.0,817.5447200000013,32.04839676
24,28.0,12.96,13.15,40.0,0.1,0.0,0.0,305.7745999999992,32.35417136
25,28.0,13.15,13.28,40.0,0.38,0.0,0.0,209.2141999999984,33.149185319999994
26,30.0,13.3,13.58,40.0,0.25,0.0,0.0,450.6151999999989,1.1265379999999974
27,30.0,13.58,13.732,40.0,0.16,R,2.5,244.6196799999988,1.5179294879999954
28,30.0,13.732,13.95,40.0,0.16,0.0,0.0,350.83611999999994,2.0792672799999954
29,30.0,13.95,15.94,40.0,0.4,0.0,0.0,3202.5866,14.889613679999997
30,30.0,15.94,16.03,40.0,0.39,0.0,0.0,144.8406000000026,15.454492020000009
31,30.0,16.03,16.27,40.0,0.36,L,1.11,386.2415999999975,16.84496178
32,30.0,16.27,16.284,40.0,0.4,L,1.11,22.530759999998946,16.935084819999993
33,30.0,16.284,18.69,40.0,0.4,0.0,0.0,3872.072040000004,32.42337298000001
34,30.0,18.69,18.928,40.0,0.17,R,1.83,383.02291999999926,33.07451194400001
35,30.0,18.928,19.16,40.0,0.17,0.0,0.0,373.3668799999989,33.70923564
36,30.0,19.16,19.42,40.0,0.14,0.0,0.0,418.4284000000025,34.2950354
37,30.0,19.42,20.26,40.0,0.4,0.0,0.0,1351.8455999999996,39.702417800000006
38,30.0,19.927,20.02,40.0,0.0,L,0.5,149.66861999999995,39.702417800000006
39,30.0,20.02,20.3,40.0,0.13,0.0,0.0,450.6152000000018,40.28821756000001
40,30.0,20.3,20.52,40.0,0.31,R,2.61,354.0547999999981,41.38578744
41,30.0,20.52,20.538,40.0,0.37,R,2.61,28.968120000001097,41.49296948400001
42,30.0,20.538,21.2,40.0,0.37,0.0,0.0,1065.3830799999985,45.43488688
43,30.0,21.2,21.48,40.0,0.23,R,4.18,450.6152000000018,46.47130184
44,30.0,21.48,21.504,40.0,0.4,R,4.18,38.62416000000146,46.62579848000001
45,30.0,21.504,22.16,40.0,0.4,0.0,0.0,1055.727039999998,50.84870664
46,30.0,22.16,22.28,40.0,0.2,L,2.0,193.1208000000016,51.23494824000001
47,30.0,22.28,22.339,40.0,1.15,L,2.0,94.95105999999598,52.32688542999996
48,30.0,22.339,25.02,40.0,1.15,0.0,0.0,4314.640540000001,101.94525163999998
49,30.0,25.02,25.089,40.0,0.11,R,3.55,111.04445999999848,102.06740054599996
50,30.0,25.089,25.15,40.0,0.11,0.0,0.0,98.1697399999999,102.17538725999998
51,30.0,25.15,25.38,40.0,0.4,0.0,0.0,370.1482000000007,103.65598005999998
52,30.0,25.38,25.72,40.0,0.24,L,3.86,547.1755999999997,104.96920149999995
53,30.0,25.72,25.74,40.0,0.17,L,3.86,32.18679999999931,105.02391905999995
54,30.0,25.74,25.766,40.0,0.41,L,3.86,41.84283999999968,105.19547470399996
55,30.0,25.766,25.93,40.0,0.41,0.0,0.0,263.9317600000024,106.27759491999996
56,30.0,25.93,26.17,40.0,0.24,L,4.11,386.2416000000032,107.20457475999996
57,30.0,26.17,26.195,40.0,0.4,L,4.11,40.23349999999771,107.36550875999995
58,30.0,26.195,26.25,40.0,0.4,0.0,0.0,88.51369999999953,107.71956355999995
59,30.0,26.25,26.4,40.0,0.23,R,4.25,241.4009999999977,108.27478585999997
60,30.0,26.4,26.425,40.0,0.4,R,4.25,40.23350000000343,108.43571985999998
61,30.0,26.425,26.54,40.0,0.4,0.0,0.0,185.0740999999975,109.17601625999995
62,30.0,26.54,26.65,40.0,0.28,L,3.3,177.02739999999906,109.67169297999996
63,30.0,26.65,26.666,40.0,0.4,L,3.3,25.74944000000288,109.77469073999995
64,30.0,26.666,27.05,40.0,0.4,0.0,0.0,617.9865600000005,112.24663697999998
65,30.0,27.05,27.44,40.0,0.15,R,5.11,627.6426000000009,113.18810087999998
66,30.0,27.44,27.485,40.0,0.41,R,5.11,72.42029999999703,113.48502410999996
67,30.0,27.485,27.91,40.0,0.41,0.0,0.0,683.9695000000011,116.28929905999998
68,30.0,27.91,28.23,40.0,0.14,0.0,0.0,514.9888000000004,117.01028337999998
69,30.0,28.23,28.239,40.0,0.39,L,5.18,14.484060000000548,117.06677121399998
70,30.0,28.239,29.52,40.0,0.39,0.0,0.0,2061.564539999998,125.10687291999996
