,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,29.0,5.4,5.78,40.0,0.0,0.0,0.0,611.5491999999998,-3.56307876000001
1,29.0,5.78,5.82,40.0,0.19,0.0,0.0,64.37360000000005,-3.44076892000001
2,29.0,5.82,6.05,40.0,0.54,0.0,0.0,370.1481999999992,-1.4419686400000136
3,29.0,6.05,6.54,40.0,0.0,0.0,0.0,788.5766000000003,-1.4419686400000136
4,29.0,6.534,6.73,40.0,0.25,0.0,0.0,315.430640000001,-0.653392040000011
5,29.0,6.73,6.86,40.0,0.0,0.0,0.0,209.2141999999998,-0.653392040000011
6,29.0,6.86,6.94,40.0,0.32,0.0,0.0,128.7472000000001,-0.2414010000000107
7,29.0,6.94,7.13,40.0,0.5,0.0,0.0,305.7745999999992,1.2874719999999853
8,29.0,7.13,7.39,40.0,0.14,0.0,0.0,418.4283999999996,1.8732717599999849
9,29.0,7.39,7.61,40.0,0.06,0.0,0.0,354.054800000001,2.085704639999985
10,29.0,7.61,7.87,40.0,0.06,0.0,0.0,418.4283999999996,2.336761679999985
11,29.0,7.87,7.873,40.0,0.0,R,3.0,4.828020000000183,2.336761679999985
12,29.0,7.873,8.06,40.0,0.0,0.0,0.0,300.94658000000044,2.336761679999985
13,29.0,8.06,8.15,40.0,-0.11,0.0,0.0,144.84059999999977,2.177437019999985
14,29.0,8.15,8.28,40.0,0.01,0.0,0.0,209.2141999999984,2.1983584399999847
15,29.0,8.28,8.45,40.0,0.25,0.0,0.0,273.58779999999985,2.882327939999984
16,29.0,8.45,8.49,40.0,0.0,0.0,0.0,64.37360000000149,2.882327939999984
17,29.0,8.49,8.81,40.0,-0.28,0.0,0.0,514.9888000000004,1.440359299999983
18,29.0,8.81,8.87,40.0,-0.09,0.0,0.0,96.56039999999794,1.353454939999985
19,29.0,8.87,9.19,40.0,-0.1,0.0,0.0,514.9888000000004,0.8384661399999844
20,29.0,9.19,9.207,40.0,-0.18,R,2.16,27.35878000000199,0.7892203359999809
21,29.0,9.207,9.34,40.0,-0.18,0.0,0.0,214.04221999999857,0.4039443399999834
22,29.0,9.34,9.73,40.0,0.0,0.0,0.0,627.6426000000009,0.4039443399999834
23,29.0,9.73,9.87,40.0,0.49,0.0,0.0,225.30759999999805,1.507951579999974
24,29.0,9.85,10.08,40.0,0.53,0.0,0.0,370.1482000000007,3.469737039999978
25,29.0,10.08,10.26,40.0,0.49,0.0,0.0,289.68119999999954,4.889174919999975
26,29.0,10.26,10.277,40.0,0.0,L,7.5,27.35877999999913,4.889174919999975
27,29.0,10.277,10.3,40.0,0.0,0.0,0.0,64.37360000000149,4.889174919999975
28,27.0,27.81,27.9,49.0,-0.05,0.0,0.0,144.84059999999977,499.62121234
29,27.0,27.9,27.952,49.0,0.13,L,4.11,83.68568000000508,499.730003724
30,27.0,27.952,27.97,49.0,0.13,0.0,0.0,28.96811999999538,499.76766228
31,27.0,27.97,28.07,49.0,0.0,0.0,0.0,160.93400000000227,499.76766228
32,27.0,28.07,28.14,49.0,0.5,0.0,0.0,112.65380000000046,500.33093128
33,27.0,28.14,28.22,49.0,0.12,0.0,0.0,128.74719999999724,500.48542792
34,27.0,28.22,28.6,49.0,0.27,0.0,0.0,611.5492000000041,502.13661076
35,27.0,28.6,28.67,49.0,0.62,0.0,0.0,112.65380000000046,502.83506432
36,27.0,28.67,28.71,49.0,0.24,L,2.31,64.37359999999862,502.98956096
37,27.0,28.71,28.948,49.0,0.91,L,2.31,383.02291999999926,506.475069532
38,27.0,28.948,29.05,49.0,0.91,0.0,0.0,164.1526800000005,507.96885892
39,27.0,29.05,29.12,49.0,0.87,R,1.0,112.65380000000046,508.94894698
40,27.0,29.12,29.2,49.0,1.37,R,1.0,128.74719999999724,510.71278362
41,27.0,29.2,29.31,49.0,0.5,R,1.0,177.02739999999906,511.59792062
42,27.0,29.31,29.39,49.0,0.0,R,1.0,128.74720000000298,511.59792062
43,27.0,29.39,29.518,49.0,0.31,R,1.0,205.99552000000017,512.236506732
44,27.0,29.518,29.6,49.0,0.31,0.0,0.0,131.9658800000012,512.6456009599999
45,27.0,29.6,30.03,49.0,0.49,0.0,0.0,692.0161999999995,516.0364803399999
46,27.0,30.03,30.07,49.0,1.0,0.0,0.0,64.37359999999862,516.6802163399999
47,27.0,30.07,30.24,49.0,0.0,0.0,0.0,273.587799999997,516.6802163399999
48,27.0,30.24,30.3,49.0,0.16,0.0,0.0,96.56040000000364,516.83471298
49,27.0,30.3,30.498,49.0,1.06,R,1.0,318.6493200000006,520.2123957719999
50,27.0,30.498,30.58,49.0,1.06,0.0,0.0,131.96587999999545,521.6112340999998
51,27.0,30.58,30.7,49.0,0.83,0.0,0.0,193.1208000000016,523.2141367399998
52,27.0,30.7,30.98,49.0,1.03,0.0,0.0,450.6152000000018,527.8554732999999
53,27.0,30.98,31.09,49.0,0.92,0.0,0.0,177.02739999999906,529.4841253799998
54,27.0,31.09,31.13,49.0,1.49,0.0,0.0,64.37359999999862,530.4432920199998
55,27.0,31.13,31.32,49.0,0.69,0.0,0.0,305.77460000000207,532.5531367599998
56,27.0,31.32,31.51,49.0,1.05,0.0,0.0,305.77460000000207,535.7637700599998
57,27.0,31.51,31.62,49.0,0.83,0.0,0.0,177.02739999999906,537.2330974799999
58,27.0,31.62,31.7,49.0,0.12,0.0,0.0,128.74719999999724,537.3875941199999
