,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7508.0,458.75,458.57,55.0,-0.24,0.0,0.0,289.68120000001096,428.37750081400014
1,7508.0,458.57,458.239,55.0,-0.45,0.0,0.0,532.6915400000278,427.6822659340001
2,7508.0,458.239,458.22,55.0,-0.45,L,3.3,30.5774599999173,425.285154004
3,7508.0,458.22,457.79,55.0,-0.33,0.0,0.0,692.0162000000109,425.1475554340004
4,7508.0,457.79,457.691,55.0,0.54,0.0,0.0,159.32466000007463,422.8639019740003
5,7508.0,457.691,457.41,55.0,0.54,R,1.0,452.224539999918,423.72425513800073
6,7508.0,457.41,457.18,55.0,0.6,0.0,0.0,370.1482000000293,426.1662676540003
7,7508.0,457.18,457.03,55.0,-0.59,0.0,0.0,241.4010000000549,428.38715685400047
8,7508.0,457.03,457.006,55.0,-0.47,0.0,0.0,38.62416000000146,426.96289095400016
9,7508.0,457.006,456.38,55.0,-0.47,L,2.73333,1007.446839999962,426.78135740200014
10,7508.0,456.38,456.239,55.0,-0.6,0.0,0.0,226.91694000003145,422.0463572540003
11,7508.0,456.239,456.2,55.0,-0.6,R,2.48333,62.76425999997951,420.6848556140001
12,7508.0,456.2,455.69,55.0,-0.47,R,2.48333,820.7633999999853,420.3082700540003
13,7508.0,455.69,455.53,55.0,-0.6,0.0,0.0,257.49440000004023,416.4506820740003
14,7508.0,455.53,455.21,55.0,-0.0,0.0,0.0,514.9887999999889,414.9057156740001
15,7508.0,454.6,454.15,55.0,-0.33,0.0,0.0,724.2030000000732,412.4514721740002
16,7508.0,454.15,453.85,55.0,-0.16,0.0,0.0,482.8019999999268,410.061602274
17,7508.0,453.85,453.798,55.0,0.56,0.0,0.0,83.68568000003366,409.2891190740001
18,7508.0,453.798,453.27,55.0,0.56,R,1.0,849.7315200000321,409.7577588820003
19,7508.0,453.27,452.379,55.0,-0.55,0.0,0.0,1433.92193999994,414.5162553940005
20,7508.0,452.47,451.441,55.0,0.59,0.0,0.0,1656.0108600000856,406.6296847240008
21,7508.0,451.441,451.44,55.0,0.59,R,1.05,1.609339999961944,416.4001487980013
22,7508.0,451.44,451.27,55.0,-0.54,R,1.05,273.5878000000256,416.40964390400114
23,7508.0,451.27,450.67,55.0,-0.59,0.0,0.0,965.603999999945,414.932269784001
24,7508.0,450.67,450.02,55.0,-0.39,0.0,0.0,1046.071000000055,409.2352061840013
25,7508.0,450.02,448.977,55.0,0.59,0.0,0.0,1678.5416200000102,405.1555292840011
26,7508.0,448.977,448.94,55.0,0.59,R,1.00833,59.54557999996414,415.0589248420012
27,7508.0,448.94,448.68,55.0,0.55,R,1.00833,418.4283999999853,415.41024376400094
28,7508.0,448.68,447.82,55.0,0.4,0.0,0.0,1384.032400000022,417.71159996400087
29,7508.0,447.82,446.715,55.0,0.59,0.0,0.0,1778.320700000029,423.24772956400096
30,7508.0,446.715,446.69,55.0,0.59,L,0.5,40.233499999963406,433.73982169400114
31,7508.0,446.69,446.25,55.0,-0.17,L,0.5,708.1095999999962,433.9771993440009
32,7508.0,446.25,445.91,55.0,-0.33,0.0,0.0,547.1755999999597,432.7734130240009
33,7508.0,445.91,445.27,55.0,-0.59,0.0,0.0,1029.9776000000695,430.967733544001
34,7508.0,445.27,444.491,55.0,0.35,0.0,0.0,1253.675859999994,424.8908657040006
35,7508.0,444.66,444.25,55.0,-0.39,0.0,0.0,659.8294000000402,429.2787312140006
36,7508.0,444.25,443.91,55.0,-0.48,0.0,0.0,547.1755999999597,426.7053965540004
37,7508.0,443.91,443.34,55.0,-0.0,0.0,0.0,917.3238000000804,424.0789536740006
38,7508.0,443.34,442.18,55.0,-0.32,0.0,0.0,1866.8343999999488,424.0789536740006
39,7508.0,442.18,441.07,55.0,-0.6,0.0,0.0,1786.367400000022,418.1050835940008
40,7508.0,441.07,440.69,55.0,-0.09,0.0,0.0,611.5491999999927,407.3868791940007
41,7508.0,440.69,440.12,55.0,-0.57,0.0,0.0,917.323799999989,406.8364849140007
42,7508.0,440.12,439.78,55.0,-0.0,0.0,0.0,547.1756000000512,401.6077392540008
43,7508.0,439.78,439.47,55.0,0.38,0.0,0.0,498.8953999999122,401.6077392540008
44,7508.0,439.47,439.25,55.0,-0.5,0.0,0.0,354.0548000000439,403.5035417740005
45,7508.0,439.25,438.75,55.0,-0.0,0.0,0.0,804.67,401.7332677740002
46,7508.0,438.75,438.38,55.0,0.4,0.0,0.0,595.4558000000073,401.7332677740002
47,7508.0,438.38,437.18,55.0,-0.1,0.0,0.0,1931.2079999999817,404.1150909740003
48,7508.0,437.18,435.966,55.0,-0.6,0.0,0.0,1953.7387599999977,402.1838829740003
49,7508.0,435.966,435.95,55.0,-0.6,R,0.5,25.749440000031463,390.4614504140004
50,7508.0,435.95,435.71,55.0,-0.57,R,0.5,386.2416000000146,390.3069537740002
51,7508.0,435.71,434.82,55.0,-0.6,0.0,0.0,1432.312599999978,388.1053766540001
52,7508.0,434.82,433.96,55.0,0.6,0.0,0.0,1384.032400000022,379.5115010540002
53,7508.0,433.96,433.55,55.0,0.25,0.0,0.0,659.8293999999487,387.8156954540004
54,7508.0,433.55,432.5,55.0,0.59,0.0,0.0,1689.8070000000182,389.4652689540002
