,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,47.0,10.223,10.57,60.0,0.0,L,1.5,558.4409799999992,4.619771404000007
1,47.0,10.57,11.255,60.0,0.0,L,1.0,1102.3979000000008,4.619771404000007
2,47.0,11.255,11.891,60.0,0.0,L,1.0,1023.5402399999988,4.619771404000007
3,47.0,11.891,13.561,60.0,0.0,R,1.0,2687.5978,4.619771404000007
4,47.0,13.561,14.363,60.0,0.0,L,1.0,1290.6906799999992,4.619771404000007
5,47.0,14.363,15.29,60.0,0.0,0.0,0.0,1491.8581799999993,4.619771404000007
6,47.0,15.29,15.67,60.0,0.0,0.0,0.0,611.5492000000012,4.619771404000007
7,47.0,15.67,45.25,60.0,0.0036,0.0,0.0,47604.2772,6.333525383200007
8,47.0,16.145,18.487,60.0,0.0,R,0.4,3769.074279999998,6.333525383200007
9,47.0,18.487,19.106,60.0,0.0,L,1.0,996.1814600000052,6.333525383200007
10,47.0,19.106,21.359,60.0,0.0,R,1.0,3625.84302,6.333525383200007
11,47.0,21.359,22.566,60.0,0.0,L,1.0,1942.4733799999956,6.333525383200007
12,47.0,22.566,23.757,60.0,0.0,L,1.0,1916.723940000004,6.333525383200007
13,47.0,23.757,24.196,60.0,0.0,R,1.0,706.50026,6.333525383200007
14,47.0,24.196,24.744,55.0,0.0,R,1.5,881.9183199999972,6.333525383200007
15,47.0,24.744,27.224,55.0,0.0,R,0.5,3991.1632,6.333525383200007
16,47.0,27.224,29.45,60.0,0.0,R,1.0,3582.390839999998,6.333525383200007
17,47.0,29.45,30.264,60.0,0.0,L,0.5,1310.00276,6.333525383200007
18,47.0,30.264,31.927,50.0,0.0,L,1.0,2676.33242,6.333525383200007
19,47.0,31.927,32.595,50.0,0.0,L,1.0,1075.0391199999988,6.333525383200007
20,47.0,32.595,33.292,50.0,0.0,L,1.5,1121.7099800000044,6.333525383200007
21,47.0,33.292,34.157,50.0,0.0,L,3.0,1392.0790999999915,6.333525383200007
22,47.0,34.157,34.477,50.0,0.0,R,3.0,514.9888000000004,6.333525383200007
23,47.0,34.477,34.852,50.0,0.0,L,3.0,603.5024999999999,6.333525383200007
24,47.0,34.852,35.449,50.0,0.0,R,2.5,960.775980000002,6.333525383200007
25,47.0,35.449,35.614,50.0,0.0,L,2.5,265.5410999999986,6.333525383200007
26,47.0,35.614,36.33,50.0,0.0,R,3.0,1152.2874400000017,6.333525383200007
27,47.0,36.33,36.619,50.0,0.0,L,3.0,465.0992600000024,6.333525383200007
28,47.0,36.619,36.83,50.0,0.0,R,3.0,339.5707399999976,6.333525383200007
29,47.0,36.83,38.071,50.0,0.0,L,0.5,1997.1909399999995,6.333525383200007
30,47.0,38.071,38.875,50.0,0.0,R,3.0,1293.9093600000033,6.333525383200007
31,47.0,38.875,39.573,50.0,0.0,L,1.3,1123.3193200000003,6.333525383200007
32,47.0,39.573,40.071,50.0,0.0,R,3.0,801.451319999996,6.333525383200007
33,47.0,40.071,40.459,50.0,0.0,L,3.0,624.4239200000084,6.333525383200007
34,47.0,40.459,41.058,50.0,0.0,R,1.5,963.9946599999946,6.333525383200007
35,47.0,41.058,42.315,50.0,0.0,L,0.75,2022.9403799999968,6.333525383200007
36,47.0,42.315,43.31,50.0,0.0,R,0.5,1601.293300000007,6.333525383200007
37,47.0,43.31,44.538,55.0,0.0,L,2.5,1976.269519999991,6.333525383200007
38,47.0,44.538,45.052,55.0,0.0,R,2.5,827.2007600000046,6.333525383200007
39,47.0,45.052,45.25,55.0,0.0,L,2.0,318.6493200000006,6.333525383200007
40,47.0,45.25,45.5,55.0,0.1,L,2.0,402.335,6.735860383200007
41,47.0,45.5,45.76,55.0,0.1,0.0,0.0,418.4283999999968,7.154288783200004
42,47.0,45.76,46.03,55.0,0.17,R,0.75,434.521800000005,7.892975843200013
43,47.0,46.03,46.055,55.0,0.2,R,0.75,40.23349999999771,7.973442843200008
44,47.0,46.055,46.41,55.0,0.2,0.0,0.0,571.315699999995,9.116074243199998
45,47.0,46.41,46.67,55.0,0.11,R,2.0,418.4284000000082,9.576345483200008
46,47.0,46.67,46.671,55.0,0.19,R,2.0,1.6093399999962492,9.5794032292
47,47.0,46.671,47.15,55.0,0.19,0.0,0.0,770.8738599999987,11.044063563199998
48,47.0,47.15,47.237,55.0,0.16,L,2.5,140.0125800000053,11.268083691200006
49,47.0,47.237,47.61,55.0,0.16,0.0,0.0,600.283819999996,12.2285378032
50,47.0,47.452,48.18,55.0,0.19,0.0,0.0,1171.5995200000025,14.454576891200006
51,47.0,47.976,48.18,55.0,0.0,L,1.0,328.305360000001,14.454576891200006
52,47.0,48.18,48.234,55.0,0.15,L,1.0,86.9043600000033,14.58493343120001
53,47.0,48.234,48.86,55.0,0.15,0.0,0.0,1007.4468399999962,16.096103691200003
54,47.0,48.86,49.171,55.0,0.14,R,2.5,500.5047399999999,16.796810327200003
55,47.0,49.171,49.24,55.0,0.14,0.0,0.0,111.0444600000042,16.95227257120001
56,47.0,49.24,50.25,55.0,0.03,0.0,0.0,1625.4333999999967,17.439902591200006
57,47.0,49.559,49.962,55.0,0.0,L,1.0,648.5640200000094,17.439902591200006
58,47.0,49.962,50.73,55.0,0.1,0.0,0.0,1235.9731199999896,18.6758757112
59,47.0,50.713,51.07,55.0,0.2,0.0,0.0,574.5343799999989,19.824944471199995
60,47.0,51.07,51.54,55.0,0.07,L,3.0,756.3897999999981,20.354417331199997
61,47.0,51.54,51.557,55.0,0.21,L,3.0,27.358780000004845,20.411870769200004
62,47.0,51.557,51.62,55.0,0.21,0.0,0.0,101.3884199999924,20.624786451199988
63,47.0,51.62,51.83,55.0,0.11,R,2.0,337.96140000000133,20.99654399119999
