,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,485.0,113.82,113.714,60.0,-0.0,0.0,0.0,170.5900399999912,103.29790191000004
1,485.0,113.714,113.71,60.0,-0.0,L,4.0,6.437360000007867,103.29790191000004
2,485.0,113.71,113.44,60.0,-0.16,0.0,0.0,434.5217999999936,103.29790191000004
3,485.0,113.44,113.27,60.0,0.04,0.0,0.0,273.58780000000274,102.60266703000003
4,485.0,113.27,113.06,60.0,-0.0,0.0,0.0,337.9613999999899,102.71210215000004
5,485.0,113.06,112.91,60.0,0.27,0.0,0.0,241.4010000000092,102.71210215000004
6,485.0,112.91,112.87,60.0,0.24,0.0,0.0,64.37359999998719,103.36388485000008
7,485.0,112.87,112.84,60.0,-0.54,0.0,0.0,48.28020000000183,103.51838149000004
8,485.0,112.84,112.82,60.0,-0.5,0.0,0.0,32.18680000001646,103.25766841000002
9,485.0,112.82,112.74,60.0,-0.54,0.0,0.0,128.74719999999724,103.09673440999994
10,485.0,112.74,112.67,60.0,0.64,0.0,0.0,112.65379999998902,102.40149952999997
11,485.0,112.67,112.59,60.0,0.65,0.0,0.0,128.74719999999724,103.12248384999988
12,485.0,112.59,112.51,60.0,0.64,0.0,0.0,128.74719999999724,103.95934064999986
13,485.0,112.51,112.44,60.0,1.42,0.0,0.0,112.65380000001188,104.78332272999984
14,485.0,112.44,112.31,60.0,1.46,0.0,0.0,209.21419999999267,106.38300669
15,485.0,112.31,112.25,60.0,1.42,0.0,0.0,96.56040000000364,109.4375340099999
16,485.0,112.25,112.19,60.0,-0.23,0.0,0.0,96.56040000000364,110.80869168999996
17,485.0,112.19,112.06,60.0,-0.25,0.0,0.0,209.21419999999267,110.58660276999994
18,485.0,112.06,111.81,60.0,-0.0,0.0,0.0,402.335,110.06356726999996
19,485.0,111.81,111.74,60.0,1.34,0.0,0.0,112.65380000001188,110.06356726999996
20,485.0,111.74,111.42,60.0,1.35,0.0,0.0,514.9887999999889,111.57312819000012
21,485.0,111.42,111.36,60.0,1.35,0.0,0.0,96.56040000000364,118.52547698999996
22,485.0,111.36,111.3,60.0,-1.39,0.0,0.0,96.56040000000364,119.82904239000004
23,485.0,111.3,111.25,60.0,-1.39,0.0,0.0,80.46699999999542,118.48685282999998
24,485.0,111.25,111.19,60.0,-1.39,0.0,0.0,96.56040000000364,117.36836153000004
25,485.0,111.19,111.13,60.0,-0.0,0.0,0.0,96.56040000000364,116.02617197
26,485.0,111.13,111.11,60.0,-0.0,0.0,0.0,32.1867999999936,116.02617197
27,485.0,111.11,111.06,60.0,-0.0,0.0,0.0,80.46699999999542,116.02617197
28,485.0,111.06,111.0,60.0,1.26,0.0,0.0,96.56040000000364,116.02617197
29,485.0,111.0,110.79,60.0,1.26,0.0,0.0,337.9613999999899,117.24283301000004
30,485.0,110.79,110.68,60.0,0.78,0.0,0.0,177.02739999999906,121.50114664999992
31,485.0,110.68,110.6,60.0,0.77,0.0,0.0,128.74720000002011,122.8819603699999
32,485.0,110.6,110.52,60.0,-0.54,0.0,0.0,128.74719999999724,123.87331381000006
33,485.0,110.52,110.49,60.0,-0.6,0.0,0.0,48.28020000000183,123.17807893000008
34,485.0,110.49,110.43,60.0,-0.54,0.0,0.0,96.5603999999808,122.88839773000008
