,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7200.0,286.41,286.55,70.0,0.57,R,2.25,225.30759999997804,-32.34308300740096
1,7200.0,286.55,286.586,70.0,0.62,R,2.25,57.93624000000219,-31.983878319400944
2,7200.0,286.586,286.71,70.0,0.62,0.0,0.0,199.55815999994653,-30.74661772740128
3,7200.0,286.71,286.92,70.0,0.46,0.0,0.0,337.9614000000585,-29.191995287401006
4,7200.0,286.92,287.015,70.0,0.4,L,2.45,152.88729999995243,-28.5804460874012
5,7200.0,287.015,287.18,70.0,0.4,0.0,0.0,265.54110000003294,-27.518281687401064
6,7200.0,287.18,287.24,70.0,0.55,R,2.0,96.56040000000364,-26.987199487401043
7,7200.0,287.24,287.34,70.0,0.65,R,2.0,160.93399999994512,-25.9411284874014
8,7200.0,287.34,287.382,70.0,1.06,R,2.0,67.5922800000483,-25.224650319400887
9,7200.0,287.382,287.74,70.0,1.06,0.0,0.0,576.1437200000065,-19.117526887400818
10,7200.0,287.74,287.96,70.0,0.21,0.0,0.0,354.0547999999524,-18.37401180740092
11,7200.0,287.96,288.24,70.0,0.22,0.0,0.0,450.61520000004754,-17.382658367400815
12,7200.0,288.24,288.67,70.0,1.41,0.0,0.0,692.0162000000109,-7.625229947400662
13,7200.0,288.67,288.886,70.0,-0.69,L,0.66666,347.6174400000132,-10.023790283400754
14,7200.0,288.886,289.17,70.0,-0.69,0.0,0.0,457.0525599999868,-13.177452947400662
15,7200.0,289.17,289.49,70.0,-0.61,0.0,0.0,514.9887999999889,-16.318884627400593
16,7200.0,289.49,289.73,70.0,-1.24,0.0,0.0,386.2416000000146,-21.10828046740077
17,7200.0,289.73,290.36,70.0,-1.0,0.0,0.0,1013.8841999999926,-31.2471224674007
18,7200.0,290.36,290.87,70.0,0.0,0.0,0.0,820.7633999999853,-31.2471224674007
19,7200.0,290.574,291.33,70.0,0.6,0.0,0.0,1216.6610399999545,-23.94715622740097
20,7200.0,290.976,291.98,70.0,1.41,0.0,0.0,1615.7773600000307,-1.1646954514005436
21,7200.0,291.98,292.74,70.0,0.39,0.0,0.0,1223.0983999999853,3.605388308599399
22,7200.0,292.74,293.02,70.0,0.93,0.0,0.0,450.6151999999561,7.796109668598991
23,7200.0,293.02,293.41,70.0,0.69,0.0,0.0,627.6426000000695,12.12684360859947
24,7200.0,293.41,293.84,70.0,0.91,0.0,0.0,692.0161999999194,18.424191028598734
25,7200.0,293.84,294.19,70.0,0.93,0.0,0.0,563.2690000000366,23.66259272859908
26,7200.0,294.19,294.59,70.0,1.05,0.0,0.0,643.7359999999634,30.421820728598696
27,7200.0,294.59,294.99,70.0,1.33,0.0,0.0,643.7360000000549,38.98350952859943
28,7200.0,294.99,295.53,70.0,0.17,0.0,0.0,869.0435999999414,40.46088364859933
29,7200.0,295.14,295.61,70.0,0.0,0.0,0.0,756.3898000000439,40.46088364859933
30,7200.0,295.61,295.662,70.0,-0.36,L,0.2,83.68567999994218,40.15961520059954
31,7200.0,295.662,295.98,70.0,-0.36,0.0,0.0,511.7701200000651,38.31724276859931
32,7200.0,295.98,296.71,70.0,-1.38,0.0,0.0,1174.8181999999376,22.104751608600168
33,7200.0,296.71,297.42,70.0,0.08,0.0,0.0,1142.6314000000584,23.018856728600216
34,7200.0,296.887,297.398,70.0,0.0,R,0.16666,822.3727400000388,23.018856728600216
35,7200.0,297.398,297.57,70.0,0.25,0.0,0.0,276.8064799999495,23.71087292860009
36,7200.0,297.57,297.94,70.0,0.0,0.0,0.0,595.4558000000073,23.71087292860009
37,7200.0,297.94,298.3,70.0,-0.42,0.0,0.0,579.3624000000219,21.2775508486
38,7200.0,298.3,298.56,70.0,0.0,0.0,0.0,418.4283999999853,21.2775508486
39,7200.0,298.56,298.94,70.0,0.45,0.0,0.0,611.5491999999927,24.029522248599964
40,7200.0,298.94,299.105,70.0,0.25,L,0.98888,265.54110000003294,24.69337499860005
41,7200.0,299.105,299.11,70.0,0.25,0.0,0.0,8.046699999992681,24.713491748600028
42,7200.0,299.11,299.59,70.0,0.0,0.0,0.0,772.4831999999377,24.713491748600028
43,7200.0,299.59,299.94,70.0,1.43,0.0,0.0,563.2690000000366,32.76823844860055
44,7200.0,299.94,300.34,70.0,0.0,0.0,0.0,643.7359999999634,32.76823844860055
45,7200.0,300.34,300.91,70.0,0.64,0.0,0.0,917.3238000000804,38.63911076860106
46,7200.0,300.854,301.43,70.0,1.38,0.0,0.0,926.9798400000352,51.43143256060155
47,7200.0,301.43,301.541,70.0,0.24,R,0.77916,178.6367399999839,51.86016073660152
48,7200.0,301.541,301.74,70.0,0.24,0.0,0.0,320.25866000001974,52.62878152060157
49,7200.0,301.74,302.01,70.0,0.64,0.0,0.0,434.5217999999707,55.409721040601376
50,7200.0,302.01,302.33,70.0,0.68,R,1.49638,514.9887999999889,58.9116448806013
51,7200.0,302.33,302.38,70.0,0.57,R,1.49638,80.46700000001829,59.3703067806014
52,7200.0,302.38,302.385,70.0,0.64,R,1.49638,8.046699999992681,59.42180566060136
53,7200.0,302.385,302.6,70.0,0.64,0.0,0.0,346.00810000005123,61.63625750060169
54,7200.0,302.6,302.86,70.0,1.36,0.0,0.0,418.4283999999853,67.32688374060149
55,7200.0,302.86,302.9,70.0,1.38,0.0,0.0,64.37359999994145,68.21523942060068
56,7200.0,302.9,303.24,70.0,1.36,L,1.49444,547.1756000000512,75.65682758060137
57,7200.0,303.24,303.27,70.0,1.38,L,1.49444,48.28019999995609,76.32309434060076
58,7200.0,303.27,303.324,70.0,1.43,L,1.49444,86.90436000004902,77.56582668860146
59,7200.0,303.324,303.39,70.0,1.43,0.0,0.0,106.21643999995828,79.08472178060086
60,7200.0,303.39,303.49,70.0,1.02,0.0,0.0,160.93400000003658,80.72624858060124
61,7200.0,303.49,303.81,70.0,1.48,0.0,0.0,514.9887999999889,88.34808282060108
62,7200.0,303.81,303.9,70.0,0.55,L,0.3,144.84059999995975,89.14470612060086
63,7200.0,303.9,303.928,70.0,1.39,L,0.3,45.0615200000322,89.7710612486013
64,7200.0,303.928,304.38,70.0,1.39,0.0,0.0,727.4216799999971,99.88222260060124
65,7200.0,304.38,304.7,70.0,0.84,0.0,0.0,514.9887999999889,104.20812852060116
66,7200.0,304.7,304.997,70.0,0.63,R,0.99444,477.97398000004097,107.21936459460142
67,7200.0,304.997,305.09,70.0,0.63,0.0,0.0,149.66861999993705,108.162276900601
68,7200.0,305.09,305.65,70.0,1.48,0.0,0.0,901.2304000000036,121.50048682060108
69,7200.0,305.65,305.84,70.0,0.5,0.0,0.0,305.7745999999963,123.02935982060104
70,7200.0,305.84,305.95,70.0,0.0,0.0,0.0,177.02740000002194,123.02935982060104
