,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7200.0,285.836,285.8,55.0,-0.31,L,1.33,57.93624000000219,-36.490995923400895
1,7200.0,285.8,285.649,55.0,-0.04,0.0,0.0,243.0103400000168,-36.670598267400905
2,7200.0,285.649,285.61,55.0,-0.04,R,1.33333,62.76425999997951,-36.767802403400914
3,7200.0,285.61,285.27,55.0,-0.15,0.0,0.0,547.1756000000512,-36.792908107400905
4,7200.0,285.27,285.175,55.0,-0.0,0.0,0.0,152.88729999995243,-37.61367150740098
5,7200.0,285.175,284.887,55.0,-0.0,R,0.08333,463.4899200000176,-37.61367150740098
6,7200.0,284.887,284.701,55.0,-0.0,R,0.68971,299.3372399999656,-37.61367150740098
7,7200.0,285.23,283.99,55.0,0.11,0.0,0.0,1995.5816000000143,-37.61367150740098
8,7200.0,283.99,283.58,55.0,0.03,0.0,0.0,659.8294000000402,-35.41853174740096
9,7200.0,283.58,283.293,55.0,0.16,0.0,0.0,461.88057999996414,-35.22058292740095
10,7200.0,283.34,282.56,55.0,0.04,0.0,0.0,1255.285199999956,-34.48157399940101
11,7200.0,282.56,282.53,55.0,0.04,R,0.4,48.28020000004757,-33.97945991940102
12,7200.0,282.53,282.4,55.0,-0.0,0.0,0.0,209.21419999999267,-33.960147839401
13,7200.0,282.4,281.91,55.0,0.07,0.0,0.0,788.5765999999231,-33.960147839401
14,7200.0,281.91,280.45,55.0,0.19,0.0,0.0,2349.6364000000585,-33.40814421940106
15,7200.0,280.45,279.57,55.0,-0.0,0.0,0.0,1416.2191999999925,-28.943835059400943
16,7200.0,279.57,279.29,55.0,0.6,0.0,0.0,450.6151999999561,-28.943835059400943
17,7200.0,279.29,278.77,55.0,-0.15,0.0,0.0,836.8568000000622,-26.24014385940121
18,7200.0,278.77,278.317,55.0,-0.02,0.0,0.0,729.031019999959,-27.495429059401303
19,7200.0,278.54,277.543,55.0,0.18,0.0,0.0,1604.5119800000225,-27.64123526340129
20,7200.0,277.85,277.2,55.0,-0.0,0.0,0.0,1046.071000000055,-24.75311369940125
21,7200.0,277.2,276.15,55.0,0.59,0.0,0.0,1689.8070000000182,-24.75311369940125
22,7200.0,276.15,276.145,55.0,0.3,0.0,0.0,8.046699999992681,-14.783252399401146
23,7200.0,276.145,275.92,55.0,0.3,L,1.0,362.1014999999451,-14.759112299401169
24,7200.0,275.92,275.69,55.0,-0.32,L,1.0,370.1482000000293,-13.672807799401332
25,7200.0,275.69,275.56,55.0,-0.35,0.0,0.0,209.21419999999267,-14.857282039401428
26,7200.0,275.56,275.026,49.0,0.6,0.0,0.0,859.3875599999868,-15.5895317394014
27,7200.0,275.026,274.8,49.0,0.6,L,1.0,363.71083999999854,-10.43320637940148
28,7200.0,274.8,273.89,49.0,-0.33,0.0,0.0,1464.4994000000402,-8.25094133940149
29,7200.0,273.89,273.56,49.0,0.24,0.0,0.0,531.0821999999744,-13.083789359401624
30,7200.0,273.56,272.81,49.0,-0.0,0.0,0.0,1207.005,-11.809192079401685
31,7200.0,272.81,272.46,49.0,-0.21,0.0,0.0,563.2690000000366,-11.809192079401685
