,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,53.0,0.0,0.03,35.0,0.0,0.0,0.0,48.2802,0.0
1,53.0,0.03,0.13,35.0,0.39,0.0,0.0,160.934,0.6276426
2,53.0,0.13,0.2,35.0,0.73,0.0,0.0,112.6538,1.4500153400000002
3,53.0,0.2,0.22,35.0,0.0,R,8.0,32.186799999999984,1.4500153400000002
4,53.0,0.22,0.351,35.0,0.27,R,8.0,210.82353999999995,2.019238898
5,53.0,0.351,0.41,35.0,0.27,0.0,0.0,94.95105999999998,2.27560676
6,53.0,0.41,0.8,35.0,0.5,0.0,0.0,627.6426000000001,5.413819760000001
7,53.0,0.8,1.13,35.0,0.3,0.0,0.0,531.0821999999997,7.00706636
8,53.0,1.053,1.82,35.0,0.0,0.0,0.0,1234.36378,7.00706636
9,53.0,1.534,1.9,35.0,0.0,0.0,0.0,589.0184399999998,7.00706636
10,53.0,1.9,2.26,35.0,0.62,0.0,0.0,579.3623999999998,10.599113239999998
11,53.0,2.26,2.6,35.0,0.52,R,3.0,547.1756000000005,13.44442636
12,53.0,2.6,2.77,35.0,0.42,R,3.0,273.58779999999985,14.593495119999998
13,53.0,2.77,3.11,35.0,0.54,R,3.0,547.1755999999997,17.548243359999997
14,53.0,3.11,3.146,35.0,0.6,R,3.0,57.93624000000005,17.895860799999998
15,53.0,3.146,3.38,35.0,0.6,0.0,0.0,376.58555999999993,20.15537416
16,53.0,3.38,3.55,35.0,0.38,L,3.83333,273.58779999999985,21.1950078
17,53.0,3.55,3.554,35.0,0.74,L,3.83333,6.437360000000005,21.242644264
18,53.0,3.554,3.63,35.0,0.74,0.0,0.0,122.30984000000012,22.147737079999995
19,53.0,3.63,3.74,35.0,0.45,R,4.0,177.0274000000005,22.94436038
20,53.0,3.74,3.764,35.0,0.6,R,4.0,38.624159999999314,23.17610534
21,53.0,3.764,4.01,35.0,0.6,0.0,0.0,395.89764,25.55149118
22,53.0,4.01,4.18,35.0,0.52,L,1.66666,273.58779999999985,26.97414774
23,53.0,4.18,4.212,35.0,0.6,L,1.66666,51.49888000000004,27.283141019999995
24,53.0,4.212,4.68,35.0,0.6,0.0,0.0,753.1711199999999,31.802167739999994
25,53.0,4.68,4.82,35.0,0.51,R,3.0,225.3076000000009,32.9512365
26,53.0,4.82,4.91,35.0,0.47,R,3.0,144.84059999999977,33.63198732
27,53.0,4.91,4.939,35.0,0.61,R,3.0,46.67085999999986,33.916679566
28,53.0,4.939,5.09,35.0,0.61,0.0,0.0,243.01033999999967,35.39904264
29,53.0,5.09,5.45,35.0,0.55,0.0,0.0,579.3624000000004,38.58553584
30,53.0,5.45,5.451,35.0,0.6,L,1.0,1.609339999999108,38.59519188
31,53.0,5.451,5.53,35.0,0.6,0.0,0.0,127.137860000001,39.35801904
32,53.0,5.53,5.79,35.0,0.45,R,4.0,418.4283999999996,41.24094684
33,53.0,5.79,5.81,35.0,0.6,R,4.0,32.18679999999931,41.43406764
34,53.0,5.81,5.93,35.0,0.6,0.0,0.0,193.12080000000017,42.59279244
35,53.0,5.93,6.03,35.0,0.39,R,5.0,160.93400000000085,43.22043504
36,53.0,6.03,6.063,35.0,0.59,R,5.0,53.10821999999915,43.53377353799999
37,53.0,6.063,6.34,35.0,0.59,0.0,0.0,445.7871800000002,46.1639179
38,53.0,6.34,6.71,35.0,0.51,L,2.25,595.4558000000002,49.20074248
39,53.0,6.71,7.089,35.0,0.0,L,2.25,609.9398600000006,49.20074248
40,53.0,7.089,7.85,35.0,0.0,0.0,0.0,1224.7077399999987,49.20074248
41,53.0,7.334,7.816,35.0,0.0,R,6.0,775.7018800000003,49.20074248
42,53.0,7.816,14.84,35.0,0.0,0.0,0.0,11304.00416,49.20074248
43,53.0,8.391,8.685,35.0,0.0,R,3.33333,473.1459600000008,49.20074248
44,53.0,8.685,9.246,35.0,0.0,L,2.0,902.83974,49.20074248
45,53.0,9.246,9.587,35.0,0.0,L,2.0,548.7849399999989,49.20074248
46,53.0,9.587,9.808,35.0,0.0,R,3.0,355.66414000000015,49.20074248
47,53.0,9.808,10.013,35.0,0.0,R,1.0,329.9147000000001,49.20074248
48,53.0,10.013,10.581,35.0,0.0,L,3.18333,914.1051199999994,49.20074248
49,53.0,10.581,11.457,35.0,0.0,R,3.0,1409.781840000002,49.20074248
50,53.0,11.457,12.074,35.0,0.0,L,3.51666,992.9627799999984,49.20074248
51,53.0,12.074,12.576,35.0,0.0,R,5.75,807.888680000001,49.20074248
52,53.0,12.576,13.862,35.0,0.0,L,2.51,2069.6112399999997,49.20074248
53,53.0,13.862,14.422,35.0,0.0,R,5.5,901.2304000000008,49.20074248
54,53.0,14.422,14.84,35.0,0.0,L,2.0,672.7041199999987,49.20074248
55,53.0,14.84,15.024,35.0,0.15,L,2.0,296.1185599999988,49.64492031999999
56,53.0,15.024,15.03,35.0,0.15,0.0,0.0,9.656040000000363,49.65940437999999
57,53.0,15.03,15.99,35.0,0.14,0.0,0.0,1544.9664000000014,51.82235734
58,53.0,15.392,15.937,35.0,0.0,L,2.5,877.0902999999998,51.82235734
59,53.0,15.937,16.9,35.0,0.09,0.0,0.0,1549.7944199999986,53.217172318
60,53.0,16.673,16.9,35.0,0.0,L,4.5,365.3201800000005,53.217172318
61,53.0,16.9,17.03,35.0,0.52,L,4.5,209.2142000000041,54.305086158000016
62,53.0,17.03,17.39,35.0,0.37,L,4.5,579.3623999999991,56.448727038000015
63,53.0,17.39,17.58,35.0,0.29,L,4.5,305.7745999999963,57.335473378
64,53.0,17.58,17.6,35.0,0.46,L,4.5,32.18680000000503,57.48353265800003
65,53.0,17.6,17.82,35.0,0.46,0.0,0.0,354.0547999999981,59.112184738000025
66,53.0,17.82,17.88,35.0,0.89,R,3.0,96.56039999999794,59.971572298000005
67,53.0,17.88,18.17,35.0,0.31,R,3.0,466.7086000000043,61.418368958000016
68,53.0,18.17,18.207,35.0,0.59,R,3.0,59.545579999998445,61.769687880000006
69,53.0,18.207,18.6,35.0,0.59,0.0,0.0,632.4706200000011,65.50126453800002
70,53.0,18.6,18.94,35.0,0.56,0.0,0.0,547.1755999999997,68.56544789800002
71,53.0,18.94,19.17,35.0,0.54,L,1.5,370.1482000000007,70.56424817800001
72,53.0,19.17,19.188,35.0,0.6,L,1.5,28.96811999999538,70.73805689799998
73,53.0,19.188,19.62,35.0,0.6,0.0,0.0,695.2348800000034,74.909466178
74,53.0,19.62,19.96,35.0,0.46,R,3.5,547.1755999999997,77.426473938
75,53.0,19.96,19.989,35.0,0.68,R,3.5,46.67085999999986,77.743835786
76,53.0,19.989,20.4,35.0,0.68,0.0,0.0,661.4387399999964,82.24161921799998
77,53.0,20.4,20.57,35.0,0.22,R,4.0,273.58780000000274,82.84351237799999
78,53.0,20.57,20.606,35.0,0.6,R,4.0,57.93624000000219,83.191129818
79,53.0,20.606,20.81,35.0,0.6,0.0,0.0,328.3053599999953,85.16096197799996
80,53.0,20.81,21.17,35.0,0.49,0.0,0.0,579.3624000000048,87.99983773799998
81,53.0,21.17,21.31,35.0,0.35,L,2.66666,225.3075999999952,88.78841433799997
82,53.0,21.31,21.59,35.0,0.41,L,2.66666,450.6152000000018,90.63593665799998
83,53.0,21.59,21.591,35.0,0.47,L,2.66666,1.6093400000019666,90.643500556
84,53.0,21.591,21.7,35.0,0.47,0.0,0.0,175.4180599999971,91.46796543799998
85,53.0,21.7,21.97,35.0,0.38,0.0,0.0,434.5217999999993,93.11914827799998
86,53.0,21.889,21.97,35.0,0.0,L,3.0,130.35653999999923,93.11914827799998
87,53.0,21.97,22.087,35.0,0.33,L,3.0,188.2927800000014,93.740514452
88,53.0,22.087,22.12,35.0,0.33,0.0,0.0,53.10822000000201,93.915771578
89,53.0,22.12,22.23,35.0,0.6,0.0,0.0,177.02739999999906,94.977935978
90,53.0,22.23,22.65,35.0,0.51,0.0,0.0,675.922799999997,98.42514225799998
91,53.0,22.65,22.88,35.0,0.54,L,2.0,370.1482000000007,100.42394253799998
92,53.0,22.88,22.887,35.0,0.6,L,2.0,11.265380000002333,100.491534818
93,53.0,22.887,23.08,35.0,0.6,0.0,0.0,310.60261999999653,102.35515053799998
94,53.0,23.08,23.301,35.0,0.24,L,0.76666,355.66414000000015,103.20874447399996
95,53.0,23.301,23.37,35.0,0.24,0.0,0.0,111.0444600000042,103.47525117799998
96,53.0,23.37,28.22,35.0,0.0,0.0,0.0,7805.298999999996,103.47525117799998
97,53.0,23.979,24.079,35.0,0.0,L,10.0,160.93400000000227,103.47525117799998
98,53.0,24.079,24.234,35.0,0.0,L,10.0,249.44770000000184,103.47525117799998
99,53.0,24.234,24.643,35.0,0.0,L,5.18,658.2200599999983,103.47525117799998
100,53.0,24.643,25.01,35.0,0.0,R,5.0,590.6277800000014,103.47525117799998
101,53.0,25.01,25.566,35.0,0.0,L,3.0,894.7930399999957,103.47525117799998
102,53.0,25.566,26.195,35.0,0.0,R,1.0,1012.274860000002,103.47525117799998
103,53.0,26.195,26.819,35.0,0.0,L,1.66,1004.228159999998,103.47525117799998
104,53.0,26.819,27.419,35.0,0.0,R,8.0,965.6040000000022,103.47525117799998
105,53.0,27.419,28.133,35.0,0.0,L,6.0,1149.0687599999978,103.47525117799998
106,53.0,28.133,30.12,35.0,0.01,0.0,0.0,3197.758580000003,103.79502703599998
107,53.0,28.504,29.015,35.0,0.0,L,1.0,822.3727399999988,103.79502703599998
108,53.0,29.015,29.216,35.0,0.0,R,2.0,323.4773400000008,103.79502703599998
109,53.0,29.216,29.54,35.0,0.0,L,4.0,521.4261599999969,103.79502703599998
110,53.0,29.54,29.748,35.0,0.0,R,3.0,334.74272000000315,103.79502703599998
111,53.0,29.748,30.07,35.0,0.0,L,2.5,518.2074799999987,103.79502703599998
112,53.0,30.07,31.07,35.0,0.02,0.0,0.0,1609.34,104.11689503599996
113,53.0,30.576,31.07,35.0,0.0,L,2.75,795.0139599999995,104.11689503599996
114,53.0,31.07,31.624,35.0,0.09,L,2.75,891.5743599999976,104.91931195999996
115,53.0,31.624,31.63,35.0,0.09,0.0,0.0,9.656040000000363,104.92800239599995
116,53.0,31.63,32.58,35.0,0.28,0.0,0.0,1528.872999999999,109.20884679599996
117,53.0,31.944,32.438,35.0,0.0,R,6.0,795.0139600000053,109.20884679599996
118,53.0,32.438,33.1,35.0,0.4,0.0,0.0,1065.3830799999985,113.47037911599996
119,53.0,33.1,33.15,35.0,0.0,L,0.0,80.46699999999542,113.47037911599996
120,53.0,33.15,33.53,35.0,0.44,L,0.0,611.5492000000041,116.16119559599998
121,53.0,33.53,33.551,35.0,0.0,L,0.0,33.79614000000128,116.16119559599998
122,53.0,33.551,34.23,35.0,0.0,0.0,0.0,1092.741859999992,116.16119559599998
123,53.0,34.063,34.23,35.0,0.0,R,7.5,268.7597799999911,116.16119559599998
124,53.0,34.23,34.519,35.0,0.25,R,7.5,465.0992600000024,117.323943746
125,53.0,34.519,35.61,35.0,0.25,0.0,0.0,1755.7899400000017,121.713418596
126,53.0,34.968,35.61,35.0,0.0,L,6.0,1033.1962799999933,121.713418596
127,53.0,35.61,35.902,35.0,0.03,L,6.0,469.92728000000255,121.85439678
128,53.0,35.902,36.04,35.0,0.03,0.0,0.0,222.08891999999696,121.921023456
129,53.0,36.04,36.56,35.0,0.17,0.0,0.0,836.856800000005,123.343680016
130,53.0,36.315,36.56,35.0,0.0,R,2.5,394.2883000000073,123.343680016
131,53.0,36.56,36.77,35.0,0.19,R,2.5,337.96140000000133,123.985806676
132,53.0,36.77,37.53,35.0,0.19,0.0,0.0,1223.098399999997,126.309693636
133,53.0,37.034,37.28,35.0,0.0,L,3.0,395.8976400000036,126.309693636
134,53.0,37.28,37.53,35.0,0.0,L,2.0,402.335,126.309693636
135,53.0,37.53,37.572,35.0,0.21,L,2.0,67.59228000000256,126.451637424
136,53.0,37.572,38.12,35.0,0.21,0.0,0.0,881.9183199999915,128.30366589599998
137,53.0,38.12,38.76,35.0,0.36,R,6.0,1029.9776000000008,132.011585256
138,53.0,38.76,38.818,35.0,0.0,R,6.0,93.34171999999973,132.011585256
139,53.0,38.818,38.87,35.0,0.0,0.0,0.0,83.68567999999935,132.011585256
140,53.0,38.87,39.45,35.0,0.16,0.0,0.0,933.4172000000086,133.505052776
141,53.0,39.107,39.449,35.0,0.0,L,5.43,550.3942799999979,133.505052776
142,53.0,39.449,39.53,35.0,0.42,0.0,0.0,130.35654000000494,134.05255024400003
143,53.0,39.53,39.83,35.0,0.25,0.0,0.0,482.8019999999954,135.259555244
144,53.0,39.83,40.23,35.0,0.33,L,4.0,643.7359999999977,137.383884044
145,53.0,40.23,40.255,35.0,0.41,L,4.0,40.23350000000914,137.54884139400005
146,53.0,40.255,40.48,35.0,0.41,0.0,0.0,362.1014999999909,139.03345754400002
147,53.0,40.48,41.13,35.0,0.2,0.0,0.0,1046.071000000009,141.12559954400004
148,53.0,41.13,41.45,35.0,0.35,R,4.0,514.9888000000004,142.92806034400004
149,53.0,41.45,41.488,35.0,0.6,R,4.0,61.15491999999469,143.294989864
150,53.0,41.488,41.66,35.0,0.6,0.0,0.0,276.80647999999525,144.95582874399997
151,53.0,41.66,42.06,35.0,0.46,L,3.5,643.7360000000091,147.91701434400002
152,53.0,42.06,42.094,35.0,0.6,L,3.5,54.71755999999826,148.24531970400002
153,53.0,42.094,42.17,35.0,0.6,0.0,0.0,122.30984000000082,148.97917874400002
154,53.0,42.17,42.25,35.0,0.47,R,3.0,128.74719999999724,149.584290584
155,53.0,42.25,42.271,35.0,0.59,R,3.0,33.79614000000128,149.78368781
156,53.0,42.271,42.3,35.0,0.59,0.0,0.0,46.67085999999414,150.05904588399997
157,53.0,42.3,42.44,35.0,0.35,L,6.0,225.3076000000009,150.84762248399997
158,53.0,42.44,42.473,35.0,0.59,L,6.0,53.10822000000201,151.16096098199998
159,53.0,42.473,42.62,35.0,0.59,0.0,0.0,236.57297999999756,152.55674156399996
160,53.0,42.62,42.72,35.0,0.43,L,4.0,160.93400000000227,153.24875776399998
161,53.0,42.72,42.743,35.0,0.6,L,4.0,37.014820000005216,153.470846684
162,53.0,42.743,43.06,35.0,0.6,0.0,0.0,510.1607800000003,156.53181136400002
163,53.0,43.06,43.25,35.0,0.48,R,2.91666,305.7745999999963,157.999529444
164,53.0,43.25,43.287,35.0,0.6,R,2.91666,59.545579999998445,158.356802924
165,53.0,43.287,43.55,35.0,0.6,0.0,0.0,423.256419999997,160.89634144399997
166,53.0,43.55,43.85,35.0,0.4,L,5.0,482.8020000000069,162.827549444
167,53.0,43.85,43.879,35.0,0.6,L,5.0,46.67085999999414,163.10757460399995
168,53.0,43.879,44.12,35.0,0.6,0.0,0.0,387.8509399999994,165.43468024399994
169,53.0,44.12,44.38,35.0,0.35,R,6.0,418.4284000000082,166.89917964399996
170,53.0,44.38,44.406,35.0,0.53,R,6.0,41.84283999999396,167.12094669599992
171,53.0,44.406,44.56,35.0,0.53,0.0,0.0,247.8383600000056,168.43449000399994
172,53.0,44.56,44.67,35.0,0.56,R,1.0,177.02739999999906,169.42584344399992
173,53.0,44.67,44.68,35.0,0.62,R,1.0,16.093399999996798,169.5256225239999
174,53.0,44.68,44.75,35.0,0.62,0.0,0.0,112.65380000000046,170.2240760839999
175,53.0,44.75,44.9,35.0,0.39,L,5.0,241.4009999999977,171.1655399839999
176,53.0,44.9,44.929,35.0,0.61,L,5.0,46.670860000005575,171.45023222999993
177,53.0,44.929,45.0,35.0,0.61,0.0,0.0,114.2631399999967,172.1472373839999
178,53.0,45.0,45.21,35.0,0.35,L,6.0,337.96140000000133,173.3301022839999
179,53.0,45.21,45.243,35.0,0.6,L,6.0,53.10822000000201,173.64875160399993
180,53.0,45.243,45.32,35.0,0.6,0.0,0.0,123.91917999999708,174.3922666839999
181,53.0,45.32,45.68,35.0,0.36,R,6.0,579.3623999999991,176.4779713239999
182,53.0,45.68,45.72,35.0,0.6,R,6.0,64.37359999999862,176.8642129239999
183,53.0,45.72,45.86,35.0,0.6,0.0,0.0,225.3076000000009,178.21605852399992
184,53.0,45.86,46.05,35.0,0.46,R,3.5,305.7745999999963,179.6226216839999
185,53.0,46.05,46.056,35.0,0.59,R,3.5,9.656040000000363,179.6795923199999
186,53.0,46.056,46.1,35.0,0.59,0.0,0.0,70.81096000000649,180.09737698399994
187,53.0,46.1,46.29,35.0,0.5,L,2.5,305.7745999999963,181.6262499839999
188,53.0,46.29,46.323,35.0,0.6,L,2.5,53.10822000000201,181.94489930399996
189,53.0,46.323,46.42,35.0,0.6,0.0,0.0,156.1059800000021,182.88153518399997
190,53.0,46.42,46.54,35.0,0.43,L,4.0,193.12079999999588,183.71195462399996
191,53.0,46.54,46.55,35.0,0.6,L,4.0,16.093399999996798,183.80851502399992
192,53.0,46.55,46.65,35.0,0.6,0.0,0.0,160.93400000000227,184.77411902399996
193,53.0,46.65,46.75,35.0,0.36,L,6.0,160.93400000000227,185.35348142399997
194,53.0,46.75,46.763,35.0,0.59,L,6.0,20.92141999999698,185.47691780199992
195,53.0,46.763,46.92,35.0,0.59,0.0,0.0,252.66638000000572,186.967649444
196,53.0,46.92,49.81,35.0,0.0,0.0,0.0,4650.9926000000005,186.967649444
197,53.0,47.259,47.524,35.0,0.0,L,1.0,426.4751000000009,186.967649444
198,53.0,47.524,47.96,35.0,0.0,L,6.0,701.6722399999999,186.967649444
199,53.0,47.96,48.179,35.0,0.0,R,1.0,352.4454600000019,186.967649444
200,53.0,48.179,48.565,35.0,0.0,R,5.0,621.2052399999931,186.967649444
201,53.0,48.565,49.023,35.0,0.0,R,6.0,737.0777200000089,186.967649444
202,53.0,49.023,49.395,35.0,0.0,L,6.0,598.6744799999998,186.967649444
203,53.0,49.395,49.81,35.0,0.0,L,4.0,667.8760999999986,186.967649444
204,53.0,49.81,50.662,35.0,0.19,L,4.0,1371.1576799999948,189.57284903599995
205,53.0,50.662,51.76,35.0,0.19,0.0,0.0,1767.0553199999983,192.93025414399995
206,53.0,51.392,51.76,35.0,0.0,L,1.6,592.2371199999919,192.93025414399995
207,53.0,51.76,52.223,35.0,0.28,L,1.6,745.1244200000015,195.01660252
208,53.0,52.223,54.26,35.0,0.28,0.0,0.0,3278.2255799999984,204.195634144
209,53.0,52.5,52.95,35.0,0.0,R,2.0,724.2030000000045,204.195634144
210,53.0,52.95,53.154,35.0,0.0,L,2.0,328.305360000001,204.195634144
211,53.0,53.154,53.639,35.0,0.0,L,4.33,780.5298999999991,204.195634144
212,53.0,53.639,54.26,35.0,0.0,R,4.75,999.400139999992,204.195634144
213,53.0,54.26,54.421,35.0,0.38,R,4.75,259.1037400000022,205.180228356
214,53.0,54.421,54.83,35.0,0.38,0.0,0.0,658.2200599999983,207.681464584
215,53.0,54.787,55.4,35.0,0.22,0.0,0.0,986.5254199999991,209.851820508
216,53.0,55.139,55.96,35.0,0.46,0.0,0.0,1321.2681399999967,215.929653952
217,53.0,55.96,56.1,35.0,0.35,L,2.0,225.3076000000009,216.718230552
218,53.0,56.1,56.34,35.0,0.35,0.0,0.0,386.2416000000032,218.070076152
219,53.0,56.34,56.385,35.0,0.34,L,4.0,72.4202999999913,218.31630517199997
220,53.0,56.385,56.91,35.0,0.34,0.0,0.0,844.9034999999976,221.18897707199997
221,53.0,56.504,56.569,35.0,0.0,L,5.0,104.60710000000778,221.18897707199997
222,53.0,56.569,56.91,35.0,0.0,R,4.0,548.7849399999902,221.18897707199997
223,53.0,56.91,56.926,35.0,0.43,R,4.0,25.7494400000086,221.299699664
224,53.0,56.926,57.15,35.0,0.43,0.0,0.0,360.4921599999946,222.84981595199997
225,53.0,57.15,57.15,35.0,0.43,L,4.0,288.07186000000326,224.08852495
