,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,47,107.28,107.3,60,0.07,R,0.83,32.1868,41.55525094
1,47,107.3,108.58,60,0.07,0,0,2059.9552,42.99721958
2,47,107.942,108.317,60,0,L,3,603.5025,42.99721958
3,47,108.317,108.498,60,0,R,1,291.29054,42.99721958
4,47,108.498,109.1,60,0.02,0,0,968.82268,43.19098412
5,47,109.1,109.206,60,0.1,L,2,170.59004,43.36157416
6,47,109.206,109.4,60,0.1,0,0,312.21196,43.67378612
7,47,109.4,109.511,60,0.14,L,1.5,178.63674,43.92387755
8,47,109.511,109.52,60,0.14,0,0,14.48406,43.94415524
9,47,109.52,109.76,60,0.19,0,0,386.2416,44.67801428
10,47,109.76,110.02,60,0.08,R,3,418.4284,45.012757
11,47,110.02,110.069,60,0.19,R,3,78.85766,45.16258655
12,47,110.069,110.2,60,0.19,0,0,210.82354,45.56315128
13,47,110.2,110.48,60,0.08,L,3,450.6152,45.92364344
14,47,110.48,110.52,60,0.17,L,3,64.3736,46.03307856
15,47,110.52,110.542,60,0.17,L,3,35.40548,46.09326787
16,47,110.542,110.67,60,0.17,0,0,205.99552,46.44346026
17,47,110.67,110.99,60,0.1,0,0,514.9888,46.95844906
18,47,110.99,111.049,60,0.2,R,2.5,94.95106,47.14835118
19,47,111.049,111.13,60,0.2,0,0,130.35654,47.40906426
20,47,111.13,111.4,60,0.07,L,3,434.5218,47.71322952
21,47,111.4,111.503,60,0.19,L,3,165.76202,48.02817736
22,47,111.503,111.9,60,0.19,0,0,638.90798,49.24210252
23,47,111.9,112.16,60,0.08,R,3,418.4284,49.57684524
24,47,112.16,112.189,60,0.2,R,3,46.67086,49.67018696
25,47,112.189,112.27,60,0.2,0,0,130.35654,49.93090004
26,47,112.27,112.42,60,0.07,L,3,241.401,50.09988074
27,47,112.42,112.458,60,0.19,L,3,61.15492,50.21607509
28,47,112.458,112.55,60,0.19,0,0,148.05928,50.49738772
29,47,112.55,112.65,60,0.12,R,2,160.934,50.69050852
30,47,112.65,112.691,60,0.2,R,2,65.98294,50.8224744
31,47,112.691,113.41,60,0.2,0,0,1157.11546,53.13670532
32,47,113.41,113.58,60,0.14,L,1.5,273.5878,53.51972824
33,47,113.58,113.624,60,0.2,L,1.5,70.81096,53.66135016
34,47,113.624,113.74,60,0.2,0,0,186.68344,54.03471704
35,47,113.74,114.13,60,0.14,R,1.25,627.6426,54.91341668
36,47,114.13,114.166,60,0.2,R,1.25,57.93624,55.02928916
37,47,114.166,114.76,60,0.2,0,0,955.94796,56.94118508
38,47,114.76,114.96,60,0.14,R,1.5,321.868,57.39180028
39,47,114.96,115.004,60,0.19,R,1.5,70.81096,57.5263411
40,47,115.004,115.14,60,0.19,0,0,218.87024,57.94219456
41,47,115.14,115.42,60,0.13,L,1.75,450.6152,58.52799432
42,47,115.42,115.465,60,0.2,L,1.75,72.4203,58.67283492
43,47,115.465,115.74,60,0.2,0,0,442.5685,59.55797192
44,47,115.74,116.02,60,0.08,L,1.5,450.6152,59.91846408
45,47,116.02,116.062,60,0.21,L,1.5,67.59228,60.06040787
46,47,116.062,116.3,60,0.21,0,0,383.02292,60.864756
47,47,116.3,116.355,60,0.19,R,2,88.5137,61.03293203
48,47,116.355,116.62,60,0.19,0,0,426.4751,61.84323472
49,47,116.62,116.85,60,0.15,R,1.25,370.1482,62.39845702
50,47,116.85,116.889,60,0.19,R,1.25,62.76426,62.51770911
51,47,116.889,117.08,60,0.19,0,0,307.38394,63.1017386
52,47,117.08,117.27,60,0.12,L,2,305.7746,63.46866812
53,47,117.27,117.316,60,0.2,L,2,74.02964,63.6167274
54,47,117.316,118.16,60,0.2,0,0,1358.28296,66.33329332
55,47,118.16,118.27,60,0.16,R,0.5,177.0274,66.61653716
56,47,118.27,118.284,60,0.2,R,0.5,22.53076,66.66159868
57,47,118.284,119.6,60,0.2,0,0,2117.89144,70.89738156
58,47,119.6,119.71,60,0.16,L,1,177.0274,71.1806254
59,47,119.71,119.738,60,0.18,L,1,45.06152,71.26173613
60,47,119.738,120.05,60,0.18,0,0,502.11408,72.16554148
61,47,120.05,120.29,60,0.26,0,0,386.2416,73.16976964
62,47,120.29,120.31,60,0.22,0,0,32.1868,73.2405806
63,47,120.31,120.35,60,0.05,0,0,64.3736,73.2727674
64,47,120.35,120.39,60,0.04,0,0,64.3736,73.29851684
65,47,120.39,121.21,60,0.19,0,0,1319.6588,75.80586856
66,47,121.21,121.34,60,0.11,L,2,209.2142,76.03600418
67,47,121.34,121.384,60,0.19,L,2,70.81096,76.170545
68,47,121.384,121.46,60,0.19,0,0,122.30984,76.4029337
69,47,121.46,121.7,60,0.16,R,1,386.2416,77.02092026
70,47,121.7,121.721,60,0.2,R,1,33.79614,77.08851254
71,47,121.721,122.61,60,0.2,0,0,1430.70326,79.94991906
72,47,122.61,122.76,60,0.12,0,0,241.401,80.23960026
73,47,122.755,157.43,60,0,0,0,55803.8645,80.23960026
74,47,123.823,124.78,60,0,R,1,1540.13838,80.23960026
75,47,124.78,125.528,60,0,R,1,1203.78632,80.23960026
76,47,125.528,126.137,60,0,R,0.5,980.08806,80.23960026
77,47,126.137,126.726,60,0,R,1,947.90126,80.23960026
78,47,126.726,127.533,60,0,R,1,1298.73738,80.23960026
79,47,127.533,128.62,60,0,R,1,1749.35258,80.23960026
80,47,128.62,129.355,60,0,R,1,1182.8649,80.23960026
81,47,129.355,131.613,60,0,L,2,3633.88972,80.23960026
82,47,131.613,132.944,60,0,L,2,2142.03154,80.23960026
83,47,132.944,135.902,60,0,R,1,4760.42772,80.23960026
84,47,135.902,136.344,60,0,L,1,711.32828,80.23960026
85,47,136.344,137.429,60,0,L,1,1746.1339,80.23960026
86,47,137.429,137.969,60,0,R,2,869.0436,80.23960026
87,47,137.969,138.614,60,0,L,2,1038.0243,80.23960026
88,47,138.614,139.169,60,0,R,1,893.1837,80.23960026
89,47,139.169,140.113,60,0,L,1,1519.21696,80.23960026
90,47,140.113,141.218,60,0,L,1,1778.3207,80.23960026
91,47,141.218,142.19,60,0,R,1,1564.27848,80.23960026
92,47,142.19,142.814,60,0,R,2,1004.22816,80.23960026
93,47,142.814,143.121,60,0,L,1,494.06738,80.23960026
94,47,143.121,143.639,60,0,L,1,833.63812,80.23960026
95,47,143.639,144.032,60,0,R,1,632.47062,80.23960026
96,47,144.032,144.509,60,0,L,1,767.65518,80.23960026
97,47,144.509,145.227,60,0,L,2,1155.50612,80.23960026
98,47,145.227,147.873,60,0,L,2,4258.31364,80.23960026
99,47,147.873,148.357,60,0,R,2.25,778.92056,80.23960026
100,47,148.357,149.247,60,0,R,1,1432.3126,80.23960026
101,47,149.247,150.036,60,0,L,1.25,1269.76926,80.23960026
102,47,150.036,150.451,60,0,R,2,667.8761,80.23960026
103,47,150.451,150.794,60,0,R,1,552.00362,80.23960026
104,47,150.794,151.37,60,0,L,0.5,926.97984,80.23960026
105,47,151.37,152.041,60,0,R,0.5,1079.86714,80.23960026
106,47,152.041,152.844,60,0,R,0.5,1292.30002,80.23960026
107,47,152.844,153.307,60,0,L,1,745.12442,80.23960026
108,47,153.307,153.84,60,0,L,1,857.77822,80.23960026
109,47,153.84,154.501,60,0,L,2,1063.77374,80.23960026
110,47,154.501,154.831,60,0,R,2,531.0822,80.23960026
111,47,154.831,155.659,60,0,L,1,1332.53352,80.23960026
112,47,155.659,156.355,60,0,R,2,1120.10064,80.23960026
113,47,156.355,156.866,60,0,L,1,822.37274,80.23960026
114,47,156.866,157.323,60,0,R,1,735.46838,80.23960026
115,47,157.323,158.85,60,-0.02,0,0,2457.46218,79.74810782
116,47,157.954,158.817,60,0,L,1,1388.86042,79.74810782
117,47,158.817,165.66,60,-0.0041,0,0,11012.71362,79.29658656
118,47,159.49,160.12,60,0,R,2,1013.8842,79.29658656
119,47,160.12,160.472,60,0,L,2,566.48768,79.29658656
120,47,160.472,160.922,60,0,R,1,724.203,79.29658656
121,47,160.922,161.748,60,0,R,2.25,1329.31484,79.29658656
122,47,161.748,162.064,60,0,R,1,508.55144,79.29658656
123,47,162.064,162.635,60,0,L,1,918.93314,79.29658656
124,47,162.635,163.194,60,0,L,1.5,899.62106,79.29658656
125,47,163.194,163.794,60,0,R,1,965.604,79.29658656
126,47,163.794,164.407,60,0,L,1.75,986.52542,79.29658656
127,47,164.407,165.067,60,0,L,2.25,1062.1644,79.29658656
128,47,165.067,165.568,60,0,R,1.5,806.27934,79.29658656
129,47,165.568,167.06,60,-0.03,0,0,2401.13528,78.57624598
130,47,166.212,167.06,60,0,R,1.5,1364.72032,78.57624598
131,47,167.06,167.142,60,-0.0027,R,1.5,131.96588,78.5726829
132,47,167.142,180.6,60,-0.0027,0,0,21658.49772,77.98790346
133,47,167.62,168.131,60,0,R,1.5,822.37274,77.98790346
134,47,168.131,169.239,60,0,L,1,1783.14872,77.98790346
135,47,169.239,170.951,60,0,L,2,2755.19008,77.98790346
136,47,170.951,172.174,60,0,R,2,1968.22282,77.98790346
137,47,172.174,172.66,60,0,L,2,782.13924,77.98790346
138,47,172.66,173.73,60,0,L,0.5,1721.9938,77.98790346
139,47,173.73,174.523,60,0,L,2.25,1276.20662,77.98790346
140,47,174.523,175.53,60,0,R,1,1620.60538,77.98790346
141,47,175.53,176.175,60,0,R,1,1038.0243,77.98790346
142,47,176.175,178.216,60,0,R,1,3284.66294,77.98790346
143,47,178.216,180.279,60,0,R,1,3320.06842,77.98790346
144,47,180.279,185.74,60,-0.0073,0,0,8788.60574,77.34633524
145,47,181.348,181.801,60,0,L,0.75,729.03102,77.34633524
146,47,181.801,182.623,60,0,R,2,1322.87748,77.34633524
147,47,182.623,183.466,60,0,R,1,1356.67362,77.34633524
148,47,183.466,184.433,60,0,R,1,1556.23178,77.34633524
149,47,184.433,185.006,60,0,L,1,922.15182,77.34633524
150,47,185.006,186.27,60,0.1,0,0,2034.20576,79.380541
151,47,186.27,187.03,60,-0.2,0,0,1223.0984,76.9343442
152,47,187.03,187.45,60,-0.12,L,2,675.9228,76.12323684
153,47,187.45,187.455,60,0.13,L,2,8.0467,76.13369755
154,47,187.455,187.62,60,0.13,0,0,265.5411,76.47890098
155,47,187.62,187.83,60,0,R,0.33333,337.9614,76.47890098
156,47,187.83,188.202,60,0.02,R,0.33333,598.67448,76.59863588
157,47,188.202,188.91,60,0.02,0,0,1139.41272,76.82651842
158,47,188.91,188.937,60,0.19,L,1,43.45218,76.90907757
159,47,188.937,191.72,60,0.19,0,0,4478.79322,85.41878468
160,47,191.72,192.65,60,0.17,R,0.5,1496.6862,87.96315122
161,47,192.65,192.664,60,0.19,R,0.5,22.53076,88.00595967
162,47,192.664,193.79,60,0.19,0,0,1812.11684,91.44898166
163,47,193.79,194.29,60,0.16,L,1,804.67,92.73645366
164,47,194.29,194.315,60,0.19,L,1,40.2335,92.81289731
165,47,194.315,194.88,60,0.19,0,0,909.2771,94.5405238
166,47,194.88,195.13,60,0.15,R,1,402.335,95.1440263
167,47,195.13,195.157,60,0.2,R,1,43.45218,95.23093066
168,47,195.157,195.42,60,0.2,0,0,423.25642,96.0774435
169,47,195.42,209.6,60,0,0,0,22820.4412,96.0774435
170,47,197.243,197.97,60,0,R,1,1169.99018,96.0774435
171,47,197.97,198.458,60,0,R,1,785.35792,96.0774435
172,47,198.458,199.668,60,0,L,1,1947.3014,96.0774435
173,47,199.668,200.184,60,0,L,1,830.41944,96.0774435
174,47,200.184,201.465,60,0,L,1,2061.56454,96.0774435
175,47,201.465,201.831,60,0,L,1,589.01844,96.0774435
176,47,201.831,204.114,60,0,R,1,3674.12322,96.0774435
177,47,204.114,204.516,60,0,L,1,646.95468,96.0774435
178,47,204.516,205.465,60,0,L,1,1527.26366,96.0774435
179,47,205.465,205.958,60,0,L,0.5,793.40462,96.0774435
180,47,205.958,206.291,60,0,R,0.5,535.91022,96.0774435
181,47,206.291,207.642,60,0,R,0.5,2174.21834,96.0774435
182,47,207.642,209.26,60,0,L,1,2603.91212,96.0774435
183,47,209.26,209.98,60,0.04,0,0,1158.7248,96.54093342
184,47,209.98,219.63,60,0,0,0,15530.131,96.54093342
185,47,210.313,210.9,60,0,L,1,944.68258,96.54093342
186,47,210.9,211.7,60,0,L,2.5,1287.472,96.54093342
187,47,211.7,212.038,60,0,R,2.5,543.95692,96.54093342
188,47,212.038,212.482,60,0,R,0.5,714.54696,96.54093342
189,47,212.482,214.685,60,0,L,3,3545.37602,96.54093342
190,47,214.685,215.06,60,0,L,3,603.5025,96.54093342
191,47,215.06,215.661,60,0,R,1,967.21334,96.54093342
192,47,215.661,216.873,60,0,L,1.25,1950.52008,96.54093342
193,47,216.873,218.277,60,0,L,1,2259.51336,96.54093342
194,47,218.277,219.314,60,0,R,1,1668.88558,96.54093342
195,47,219.314,222.58,60,0.01,0,0,5256.10444,97.06654387
196,47,220.578,223.39,60,-0.02,0,0,4525.46408,96.16145105
