,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,5.0,0.0,0.15,50.0,0.0,0.0,0.0,0.0,-0.79,0.0,non_speed,241.40099999999998,-1.9070679
1,5.0,0.15,0.18,50.0,2156.0,0,R,5.46166,-0.56,0.0,non_speed,48.280199999999994,-2.1774370199999997
2,5.0,0.18,0.22,50.0,2156.0,0,R,5.46166,-0.29,0.0,non_speed,64.37360000000001,-2.3641204599999996
3,5.0,0.22,0.26,50.0,2156.0,0,R,5.46166,-0.14,0.0,non_speed,64.37360000000001,-2.4542434999999996
4,5.0,0.26,0.3,50.0,2156.0,0,R,5.46166,-0.09,0.0,non_speed,64.37359999999997,-2.5121797399999997
5,5.0,0.3,0.41,50.0,2156.0,0,R,5.46166,0.0081,0.0,non_speed,177.02739999999997,-2.4978405205999996
6,5.0,0.41,0.53,50.0,0.0,0.0,0.0,0.0,0.0081,5.0,non_speed,193.12080000000006,-2.4821977358
7,5.0,0.53,0.55,50.0,0.0,0.0,0.0,0.0,-0.08,6.0,non_speed,32.18680000000003,-2.5079471758
8,5.0,0.55,0.59,50.0,0.0,0.0,0.0,0.0,0.05,7.0,non_speed,64.37359999999987,-2.4757603758
9,5.0,0.59,1.44,50.0,0.0,0.0,0.0,0.0,0.15,8.0,non_speed,1367.9389999999999,-0.4238518758000005
10,5.0,1.44,1.46,50.0,0.0,0.0,0.0,0.0,0.19,9.0,non_speed,32.18680000000003,-0.36269695580000044
11,5.0,1.46,1.48,50.0,0.0,0.0,0.0,0.0,0.2,10.0,non_speed,32.18680000000003,-0.29832335580000036
12,5.0,1.48,1.65,50.0,0.0,0.0,0.0,0.0,0.49,11.0,non_speed,273.58779999999985,1.0422568641999987
13,5.0,1.65,1.94,50.0,0.0,0.0,0.0,0.0,0.4,12.0,non_speed,466.70860000000005,2.909091264199999
14,5.0,1.94,2.22,50.0,0.0,0.0,0.0,0.0,0.33,13.0,non_speed,450.61520000000036,4.3961214242
15,5.0,2.22,2.41,50.0,0.0,0.0,0.0,0.0,0.05,14.0,non_speed,305.7745999999999,4.5490087242
16,5.0,2.41,2.5,50.0,0.0,0.0,0.0,0.0,0.25,15.0,non_speed,144.84059999999977,4.9111102242
17,5.0,2.5,2.67,50.0,0.0,0.0,0.0,0.0,0.14,16.0,non_speed,273.58779999999985,5.2941331442
18,5.0,2.67,2.75,50.0,0.0,0.0,0.0,0.0,0.0,17.0,non_speed,128.7472000000001,5.2941331442
19,5.0,2.75,2.86,50.0,2857.0,3,L,1.00416,-0.18,1.0,non_speed,177.0273999999998,4.9754838242
20,5.0,2.86,2.98,50.0,2857.0,3,L,1.00416,0.0,1.0,non_speed,193.12080000000017,4.9754838242
21,5.0,2.98,3.05,50.0,2857.0,3,L,1.00416,0.25,1.0,non_speed,112.65379999999973,5.2571183241999995
22,5.0,3.05,3.282,50.0,2857.0,3,L,1.00416,0.44,1.0,non_speed,373.3668800000003,6.899932596200001
23,5.0,3.282,3.38,50.0,0.0,0.0,0.0,0.0,0.44,21.0,non_speed,157.71531999999976,7.5938800042
24,5.0,3.38,3.51,50.0,0.0,0.0,0.0,0.0,0.48,22.0,non_speed,209.2141999999998,8.5981081642
25,5.0,3.51,3.89,50.0,0.0,0.0,0.0,0.0,-0.49,23.0,non_speed,611.5492000000005,5.6015170841999975
26,5.0,3.89,4.44,50.0,0.0,0.0,0.0,0.0,0.4,24.0,non_speed,885.1370000000004,9.142065084199999
27,5.0,4.44,4.46,50.0,0.0,0.0,0.0,0.0,0.29,25.0,non_speed,32.18679999999931,9.235406804199997
28,5.0,4.46,4.47,50.0,0.0,0.0,0.0,0.0,0.2,26.0,non_speed,16.093399999999654,9.267593604199996
29,5.0,4.47,4.78,50.0,0.0,0.0,0.0,0.0,0.1,27.0,non_speed,498.8954000000008,9.766489004199997
30,5.0,4.78,5.0,50.0,0.0,0.0,0.0,0.0,0.44,28.0,non_speed,354.0547999999996,11.324330124199996
31,5.0,5.0,5.12,50.0,0.0,0.0,0.0,0.0,0.0,29.0,non_speed,193.12080000000017,11.324330124199996
32,5.0,5.12,5.38,50.0,0.0,0.0,0.0,0.0,-0.41,30.0,non_speed,418.4283999999996,9.608773684199997
