,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7000.0,446.069,446.026,70.0,-0.0,R,0.75,30.57746000000878,71.39878752840052
1,7000.0,446.026,445.784,70.0,-0.0,R,2.0,389.46028000003,71.39878752840052
2,7000.0,445.784,445.351,70.0,-0.0,L,1.61666,696.8442199999882,71.39878752840052
3,7000.0,445.351,445.27,70.0,0.48,R,5.3,130.3565400000278,71.39878752840052
4,7000.0,445.27,445.215,70.0,0.8,0.0,0.0,88.51370000001097,72.02449892040065
5,7000.0,445.215,445.2,70.0,0.8,R,6.15,24.140099999978045,72.73260852040073
6,7000.0,445.2,445.18,70.0,0.45,R,6.15,32.186799999970724,72.92572932040055
7,7000.0,445.18,445.16,70.0,-0.45,R,6.15,32.186799999970724,73.07056992040042
8,7000.0,445.16,445.133,70.0,-0.77,0.0,0.0,43.45218000007026,72.92572932040055
9,7000.0,445.133,445.11,70.0,-0.77,L,6.11666,37.01481999994804,72.59114753440001
10,7000.0,445.11,445.04,70.0,-0.47,0.0,0.0,112.65379999998902,72.30613342040041
11,7000.0,445.04,444.513,70.0,-0.88,0.0,0.0,848.1221800000702,71.77666056040047
12,7000.0,444.54,444.35,70.0,-0.0,0.0,0.0,305.7745999999963,64.31318537639986
13,7000.0,444.35,444.25,70.0,0.27,0.0,0.0,160.93400000003658,64.31318537639986
14,7000.0,444.25,444.13,70.0,0.36,0.0,0.0,193.1208000000073,64.74770717639996
15,7000.0,444.13,444.034,70.0,-0.02,0.0,0.0,154.49664000000584,65.44294205639999
16,7000.0,444.034,443.87,70.0,-0.02,L,2.95,263.9317599999795,65.41204272839998
17,7000.0,443.87,443.845,70.0,-0.13,0.0,0.0,40.233499999963406,65.35925637639998
18,7000.0,443.845,443.75,70.0,-0.13,R,5.55,152.8873000000439,65.30695282640004
19,7000.0,443.75,443.55,70.0,-0.24,0.0,0.0,321.8679999999817,65.10819933639998
20,7000.0,443.55,443.543,70.0,-0.0,0.0,0.0,11.265380000008047,64.33571613640002
21,7000.0,443.543,443.39,70.0,-0.0,R,1.00833,246.2290200000322,64.33571613640002
22,7000.0,443.39,442.92,70.0,-0.26,0.0,0.0,756.3897999999524,64.33571613640002
23,7000.0,442.92,442.72,70.0,0.03,0.0,0.0,321.8679999999817,62.36910265640015
24,7000.0,442.72,442.67,70.0,0.03,L,2.16666,80.46700000001829,62.46566305640015
25,7000.0,442.67,442.48,70.0,0.2,L,2.16666,305.7745999999963,62.48980315640015
