,LINE_SEGMENT,BEG MP,END MP,SPEED,LENGTH (FT),CURVE NUMBER,DIRECTION,DEG OF CURVE,GRADE_TO_NEXT,index,SPEED_INDI,LENGTH (M),ELEV (M)
0,7502.0,0.0,0.05,49.0,1382.0,0,R,6.0,0.0,0.0,non_speed,80.467,0.0
1,7502.0,0.05,0.26,49.0,1382.0,0,R,6.0,0.0,0.0,non_speed,337.9614,0.0
2,7502.0,0.26,0.262,49.0,1382.0,0,R,6.0,-0.55,0.0,non_speed,3.2186800000000027,-0.017702740000000015
3,7502.0,0.262,0.52,49.0,0.0,0.0,0.0,0.0,-0.55,1.0,non_speed,415.20972,-2.3013562
4,7502.0,0.352,1.42,49.0,0.0,0.0,0.0,0.0,0.0,2.0,non_speed,1718.77512,-2.3013562
5,7502.0,1.42,1.62,49.0,0.0,0.0,0.0,0.0,0.69,3.0,non_speed,321.8680000000003,-0.08046699999999829
6,7502.0,1.62,2.84,49.0,0.0,0.0,0.0,0.0,-0.6,4.0,non_speed,1963.3947999999996,-11.860835799999995
7,7502.0,2.84,3.8,49.0,0.0,0.0,0.0,0.0,0.0,5.0,non_speed,1544.9663999999998,-11.860835799999995
8,7502.0,3.8,3.831,49.0,1641.0,3,R,3.0,1.0,2.0,non_speed,49.88954000000022,-11.361940399999993
9,7502.0,3.831,4.24,49.0,0.0,0.0,0.0,0.0,1.0,6.0,non_speed,658.2200600000003,-4.779739799999989
10,7502.0,4.24,4.483,49.0,1586.0,4,L,3.0,0.0,3.0,non_speed,391.0696199999991,-4.779739799999989
11,7502.0,4.483,4.63,49.0,0.0,0.0,0.0,0.0,0.0,7.0,non_speed,236.57298000000037,-4.779739799999989
12,7502.0,4.63,5.11,49.0,0.0,0.0,0.0,0.0,-0.17,8.0,non_speed,772.4832000000007,-6.09296123999999
13,7502.0,5.11,5.72,49.0,0.0,0.0,0.0,0.0,0.0,9.0,non_speed,981.697399999999,-6.09296123999999
14,7502.0,5.625,6.66,49.0,0.0,0.0,0.0,0.0,-0.47,10.0,non_speed,1665.6669000000002,-13.921595669999991
15,7502.0,6.316,7.23,49.0,0.0,0.0,0.0,0.0,0.0,11.0,non_speed,1470.936760000001,-13.921595669999991
16,7502.0,7.23,7.42,49.0,4586.0,7,R,1.25,1.0,6.0,non_speed,305.77459999999917,-10.86384967
17,7502.0,7.42,7.68,49.0,4586.0,7,R,1.25,-0.7,6.0,non_speed,418.4283999999996,-13.792848469999997
18,7502.0,7.68,7.825,49.0,4586.0,7,R,1.25,0.0,6.0,non_speed,233.35430000000073,-13.792848469999997
19,7502.0,7.825,8.31,49.0,0.0,0.0,0.0,0.0,0.0,14.0,non_speed,780.5299000000005,-13.792848469999997
20,7502.0,8.31,8.56,49.0,0.0,0.0,0.0,0.0,0.72,15.0,non_speed,402.335,-10.896036469999999
21,7502.0,8.56,8.84,49.0,0.0,0.0,0.0,0.0,-0.62,16.0,non_speed,450.61519999999894,-13.689850709999991
22,7502.0,8.84,9.14,49.0,0.0,0.0,0.0,0.0,0.0,17.0,non_speed,482.8020000000011,-13.689850709999991
