,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,13.0,72.734,70.926,49.0,-0.0,R,2.03,2909.6867199999883,-1082.6926582379997
1,13.0,70.926,65.673,49.0,-0.0,L,2.11666,8453.863019999999,-1082.6926582379997
2,13.0,65.673,65.522,49.0,-0.0,R,0.0,243.010339999994,-1082.6926582379997
3,13.0,65.522,64.584,49.0,-0.0,R,2.16,1509.5609200000038,-1082.6926582379997
4,13.0,64.584,64.464,49.0,-0.0,L,1.81,193.1208000000073,-1082.6926582379997
5,13.0,64.464,63.665,49.0,-0.0,R,1.78,1285.862659999999,-1082.6926582379997
6,13.0,63.665,52.738,49.0,-0.0,L,2.13333,17585.258179999997,-1082.6926582379997
7,13.0,52.738,51.625,49.0,-0.0,L,2.11666,1791.195419999999,-1082.6926582379997
8,13.0,51.625,48.882,49.0,-0.0,R,1.86666,4414.419620000003,-1082.6926582379997
9,13.0,48.882,45.02,49.0,-0.0,L,2.01666,6215.271079999991,-1082.6926582379997
10,13.0,45.02,44.452,49.0,-0.0,R,2.31666,914.105120000008,-1082.6926582379997
11,13.0,44.452,42.915,49.0,-0.0,R,1.83333,2473.5555799999984,-1082.6926582379997
12,13.0,42.915,42.808,49.0,-0.0,L,2.93,172.19937999999888,-1082.6926582379997
13,13.0,42.808,42.417,49.0,-0.0,L,2.13,629.2519399999971,-1082.6926582379997
14,13.0,42.417,42.288,49.0,-0.0,R,1.5,207.60486000000785,-1082.6926582379997
15,13.0,42.288,39.22,49.0,-0.0,L,0.5,4937.455119999996,-1082.6926582379997
16,13.0,39.22,38.395,49.0,-0.0,L,2.01666,1327.705499999993,-1082.6926582379997
17,13.0,38.395,37.779,49.0,-0.0,R,1.78,991.3534399999994,-1082.6926582379997
18,13.0,37.04,36.6,49.0,0.46,0.0,0.0,708.1095999999962,14.33004616200008
19,13.0,36.6,36.36,49.0,0.23,0.0,0.0,386.2416000000032,17.587350322000063
20,13.0,36.36,35.98,49.0,-0.01,0.0,0.0,611.5492000000041,18.47570600200007
21,13.0,35.98,35.79,49.0,0.19,0.0,0.0,305.7745999999963,18.41455108200007
22,13.0,35.79,35.7,49.0,0.87,0.0,0.0,144.84059999999403,18.995522822000066
23,13.0,35.7,35.66,49.0,-0.15,0.0,0.0,64.37360000001006,20.25563604200001
24,13.0,35.66,35.55,49.0,-0.61,0.0,0.0,177.02739999999906,20.159075642
25,13.0,35.55,35.47,49.0,0.04,0.0,0.0,128.74719999999724,19.079208502
26,13.0,35.47,35.239,49.0,0.84,0.0,0.0,371.7575400000026,19.130707382
27,13.0,35.32,35.07,49.0,0.14,0.0,0.0,402.335,22.253470718000024
28,13.0,35.07,34.62,49.0,-0.38,0.0,0.0,724.2030000000045,22.816739718000026
29,13.0,34.62,34.56,49.0,0.2,0.0,0.0,96.5603999999922,20.06476831800001
30,13.0,34.56,34.39,49.0,0.55,0.0,0.0,273.58780000000274,20.257889117999994
31,13.0,34.39,34.09,49.0,-1.12,0.0,0.0,482.8019999999954,21.76262201800001
32,13.0,34.09,33.9,49.0,-0.56,0.0,0.0,305.7746000000077,16.35523961800006
33,13.0,33.9,33.52,49.0,-0.19,0.0,0.0,611.5491999999927,14.642901858000014
34,13.0,33.52,33.334,49.0,-0.04,0.0,0.0,299.3372399999999,13.480958378000029
35,13.0,33.39,33.21,49.0,0.48,0.0,0.0,289.68119999999954,13.361223482000028
36,13.0,33.21,33.121,49.0,-0.0,L,0.5,143.2312599999978,14.751693242000028
37,13.0,33.22,32.93,49.0,-0.2,0.0,0.0,466.7085999999986,14.751693242000028
38,13.0,32.93,32.78,49.0,-0.92,0.0,0.0,241.4009999999977,13.81827604200003
39,13.0,32.78,32.71,49.0,-0.54,0.0,0.0,112.65380000000046,11.59738684200005
40,13.0,32.71,32.52,49.0,0.08,0.0,0.0,305.7745999999963,10.989056322000048
41,13.0,32.52,32.33,49.0,-0.3,0.0,0.0,305.7746000000077,11.233676002000044
42,13.0,32.33,31.86,49.0,-0.71,0.0,0.0,756.3897999999981,10.316352202000022
43,13.0,31.86,31.5,49.0,-0.12,0.0,0.0,579.3623999999991,4.945984622000037
44,13.0,31.5,31.37,49.0,0.25,0.0,0.0,209.2141999999984,4.250749742000038
45,13.0,31.37,31.07,49.0,-0.43,0.0,0.0,482.8020000000011,4.773785242000034
46,13.0,31.07,30.69,49.0,-0.19,0.0,0.0,611.5491999999983,2.69773664200003
47,13.0,30.69,30.52,49.0,0.01,0.0,0.0,273.58780000000274,1.535793162000033
48,13.0,30.52,30.23,49.0,0.39,0.0,0.0,466.7085999999986,1.5631519420000333
49,13.0,30.23,29.619,49.0,0.67,0.0,0.0,983.306740000001,3.383315482000028
50,13.0,30.02,29.16,49.0,1.14,0.0,0.0,1384.032399999999,9.971470640000035
51,13.0,29.16,29.13,49.0,0.15,0.0,0.0,48.28020000000183,25.74944000000002
52,13.0,29.13,28.97,49.0,-1.19,0.0,0.0,257.4944000000002,25.821860300000026
53,13.0,28.97,28.88,49.0,-0.77,0.0,0.0,144.84059999999977,22.75767694000002
54,13.0,28.88,28.607,49.0,-0.2,0.0,0.0,439.34981999999945,21.642404320000026
55,13.0,28.607,28.447,49.0,-0.0,R,0.0,257.4944000000002,20.76370468000002
56,13.0,28.78,28.25,49.0,-0.07,0.0,0.0,852.9502000000018,20.76370468000002
57,13.0,28.25,28.12,49.0,-0.59,0.0,0.0,209.2141999999984,20.16663954000002
58,13.0,28.12,28.074,49.0,-0.23,0.0,0.0,74.02963999999899,18.932275760000028
59,13.0,28.074,28.02,49.0,-0.23,L,1.1,86.9043600000033,18.76200758800003
60,13.0,28.02,27.791,49.0,-0.04,0.0,0.0,368.5388599999987,18.562127560000025
61,13.0,27.791,27.74,49.0,-0.04,R,1.0,82.0763400000031,18.414712016000024
62,13.0,27.74,27.63,49.0,0.39,R,1.0,177.02739999999906,18.381881480000025
63,13.0,27.63,27.53,49.0,0.13,0.0,0.0,160.93399999999656,19.07228834000001
64,13.0,27.53,26.51,49.0,-0.16,0.0,0.0,1641.5267999999992,19.28150254000001
65,13.0,27.31,25.87,49.0,-0.29,0.0,0.0,2317.4495999999963,16.655059660000013
66,13.0,25.87,25.81,49.0,-0.23,0.0,0.0,96.56040000000364,9.934455820000029
67,13.0,25.81,25.75,49.0,-0.06,0.0,0.0,96.56039999999794,9.71236690000002
68,13.0,25.75,25.54,49.0,-0.0,0.0,0.0,337.96140000000133,9.65443066000002
69,13.0,25.54,25.43,49.0,0.17,0.0,0.0,177.02739999999906,9.65443066000002
70,13.0,25.43,25.33,49.0,0.32,0.0,0.0,160.93400000000227,9.955377240000018
71,13.0,25.33,24.49,49.0,0.5,0.0,0.0,1351.8455999999996,10.470366040000023
72,13.0,24.49,24.46,49.0,0.5,0.0,0.0,48.28019999999611,17.229594040000023
73,13.0,24.46,23.957,49.0,0.3,0.0,0.0,809.4980200000001,17.470995040000005
74,13.0,24.44,23.53,49.0,0.13,0.0,0.0,1464.4994000000002,19.899489100000007
75,13.0,23.53,23.25,49.0,0.18,0.0,0.0,450.6152000000018,21.80333832000001
76,13.0,23.25,23.06,49.0,0.09,0.0,0.0,305.77460000000207,22.614445680000014
77,13.0,23.06,22.87,49.0,-0.19,0.0,0.0,305.7745999999963,22.889642820000017
78,13.0,22.87,22.74,49.0,0.29,0.0,0.0,209.2142000000041,22.308671080000025
79,13.0,22.74,22.55,49.0,0.58,0.0,0.0,305.7745999999963,22.91539226000004
80,13.0,22.55,22.481,49.0,-0.03,0.0,0.0,111.04445999999848,24.68888494000001
81,13.0,22.481,22.39,49.0,-0.03,L,3.0,146.44994000000173,24.655571602000016
82,13.0,22.39,21.82,49.0,0.07,0.0,0.0,917.3238000000003,24.611636620000017
83,13.0,21.82,21.76,49.0,-0.64,0.0,0.0,96.56039999999794,25.25376328000001
84,13.0,21.76,21.66,49.0,-0.36,0.0,0.0,160.93400000000227,24.635776720000027
85,13.0,21.66,21.57,49.0,-0.14,0.0,0.0,144.84059999999977,24.05641432000002
86,13.0,21.57,21.53,49.0,-1.56,0.0,0.0,64.37359999999862,23.85363748000002
87,13.0,21.53,21.44,49.0,-0.02,0.0,0.0,144.84059999999977,22.84940932000004
88,13.0,21.44,21.32,49.0,0.47,0.0,0.0,193.1208000000016,22.820441200000044
89,13.0,21.32,21.25,49.0,-0.17,0.0,0.0,112.65380000000046,23.72810896000005
90,13.0,21.25,21.16,49.0,0.51,0.0,0.0,144.84059999999977,23.53659750000005
91,13.0,21.16,21.07,49.0,0.33,0.0,0.0,144.84059999999977,24.27528456000005
92,13.0,21.07,21.04,49.0,0.84,0.0,0.0,48.28020000000183,24.753258540000047
93,13.0,21.04,20.8,49.0,0.67,0.0,0.0,386.2415999999975,25.158812220000065
94,13.0,20.8,20.633,49.0,0.31,0.0,0.0,268.75978000000254,27.746630940000045
95,13.0,20.7,20.49,49.0,-0.78,0.0,0.0,337.96140000000133,28.57978625800005
96,13.0,20.49,20.474,49.0,0.24,0.0,0.0,25.74943999999716,25.943687338000043
97,13.0,20.474,20.45,49.0,0.24,R,0.16,38.62416000000146,26.00548599400004
98,13.0,20.45,20.42,49.0,0.55,R,0.16,48.28019999999611,26.09818397800004
99,13.0,20.42,20.26,49.0,0.69,0.0,0.0,257.4944000000002,26.36372507800002
100,13.0,20.26,20.212,49.0,0.52,0.0,0.0,77.24832000000292,28.14043643800002
101,13.0,20.212,20.18,49.0,0.52,L,0.1,51.49888000000004,28.54212770200004
102,13.0,20.18,20.13,49.0,0.16,0.0,0.0,80.46700000000114,28.80992187800004
103,13.0,20.13,19.95,49.0,0.03,0.0,0.0,289.68119999999954,28.93866907800004
104,13.0,19.95,19.72,49.0,0.72,0.0,0.0,370.1482000000007,29.02557343800004
105,13.0,19.72,19.42,49.0,-0.22,0.0,0.0,482.8019999999954,31.69064047800004
106,13.0,19.42,19.33,49.0,-0.67,0.0,0.0,144.84060000000548,30.62847607800005
107,13.0,19.33,19.14,49.0,-0.02,0.0,0.0,305.7745999999963,29.65804405800001
108,13.0,19.14,18.74,49.0,-0.27,0.0,0.0,643.7360000000034,29.59688913800001
