,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,3.0,143.54,143.52,60.0,0.1,0.0,0.0,32.186799999970724,-12.666793271999625
1,3.0,143.52,143.27,60.0,0.3,0.0,0.0,402.335,-12.634606471999652
2,3.0,143.27,143.164,60.0,0.35,0.0,0.0,170.59004000003694,-11.427601471999653
3,3.0,143.164,143.01,60.0,0.35,R,2.11,247.8383599999941,-10.830536331999522
4,3.0,143.01,142.84,60.0,0.05,R,2.11,273.58779999997984,-9.963102071999542
5,3.0,142.84,142.61,60.0,-0.22,R,2.11,370.1481999999835,-9.826308171999552
6,3.0,142.61,142.52,60.0,-0.18,R,2.11,144.84060000000548,-10.640634211999515
7,3.0,142.52,142.39,60.0,-0.28,0.0,0.0,209.2142000000384,-10.901347291999524
8,3.0,142.39,142.368,60.0,-0.39,0.0,0.0,35.40547999998609,-11.487147051999631
9,3.0,142.368,142.23,60.0,-0.39,L,2.03333,222.0889200000084,-11.625228423999577
10,3.0,142.23,142.08,60.0,0.01,L,2.03333,241.4009999999634,-12.491375211999609
11,3.0,142.08,141.78,60.0,0.38,0.0,0.0,482.8020000000183,-12.467235111999612
12,3.0,141.78,141.66,60.0,0.2,0.0,0.0,193.1208000000073,-10.632587511999542
13,3.0,141.66,141.61,60.0,-0.0,0.0,0.0,80.46699999997256,-10.246345911999528
14,3.0,141.61,141.53,60.0,-0.0,0.0,0.0,128.74720000002011,-10.246345911999528
15,3.0,141.53,141.46,60.0,0.02,0.0,0.0,112.65379999998902,-10.246345911999528
16,3.0,141.46,141.32,60.0,0.04,0.0,0.0,225.30760000002377,-10.22381515199953
17,3.0,141.32,141.08,60.0,0.44,0.0,0.0,386.24159999996886,-10.13369211199952
18,3.0,141.08,140.9,60.0,0.81,0.0,0.0,289.68120000001096,-8.434229071999658
19,3.0,140.9,140.674,60.0,0.84,0.0,0.0,363.71083999999854,-6.0878113519995685
20,3.0,140.674,140.52,60.0,0.84,L,0.98694,247.8383599999941,-3.0326402959995806
21,3.0,140.52,140.19,60.0,0.7,L,0.98694,531.0822000000201,-0.95079807199963
