,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,2.0,58.53,58.36,60.0,0.33,0.0,0.0,273.58780000000274,57.181137672
1,2.0,58.36,57.69,60.0,-0.1,0.0,0.0,1078.2578000000026,58.08397741200001
2,2.0,57.69,57.41,60.0,-0.08,0.0,0.0,450.6152000000018,57.00571961200001
3,2.0,57.41,57.12,60.0,-0.0,0.0,0.0,466.7085999999986,56.64522745200001
4,2.0,57.12,57.01,60.0,0.11,0.0,0.0,177.02739999999906,56.64522745200001
5,2.0,57.01,56.99,60.0,0.09,0.0,0.0,32.1867999999936,56.839957592000005
6,2.0,56.99,56.53,60.0,0.16,0.0,0.0,740.2964000000013,56.868925712
7,2.0,56.53,56.08,60.0,-0.13,0.0,0.0,724.2030000000045,58.053399952
8,2.0,56.08,55.7,60.0,0.02,0.0,0.0,611.5491999999927,57.11193605199999
9,2.0,55.7,55.48,60.0,-0.0,0.0,0.0,354.0548000000096,57.23424589199999
10,2.0,55.48,55.23,60.0,0.1,0.0,0.0,402.335,57.23424589199999
11,2.0,55.23,54.98,60.0,0.13,0.0,0.0,402.335,57.63658089199999
12,2.0,54.98,54.57,60.0,-0.15,0.0,0.0,659.8293999999945,58.15961639199999
13,2.0,54.57,54.19,60.0,-0.11,0.0,0.0,611.5492000000041,57.169872292
14,2.0,54.19,53.94,60.0,-0.07,0.0,0.0,402.335,56.497168172
15,2.0,53.94,53.68,60.0,0.02,0.0,0.0,418.4283999999968,56.21553367199999
16,2.0,53.68,53.26,60.0,-0.3,0.0,0.0,675.9228000000027,56.299219352
17,2.0,53.26,52.5,60.0,-0.09,0.0,0.0,1223.098399999997,54.27145095199999
18,2.0,52.5,51.91,60.0,-0.22,0.0,0.0,949.5106000000054,53.17066239199999
19,2.0,51.91,51.47,60.0,-0.0,0.0,0.0,708.1095999999962,51.081739071999976
20,2.0,51.47,51.2,60.0,0.18,0.0,0.0,434.5217999999936,51.081739071999976
21,2.0,51.2,51.08,60.0,-0.13,0.0,0.0,193.1208000000073,51.86387831199996
22,2.0,51.08,50.12,60.0,-0.0,0.0,0.0,1544.9664000000014,51.61282127199996
23,2.0,50.12,50.06,60.0,0.16,0.0,0.0,96.5603999999922,51.61282127199996
24,2.0,50.06,49.83,60.0,-0.06,0.0,0.0,370.1482000000064,51.767317911999946
25,2.0,49.83,49.25,60.0,-0.15,0.0,0.0,933.4171999999973,51.54522899199994
26,2.0,49.25,49.06,60.0,-0.1,0.0,0.0,305.7745999999963,50.14510319199994
27,2.0,49.06,48.72,60.0,-0.0,0.0,0.0,547.1756000000055,49.83932859199994
28,2.0,48.72,48.56,60.0,-0.17,0.0,0.0,257.49439999999447,49.83932859199994
29,2.0,48.56,48.32,60.0,-0.12,0.0,0.0,386.2416000000032,49.40158811199996
30,2.0,48.32,48.22,60.0,0.29,0.0,0.0,160.93400000000227,48.93809819199996
31,2.0,48.22,47.64,60.0,-0.0,0.0,0.0,933.4171999999973,49.40480679199996
32,2.0,47.64,46.75,60.0,-0.11,0.0,0.0,1432.3126000000009,49.40480679199996
33,2.0,46.75,46.43,60.0,0.05,0.0,0.0,514.9888000000004,47.82926293199996
34,2.0,46.43,45.8,60.0,-0.27,0.0,0.0,1013.884200000004,48.08675733199996
35,2.0,45.8,45.73,60.0,-0.0,0.0,0.0,112.65380000000046,45.34926999199995
36,2.0,45.73,45.475,60.0,0.04,0.0,0.0,410.38169999999263,45.34926999199995
37,2.0,45.475,45.27,60.0,0.04,R,0.68333,329.91469999999725,45.51342267199994
38,2.0,45.27,44.89,60.0,-0.05,0.0,0.0,611.5492000000041,45.645388551999936
39,2.0,44.89,44.27,60.0,0.09,0.0,0.0,997.7907999999958,45.33961395199994
40,2.0,44.27,43.65,60.0,0.4,0.0,0.0,997.7908000000072,46.237625671999936
41,2.0,43.65,43.437,60.0,-0.39,0.0,0.0,342.78942000000154,50.22878887199997
42,2.0,43.437,43.33,60.0,-0.39,L,0.75,172.19937999999888,48.89191013399997
43,2.0,43.33,43.16,60.0,-0.12,L,0.75,273.58780000000274,48.22033255199997
44,2.0,43.16,42.615,60.0,-0.0,0.0,0.0,877.0902999999913,47.892027191999965
45,2.0,42.67,42.26,60.0,0.39,0.0,0.0,659.8294000000059,47.892027191999965
46,2.0,42.26,42.05,60.0,-0.0,0.0,0.0,337.96140000000133,50.46536185199999
47,2.0,42.05,41.5,60.0,-0.42,0.0,0.0,885.1369999999954,50.46536185199999
48,2.0,41.5,41.42,60.0,-0.8,0.0,0.0,128.74719999999724,46.74778645200001
49,2.0,41.42,40.15,60.0,-0.1,0.0,0.0,2043.861800000005,45.717808852000026
50,2.0,40.15,40.06,60.0,-0.0,0.0,0.0,144.84059999999403,43.67394705200002
51,2.0,40.06,40.0,60.0,0.09,0.0,0.0,96.56040000000364,43.67394705200002
52,2.0,40.0,39.7,60.0,0.23,0.0,0.0,482.8019999999954,43.76085141200003
53,2.0,39.7,39.62,60.0,0.07,0.0,0.0,128.7472000000087,44.871296012000016
54,2.0,39.62,39.55,60.0,0.1,0.0,0.0,112.65380000000046,44.961419052000025
55,2.0,39.55,39.49,60.0,-0.0,0.0,0.0,96.5603999999922,45.07407285200003
56,2.0,39.49,39.36,60.0,-0.21,0.0,0.0,209.2142000000041,45.07407285200003
57,2.0,39.36,39.11,60.0,-0.01,0.0,0.0,402.335,44.63472303200002
58,2.0,39.11,39.05,60.0,-0.99,0.0,0.0,96.56040000000364,44.59448953200002
59,2.0,39.05,38.73,60.0,-0.0,0.0,0.0,514.9888000000004,43.63854157199998
60,2.0,38.73,38.71,60.0,-0.0,0.0,0.0,32.1867999999936,43.63854157199998
61,2.0,38.71,38.69,60.0,0.09,0.0,0.0,32.18680000000503,43.63854157199998
62,2.0,38.69,38.67,60.0,0.1,0.0,0.0,32.1867999999936,43.66750969199998
63,2.0,38.67,38.66,60.0,0.2,0.0,0.0,16.09340000000823,43.69969649199997
64,2.0,38.66,38.5,60.0,0.1,0.0,0.0,257.49439999999447,43.73188329199999
65,2.0,38.5,38.48,60.0,0.09,0.0,0.0,32.18680000000503,43.989377691999984
66,2.0,38.48,38.47,60.0,-0.1,0.0,0.0,16.093399999996798,44.01834581199999
67,2.0,38.47,38.45,60.0,-0.2,0.0,0.0,32.1867999999936,44.00225241199999
68,2.0,38.45,37.49,60.0,-0.31,0.0,0.0,1544.9664000000014,43.937878812
69,2.0,37.49,37.177,60.0,-0.2,0.0,0.0,503.72342000000384,39.148482972
70,2.0,37.177,37.16,60.0,-0.2,R,0.76666,27.358780000004845,38.14103613199999
71,2.0,37.16,36.96,60.0,-0.09,R,0.76666,321.8679999999931,38.08631857199998
72,2.0,36.96,36.39,60.0,-0.0,0.0,0.0,917.3238000000003,37.79663737199999
73,2.0,36.39,36.01,60.0,0.09,0.0,0.0,611.5492000000041,37.79663737199999
74,2.0,36.01,35.55,60.0,-0.0,0.0,0.0,740.2964000000013,38.34703165199999
75,2.0,35.82,35.352,60.0,-0.0,0.0,0.0,753.1711200000057,38.34703165199999
76,2.0,35.44,35.253,40.0,-0.09,0.0,0.0,300.9465799999961,38.34703165199999
