,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,477.0,118.71,118.22,20.0,0.56,0.0,0.0,788.5765999999917,-107.13440753599956
1,477.0,118.22,117.94,20.0,-0.65,0.0,0.0,450.6152000000018,-102.7183785759996
2,477.0,117.94,117.14,20.0,1.51,0.0,0.0,1287.4719999999954,-105.64737737599962
3,477.0,117.14,116.21,20.0,1.69,0.0,0.0,1496.686200000011,-86.2065501759997
4,477.0,116.21,115.82,20.0,0.93,0.0,0.0,627.6426000000009,-60.91255339599951
5,477.0,115.82,115.76,20.0,1.11,0.0,0.0,96.5603999999808,-55.0754772159995
6,477.0,115.76,115.69,20.0,0.79,0.0,0.0,112.65380000001188,-54.00365677599971
7,477.0,115.69,114.83,20.0,1.0,0.0,0.0,1384.032399999999,-53.11369175599962
8,477.0,114.83,114.74,20.0,0.79,0.0,0.0,144.84060000000548,-39.27336775599963
9,477.0,114.74,114.31,20.0,0.98,0.0,0.0,692.0161999999881,-38.12912701599959
10,477.0,114.31,113.44,20.0,0.18,0.0,0.0,1400.1258000000073,-31.3473682559997
11,477.0,113.44,113.23,20.0,1.07,0.0,0.0,337.9613999999899,-28.82714181599969
12,477.0,113.23,112.72,20.0,0.95,0.0,0.0,820.7634000000082,-25.2109548359998
13,477.0,112.72,112.53,20.0,1.06,0.0,0.0,305.7745999999963,-17.413702535999718
14,477.0,112.53,112.21,20.0,0.95,0.0,0.0,514.9888000000119,-14.172491775999756
15,477.0,112.21,112.17,20.0,0.59,0.0,0.0,64.37359999998719,-9.280098175999642
16,477.0,112.17,112.05,20.0,-0.0,0.0,0.0,193.1208000000073,-8.900293935999718
17,477.0,112.05,111.81,20.0,-0.45,0.0,0.0,386.24159999999176,-8.900293935999718
18,477.0,111.81,111.69,20.0,-0.43,0.0,0.0,193.1208000000073,-10.638381135999682
19,477.0,111.69,111.6,20.0,-0.39,0.0,0.0,144.84060000000548,-11.468800575999714
20,477.0,111.6,111.47,20.0,-0.35,0.0,0.0,209.21419999999267,-12.033678915999737
21,477.0,111.47,111.26,20.0,-0.39,0.0,0.0,337.9613999999899,-12.765928615999709
22,477.0,111.26,110.81,20.0,-0.37,0.0,0.0,724.2030000000045,-14.083978075999667
23,477.0,110.81,110.63,20.0,-0.5,0.0,0.0,289.68120000001096,-16.763529175999686
24,477.0,110.63,110.33,20.0,-0.33,0.0,0.0,482.8019999999954,-18.21193517599974
25,477.0,110.33,110.07,20.0,-0.0,0.0,0.0,418.4284000000082,-19.805181775999728
26,477.0,110.07,109.76,20.0,0.32,0.0,0.0,498.8953999999808,-19.805181775999728
27,477.0,109.76,108.66,20.0,-0.0,0.0,0.0,1770.2740000000135,-18.208716495999788
28,477.0,108.66,108.32,20.0,-0.32,0.0,0.0,547.1756000000055,-18.208716495999788
29,477.0,108.32,108.27,20.0,0.49,0.0,0.0,80.46699999999542,-19.959678415999804
30,477.0,108.27,108.21,20.0,0.71,0.0,0.0,96.56040000000364,-19.565390115999826
31,477.0,108.21,108.16,20.0,2.65,0.0,0.0,80.46699999999542,-18.8798112759998
32,477.0,108.16,107.58,20.0,0.73,0.0,0.0,933.4171999999973,-16.74743577599992
33,477.0,107.58,107.47,20.0,0.41,0.0,0.0,177.02739999999906,-9.93349021599994
34,477.0,107.47,107.42,20.0,-0.0,0.0,0.0,80.46699999999542,-9.207677875999943
35,477.0,107.42,107.29,20.0,-0.38,0.0,0.0,209.21419999999267,-9.207677875999943
36,477.0,107.29,107.07,20.0,-0.0,0.0,0.0,354.05480000002103,-10.002691835999917
37,477.0,107.07,106.71,20.0,0.39,0.0,0.0,579.3623999999991,-10.002691835999917
38,477.0,106.71,106.58,20.0,0.52,0.0,0.0,209.21419999999267,-7.743178475999921
39,477.0,106.58,106.35,20.0,0.65,0.0,0.0,370.1482000000064,-6.655264635999959
40,477.0,106.35,106.26,20.0,0.67,0.0,0.0,144.8405999999826,-4.249301335999918
41,477.0,106.26,106.2,20.0,0.5,0.0,0.0,96.56040000000364,-3.2788693160000344
42,477.0,106.2,105.96,20.0,0.16,0.0,0.0,386.2416000000146,-2.796067316000016
43,477.0,105.96,105.81,20.0,0.55,0.0,0.0,241.40099999998623,-2.178080755999993
44,477.0,105.81,105.65,20.0,0.94,0.0,0.0,257.49439999999447,-0.8503752560000681
45,477.0,105.65,105.54,20.0,1.1,0.0,0.0,177.02739999999906,1.5700721039998795
46,477.0,105.54,105.43,20.0,0.79,0.0,0.0,177.02739999999906,3.517373503999869
47,477.0,105.43,105.14,20.0,-0.0,0.0,0.0,466.7086000000101,4.915889963999862
48,477.0,105.14,105.1,20.0,0.3,0.0,0.0,64.37360000001006,4.915889963999862
49,477.0,105.1,104.97,20.0,0.54,0.0,0.0,209.21419999999267,5.109010763999892
50,477.0,104.97,104.8,20.0,0.89,0.0,0.0,273.58780000000274,6.238767443999853
51,477.0,104.8,104.69,20.0,1.06,0.0,0.0,177.02739999999906,8.673698863999878
52,477.0,104.69,104.63,20.0,0.69,0.0,0.0,96.56040000000364,10.550189303999868
53,477.0,104.63,104.5,20.0,0.2,0.0,0.0,209.21419999999267,11.216456063999894
54,477.0,104.5,104.19,20.0,0.6,0.0,0.0,498.8954000000036,11.63488446399988
55,477.0,104.19,104.12,20.0,0.49,0.0,0.0,112.65379999998902,14.6282568639999
56,477.0,104.12,103.91,20.0,-0.0,0.0,0.0,337.9614000000128,15.180260483999849
57,477.0,103.91,103.83,20.0,0.22,0.0,0.0,128.74719999999724,15.180260483999849
58,477.0,103.83,103.62,20.0,0.59,0.0,0.0,337.9613999999899,15.46350432399984
59,477.0,103.62,103.42,20.0,0.93,0.0,0.0,321.86800000000454,17.45747658399978
60,477.0,103.42,103.09,20.0,0.76,0.0,0.0,531.0821999999972,20.450848983999823
61,477.0,103.09,102.96,20.0,0.59,0.0,0.0,209.21420000001555,24.4870737039998
62,477.0,102.96,102.92,20.0,0.8,0.0,0.0,64.37359999998719,25.72143748399989
63,477.0,102.92,102.56,20.0,0.97,0.0,0.0,579.3623999999991,26.23642628399979
64,477.0,102.56,102.45,20.0,0.6,0.0,0.0,177.02739999999906,31.85624156399978
65,477.0,102.45,102.37,20.0,0.19,0.0,0.0,128.74719999999724,32.918405963999774
66,477.0,102.37,102.2,20.0,0.34,0.0,0.0,273.58780000000274,33.16302564399977
67,477.0,102.2,102.13,20.0,0.49,0.0,0.0,112.65380000001188,34.09322416399978
68,477.0,102.13,101.96,20.0,0.75,0.0,0.0,273.58780000000274,34.64522778399984
69,477.0,101.96,101.73,20.0,1.07,0.0,0.0,370.1481999999835,36.69713628399985
70,477.0,101.73,101.27,20.0,0.99,0.0,0.0,740.2964000000128,40.65772202399968
71,477.0,101.27,101.03,20.0,0.96,0.0,0.0,386.24159999999176,47.9866563839998
72,477.0,101.03,100.97,20.0,0.57,0.0,0.0,96.56040000000364,51.69457574399972
73,477.0,100.97,100.84,20.0,0.11,0.0,0.0,209.21419999999267,52.24497002399974
74,477.0,100.84,100.7,20.0,0.29,0.0,0.0,225.3076000000009,52.47510564399973
75,477.0,100.7,100.55,20.0,0.65,0.0,0.0,241.4010000000092,53.12849768399973
76,477.0,100.55,100.35,20.0,0.22,0.0,0.0,321.86800000000454,54.69760418399979
77,477.0,100.35,100.21,20.0,0.27,0.0,0.0,225.3076000000009,55.4057137839998
78,477.0,100.21,100.1,20.0,0.26,0.0,0.0,177.02739999999906,56.0140443039998
79,477.0,100.1,99.89,20.0,0.22,0.0,0.0,337.9613999999899,56.4743155439998
80,477.0,99.89,99.76,20.0,0.34,0.0,0.0,209.21419999999267,57.21783062399978
81,477.0,99.76,99.7,20.0,0.69,0.0,0.0,96.56040000000364,57.92915890399976
82,477.0,99.7,99.19,20.0,0.85,0.0,0.0,820.7634000000082,58.59542566399978
83,477.0,99.19,99.08,20.0,0.63,0.0,0.0,177.02739999999906,65.57191456399985
84,477.0,99.08,98.98,20.0,0.09,0.0,0.0,160.93399999999085,66.68718718399985
85,477.0,98.98,98.92,20.0,-0.0,0.0,0.0,96.56040000000364,66.83202778399985
86,477.0,98.92,98.73,20.0,-0.1,0.0,0.0,305.7745999999963,66.83202778399985
87,477.0,98.73,98.62,20.0,0.19,0.0,0.0,177.02739999999906,66.52625318399986
88,477.0,98.62,98.47,20.0,0.5,0.0,0.0,241.4010000000092,66.86260524399985
89,477.0,98.47,98.36,20.0,0.86,0.0,0.0,177.02739999999906,68.0696102439999
90,477.0,98.36,98.07,20.0,1.0,0.0,0.0,466.7086000000101,69.5920458839999
91,477.0,98.07,97.99,20.0,0.85,0.0,0.0,128.74719999999724,74.259131884
92,477.0,97.99,97.95,20.0,0.7,0.0,0.0,64.37359999998719,75.35348308399998
93,477.0,97.95,97.78,20.0,-0.0,0.0,0.0,273.58780000000274,75.80409828399989
94,477.0,97.78,97.73,20.0,0.19,0.0,0.0,80.46699999999542,75.80409828399989
95,477.0,97.73,97.6,20.0,0.34,0.0,0.0,209.21420000001555,75.95698558399988
96,477.0,97.6,97.52,20.0,0.67,0.0,0.0,128.74719999999724,76.66831386399993
97,477.0,97.52,97.05,20.0,1.01,0.0,0.0,756.3897999999981,77.5309201039999
98,477.0,97.05,96.91,20.0,0.86,0.0,0.0,225.3076000000009,85.17045708399988
99,477.0,96.91,96.86,20.0,-0.0,0.0,0.0,80.46699999999542,87.10810244399988
100,477.0,96.86,96.82,20.0,-0.34,0.0,0.0,64.37360000001006,87.10810244399988
101,477.0,96.82,96.69,20.0,-0.4,0.0,0.0,209.21419999999267,86.88923220399985
102,477.0,96.69,96.52,20.0,-0.0,0.0,0.0,273.58780000000274,86.05237540399989
103,477.0,96.52,96.44,20.0,0.37,0.0,0.0,128.74719999999724,86.05237540399989
104,477.0,96.44,96.25,20.0,0.49,0.0,0.0,305.7745999999963,86.52874004399987
105,477.0,96.25,96.15,20.0,0.27,0.0,0.0,160.93399999999085,88.02703558399986
106,477.0,96.15,95.91,20.0,0.71,0.0,0.0,386.2416000000146,88.46155738399983
107,477.0,95.91,95.72,20.0,-0.0,0.0,0.0,305.7745999999963,91.20387274399994
108,477.0,95.72,95.6,20.0,0.44,0.0,0.0,193.1208000000073,91.20387274399994
109,477.0,95.6,95.21,20.0,0.61,0.0,0.0,627.6426000000009,92.05360426399996
110,477.0,95.21,94.9,20.0,0.78,0.0,0.0,498.8953999999808,95.88222412399998
111,477.0,94.9,94.54,20.0,0.61,0.0,0.0,579.3623999999991,99.77360824399985
112,477.0,94.54,94.26,20.0,0.73,0.0,0.0,450.6152000000018,103.30771888399984
113,477.0,94.26,94.07,20.0,0.39,0.0,0.0,305.7746000000192,106.59720984399983
114,477.0,94.07,93.9,20.0,0.4,0.0,0.0,273.58779999997984,107.78973078399991
115,477.0,93.9,93.69,20.0,0.27,0.0,0.0,337.9614000000128,108.88408198399983
116,477.0,93.69,93.58,20.0,0.39,0.0,0.0,177.02739999999906,109.79657776399986
117,477.0,93.58,93.43,20.0,0.32,0.0,0.0,241.40099999998623,110.48698462399986
118,477.0,93.43,93.27,20.0,0.19,0.0,0.0,257.4944000000174,111.2594678239998
119,477.0,93.27,93.12,20.0,0.52,0.0,0.0,241.40099999998623,111.74870718399984
120,477.0,93.12,92.8,20.0,0.74,0.0,0.0,514.9888000000119,113.00399238399976
121,477.0,92.8,92.68,20.0,0.86,0.0,0.0,193.12079999998443,116.81490950399986
122,477.0,92.68,92.42,20.0,0.67,0.0,0.0,418.4284000000082,118.47574838399971
123,477.0,92.42,92.23,20.0,0.71,0.0,0.0,305.7745999999963,121.2792186639998
124,477.0,92.23,92.17,20.0,-0.0,0.0,0.0,96.56040000000364,123.45021832399976
125,477.0,92.17,92.12,20.0,-0.18,0.0,0.0,80.46699999999542,123.45021832399976
126,477.0,92.12,92.0,20.0,-0.37,0.0,0.0,193.1208000000073,123.30537772399975
127,477.0,92.0,91.92,20.0,-0.0,0.0,0.0,128.74719999999724,122.59083076399976
128,477.0,91.92,91.89,20.0,0.2,0.0,0.0,48.28020000000183,122.59083076399976
129,477.0,91.89,91.81,20.0,0.73,0.0,0.0,128.74719999999724,122.68739116399976
130,477.0,91.81,91.2,20.0,0.96,0.0,0.0,981.697399999999,123.62724572399974
131,477.0,91.2,91.17,20.0,0.89,0.0,0.0,48.28020000000183,133.05154076399972
132,477.0,91.17,91.02,20.0,1.1,0.0,0.0,241.4010000000092,133.48123454399973
133,477.0,91.02,90.98,20.0,0.79,0.0,0.0,64.37359999998719,136.13664554399983
134,477.0,90.98,90.88,20.0,0.83,0.0,0.0,160.93400000001373,136.64519698399974
135,477.0,90.88,90.81,20.0,0.71,0.0,0.0,112.65379999998902,137.98094918399983
136,477.0,90.81,90.66,20.0,1.07,0.0,0.0,241.4010000000092,138.78079116399977
137,477.0,90.66,90.43,20.0,0.89,0.0,0.0,370.1481999999835,141.36378186399986
138,477.0,90.43,90.35,20.0,0.74,0.0,0.0,128.74720000002011,144.6581008439997
