,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,34.0,225.98,225.71,60.0,0.2,R,2.0,434.5217999999707,179.75040327998278
1,34.0,225.71,225.69,60.0,0.19,R,2.0,32.18680000001646,180.61944687998272
2,34.0,225.69,225.68,60.0,-0.0,0.0,0.0,16.093399999985362,180.68060179998275
3,34.0,225.68,225.24,60.0,-0.0,0.0,0.0,708.1095999999962,180.68060179998275
4,34.0,225.24,224.96,60.0,0.13,0.0,0.0,450.6152000000018,180.68060179998275
5,34.0,224.96,224.84,60.0,-0.0,0.0,0.0,193.1208000000073,181.2664015599828
6,34.0,224.84,224.81,60.0,-0.0,0.0,0.0,48.28020000000183,181.2664015599828
7,34.0,224.81,224.77,60.0,-0.35,0.0,0.0,64.37359999998719,181.2664015599828
8,34.0,224.77,224.58,60.0,-0.32,0.0,0.0,305.7745999999963,181.0410939599828
9,34.0,224.58,223.87,60.0,-0.32,0.0,0.0,1142.6314000000127,180.06261523998282
10,34.0,223.87,223.84,60.0,-0.35,0.0,0.0,48.28020000000183,176.40619475998278
11,34.0,223.84,223.8,60.0,-0.0,0.0,0.0,64.37359999998719,176.23721405998276
12,34.0,223.8,222.94,60.0,-0.0,0.0,0.0,1384.032400000022,176.23721405998276
13,34.0,222.94,222.92,60.0,-0.0,0.0,0.0,32.18680000001646,176.23721405998276
14,34.0,222.92,222.9,60.0,-0.2,0.0,0.0,32.186799999970724,176.23721405998276
15,34.0,222.9,222.56,60.0,-0.21,0.0,0.0,547.1756000000055,176.1728404599828
16,34.0,222.56,222.33,60.0,-0.3,0.0,0.0,370.1481999999835,175.0237716999828
17,34.0,222.33,222.31,60.0,-0.3,0.0,0.0,32.18680000001646,173.9133270999829
18,34.0,222.31,222.29,60.0,-0.0,0.0,0.0,32.18680000001646,173.81676669998282
19,34.0,222.29,221.97,60.0,-0.0,0.0,0.0,514.9887999999889,173.81676669998282
20,34.0,221.97,221.42,60.0,-0.15,0.0,0.0,885.1370000000182,173.81676669998282
21,34.0,221.42,221.4,60.0,-0.19,0.0,0.0,32.186799999970724,172.4890611999828
22,34.0,221.4,221.38,60.0,-0.41,0.0,0.0,32.18680000001646,172.42790627998284
23,34.0,221.38,221.01,60.0,-0.36,0.0,0.0,595.4558000000073,172.29594039998275
24,34.0,221.01,220.99,60.0,-0.39,0.0,0.0,32.186799999970724,170.15229951998273
25,34.0,220.99,220.97,60.0,-0.0,0.0,0.0,32.18680000001646,170.02677099998286
26,34.0,220.97,220.61,60.0,-0.05,0.0,0.0,579.3623999999762,170.02677099998286
27,34.0,220.61,220.25,60.0,-0.2,0.0,0.0,579.3624000000219,169.73708979998287
28,34.0,220.25,220.23,60.0,-0.2,0.0,0.0,32.18680000001646,168.57836499998282
29,34.0,220.23,220.21,60.0,-0.0,0.0,0.0,32.186799999970724,168.5139913999828
30,34.0,220.21,220.0,60.0,-0.0,0.0,0.0,337.9614000000128,168.5139913999828
31,34.0,220.0,219.98,60.0,-0.0,0.0,0.0,32.18680000001646,168.5139913999828
32,34.0,219.98,219.97,60.0,0.21,0.0,0.0,16.093399999985362,168.5139913999828
33,34.0,219.97,219.81,60.0,0.19,0.0,0.0,257.49439999999447,168.54778753998275
34,34.0,219.81,219.8,60.0,0.21,0.0,0.0,16.093399999985362,169.03702689998275
35,34.0,219.8,219.78,60.0,-0.0,0.0,0.0,32.18680000001646,169.0708230399827
36,34.0,219.78,219.29,60.0,-0.0,0.0,0.0,788.5766000000147,169.0708230399827
37,34.0,219.29,219.06,60.0,-0.08,0.0,0.0,370.1481999999835,169.0708230399827
38,34.0,219.06,218.82,60.0,-0.0,0.0,0.0,386.2416000000146,168.77470447998272
39,34.0,218.82,218.34,60.0,0.11,0.0,0.0,772.4831999999835,168.77470447998272
40,34.0,218.34,218.03,60.0,-0.0,0.0,0.0,498.8954000000036,169.6244359999827
41,34.0,218.03,217.84,60.0,-0.1,0.0,0.0,305.7745999999963,169.6244359999827
42,34.0,217.84,217.62,60.0,-0.0,0.0,0.0,354.0547999999981,169.3186613999827
43,34.0,217.62,217.43,60.0,0.09,0.0,0.0,305.7745999999963,169.3186613999827
44,34.0,217.43,217.2,60.0,-0.0,0.0,0.0,370.1482000000293,169.59385853998268
45,34.0,217.2,217.05,60.0,-0.09,0.0,0.0,241.4009999999634,169.59385853998268
46,34.0,217.05,217.01,60.0,-0.1,0.0,0.0,64.37360000003292,169.37659763998272
47,34.0,217.01,216.97,60.0,-0.39,0.0,0.0,64.37359999998719,169.31222403998268
48,34.0,216.97,216.53,60.0,-0.4,0.0,0.0,708.1095999999962,169.06116699998273
49,34.0,216.53,216.0,60.0,-0.24,0.0,0.0,852.9502000000018,166.22872859998276
50,34.0,216.0,215.98,60.0,-0.2,0.0,0.0,32.18680000001646,164.18164811998275
51,34.0,215.98,215.96,60.0,-0.0,0.0,0.0,32.186799999970724,164.11727451998271
52,34.0,215.96,215.7,60.0,-0.0,0.0,0.0,418.4284000000311,164.11727451998271
53,34.0,215.7,215.68,60.0,-0.0,0.0,0.0,32.186799999970724,164.11727451998271
54,34.0,215.68,215.66,60.0,0.3,0.0,0.0,32.18680000001646,164.11727451998271
55,34.0,215.66,215.28,60.0,0.26,0.0,0.0,611.5491999999927,164.21383491998276
56,34.0,215.28,215.26,60.0,0.3,0.0,0.0,32.18680000001646,165.80386283998274
57,34.0,215.26,215.24,60.0,-0.0,0.0,0.0,32.186799999970724,165.9004232399828
58,34.0,215.24,215.15,60.0,-0.0,0.0,0.0,144.84060000000548,165.9004232399828
59,34.0,215.15,215.11,60.0,-0.0,0.0,0.0,64.37359999998719,165.9004232399828
60,34.0,215.11,215.07,60.0,-0.39,0.0,0.0,64.37360000003292,165.9004232399828
61,34.0,215.07,214.77,60.0,-0.4,0.0,0.0,482.8019999999725,165.6493661999827
62,34.0,214.77,214.73,60.0,-0.4,0.0,0.0,64.37360000003292,163.71815819998278
63,34.0,214.73,214.69,60.0,-0.0,0.0,0.0,64.37359999998719,163.46066379998263
64,34.0,214.69,214.47,60.0,-0.0,0.0,0.0,354.0547999999981,163.46066379998263
65,34.0,214.47,214.45,60.0,-0.0,0.0,0.0,32.18680000001646,163.46066379998263
66,34.0,214.45,214.43,60.0,0.19,0.0,0.0,32.186799999970724,163.46066379998263
67,34.0,214.43,214.2,60.0,0.21,0.0,0.0,370.1482000000293,163.5218187199826
68,34.0,214.2,214.18,60.0,0.19,0.0,0.0,32.186799999970724,164.29912993998266
69,34.0,214.18,214.17,60.0,-0.0,0.0,0.0,16.093400000031103,164.3602848599826
70,34.0,214.17,214.11,60.0,-0.0,0.0,0.0,96.56039999995792,164.3602848599826
71,34.0,214.11,214.07,60.0,-0.0,0.0,0.0,64.37360000003292,164.3602848599826
72,34.0,214.07,214.03,60.0,-0.35,0.0,0.0,64.37359999998719,164.3602848599826
73,34.0,214.03,213.84,60.0,-0.36,0.0,0.0,305.7745999999963,164.13497725998266
74,34.0,213.84,213.81,60.0,-0.35,0.0,0.0,48.28020000000183,163.03418869998268
75,34.0,213.81,213.77,60.0,-0.0,0.0,0.0,64.37359999998719,162.86520799998266
76,34.0,213.77,213.5,60.0,-0.0,0.0,0.0,434.52180000001647,162.86520799998266
77,34.0,213.5,213.14,60.0,0.05,0.0,0.0,579.3624000000219,162.86520799998266
78,34.0,213.14,212.88,60.0,0.13,0.0,0.0,418.4283999999853,163.15488919998268
79,34.0,212.88,211.65,60.0,0.3,0.0,0.0,1979.488199999984,163.69884611998265
80,34.0,211.65,211.57,60.0,0.29,0.0,0.0,128.74720000002011,169.6373107199826
