,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,25.0,13.911,14.078,60.0,0.0,R,0.75,268.7597799999997,37.96239939200002
1,25.0,14.078,14.28,60.0,0.08,0.0,0.0,325.0866799999999,38.222468736000025
2,25.0,14.205,14.39,60.0,0.06,0.0,0.0,297.7279000000008,38.401105476000026
3,25.0,14.39,14.96,60.0,0.04,0.0,0.0,917.3238000000003,38.768034996000026
4,25.0,14.858,15.03,60.0,0.24,0.0,0.0,276.8064799999981,39.43237054800002
5,25.0,15.03,15.15,60.0,0.38,0.0,0.0,193.1208000000016,40.16622958800003
6,25.0,15.066,15.34,60.0,0.39,0.0,0.0,440.9591599999986,41.885970312000026
7,25.0,15.324,15.41,60.0,0.37,0.0,0.0,138.4032400000005,42.39806230000003
8,25.0,15.41,15.418,60.0,0.33,L,0.5,12.87471999999858,42.44054887600002
9,25.0,15.418,15.52,60.0,0.33,0.0,0.0,164.1526800000005,42.98225272000003
10,25.0,15.52,15.71,60.0,0.34,0.0,0.0,305.77460000000207,44.02188636000003
11,25.0,15.71,15.79,60.0,0.27,0.0,0.0,128.74719999999724,44.369503800000025
12,25.0,15.79,15.85,60.0,0.03,0.0,0.0,96.5604000000008,44.39847192000003
13,25.0,15.85,15.9,60.0,-0.36,0.0,0.0,80.46700000000114,44.10879072000002
14,25.0,15.9,16.04,60.0,-0.41,0.0,0.0,225.30759999999805,43.18502956000003
15,25.0,16.04,16.09,60.0,-0.37,0.0,0.0,80.46700000000114,42.88730166000003
16,25.0,16.09,16.23,60.0,-0.24,0.0,0.0,225.3076000000009,42.34656342000002
17,25.0,16.171,16.222,60.0,0.0,L,0.75,82.0763400000031,42.34656342000002
18,25.0,16.222,16.38,60.0,-0.11,0.0,0.0,254.27571999999628,42.06686012800003
19,25.0,16.38,16.47,60.0,-0.2,0.0,0.0,144.84059999999977,41.77717892800003
20,25.0,16.47,16.66,60.0,-0.02,0.0,0.0,305.77460000000207,41.71602400800003
21,25.0,16.528,16.76,60.0,0.0,0.0,0.0,373.3668800000046,41.71602400800003
22,25.0,16.76,16.93,60.0,0.02,0.0,0.0,273.587799999997,41.770741568000034
23,25.0,16.854,17.04,60.0,0.4,0.0,0.0,299.3372399999999,42.96809052800003
24,25.0,17.04,17.23,60.0,0.53,0.0,0.0,305.77460000000207,44.58869590800004
25,25.0,17.23,17.46,60.0,0.48,L,0.5,370.1482000000007,46.36540726800004
26,25.0,17.46,17.5,60.0,0.14,L,0.5,64.37359999999862,46.45553030800004
27,25.0,17.5,17.61,60.0,0.01,L,0.5,177.02739999999906,46.47323304800003
28,25.0,17.61,17.65,60.0,-1.84,L,0.5,64.37359999999862,45.28875880800006
